date,close,volume,open,high,low
05/15/2026,103.21,"5,802,565",104.92,106.46,101.19
05/14/2026,107.63,"3,648,322",109.68,109.98,107.57
05/13/2026,108.75,"4,914,857",109.72,111.515,108.3
05/12/2026,111.39,"5,380,934",111.34,112.675,110.14
05/11/2026,112.57,"2,950,462",113.75,114.44,112.05
05/08/2026,113.76,"5,744,388",113.75,114.0,112.36
05/07/2026,112.63,"4,504,290",116.58,116.99,112.55
05/06/2026,114.91,"5,649,529",116.205,116.46,114.36
05/05/2026,112.5,"4,011,103",111.87,114.18,111.16
05/04/2026,110.8,"4,667,919",114.15,114.68,110.08
05/01/2026,115.45,"4,004,095",117.88,118.515,115.44
04/30/2026,118.42,"8,801,609",115.26,119.27,115.025
04/29/2026,113.44,"4,808,714",114.96,115.68,113.2
04/28/2026,114.44,"4,161,134",115.68,116.02,113.5
04/27/2026,116.67,"3,148,303",116.72,117.95,115.91
04/24/2026,118.0,"2,958,138",115.87,118.67,114.7
04/23/2026,117.16,"5,605,920",115.86,118.05,115.0
04/22/2026,116.09,"3,368,882",118.54,118.97,115.52
04/21/2026,117.36,"2,495,163",118.79,119.7,116.73
04/20/2026,118.56,"2,429,196",116.52,118.59,116.01
04/17/2026,117.05,"5,132,442",117.48,120.54,116.48
04/16/2026,114.36,"3,732,281",114.82,115.96,113.92
04/15/2026,116.21,"4,057,989",117.81,117.81,115.535
04/14/2026,117.41,"4,881,619",117.78,118.6,117.38
04/13/2026,117.27,"6,451,944",115.64,117.55,114.392
04/10/2026,117.89,"6,357,949",118.47,119.79,116.29
04/09/2026,115.5,"4,241,794",113.4,116.29,113.33
04/08/2026,113.82,"6,296,761",112.82,114.58,112.68
04/07/2026,105.87,"5,884,553",104.31,106.36,103.845
04/06/2026,106.33,"1,912,388",104.13,106.34,103.97
04/02/2026,104.63,"4,781,085",103.3,107.71,103.14
04/01/2026,106.2,"3,240,458",106.21,107.785,105.565
03/31/2026,105.12,"5,755,855",103.49,106.35,102.07
03/30/2026,101.91,"5,563,793",103.76,103.76,100.9
03/27/2026,101.74,"4,925,999",101.81,102.46,100.97
03/26/2026,103.2,"4,836,059",104.77,106.2873,103.0
03/25/2026,106.05,"4,047,273",108.48,108.74,105.095
03/24/2026,106.52,"7,791,862",103.02,107.55,102.415
03/23/2026,104.42,"5,957,393",104.54,105.96,103.362
03/20/2026,100.47,"9,817,795",102.06,102.215,99.36
03/19/2026,101.02,"5,809,596",99.03,101.49,99.03
03/18/2026,101.91,"4,778,215",104.05,104.495,101.74
03/17/2026,104.93,"5,511,080",104.51,105.5,103.88
03/16/2026,103.02,"7,833,424",101.32,103.16,101.1
03/13/2026,99.82,"6,096,185",99.23,101.5,99.1
03/12/2026,99.73,"6,274,718",102.19,102.45,99.32
03/11/2026,104.0,"4,336,061",106.04,106.1,103.36
03/10/2026,106.28,"6,414,659",106.59,107.98,105.375
03/09/2026,106.46,"8,278,482",102.98,106.55,101.88
03/06/2026,106.41,"6,058,377",108.0,108.17,105.17
03/05/2026,111.1,"5,638,743",111.92,114.165,109.95
03/04/2026,113.26,"5,139,876",114.34,114.69,112.39
03/03/2026,113.55,"8,383,415",113.57,114.4,111.45
03/02/2026,117.72,"5,597,108",116.83,118.575,115.5601
02/27/2026,119.98,"7,275,424",118.65,120.44,116.565
02/26/2026,121.14,"5,001,824",118.96,121.21,118.48
02/25/2026,120.16,"5,090,612",123.02,124.27,119.94
02/24/2026,122.66,"4,558,947",121.49,122.85,119.88
02/23/2026,121.49,"5,018,673",122.47,123.91,120.011
02/20/2026,124.04,"4,671,251",125.09,126.65,123.56
02/19/2026,125.49,"6,011,949",121.65,126.3,121.2702
02/18/2026,124.75,"5,666,396",123.48,124.92,121.64
02/17/2026,122.02,"6,778,952",122.49,124.035,120.29
02/13/2026,125.97,"4,190,966",121.95,126.3,121.71
02/12/2026,122.85,"6,885,478",126.07,127.06,120.64
02/11/2026,127.83,"3,494,125",129.735,129.85,127.21
02/10/2026,129.15,"4,918,848",126.82,129.29,126.05
02/09/2026,126.84,"3,088,735",126.5,127.615,126.15
02/06/2026,127.13,"3,244,294",123.89,127.46,123.33
02/05/2026,121.77,"3,832,146",121.44,123.26,121.2
02/04/2026,122.96,"5,023,494",122.01,123.715,121.108
02/03/2026,122.01,"6,505,126",124.55,128.21,120.995
02/02/2026,124.6,"3,037,411",122.75,124.89,121.75
01/30/2026,122.41,"4,783,267",122.21,123.3,121.52
01/29/2026,123.68,"5,504,775",123.96,124.61,121.34
01/28/2026,122.46,"3,422,715",121.98,122.83,121.405
01/27/2026,123.68,"2,760,128",123.61,124.51,122.88
01/26/2026,122.75,"3,087,283",123.56,124.15,122.39
01/23/2026,122.84,"3,062,405",122.58,123.67,121.37
01/22/2026,124.49,"4,606,289",122.85,124.68,122.08
01/21/2026,121.0,"6,193,717",121.66,121.74,118.605
01/20/2026,120.86,"3,652,357",119.82,121.66,119.66
01/16/2026,122.97,"4,356,448",122.29,123.34,121.78
01/15/2026,122.56,"4,762,578",123.54,124.6,122.44
01/14/2026,121.89,"7,843,794",127.32,127.54,121.32
01/13/2026,127.38,"5,623,519",127.88,130.7,125.88
01/12/2026,131.38,"3,305,517",130.34,131.5,130.12
01/09/2026,131.38,"5,649,773",125.51,131.55,125.33
01/08/2026,124.65,"6,199,103",122.83,124.865,121.78
01/07/2026,122.88,"7,868,585",128.98,129.75,122.57
01/06/2026,128.87,"4,918,252",128.23,129.26,127.48
01/05/2026,128.31,"4,741,577",125.75,128.71,125.64
01/02/2026,126.44,"4,593,684",125.5,126.83,124.84
12/31/2025,124.8,"2,675,155",125.85,126.05,124.77
12/30/2025,125.81,"3,027,248",127.27,127.32,125.7
12/29/2025,127.35,"6,207,290",128.91,129.1,126.45
