date,close,volume,open,high,low
05/14/2026,579.95,"2,815,889",559.705,583.78,555.0
05/13/2026,562.57,"2,800,856",540.84,568.37,538.3683
05/12/2026,546.18,"3,545,373",542.0,552.43,533.0
05/11/2026,542.26,"2,793,317",523.78,542.67,522.0
05/08/2026,527.77,"4,041,153",499.175,528.915,492.33
05/07/2026,505.72,"5,114,477",486.09,506.79,486.09
05/06/2026,468.07,"2,198,864",468.4,475.296,457.46
05/05/2026,476.53,"2,225,010",474.39,480.66,466.0
05/04/2026,469.24,"2,183,621",456.9,471.81,455.4001
05/01/2026,455.64,"1,521,998",454.69,457.97,445.565
04/30/2026,445.75,"2,442,739",447.01,450.0112,432.55
04/29/2026,452.38,"1,914,787",450.32,453.16,443.24
04/28/2026,454.99,"1,872,929",457.625,463.6899,450.32
04/27/2026,454.61,"2,297,053",453.55,457.98,442.62
04/24/2026,448.13,"2,271,728",447.935,451.045,435.56
04/23/2026,445.39,"3,225,472",453.61,454.0,436.51
04/22/2026,466.68,"2,892,351",455.33,467.95,452.63
04/21/2026,449.61,"3,671,059",439.75,459.15,436.5
04/20/2026,433.15,"2,885,092",422.54,433.81,417.02
04/17/2026,423.95,"2,906,302",428.96,431.8399,420.36
04/16/2026,418.2,"2,991,061",421.85,425.77,411.09
04/15/2026,411.16,"3,108,144",407.0,411.98,402.05
04/14/2026,398.49,"3,187,036",404.65,411.44,393.4
04/13/2026,402.24,"4,166,463",380.1,403.06,378.25
04/10/2026,379.02,"8,938,953",396.102,398.05,364.47
04/09/2026,394.68,"5,420,541",425.98,427.02,390.81
04/08/2026,426.51,"4,727,169",439.99,449.9,423.35
04/07/2026,423.23,"4,626,826",397.865,423.73,395.579
04/06/2026,398.61,"1,595,726",405.0,405.0,392.7302
04/02/2026,399.12,"1,990,086",391.18,400.8,386.75
04/01/2026,393.31,"2,118,929",396.75,396.94,386.3701
03/31/2026,390.41,"2,976,601",381.9,392.88,379.0
03/30/2026,380.06,"4,381,651",379.57,390.4868,376.39
03/27/2026,369.58,"6,032,000",370.85,374.46,361.8067
03/26/2026,392.62,"2,458,717",383.17,395.5,381.19
03/25/2026,385.86,"3,128,658",398.98,400.32,383.5
03/24/2026,392.99,"3,636,343",410.405,410.86,390.6
03/23/2026,413.31,"3,603,293",411.06,417.43,407.0
03/20/2026,409.0,"9,111,497",423.675,424.31,403.61
03/19/2026,428.18,"2,359,821",439.0,440.71,423.38
03/18/2026,435.81,"2,799,130",428.77,442.43,427.99
03/17/2026,433.2,"2,931,479",424.09,439.01,419.6
03/16/2026,423.84,"3,666,368",442.99,443.52,423.77
03/13/2026,441.78,"2,227,117",443.99,450.64,434.58
03/12/2026,441.54,"2,359,955",441.0,450.03,438.33
03/11/2026,442.03,"2,911,221",442.51,452.0,436.215
03/10/2026,436.33,"3,316,809",445.0,447.95,428.55
03/09/2026,434.13,"3,850,353",425.575,438.28,425.52
03/06/2026,428.99,"4,604,169",425.96,433.71,420.23
03/05/2026,426.16,"5,952,572",407.3,429.6899,407.0
03/04/2026,407.68,"8,352,528",386.185,408.41,380.11
03/03/2026,391.42,"7,713,168",369.5,394.92,367.99
03/02/2026,384.86,"3,771,510",375.9,387.1499,373.086
02/27/2026,371.98,"5,125,782",369.06,373.5,359.29
02/26/2026,381.1,"6,199,823",367.248,385.09,364.66
02/25/2026,363.31,"5,697,882",349.57,365.9799,346.5
02/24/2026,350.25,"7,138,708",349.1,360.9,345.05
02/23/2026,350.33,"15,076,250",384.96,385.11,342.72
02/20/2026,388.6,"8,360,791",419.28,431.88,387.11
02/19/2026,422.14,"2,000,407",417.62,424.0,409.97
02/18/2026,415.76,"2,752,702",409.75,421.76,402.0
02/17/2026,414.285,"4,428,133",423.592,425.8821,400.0201
02/13/2026,429.64,"3,536,681",416.91,432.85,412.58
02/12/2026,411.54,"3,502,527",418.9,420.67,402.2884
02/11/2026,415.81,"2,470,908",413.7,416.5899,404.4
02/10/2026,413.39,"3,121,374",401.21,418.88,400.78
02/09/2026,408.04,"2,825,946",396.185,410.75,386.2544
02/06/2026,395.5,"4,942,990",384.94,396.99,378.37
02/05/2026,377.16,"6,053,233",414.79,416.29,374.52
02/04/2026,415.36,"4,733,012",411.94,421.98,401.55
02/03/2026,421.73,"3,834,887",435.92,436.7087,415.05
02/02/2026,438.85,"2,073,674",440.0,447.24,434.7442
01/30/2026,441.405,"2,595,383",440.5,448.74,438.25
01/29/2026,444.62,"5,230,334",460.74,461.55,431.39
01/28/2026,469.19,"2,382,480",479.46,487.0,468.91
01/27/2026,476.66,"2,834,532",478.475,487.2,473.4001
01/26/2026,468.33,"1,957,061",453.99,469.96,452.49
01/23/2026,452.49,"1,770,799",454.69,458.86,449.422
01/22/2026,453.77,"1,514,706",454.45,454.4699,446.28
01/21/2026,445.88,"2,686,835",445.0,456.12,439.17
01/20/2026,442.73,"3,231,479",443.026,450.265,440.231
01/16/2026,453.88,"3,437,922",456.75,459.7,443.6145
01/15/2026,455.0,"2,835,028",463.96,472.31,450.0
01/14/2026,460.7,"3,754,935",465.8,476.9999,451.76
01/13/2026,468.02,"2,693,312",467.0,476.55,460.94
01/12/2026,466.99,"1,938,862",460.25,468.61,459.65
01/09/2026,470.61,"2,397,478",472.19,475.98,466.25
01/08/2026,463.87,"2,455,457",478.2,479.99,460.6301
01/07/2026,478.91,"3,967,136",462.97,486.55,462.284
01/06/2026,458.32,"2,340,146",457.775,460.46,451.29
01/05/2026,456.55,"2,615,712",458.63,466.49,455.0046
01/02/2026,453.58,"3,324,981",474.0,474.0,449.455
12/31/2025,468.76,"1,661,043",475.98,476.06,468.4
12/30/2025,475.63,"1,168,100",476.0,478.12,472.2368
12/29/2025,475.91,"1,314,644",478.295,483.29,474.6335
12/26/2025,481.19,"1,150,652",477.0,482.1549,475.15
12/24/2025,477.11,"745,101",476.83,478.0,470.674
12/23/2025,478.84,"2,053,013",482.49,483.59,473.5
12/22/2025,483.14,"2,303,290",479.78,485.87,474.85
12/19/2025,481.28,"4,662,671",480.0,489.205,478.63
12/18/2025,477.26,"1,835,071",479.7,482.04,473.91
12/17/2025,470.02,"2,317,302",489.41,490.44,469.835
12/16/2025,488.53,"1,758,737",486.484,491.44,482.0
12/15/2025,487.47,"2,184,930",509.01,509.01,487.43
12/12/2025,504.78,"2,677,671",516.41,517.4358,498.76
12/11/2025,517.65,"2,001,456",516.67,528.19,512.51
12/10/2025,519.54,"2,359,253",516.0,521.61,504.54
12/09/2025,517.98,"2,035,836",512.23,529.8962,511.7295
12/08/2025,515.19,"1,660,540",513.0,520.3,508.9
12/05/2025,512.03,"2,629,448",516.14,526.89,508.32
12/04/2025,513.12,"2,477,255",523.91,525.27,510.26
12/03/2025,524.17,"5,578,755",497.99,525.0,486.3
12/02/2025,516.55,"5,055,263",513.47,520.9999,507.0
12/01/2025,504.13,"2,058,590",503.215,506.74,495.01
