date,close,volume,open,high,low
05/14/2026,31.85,"7,866,867",31.97,32.575,31.355
05/13/2026,31.97,"8,482,366",32.41,32.88,31.78
05/12/2026,33.05,"8,261,063",33.21,33.54,32.21
05/11/2026,32.92,"8,214,738",32.45,33.19,32.09
05/08/2026,32.77,"7,105,832",34.62,34.64,32.71
05/07/2026,34.98,"7,712,372",34.08,35.585,33.94
05/06/2026,34.07,"5,465,988",34.95,35.255,34.03
05/05/2026,34.9,"5,587,221",35.23,35.3704,33.82
05/04/2026,35.38,"6,712,537",35.77,35.86,34.69
05/01/2026,34.72,"6,367,853",35.278,36.0875,34.35
04/30/2026,34.61,"7,908,176",33.755,34.75,33.33
04/29/2026,34.14,"15,388,140",35.65,36.53,33.315
04/28/2026,35.96,"7,354,880",36.85,37.39,35.88
04/27/2026,36.24,"5,669,066",36.2,36.981,36.08
04/24/2026,36.44,"4,343,258",37.3,37.49,36.04
04/23/2026,37.38,"6,626,643",38.48,38.7,36.56
04/22/2026,38.77,"4,509,745",39.13,39.62,37.765
04/21/2026,38.91,"4,004,298",40.16,41.03,38.77
04/20/2026,40.06,"3,782,864",39.7,40.3225,39.355
04/17/2026,39.72,"3,994,095",40.58,40.94,39.52
04/16/2026,40.04,"6,694,113",39.77,40.41,39.57
04/15/2026,39.31,"6,507,525",38.05,39.52,37.64
04/14/2026,37.6,"7,372,275",36.81,38.345,36.81
04/13/2026,37.06,"11,553,970",36.135,37.26,34.75
04/10/2026,36.48,"5,175,738",37.3,37.5,35.77
04/09/2026,37.32,"5,767,003",38.28,38.44,36.91
04/08/2026,38.82,"6,050,958",40.73,41.13,38.475
04/07/2026,39.48,"4,277,357",41.11,41.25,39.44
04/06/2026,41.175,"5,477,095",39.92,41.29,39.64
04/02/2026,39.95,"5,798,078",39.65,40.84,38.7
04/01/2026,39.63,"5,478,429",40.34,40.34,38.69
03/31/2026,40.34,"5,482,177",41.5,41.63,39.565
03/30/2026,40.88,"6,667,863",40.16,41.07,40.04
03/27/2026,39.77,"6,295,307",41.07,41.43,39.18
03/26/2026,41.3,"4,984,292",40.95,42.71,40.95
03/25/2026,41.41,"5,753,119",41.84,42.115,40.33
03/24/2026,41.46,"4,557,034",42.32,42.52,40.78
03/23/2026,42.91,"7,209,377",43.67,43.75,41.79
03/20/2026,42.9,"15,183,230",42.24,43.27,41.96
03/19/2026,42.82,"6,127,139",42.73,43.57,41.8375
03/18/2026,43.11,"8,457,747",43.53,44.13,42.65
03/17/2026,44.25,"4,299,039",44.07,45.21,43.62
03/16/2026,43.62,"5,904,999",43.95,44.1,43.445
03/13/2026,43.63,"5,270,621",43.71,44.27,42.94
03/12/2026,43.36,"6,289,529",45.01,46.335,43.285
03/11/2026,45.34,"5,274,605",46.46,47.15,44.83
03/10/2026,46.33,"4,530,916",47.73,48.315,45.5
03/09/2026,48.42,"5,632,907",48.2,48.93,47.6203
03/06/2026,48.38,"3,959,580",48.36,48.74,47.64
03/05/2026,48.91,"5,873,209",47.48,49.03,47.27
03/04/2026,47.6,"4,337,597",46.81,48.25,46.81
03/03/2026,46.78,"5,592,341",45.88,47.37,44.78
03/02/2026,45.17,"6,342,211",43.58,45.38,43.16
02/27/2026,44.63,"8,059,250",43.99,45.41,43.735
02/26/2026,45.0,"7,624,626",45.54,46.12,44.79
02/25/2026,44.78,"11,638,480",46.59,47.1,43.17
02/24/2026,49.15,"5,596,597",47.555,49.75,47.33
02/23/2026,47.87,"7,213,625",49.39,50.07,47.81
02/20/2026,49.87,"7,901,807",50.05,52.08,49.43
02/19/2026,49.07,"5,216,206",48.53,49.475,48.05
02/18/2026,48.94,"7,988,327",46.37,49.07,46.37
02/17/2026,45.74,"8,854,784",44.97,45.82,43.8
02/13/2026,44.99,"5,526,701",45.34,45.9,44.55
02/12/2026,45.03,"10,330,060",47.72,48.04,43.92
02/11/2026,47.87,"6,227,631",50.31,50.31,46.78
02/10/2026,50.85,"5,956,289",50.2,52.35,50.2
02/09/2026,50.96,"8,650,054",49.64,51.36,48.555
02/06/2026,50.28,"6,756,617",51.13,51.685,48.76
02/05/2026,50.99,"7,443,178",52.78,53.32,50.72
02/04/2026,52.34,"11,033,560",52.14,53.375,50.59
02/03/2026,51.73,"12,882,750",60.13,60.39,51.57
02/02/2026,61.18,"6,010,924",61.46,62.67,61.04
01/30/2026,61.5,"4,662,902",61.51,62.38,60.77
01/29/2026,61.93,"4,517,349",65.31,65.46,61.61
01/28/2026,65.2,"4,374,831",66.975,67.68,65.15
01/27/2026,66.22,"17,993,360",69.275,70.57,65.685
01/26/2026,65.81,"4,026,603",65.95,67.06,65.75
01/23/2026,65.6,"4,985,944",65.72,66.68,65.26
01/22/2026,66.26,"7,257,174",64.87,67.79,64.69
01/21/2026,64.77,"6,367,541",63.98,64.96,62.805
01/20/2026,63.82,"5,721,396",64.09,64.805,63.17
01/16/2026,65.34,"7,622,875",63.41,65.9258,63.14
01/15/2026,63.38,"5,471,880",63.97,64.58,62.08
01/14/2026,63.87,"8,203,352",61.42,63.93,61.14
01/13/2026,61.82,"12,699,290",58.91,62.52,58.135
01/12/2026,59.3,"8,883,496",58.49,59.44,57.01
01/09/2026,58.49,"7,690,623",61.36,61.83,58.41
01/08/2026,61.36,"8,338,141",60.61,62.89,60.19
01/07/2026,61.66,"13,759,010",68.26,68.98,61.57
01/06/2026,67.2,"3,143,273",66.02,67.64,65.23
01/05/2026,66.42,"4,369,181",65.6,67.38,65.22
01/02/2026,65.69,"4,368,222",67.11,67.22,65.225
12/31/2025,67.24,"2,069,592",67.86,67.86,67.0
12/30/2025,67.86,"2,678,415",67.24,67.96,66.975
12/29/2025,67.6,"3,300,912",67.09,67.9,66.65
12/26/2025,67.01,"2,295,058",66.72,67.175,66.48
12/24/2025,66.89,"992,758",66.34,67.265,66.3
12/23/2025,66.64,"2,723,477",66.6,66.88,65.79
12/22/2025,66.6,"4,613,830",65.12,66.69,64.965
12/19/2025,65.23,"9,576,214",64.41,65.84,63.99
12/18/2025,64.88,"5,129,500",65.01,65.5,64.65
12/17/2025,64.83,"5,365,647",63.62,65.085,63.595
12/16/2025,63.62,"4,762,047",64.0,64.89,63.36
12/15/2025,63.75,"8,312,661",68.25,68.25,62.0
12/12/2025,68.23,"3,147,285",67.92,68.51,67.735
12/11/2025,67.47,"3,408,400",67.76,68.4983,67.16
12/10/2025,67.87,"2,744,006",67.8,68.58,67.285
12/09/2025,67.93,"2,774,458",66.52,68.49,66.34
12/08/2025,66.33,"3,429,321",67.92,67.95,66.075
