date,close,volume,open,high,low
05/15/2026,45.66,"12,868,190",45.8,45.89,45.245
05/14/2026,45.92,"15,599,370",44.5,45.93,44.258
05/13/2026,44.4,"13,360,750",44.38,45.105,44.24
05/12/2026,44.53,"21,916,350",44.74,44.88,44.225
05/11/2026,44.74,"10,583,900",44.7,45.155,44.6
05/08/2026,44.83,"9,501,111",44.492,44.985,44.45
05/07/2026,44.46,"14,880,450",45.49,45.615,44.375
05/06/2026,45.6,"9,802,379",45.02,45.81,45.02
05/05/2026,45.03,"9,604,813",44.95,45.24,44.62
05/04/2026,44.72,"12,078,450",44.765,45.33,44.47
05/01/2026,45.09,"6,244,810",45.479,45.54,45.03
04/30/2026,45.43,"13,271,610",44.885,45.54,44.77
04/29/2026,44.68,"10,060,050",45.07,45.415,44.57
04/28/2026,45.23,"10,822,660",45.7,45.77,44.98
04/27/2026,45.46,"10,648,540",45.33,45.77,45.06
04/24/2026,45.41,"18,891,160",45.86,46.36,45.34
04/23/2026,46.18,"26,657,010",45.465,46.55,44.81
04/22/2026,43.18,"14,731,170",43.77,43.8,42.88
04/21/2026,43.37,"11,445,610",43.64,43.795,43.23
04/20/2026,43.71,"7,852,832",43.29,43.795,42.95
04/17/2026,43.32,"12,917,580",43.22,43.61,42.78
04/16/2026,42.72,"11,641,150",42.12,42.89,42.09
04/15/2026,42.1,"9,339,633",42.51,42.51,41.765
04/14/2026,42.51,"9,372,347",42.335,42.6051,41.89
04/13/2026,42.35,"7,474,420",42.1,42.395,41.94
04/10/2026,42.24,"8,941,344",42.51,42.715,42.0
04/09/2026,42.49,"12,394,780",42.15,43.01,42.1
04/08/2026,42.14,"16,988,050",41.69,42.18,41.38
04/07/2026,41.42,"13,208,280",41.015,41.51,41.015
04/06/2026,41.48,"7,475,347",41.0,41.51,40.82
04/02/2026,41.22,"13,641,460",40.36,41.315,40.34
04/01/2026,41.44,"15,696,960",41.33,42.0,41.27
03/31/2026,41.05,"19,809,820",40.11,41.14,39.925
03/30/2026,39.77,"19,504,440",40.2,40.445,39.65
03/27/2026,39.67,"13,127,020",39.285,39.935,39.19
03/26/2026,39.55,"11,140,650",39.41,39.91,39.39
03/25/2026,39.57,"13,698,280",39.22,39.72,39.03
03/24/2026,38.87,"6,489,899",38.65,39.26,38.51
03/23/2026,38.94,"13,744,330",38.82,39.3,38.71
03/20/2026,38.17,"20,249,120",38.48,38.64,37.88
03/19/2026,38.49,"16,647,000",39.175,39.26,38.36
03/18/2026,39.64,"10,255,610",40.12,40.33,39.425
03/17/2026,40.305,"9,241,460",40.18,40.456,39.785
03/16/2026,39.78,"11,235,890",39.59,39.99,39.44
03/13/2026,39.3,"11,890,550",39.31,39.64,38.965
03/12/2026,39.22,"12,850,110",39.57,39.89,39.17
03/11/2026,40.34,"13,544,270",40.77,40.86,40.185
03/10/2026,40.91,"12,622,370",40.53,41.46,40.4112
03/09/2026,40.6,"13,194,390",39.945,40.84,39.335
03/06/2026,39.95,"14,453,520",40.45,40.56,39.75
03/05/2026,41.15,"19,520,900",42.34,42.48,40.825
03/04/2026,42.78,"8,559,251",42.92,42.97,42.51
03/03/2026,42.66,"12,365,890",42.865,42.93,42.03
03/02/2026,43.17,"11,788,980",42.665,43.345,42.26
02/27/2026,42.69,"17,413,430",42.12,42.77,42.07
02/26/2026,42.65,"10,894,600",42.22,42.815,42.11
02/25/2026,42.22,"10,098,360",42.43,42.69,42.045
02/24/2026,42.47,"10,184,550",41.87,42.585,41.8
02/23/2026,41.97,"11,093,310",42.18,42.52,41.545
02/20/2026,42.31,"14,162,980",41.315,42.35,41.315
02/19/2026,41.68,"10,273,960",41.265,41.775,41.02
02/18/2026,41.36,"10,626,480",40.99,41.43,40.84
02/17/2026,41.03,"12,159,450",40.57,41.085,40.52
02/13/2026,40.87,"10,547,880",40.22,41.105,40.02
02/12/2026,40.7,"16,611,150",41.55,41.785,40.49
