date,close,volume,open,high,low
05/15/2026,82.21,"2,956,115",82.76,83.55,82.15
05/14/2026,83.3,"3,830,764",83.43,84.19,82.27
05/13/2026,83.35,"3,076,397",82.75,83.42,82.1
05/12/2026,82.59,"3,373,645",82.95,83.5446,81.365
05/11/2026,82.83,"4,570,912",81.56,83.33,81.13
05/08/2026,81.13,"4,624,317",79.31,81.45,78.79
05/07/2026,79.07,"6,275,062",80.95,81.36,78.76
05/06/2026,81.77,"5,345,128",82.24,83.55,81.175
05/05/2026,83.9,"5,015,924",82.0,84.32,81.91
05/04/2026,81.69,"3,334,682",80.73,81.82,80.4237
05/01/2026,80.85,"3,543,099",81.48,81.79,80.85
04/30/2026,81.01,"3,562,785",79.3,81.395,78.78
04/29/2026,79.37,"2,578,091",79.03,80.26,78.79
04/28/2026,78.94,"2,569,084",80.06,80.27,78.535
04/27/2026,79.42,"2,805,094",79.98,80.715,79.13
04/24/2026,79.8,"2,514,316",79.4,79.86,78.36
04/23/2026,79.63,"2,274,357",79.53,80.66,78.85
04/22/2026,79.35,"2,616,742",80.66,81.02,78.7
04/21/2026,80.35,"2,354,076",80.57,81.005,79.47
04/20/2026,80.29,"3,287,281",80.47,81.45,79.9
04/17/2026,80.34,"4,368,462",80.12,80.76,78.91
04/16/2026,81.16,"3,692,861",81.21,81.94,80.232
04/15/2026,81.32,"3,259,057",82.91,82.91,81.14
04/14/2026,82.95,"3,372,941",83.31,84.29,82.51
04/13/2026,83.51,"2,943,052",84.18,84.625,82.895
04/10/2026,83.83,"1,980,849",83.65,84.12,83.13
04/09/2026,83.56,"3,485,867",84.04,85.07,82.78
04/08/2026,83.96,"5,932,566",84.2,84.26,82.01
04/07/2026,85.33,"2,927,273",84.22,85.63,84.09
04/06/2026,84.25,"3,799,643",85.04,85.49,83.63
04/02/2026,85.46,"3,669,704",83.65,85.555,83.59
04/01/2026,83.81,"5,582,068",83.52,84.1397,82.7201
03/31/2026,83.71,"5,423,579",83.0,84.0,82.3
03/30/2026,82.95,"5,083,500",82.98,83.6,82.565
03/27/2026,81.99,"4,535,666",82.6,82.815,81.585
03/26/2026,82.73,"3,105,563",81.74,82.89,81.72
03/25/2026,82.03,"3,357,909",80.66,82.26,80.495
03/24/2026,80.58,"4,811,600",77.88,81.12,77.88
03/23/2026,77.76,"5,145,329",78.81,79.28,77.18
03/20/2026,77.33,"9,435,786",78.58,78.58,76.75
03/19/2026,78.07,"4,854,588",79.3,79.54,77.07
03/18/2026,79.34,"3,404,315",80.4,80.5,79.33
03/17/2026,80.05,"3,165,215",79.84,80.695,79.27
03/16/2026,79.04,"3,816,216",79.19,79.565,78.605
03/13/2026,79.21,"5,153,051",80.23,80.512,78.2
03/12/2026,79.75,"3,550,520",78.92,80.19,78.675
03/11/2026,78.63,"3,136,826",76.34,78.69,75.96
03/10/2026,76.31,"3,719,843",77.97,78.355,76.27
03/09/2026,78.3,"3,896,288",76.905,78.37,76.12
03/06/2026,76.96,"3,506,960",76.4,77.05,74.86
03/05/2026,76.59,"3,866,374",77.59,77.93,76.07
03/04/2026,78.0,"4,584,816",79.71,79.93,77.915
03/03/2026,78.93,"4,984,410",78.74,80.135,77.72
03/02/2026,80.52,"4,008,984",79.91,80.905,79.2862
02/27/2026,80.12,"5,332,171",78.64,80.225,78.42
02/26/2026,78.82,"3,239,176",77.78,78.83,77.46
02/25/2026,77.67,"5,502,679",78.01,78.59,77.17
02/24/2026,77.97,"3,064,251",76.27,77.98,76.24
02/23/2026,76.46,"4,076,463",76.09,77.24,75.9
02/20/2026,76.31,"5,561,295",76.8,77.04,75.365
02/19/2026,77.02,"3,716,498",76.45,77.108,76.17
02/18/2026,76.59,"3,040,353",75.95,76.62,75.665
02/17/2026,75.55,"3,373,571",75.19,75.865,74.86
02/13/2026,75.03,"3,500,354",73.87,75.42,73.87
02/12/2026,74.11,"4,670,967",75.7,76.1,73.965
02/11/2026,75.32,"5,684,520",74.69,75.91,74.33
02/10/2026,74.22,"3,294,528",73.97,74.63,73.81
02/09/2026,73.62,"4,262,512",71.92,73.86,71.84
02/06/2026,72.6,"4,199,493",73.16,73.865,72.16
02/05/2026,72.47,"5,733,505",74.41,75.0,72.31
02/04/2026,75.12,"7,132,860",73.09,76.64,73.0
02/03/2026,75.04,"5,662,038",73.39,75.185,73.39
02/02/2026,73.2,"3,496,625",72.8,73.71,72.52
01/30/2026,72.8,"3,703,557",73.55,73.7,72.26
01/29/2026,73.84,"3,614,109",73.5,74.0,73.045
01/28/2026,73.05,"2,742,954",73.0,73.36,72.415
01/27/2026,73.0,"4,475,342",72.61,73.32,72.5
01/26/2026,72.63,"5,351,260",72.38,72.65,71.79
01/23/2026,71.7,"3,467,162",71.63,72.155,71.34
01/22/2026,71.56,"2,756,060",71.87,72.3,71.29
01/21/2026,71.48,"6,140,233",70.34,71.89,69.535
01/20/2026,68.9,"2,658,480",69.36,69.7,68.42
01/16/2026,69.64,"3,401,762",69.49,70.07,68.915
01/15/2026,70.5,"7,045,138",70.25,70.87,69.33
01/14/2026,69.94,"5,006,484",69.51,70.73,69.305
01/13/2026,68.85,"2,267,855",68.71,69.26,68.58
01/12/2026,68.49,"3,646,983",68.58,69.51,67.93
01/09/2026,68.65,"3,341,248",70.02,70.57,68.63
01/08/2026,70.14,"2,908,664",68.3,70.39,67.885
01/07/2026,68.54,"3,276,360",69.05,69.75,68.135
01/06/2026,69.37,"4,440,413",67.7,69.74,67.26
01/05/2026,67.85,"2,816,641",67.53,68.38,66.71
01/02/2026,67.76,"2,977,312",67.0,67.955,66.33
12/31/2025,67.03,"2,075,710",67.31,67.495,67.01
12/30/2025,67.37,"1,721,203",67.67,67.98,67.28
12/29/2025,67.65,"1,994,246",67.25,67.66,67.25
12/26/2025,67.44,"1,199,289",67.32,67.63,67.14
12/24/2025,67.33,"770,491",67.2,67.57,67.025
12/23/2025,67.15,"2,635,330",67.08,67.23,66.5
12/22/2025,67.09,"2,410,511",66.32,67.15,66.32
12/19/2025,66.31,"8,981,880",67.245,67.245,66.15
12/18/2025,66.96,"3,839,693",66.83,67.46,66.44
12/17/2025,66.43,"3,973,352",65.49,66.49,65.15
12/16/2025,65.48,"2,700,071",65.97,65.99,65.32
12/15/2025,65.88,"4,106,060",66.29,66.419,65.1
12/12/2025,66.12,"2,667,119",66.6,66.84,65.79
12/11/2025,66.04,"2,662,918",65.34,66.82,65.09
12/10/2025,65.1,"6,388,153",65.69,65.79,64.1
12/09/2025,65.84,"5,325,802",65.06,65.99,65.03
12/08/2025,65.09,"5,423,189",65.87,66.07,65.06
12/05/2025,66.0,"5,353,349",66.17,67.03,65.93
12/04/2025,66.29,"3,644,887",65.81,66.45,65.63
12/03/2025,65.3,"3,885,942",65.8,66.24,65.27
12/02/2025,65.6,"2,603,909",66.87,67.015,65.27
12/01/2025,66.54,"3,498,312",67.15,67.84,66.52
11/28/2025,67.47,"1,976,744",66.69,67.72,66.68
11/26/2025,66.65,"2,062,310",65.91,66.965,65.71
11/25/2025,66.05,"3,722,798",66.02,66.5765,65.48
11/24/2025,65.66,"3,825,602",65.54,65.85,65.08
11/21/2025,65.54,"5,184,061",64.78,66.59,64.67
11/20/2025,64.38,"5,939,447",65.02,65.96,64.195
11/19/2025,64.68,"2,505,751",64.76,65.02,64.05
11/18/2025,64.5,"3,148,312",63.75,65.08,63.56
11/17/2025,63.88,"3,998,572",66.34,66.44,63.845
11/14/2025,66.0,"2,862,487",66.07,66.87,65.76
11/13/2025,66.2,"3,408,716",66.685,67.02,66.135
11/12/2025,66.48,"3,131,388",65.58,66.88,65.26
11/11/2025,65.72,"2,912,502",65.54,66.1499,65.18
11/10/2025,65.56,"3,695,675",64.31,65.979,64.06
11/07/2025,64.15,"3,686,923",63.31,64.175,62.655
