date,close,volume,open,high,low
05/15/2026,67.17,"11,376,310",67.47,69.6,65.8399
05/14/2026,69.53,"7,146,338",69.7,70.4,68.5
05/13/2026,69.9,"12,117,140",73.3,73.455,69.0
05/12/2026,73.72,"7,886,743",75.06,76.88,73.27
05/11/2026,76.23,"7,093,590",77.79,78.3799,74.52
05/08/2026,77.94,"6,955,043",81.03,81.95,76.43
05/07/2026,80.004,"9,935,230",78.36,80.608,77.58
05/06/2026,77.876,"12,939,800",78.277,80.9882,76.294
05/05/2026,75.818,"10,731,665",75.984,79.046,75.538
05/04/2026,75.31,"12,208,415",77.058,77.6,73.505
05/01/2026,76.52,"21,807,400",79.064,80.008,75.492
04/30/2026,79.16,"28,942,930",83.914,83.914,74.318
04/29/2026,79.318,"16,417,280",80.34,82.0355,78.612
04/28/2026,81.284,"7,961,030",79.725,81.45,78.876
04/27/2026,81.346,"8,944,980",81.8,82.41,79.946
04/24/2026,81.816,"7,973,790",81.114,82.036,78.7143
04/23/2026,80.604,"9,273,680",82.474,82.8,78.81
04/22/2026,83.358,"10,465,945",81.386,83.376,81.0
04/21/2026,80.184,"12,200,140",80.688,82.476,79.302
04/20/2026,80.398,"10,185,430",77.0,80.596,76.6218
04/17/2026,77.506,"23,687,880",73.843,79.624,73.514
04/16/2026,72.448,"18,024,830",74.0,74.6,71.048
04/15/2026,74.216,"14,443,195",74.98,77.2,73.736
04/14/2026,74.842,"26,495,820",73.0,76.784,72.926
04/13/2026,71.854,"12,159,420",66.7,71.958,66.102
04/10/2026,67.262,"9,610,670",65.696,68.02,64.942
04/09/2026,65.386,"10,217,365",66.215,66.412,63.264
04/08/2026,67.762,"14,836,390",68.088,69.424,66.362
04/07/2026,64.044,"9,458,105",62.204,64.144,60.818
04/06/2026,63.37,"8,934,155",61.4,63.722,61.39
04/02/2026,62.782,"9,974,575",60.128,63.974,59.384
04/01/2026,62.418,"15,703,125",63.335,64.45,58.942
03/31/2026,62.876,"22,819,700",59.588,63.342,57.422
03/30/2026,58.16,"19,722,160",60.495,61.0,54.464
03/27/2026,60.408,"16,822,505",59.746,61.105,59.122
03/26/2026,60.274,"13,314,155",60.184,60.602,58.634
03/25/2026,61.712,"12,038,200",60.922,62.14,60.0698
03/24/2026,60.194,"12,496,090",58.914,60.843,58.346
03/23/2026,59.92,"16,187,350",58.23,61.3,58.055
03/20/2026,56.256,"16,559,890",58.222,58.272,55.348
03/19/2026,58.836,"24,409,455",56.982,59.4,55.078
03/18/2026,58.234,"11,953,400",62.22,62.923,58.002
03/17/2026,62.948,"9,046,805",62.0,63.94,61.6905
03/16/2026,61.194,"14,271,285",61.34,63.196,60.689
03/13/2026,60.03,"15,971,385",59.852,60.653,57.6999
03/12/2026,58.528,"10,694,200",61.022,61.302,58.37
03/11/2026,61.896,"12,711,295",64.0,65.8936,61.08
03/10/2026,63.754,"11,995,705",65.43,66.41,62.484
03/09/2026,65.652,"15,472,650",62.578,65.82,60.57
03/06/2026,63.54,"10,496,090",64.2,64.738,62.554
03/05/2026,66.232,"13,276,355",62.71,66.392,62.71
03/04/2026,63.252,"14,654,405",64.423,66.201,63.094
03/03/2026,63.798,"15,784,205",63.142,64.658,59.86
03/02/2026,64.622,"13,027,520",64.496,65.58,63.424
02/27/2026,66.832,"23,598,405",68.765,69.718,64.128
02/26/2026,70.78,"16,023,600",67.0,71.084,66.8
02/25/2026,66.978,"13,970,105",65.4,67.164,63.982
02/24/2026,65.032,"15,733,350",65.164,67.554,64.7
02/23/2026,65.02,"22,795,095",66.768,67.68,62.682
02/20/2026,67.324,"36,763,505",66.0,68.99,63.6
02/19/2026,66.558,"88,705,200",68.38,70.7416,63.0
02/18/2026,72.306,"47,977,010",67.83,73.252,67.83
02/17/2026,70.188,"17,425,100",67.492,70.436,66.8
02/13/2026,68.574,"13,980,950",68.854,70.238,67.221
02/12/2026,68.828,"31,477,235",73.0,74.198,65.775
02/11/2026,72.814,"32,933,015",78.8,79.247,69.244
02/10/2026,78.338,"13,537,210",82.296,83.97,78.304
02/09/2026,82.322,"8,290,720",80.12,82.7359,78.6
02/06/2026,80.734,"18,377,375",78.272,82.572,78.058
02/05/2026,76.738,"23,977,560",77.052,78.398,72.1
02/04/2026,78.608,"23,225,960",81.268,81.514,73.306
02/03/2026,82.072,"13,985,415",81.356,83.102,78.452
02/02/2026,81.578,"11,226,745",78.238,83.8,78.2
01/30/2026,80.222,"19,188,295",85.042,85.5,79.322
01/29/2026,85.488,"34,523,025",86.254,89.0,82.66
01/28/2026,82.008,"99,024,200",94.812,95.5174,74.91
01/27/2026,95.544,"17,366,525",95.524,96.958,92.602
01/26/2026,94.742,"9,432,295",94.918,96.606,93.85
01/23/2026,94.662,"12,304,315",95.558,97.378,92.49
01/22/2026,95.69,"13,311,525",91.706,95.866,91.544
01/21/2026,91.004,"17,514,830",89.0,91.576,88.416
01/20/2026,88.458,"13,153,675",86.764,90.0,86.07
01/16/2026,88.624,"14,205,970",92.07,92.902,88.438
01/15/2026,92.176,"8,799,240",92.7,94.546,91.5832
01/14/2026,91.722,"15,661,110",93.498,94.9,90.152
01/13/2026,93.71,"11,502,935",94.396,94.4,91.3558
01/12/2026,92.904,"10,837,525",91.486,94.2,91.06
01/09/2026,92.618,"16,285,165",89.598,93.2318,89.53
01/08/2026,88.516,"15,160,620",89.974,91.5136,86.628
01/07/2026,90.156,"12,788,215",88.4,90.872,88.0
01/06/2026,88.088,"14,301,730",86.8,88.556,85.56
01/05/2026,86.012,"20,907,270",80.52,86.878,79.6563
01/02/2026,80.05,"23,483,605",84.336,84.342,78.174
12/31/2025,84.404,"7,996,490",85.91,85.996,84.371
12/30/2025,85.91,"6,725,760",86.694,87.14,85.81
12/29/2025,86.71,"8,409,985",87.18,88.156,85.8
12/26/2025,87.694,"6,285,300",88.398,89.36,87.328
12/24/2025,88.314,"4,522,210",87.392,88.7,87.313
12/23/2025,87.47,"11,701,965",86.642,87.574,84.8
12/22/2025,86.718,"28,338,165",90.574,91.65,85.918
