date,close,volume,open,high,low
05/15/2026,191.1,"11,210,810",188.6,191.5,187.9
05/14/2026,186.64,"6,222,359",186.19,187.57,185.25
05/13/2026,186.0,"7,554,713",185.81,186.01,183.96
05/12/2026,185.95,"8,995,139",186.5,186.89,184.6646
05/11/2026,184.74,"12,042,060",183.0,185.2,183.0
05/08/2026,181.62,"13,053,000",182.04,182.725,180.74
05/07/2026,182.5,"12,194,040",181.58,183.44,179.53
05/06/2026,185.16,"11,082,890",185.585,186.775,183.135
05/05/2026,192.64,"5,642,810",191.22,193.665,190.45
05/04/2026,192.28,"8,229,501",190.85,193.71,187.972
05/01/2026,190.63,"10,435,910",191.3,194.085,189.745
04/30/2026,193.31,"11,748,640",190.25,194.13,188.5
04/29/2026,192.22,"8,644,636",190.13,192.62,189.5
04/28/2026,188.36,"10,754,870",188.28,189.96,186.55
04/27/2026,184.78,"10,836,590",186.19,188.37,183.67
04/24/2026,185.21,"9,626,654",185.23,186.42,183.2
04/23/2026,187.6,"6,684,691",187.12,188.42,185.495
04/22/2026,186.32,"8,708,288",187.27,189.42,186.12
04/21/2026,185.98,"9,799,016",183.97,186.37,182.34
04/20/2026,183.25,"9,661,126",184.5,186.27,182.83
04/17/2026,183.99,"15,720,620",181.89,184.3,177.74
04/16/2026,188.15,"8,013,218",185.62,188.23,185.34
04/15/2026,184.91,"8,661,597",186.355,187.24,184.0401
04/14/2026,187.02,"12,111,010",188.6,189.17,184.6
04/13/2026,191.78,"12,000,230",191.45,192.605,189.72
04/10/2026,188.55,"11,151,390",189.71,190.96,186.47
04/09/2026,190.36,"11,634,000",194.31,196.67,189.27
04/08/2026,192.89,"17,195,450",191.41,193.17,188.6
04/07/2026,201.54,"11,672,590",199.97,204.62,199.24
04/06/2026,198.86,"8,245,691",198.5,199.7699,196.351
04/02/2026,198.97,"11,528,050",202.51,205.48,198.04
04/01/2026,197.41,"23,051,860",201.99,204.78,194.91
03/31/2026,206.9,"17,403,890",210.9,213.1,201.96
03/30/2026,210.71,"10,409,050",213.26,214.71,210.29
03/27/2026,211.15,"13,907,760",208.15,212.455,206.25
03/26/2026,207.79,"11,085,590",206.03,209.2099,205.16
03/25/2026,205.15,"8,865,023",206.0,207.24,204.62
03/24/2026,206.79,"16,695,530",206.05,209.79,205.81
03/23/2026,205.21,"15,735,740",198.625,205.36,197.37
03/20/2026,201.73,"35,849,470",201.4,205.08,201.0
03/19/2026,201.44,"16,918,430",199.79,202.44,199.0
03/18/2026,198.61,"13,305,000",199.22,200.73,198.51
03/17/2026,197.97,"14,018,580",197.485,200.58,196.46
03/16/2026,196.84,"12,683,920",196.6,197.84,195.575
03/13/2026,196.82,"13,016,950",196.0,197.63,194.69
03/12/2026,196.97,"27,151,830",192.58,198.88,191.77
03/11/2026,191.79,"11,371,740",186.59,191.86,186.49
03/10/2026,186.29,"11,999,550",188.63,189.18,185.64
03/09/2026,189.44,"15,987,490",190.995,191.65,188.11
03/06/2026,189.94,"13,073,120",190.88,192.41,188.12
03/05/2026,189.9,"13,567,160",186.6,189.97,186.49
03/04/2026,186.03,"11,054,380",187.45,188.46,184.15
03/03/2026,188.77,"14,004,160",190.515,191.5599,187.4201
03/02/2026,189.6,"15,809,120",190.33,191.44,187.22
02/27/2026,186.76,"12,035,510",186.0,187.545,183.77
02/26/2026,184.16,"7,133,769",182.9,186.26,181.76
02/25/2026,184.22,"9,440,721",185.84,185.98,182.5101
02/24/2026,185.34,"7,451,798",185.285,185.96,183.85
02/23/2026,184.91,"7,047,219",184.67,186.63,184.05
02/20/2026,183.93,"9,566,208",184.59,184.89,182.32
