date,close,volume,open,high,low
05/15/2026,49.31,"4,551,686",49.56,49.63,48.92
05/14/2026,50.6,"3,737,174",51.005,51.23,50.33
05/13/2026,51.16,"4,450,482",50.87,51.64,50.37
05/12/2026,50.54,"3,824,719",50.29,50.735,49.18
05/11/2026,50.58,"4,839,410",50.0,51.215,49.98
05/08/2026,49.76,"3,956,972",49.33,49.795,48.725
05/07/2026,48.36,"4,377,077",49.85,50.14,48.3
05/06/2026,50.07,"6,021,493",49.66,50.3,48.601
05/05/2026,49.24,"7,239,735",46.14,50.16,46.14
05/04/2026,45.41,"3,654,151",46.06,46.24,44.84
05/01/2026,46.24,"3,269,870",45.81,46.385,45.4857
04/30/2026,45.66,"4,045,988",45.09,46.01,44.72
04/29/2026,44.62,"2,611,059",45.37,45.76,44.495
04/28/2026,45.33,"2,480,881",46.825,46.9,45.15
04/27/2026,46.69,"2,379,294",46.305,47.09,46.22
04/24/2026,46.33,"2,704,078",46.54,46.54,45.8
04/23/2026,46.37,"2,623,429",46.26,46.45,45.66
04/22/2026,45.98,"3,208,970",47.2,47.36,45.67
04/21/2026,46.71,"3,572,481",46.99,47.45,46.44
04/20/2026,47.0,"2,212,976",47.31,47.595,46.78
04/17/2026,47.35,"3,502,587",46.99,48.08,46.75
04/16/2026,46.75,"2,910,530",46.21,46.8,46.0
04/15/2026,46.06,"3,262,516",46.74,46.74,45.67
04/14/2026,46.68,"2,606,128",47.36,47.36,46.21
04/13/2026,47.15,"3,105,526",46.88,47.3,46.52
04/10/2026,47.25,"2,195,511",47.78,47.825,47.08
04/09/2026,47.42,"2,932,668",47.47,48.215,47.325
04/08/2026,47.85,"3,375,627",47.22,47.89,46.8
04/07/2026,45.53,"2,854,552",45.66,45.66,44.98
04/06/2026,45.57,"2,645,654",45.425,45.59,44.86
04/02/2026,45.48,"2,674,205",45.42,46.27,44.93
04/01/2026,46.21,"3,340,041",46.31,46.9566,46.05
03/31/2026,45.8,"3,997,907",44.99,46.21,44.75
03/30/2026,44.22,"4,544,461",45.73,45.83,43.93
03/27/2026,45.26,"3,500,573",45.75,46.03,45.12
03/26/2026,46.02,"2,672,142",45.89,46.47,45.75
03/25/2026,46.33,"2,961,595",46.0,46.44,45.56
03/24/2026,45.33,"4,537,209",43.73,45.79,43.575
03/23/2026,44.14,"5,737,338",43.84,44.97,43.48
03/20/2026,42.44,"10,006,900",43.735,43.92,42.04
03/19/2026,43.52,"4,563,554",43.31,43.815,42.64
03/18/2026,44.0,"4,574,711",45.29,45.395,43.92
03/17/2026,45.54,"2,512,338",45.89,46.21,45.45
03/16/2026,45.4,"2,853,701",45.31,46.08,45.23
03/13/2026,44.9,"2,689,008",45.68,45.915,44.735
03/12/2026,45.34,"5,451,338",45.38,45.6,44.695
03/11/2026,45.99,"3,759,805",45.7,46.0,45.13
03/10/2026,45.97,"3,440,550",45.36,46.75,44.81
03/09/2026,45.24,"5,829,632",44.18,45.44,43.05
03/06/2026,45.26,"6,586,926",45.41,45.955,44.27
03/05/2026,46.72,"5,373,355",47.95,48.2,46.3801
03/04/2026,48.08,"3,466,079",48.77,49.08,47.915
03/03/2026,48.27,"3,548,265",48.27,48.605,47.14
03/02/2026,49.64,"3,449,963",49.08,49.9685,48.23
02/27/2026,50.04,"3,842,316",49.86,50.205,49.54
02/26/2026,50.35,"2,852,769",50.73,51.24,49.67
02/25/2026,50.74,"2,749,284",51.32,51.47,49.98
02/24/2026,51.07,"2,532,463",50.32,51.195,50.32
02/23/2026,50.08,"3,232,104",50.26,50.65,49.39
02/20/2026,50.41,"4,865,295",50.15,50.95,49.77
02/19/2026,50.24,"5,178,611",51.205,51.54,50.09
02/18/2026,51.35,"4,500,511",51.31,51.99,51.06
02/17/2026,50.87,"4,574,460",49.99,50.9,49.88
02/13/2026,50.22,"4,265,353",49.42,50.295,48.9
02/12/2026,49.43,"8,015,410",51.91,52.66,49.23
02/11/2026,51.53,"12,411,170",49.88,51.88,49.85
02/10/2026,49.43,"8,179,949",48.33,49.56,47.39
02/09/2026,47.1,"4,317,684",46.47,47.215,46.325
02/06/2026,46.73,"3,556,784",46.25,46.84,45.78
02/05/2026,45.68,"5,330,850",47.095,47.25,45.215
02/04/2026,47.83,"7,556,913",45.73,48.03,45.6
02/03/2026,45.3,"4,962,148",44.76,45.875,44.42
02/02/2026,44.43,"3,524,014",43.805,44.515,43.68
01/30/2026,43.92,"4,491,055",43.99,44.355,43.09
01/29/2026,44.6,"2,680,240",44.71,45.07,43.83
01/28/2026,44.63,"3,382,954",44.72,45.01,44.16
01/27/2026,44.61,"3,093,453",44.2,44.83,44.08
01/26/2026,44.2,"3,173,034",44.32,44.62,44.095
01/23/2026,44.14,"5,784,719",43.77,44.47,43.5
01/22/2026,43.79,"8,014,108",43.7,44.96,43.6
01/21/2026,43.38,"4,423,131",42.87,43.6,42.68
01/20/2026,42.28,"4,848,862",42.28,42.58,41.85
01/16/2026,42.86,"4,374,942",43.43,43.6381,42.82
01/15/2026,43.39,"5,086,901",43.21,43.935,43.045
01/14/2026,42.89,"13,224,390",43.94,44.17,42.44
01/13/2026,43.79,"4,235,940",43.51,44.05,43.21
01/12/2026,43.43,"4,130,864",43.89,44.0,43.26
01/09/2026,43.81,"2,851,154",43.68,44.15,43.46
01/08/2026,43.4,"4,380,464",43.21,43.94,42.99
01/07/2026,43.23,"4,091,069",43.45,43.48,42.6
01/06/2026,43.44,"5,989,147",41.92,43.69,41.72
01/05/2026,42.01,"5,223,493",40.71,42.17,40.675
01/02/2026,40.87,"4,140,280",40.44,40.89,40.19
12/31/2025,40.2,"3,035,678",40.61,40.63,40.175
12/30/2025,40.68,"3,068,563",40.92,41.01,40.53
12/29/2025,40.89,"3,668,338",41.19,41.23,40.578
12/26/2025,41.26,"2,614,773",41.06,41.31,40.91
12/24/2025,41.07,"1,918,732",41.2,41.2,40.78
12/23/2025,41.04,"6,847,722",41.39,41.47,40.99
12/22/2025,41.48,"3,866,536",41.51,41.85,41.19
12/19/2025,41.26,"14,466,560",40.855,41.47,40.63
12/18/2025,40.51,"5,544,903",40.85,40.995,40.46
12/17/2025,40.6,"4,669,501",40.44,40.98,40.23
12/16/2025,40.45,"5,404,051",40.63,40.84,40.195
12/15/2025,40.61,"5,956,848",41.3,41.49,40.36
12/12/2025,40.93,"4,824,178",41.6,41.83,40.805
12/11/2025,41.49,"3,185,216",40.91,41.8,40.87
12/10/2025,40.96,"4,793,941",40.61,41.265,40.57
12/09/2025,40.61,"3,676,865",40.42,41.13,40.35
12/08/2025,40.58,"4,422,274",40.535,40.89,40.34
12/05/2025,40.51,"4,490,858",39.9,40.77,39.81
12/04/2025,39.82,"4,185,731",39.61,40.31,39.55
12/03/2025,39.66,"4,024,550",39.66,40.1,39.43
12/02/2025,39.52,"4,232,465",40.07,40.28,39.32
12/01/2025,39.91,"6,015,208",39.35,40.48,38.93
11/28/2025,39.77,"2,285,691",39.42,39.83,39.32
11/26/2025,39.44,"4,048,519",38.82,39.56,38.78
11/25/2025,38.78,"6,434,190",38.59,39.07,38.23
11/24/2025,38.47,"7,982,846",38.61,38.89,38.22
11/21/2025,38.54,"4,790,725",37.29,38.85,37.25
11/20/2025,37.12,"7,007,172",38.41,38.46,37.05
11/19/2025,37.88,"6,045,804",38.81,38.9,37.48
11/18/2025,38.7,"5,953,543",38.435,39.165,38.14
11/17/2025,38.65,"4,444,392",39.66,39.87,38.45
11/14/2025,39.71,"6,756,281",40.02,40.53,39.63
11/13/2025,40.6,"5,385,350",40.79,41.18,40.37
11/12/2025,40.79,"5,748,292",40.54,41.23,40.54
11/11/2025,40.4,"7,029,139",40.32,40.795,40.17
11/10/2025,40.24,"6,702,596",40.0,40.4,39.38
11/07/2025,39.8,"7,328,758",38.99,39.95,38.51
11/06/2025,39.15,"11,076,510",39.25,40.11,38.88
11/05/2025,39.63,"15,789,100",38.075,39.86,37.95
11/04/2025,37.76,"21,785,540",34.24,37.96,34.08
11/03/2025,34.69,"20,503,340",33.69,34.895,33.335
10/31/2025,33.69,"4,005,314",33.5765,34.3007,33.4507
10/30/2025,33.6157,"3,467,909",33.5311,33.9871,33.2444
10/29/2025,33.9004,"3,424,160",33.6405,34.4121,33.6405
10/28/2025,33.7932,"3,780,815",33.6075,34.3172,33.4961
10/27/2025,33.5786,"3,083,724",33.4837,34.0118,33.3476
10/24/2025,33.4259,"1,752,340",33.7932,33.8757,33.3517
10/23/2025,33.5415,"1,908,966",33.1928,33.723,33.0958
10/22/2025,32.8895,"1,994,245",33.3021,33.4497,32.6089
10/21/2025,33.4754,"2,242,054",33.4218,33.7601,33.3599
10/20/2025,33.4012,"3,045,377",33.0587,33.4383,33.0092
10/17/2025,32.8318,"3,728,741",32.349,33.0587,32.2995
10/16/2025,32.2376,"3,280,236",32.5966,32.6275,31.9983
