date,close,volume,open,high,low
05/15/2026,561.83,"971,317",572.04,572.62,555.56
05/14/2026,574.64,"1,056,670",580.18,587.145,574.0
05/13/2026,580.65,"961,527",588.34,591.01,580.16
05/12/2026,589.19,"1,264,772",591.37,593.9808,580.16
05/11/2026,588.74,"907,529",575.71,589.17,573.73
05/08/2026,574.84,"897,013",579.78,582.98,572.3
05/07/2026,580.54,"828,920",592.13,593.805,578.08
05/06/2026,591.64,"983,612",579.95,593.55,579.95
05/05/2026,575.79,"906,367",582.38,590.765,575.79
05/04/2026,578.39,"799,299",576.7,581.97,573.0
05/01/2026,577.26,"802,920",588.3,590.065,575.7
04/30/2026,589.87,"1,562,256",562.46,594.4099,562.46
04/29/2026,560.02,"872,355",558.27,563.86,557.76
04/28/2026,563.86,"894,884",574.45,574.46,559.76
04/27/2026,567.69,"1,035,331",566.63,577.99,564.16
04/24/2026,562.64,"1,102,594",585.37,588.175,561.615
04/23/2026,591.95,"919,494",584.37,594.97,580.0
04/22/2026,579.99,"796,720",589.49,593.1,579.81
04/21/2026,587.3,"631,987",592.56,598.66,586.61
04/20/2026,594.52,"920,146",589.98,595.64,587.55
04/17/2026,590.46,"1,238,842",586.0,593.6999,582.03
04/16/2026,584.19,"1,444,050",572.84,585.525,564.82
04/15/2026,576.64,"1,554,193",590.78,593.86,572.1
04/14/2026,596.04,"868,072",599.46,602.44,593.68
04/13/2026,603.04,"1,178,363",604.46,607.9282,598.85
04/10/2026,605.0,"1,263,939",618.45,619.24,601.06
04/09/2026,618.0,"1,205,984",607.69,618.9499,607.445
04/08/2026,609.32,"1,450,142",592.24,609.68,590.0
04/07/2026,576.0,"876,096",573.31,576.13,569.31
04/06/2026,575.09,"1,055,712",572.39,575.21,566.66
04/02/2026,575.71,"1,248,799",560.695,580.69,556.45
04/01/2026,570.7,"1,573,509",565.44,579.37,564.15
03/31/2026,563.3,"1,445,717",560.0,566.5199,549.68
03/30/2026,555.5,"1,263,246",572.3,573.29,555.04
03/27/2026,566.64,"1,455,931",580.72,581.92,564.0501
03/26/2026,581.19,"1,516,599",573.96,587.845,573.96
03/25/2026,577.99,"930,183",588.58,590.69,577.11
03/24/2026,583.02,"1,144,924",560.55,584.5,560.0001
03/23/2026,569.03,"1,244,289",570.25,571.94,564.03
03/20/2026,559.73,"2,727,249",568.57,573.71,551.275
03/19/2026,567.58,"1,449,083",563.19,570.005,557.94
03/18/2026,571.02,"1,226,470",573.75,578.41,569.13
03/17/2026,574.26,"1,462,378",576.37,576.85,562.1901
03/16/2026,572.48,"1,151,135",581.97,582.94,570.73
03/13/2026,577.5,"1,381,773",585.0,589.668,571.6
03/12/2026,585.83,"1,622,667",591.46,593.665,582.31
03/11/2026,594.04,"1,000,691",590.76,598.0,585.3
03/10/2026,592.72,"1,093,141",597.08,603.03,591.43
03/09/2026,599.48,"1,499,829",586.47,600.82,578.32
03/06/2026,589.77,"1,413,080",585.24,589.85,577.63
03/05/2026,590.69,"1,643,591",607.61,610.36,586.3
03/04/2026,614.04,"1,073,247",619.23,622.72,612.95
03/03/2026,619.22,"1,071,646",620.0,623.551,609.21
03/02/2026,630.88,"997,011",625.76,636.45,619.79
02/27/2026,629.71,"2,015,446",615.0,631.505,613.49
02/26/2026,619.46,"1,422,137",624.96,626.9999,614.6
02/25/2026,623.61,"2,100,928",645.27,646.93,623.49
02/24/2026,644.54,"1,399,328",643.3,647.81,634.76
02/23/2026,646.84,"2,074,972",652.18,669.8,644.44
02/20/2026,662.49,"2,989,876",664.25,666.92,646.4
02/19/2026,662.0,"6,653,328",633.61,674.1899,628.716
02/18/2026,593.27,"2,558,237",603.81,603.81,590.92
02/17/2026,600.84,"1,863,304",593.05,607.04,593.05
02/13/2026,602.92,"1,565,162",598.86,610.958,597.2
02/12/2026,598.11,"2,767,801",612.87,626.25,596.78
02/11/2026,612.69,"1,826,726",592.5,614.34,590.5001
02/10/2026,593.41,"1,609,054",586.11,593.76,583.59
02/09/2026,585.67,"1,101,858",580.0,587.7399,574.3
02/06/2026,583.11,"1,440,540",568.0,584.06,567.55
02/05/2026,565.73,"1,913,079",563.83,574.94,561.2
02/04/2026,567.26,"3,209,306",548.0,571.5588,548.0
02/03/2026,545.0,"1,605,563",533.26,545.32,533.0
02/02/2026,532.25,"1,558,043",527.25,534.7,522.39
01/30/2026,528.0,"1,517,798",524.93,529.99,518.695
01/29/2026,530.07,"1,493,549",530.0,537.26,521.54
01/28/2026,525.01,"1,106,772",519.94,528.77,519.09
01/27/2026,519.19,"1,043,621",517.33,521.49,513.85
01/26/2026,516.54,"750,609",515.72,518.66,512.57
01/23/2026,514.43,"1,590,604",518.26,521.63,506.4201
01/22/2026,522.38,"1,159,303",529.26,532.61,521.16
01/21/2026,529.51,"1,620,594",512.69,530.2,511.13
01/20/2026,508.68,"1,377,144",514.56,515.255,507.09
01/16/2026,514.4,"1,323,338",516.26,516.81,510.0
01/15/2026,515.04,"1,203,732",513.8,519.18,508.15
01/14/2026,512.1,"1,891,120",503.23,516.09,501.22
01/13/2026,499.52,"849,339",492.33,499.59,490.0
01/12/2026,490.74,"1,547,484",486.32,497.02,484.33
01/09/2026,488.08,"1,725,629",500.7,503.55,484.86
01/08/2026,500.8,"1,797,304",473.92,503.88,472.72
01/07/2026,475.2,"1,286,897",487.14,489.1,473.69
01/06/2026,485.98,"1,621,122",465.1,487.455,464.31
01/05/2026,466.1,"1,320,248",462.31,467.885,458.955
01/02/2026,466.8,"1,175,565",466.0,470.475,458.92
12/31/2025,465.57,"812,080",466.99,470.23,465.57
12/30/2025,469.94,"826,707",469.88,473.2,468.3729
12/29/2025,470.24,"981,691",469.49,471.75,465.785
12/26/2025,468.93,"503,204",467.73,469.41,466.13
12/24/2025,467.44,"343,266",466.03,468.395,464.4
12/23/2025,466.21,"1,083,689",470.39,471.18,465.41
12/22/2025,468.77,"1,173,160",471.5,472.74,467.65
12/19/2025,470.57,"2,990,692",475.1,476.5,468.92
12/18/2025,475.05,"1,927,554",483.04,487.13,469.775
12/17/2025,481.0,"1,641,933",484.95,490.42,479.685
12/16/2025,485.44,"1,632,204",487.0,489.15,484.205
12/15/2025,488.01,"1,473,240",484.8,488.99,484.8
12/12/2025,484.8,"1,852,128",478.22,487.165,477.6
12/11/2025,475.94,"1,186,663",471.88,480.7439,470.13
12/10/2025,468.9,"1,677,783",462.65,469.97,455.905
12/09/2025,462.86,"1,173,740",464.89,469.32,461.8
12/08/2025,466.35,"1,896,614",479.02,488.99,464.915
12/05/2025,475.11,"1,224,918",481.39,485.44,473.69
12/04/2025,483.03,"1,379,844",480.99,483.5,475.21
12/03/2025,481.82,"1,157,986",471.0,482.45,468.56
12/02/2025,469.15,"1,303,721",471.72,473.77,466.43
12/01/2025,468.11,"1,824,398",463.72,474.5,461.41
11/28/2025,464.49,"1,682,593",466.91,473.67,463.01
11/26/2025,469.87,"5,473,576",477.13,487.82,469.41
11/25/2025,498.13,"2,188,492",490.06,500.52,488.215
11/24/2025,487.23,"2,182,873",488.62,494.31,484.1
11/21/2025,487.24,"1,836,012",477.64,491.04,476.51
11/20/2025,476.33,"1,543,397",478.0,484.21,473.71
11/19/2025,474.77,"1,202,227",474.36,476.395,468.16
11/18/2025,473.85,"1,117,591",471.47,477.12,470.0
11/17/2025,475.98,"1,318,436",475.27,479.76,473.1078
11/14/2025,476.23,"1,180,189",473.29,479.65,471.0
11/13/2025,473.41,"1,005,462",481.32,482.785,472.89
11/12/2025,480.78,"1,068,247",479.0,484.93,477.77
11/11/2025,477.95,"1,179,366",474.56,480.22,472.0101
11/10/2025,474.39,"922,965",468.9,476.55,463.68
11/07/2025,467.79,"1,912,530",463.92,471.25,457.65
11/06/2025,475.38,"1,258,700",475.14,481.28,469.52
11/05/2025,473.69,"891,800",468.0,476.29,466.4
11/04/2025,468.3,"1,577,242",457.29,469.67,456.0
11/03/2025,461.94,"957,484",459.8,463.8,454.5
10/31/2025,461.63,"1,116,489",463.57,464.54,458.72
10/30/2025,465.41,"1,035,002",472.14,479.8099,465.22
10/29/2025,473.49,"1,134,932",471.84,477.892,469.03
10/28/2025,468.19,"1,064,808",475.45,476.5,467.88
10/27/2025,478.1,"1,273,310",480.56,483.0,474.1601
10/24/2025,472.76,"1,187,258",473.45,477.6,470.5463
10/23/2025,469.42,"1,162,024",465.56,469.99,460.71
10/22/2025,462.36,"1,293,402",460.13,472.22,460.13
10/21/2025,459.82,"953,986",461.11,466.78,458.75
10/20/2025,462.44,"814,027",457.61,463.89,455.8934
10/17/2025,458.5,"1,136,456",462.52,465.705,454.61
10/16/2025,457.16,"1,574,670",450.35,457.74,445.546
10/15/2025,448.46,"1,020,074",449.44,452.355,446.31
10/14/2025,447.95,"1,258,550",436.08,449.825,433.0
10/13/2025,439.11,"1,758,622",449.37,450.0,437.455
10/10/2025,446.35,"1,581,103",456.87,460.62,441.89
10/09/2025,456.22,"992,748",461.89,462.6,455.01
10/08/2025,460.75,"915,561",462.38,466.63,455.59
10/07/2025,461.51,"1,237,616",459.76,465.98,458.5
10/06/2025,457.31,"1,150,337",464.71,465.47,456.13
10/03/2025,462.88,"989,765",461.0,464.7611,459.5
10/02/2025,461.82,"1,512,068",454.52,462.335,453.345
10/01/2025,451.73,"2,141,944",455.0,456.8325,447.44
09/30/2025,457.26,"1,954,768",463.0,463.65,453.68
09/29/2025,465.49,"1,055,942",465.83,469.235,463.25
09/26/2025,463.99,"1,106,286",467.06,471.02,463.32
09/25/2025,466.7,"1,343,723",469.32,470.74,464.01
09/24/2025,468.94,"976,912",471.25,477.22,468.3
09/23/2025,471.67,"997,226",471.35,474.9,468.225
09/22/2025,469.03,"1,678,902",467.94,472.199,464.75
09/19/2025,469.63,"2,754,928",476.0,477.73,468.855
09/18/2025,476.12,"1,785,075",467.25,478.13,466.0
09/17/2025,469.12,"1,522,561",471.58,475.25,464.33
09/16/2025,468.7,"1,659,217",471.98,475.5,466.88
09/15/2025,469.11,"1,787,672",472.255,473.05,462.83
09/12/2025,470.51,"1,764,686",473.96,474.37,469.3
09/11/2025,476.46,"1,368,721",471.5,478.615,471.085
09/10/2025,471.35,"1,347,449",473.66,479.49,471.22
09/09/2025,475.6,"1,204,470",479.92,483.38,469.8
09/08/2025,481.51,"1,271,522",473.87,481.74,471.0505
09/05/2025,473.26,"1,262,439",475.34,478.39,470.24
09/04/2025,474.9,"1,487,091",470.08,474.9,466.96
09/03/2025,469.52,"1,515,353",475.21,477.8439,466.76
09/02/2025,476.78,"1,601,072",472.92,481.8899,470.85
08/29/2025,478.64,"1,535,073",484.82,487.79,474.62
08/28/2025,491.44,"1,120,391",495.0,495.0,489.61
08/27/2025,493.08,"912,641",486.1,493.66,485.46
08/26/2025,487.76,"1,502,914",488.01,490.3813,480.01
08/25/2025,487.9,"729,616",496.25,496.36,487.66
08/22/2025,495.99,"1,133,572",490.36,499.1,489.3
08/21/2025,486.76,"844,948",491.2,493.255,484.62
