date,close,volume,open,high,low
05/15/2026,93.56,"1,772,699",94.68,95.09,92.98
05/14/2026,94.97,"1,892,610",95.02,95.75,94.09
05/13/2026,93.93,"1,819,250",94.69,95.67,93.75
05/12/2026,94.89,"2,306,058",95.95,95.96,94.33
05/11/2026,96.65,"2,071,498",99.41,99.43,96.285
05/08/2026,100.42,"1,779,715",101.94,102.62,99.23
05/07/2026,102.72,"1,791,317",104.92,106.01,102.2
05/06/2026,103.92,"2,139,174",102.95,104.69,101.01
05/05/2026,98.54,"2,243,043",97.74,99.5,96.78
05/04/2026,97.65,"1,792,030",99.65,100.485,97.0
05/01/2026,100.88,"1,382,621",103.12,103.755,100.38
04/30/2026,102.2,"1,792,207",101.17,103.73,101.1
04/29/2026,101.34,"2,398,537",105.44,105.94,100.44
04/28/2026,106.18,"1,300,010",107.27,107.93,105.67
04/27/2026,106.77,"1,241,461",108.7,109.15,106.56
04/24/2026,108.53,"1,074,620",107.7,109.335,107.4
04/23/2026,107.71,"1,458,074",106.99,107.955,105.5
04/22/2026,107.69,"1,609,688",110.53,110.56,107.07
04/21/2026,110.17,"1,404,294",110.8,112.775,109.83
04/20/2026,111.06,"1,600,204",111.78,113.66,109.29
04/17/2026,112.5,"1,841,593",110.7,113.87,110.59
04/16/2026,108.33,"1,503,286",109.45,110.9099,108.24
04/15/2026,108.87,"1,391,692",108.56,110.32,108.15
04/14/2026,107.81,"1,389,833",108.67,110.34,107.47
04/13/2026,108.14,"1,225,196",107.68,108.65,106.67
04/10/2026,107.86,"1,308,064",110.3,110.99,107.0035
04/09/2026,109.77,"1,529,244",106.0,110.44,105.07
04/08/2026,106.35,"2,077,038",105.575,107.355,105.34
04/07/2026,100.26,"1,821,367",101.46,102.38,99.4301
04/06/2026,101.64,"1,613,066",97.95,101.765,97.5416
04/02/2026,98.31,"1,651,275",98.89,101.16,97.6
04/01/2026,100.91,"2,397,892",98.78,103.425,98.0101
03/31/2026,100.09,"2,470,826",96.58,100.51,96.295
03/30/2026,94.97,"2,041,902",94.31,95.5,93.43
03/27/2026,94.05,"1,930,052",93.54,94.95,92.555
03/26/2026,93.69,"3,137,417",99.75,101.335,93.42
03/25/2026,100.05,"1,960,192",102.49,103.175,98.85
03/24/2026,101.39,"2,062,748",101.47,101.95,100.0
03/23/2026,102.45,"2,416,990",103.07,103.69,101.1
03/20/2026,100.43,"3,669,772",103.88,105.19,99.56
03/19/2026,104.91,"1,998,885",103.5,106.37,103.0801
03/18/2026,104.54,"2,170,704",104.05,107.39,104.01
03/17/2026,104.71,"1,611,105",102.58,104.76,102.505
03/16/2026,101.71,"2,119,122",101.68,102.87,99.98
03/13/2026,100.78,"1,975,673",101.31,103.37,100.71
03/12/2026,100.69,"2,167,124",100.95,103.13,100.36
03/11/2026,102.72,"2,081,866",106.18,106.645,102.12
03/10/2026,105.26,"2,103,862",104.58,107.31,103.08
03/09/2026,104.32,"2,290,303",102.18,104.54,99.93
03/06/2026,104.25,"2,387,320",106.96,107.38,103.7276
03/05/2026,107.58,"2,203,721",107.645,110.0,106.69
03/04/2026,108.74,"1,683,186",109.86,110.41,107.43
03/03/2026,109.86,"2,942,187",109.77,110.615,106.775
03/02/2026,114.51,"2,193,113",115.05,116.2,112.6
02/27/2026,117.27,"2,236,200",117.2,118.5,115.6
02/26/2026,119.41,"1,806,301",119.86,121.26,118.86
02/25/2026,119.42,"2,295,098",120.4,122.1,118.71
02/24/2026,120.94,"2,436,935",118.99,120.97,117.77
02/23/2026,118.17,"2,436,676",117.89,119.0,114.53
02/20/2026,118.69,"2,779,750",119.52,122.2899,116.52
02/19/2026,118.07,"1,757,716",118.39,119.67,117.12
02/18/2026,118.89,"1,894,212",116.34,119.16,115.6
02/17/2026,117.35,"2,043,280",116.37,118.67,115.2
02/13/2026,115.73,"1,898,685",116.02,116.83,113.4
02/12/2026,116.02,"2,497,186",117.315,119.57,114.81
02/11/2026,115.36,"2,256,389",115.95,116.99,114.45
02/10/2026,115.51,"2,069,479",115.49,116.432,114.2301
02/09/2026,114.5,"1,898,863",115.78,116.4188,114.23
02/06/2026,115.45,"2,157,500",111.42,115.59,111.42
02/05/2026,111.17,"2,115,569",111.77,114.07,110.05
02/04/2026,112.25,"4,045,944",113.76,115.0,110.96
02/03/2026,113.34,"4,649,811",116.23,117.09,111.6701
02/02/2026,116.25,"4,905,696",119.0,119.0,113.5
01/30/2026,119.34,"9,768,810",114.9,119.65,110.51
01/29/2026,99.9,"5,941,649",98.02,100.26,97.0
01/28/2026,97.62,"3,005,710",101.08,101.59,97.12
