date,close,volume,open,high,low
05/15/2026,102.38,"3,436,087",105.36,105.36,102.32
05/14/2026,105.05,"3,933,877",102.15,105.5099,102.15
05/13/2026,101.75,"4,618,228",102.19,103.38,100.81
05/12/2026,102.98,"5,469,666",104.84,105.24,102.26
05/11/2026,104.63,"6,574,903",111.83,112.305,103.64
05/08/2026,113.29,"3,307,116",117.04,117.37,112.91
05/07/2026,116.47,"3,211,126",116.165,117.545,113.56
05/06/2026,116.37,"2,930,604",116.55,117.54,114.81
05/05/2026,117.01,"2,897,267",116.18,118.575,115.82
05/04/2026,114.48,"3,379,429",114.44,117.61,113.5
05/01/2026,114.43,"2,189,511",116.53,116.56,113.4
04/30/2026,115.88,"3,061,353",113.85,116.62,113.85
04/29/2026,114.13,"2,974,997",115.91,116.255,112.76
04/28/2026,115.82,"2,580,992",119.11,119.1921,114.25
04/27/2026,117.35,"1,927,580",121.03,121.4319,116.72
04/24/2026,120.71,"1,850,436",122.29,122.33,119.51
04/23/2026,122.06,"2,298,019",123.085,123.67,120.43
04/22/2026,123.2,"2,392,455",124.95,125.01,121.5101
04/21/2026,124.11,"2,295,127",126.09,126.945,123.69
04/20/2026,126.46,"2,362,738",126.31,127.18,124.63
04/17/2026,126.68,"3,071,781",123.31,127.26,123.31
04/16/2026,123.47,"3,664,934",122.24,125.705,121.81
04/15/2026,121.56,"2,845,680",119.35,121.75,117.65
04/14/2026,119.59,"2,609,959",118.9,120.555,117.8
04/13/2026,119.26,"4,016,704",114.9,119.95,114.68
04/10/2026,115.73,"3,286,497",119.05,119.78,114.89
04/09/2026,119.75,"3,151,314",121.44,121.925,118.02
04/08/2026,123.05,"2,904,488",121.94,124.445,120.65
04/07/2026,121.21,"3,126,409",123.77,124.33,120.465
04/06/2026,125.01,"3,163,379",119.99,125.14,119.975
04/02/2026,119.74,"2,571,273",116.32,119.87,115.32
04/01/2026,117.17,"4,018,947",120.42,121.125,117.12
03/31/2026,118.73,"3,410,576",118.58,119.9,116.7
03/30/2026,117.84,"2,950,716",118.92,119.75,116.94
03/27/2026,117.16,"2,902,001",119.6,119.73,117.13
03/26/2026,119.23,"4,084,944",118.52,121.76,118.5101
03/25/2026,119.55,"3,658,080",119.5,120.34,116.6
03/24/2026,117.88,"4,570,544",121.755,122.81,117.06
03/23/2026,125.11,"2,979,899",126.075,126.44,123.75
03/20/2026,124.52,"4,147,837",124.63,124.85,122.7
03/19/2026,123.45,"3,521,589",126.0,126.925,122.885
03/18/2026,126.67,"4,004,414",130.5,130.8299,126.16
03/17/2026,130.93,"3,885,630",135.38,135.38,130.38
03/16/2026,134.85,"3,251,652",133.07,135.49,131.415
03/13/2026,131.84,"3,769,982",134.93,135.98,131.13
03/12/2026,135.95,"8,687,357",131.55,140.01,128.84
03/11/2026,144.84,"4,729,234",145.36,146.99,143.745
03/10/2026,146.0,"3,358,586",145.13,149.23,144.5
03/09/2026,145.52,"2,770,867",144.75,145.765,141.62
03/06/2026,146.31,"2,842,930",145.02,147.5,144.745
03/05/2026,146.55,"3,795,133",149.72,150.205,144.52
03/04/2026,151.6,"2,893,654",154.89,155.51,150.53
03/03/2026,153.04,"2,741,067",150.06,154.83,149.3
03/02/2026,152.62,"2,497,309",154.625,156.88,151.43
02/27/2026,156.24,"3,443,526",153.52,157.07,153.52
02/26/2026,154.0,"2,347,663",154.5,158.23,153.53
02/25/2026,154.79,"3,410,884",153.7,156.53,153.26
02/24/2026,153.96,"2,195,551",153.01,154.595,150.96
02/23/2026,152.9,"2,284,277",150.3,153.31,149.17
02/20/2026,150.64,"2,596,483",151.31,154.24,149.11
02/19/2026,151.79,"2,215,591",150.74,153.9,149.68
02/18/2026,152.02,"2,564,401",149.4,153.815,149.12
02/17/2026,149.68,"2,904,786",153.79,155.0,147.57
02/13/2026,153.84,"2,940,351",148.68,153.88,146.52
02/12/2026,148.56,"3,187,997",148.0,150.68,145.94
02/11/2026,147.16,"2,769,950",146.22,147.96,144.31
02/10/2026,146.25,"1,940,855",148.36,148.8,145.88
02/09/2026,147.37,"2,247,113",146.98,149.88,146.8696
02/06/2026,146.65,"1,715,450",146.53,148.21,145.82
02/05/2026,144.9,"2,433,715",148.56,149.5,144.61
02/04/2026,149.25,"2,792,687",149.34,151.1724,146.44
02/03/2026,148.04,"4,347,731",144.49,150.06,142.96
02/02/2026,143.51,"3,019,599",143.7,145.27,142.71
01/30/2026,143.43,"2,307,444",140.11,143.57,140.0
01/29/2026,141.78,"2,622,986",145.08,145.66,140.85
01/28/2026,145.04,"2,117,822",146.97,147.77,143.39
01/27/2026,147.66,"2,580,034",150.99,151.09,147.16
01/26/2026,150.33,"3,367,626",148.75,152.74,148.68
01/23/2026,146.92,"2,447,708",145.23,147.405,144.3899
01/22/2026,144.6,"3,926,810",147.09,149.255,143.99
01/21/2026,147.16,"3,588,591",146.95,147.865,145.29
01/20/2026,146.63,"4,301,735",148.6,151.26,145.83
01/16/2026,148.74,"3,816,707",151.41,152.16,147.71
01/15/2026,151.73,"3,047,979",150.75,152.68,149.08
01/14/2026,150.95,"2,862,681",152.03,154.75,150.865
01/13/2026,151.25,"3,054,019",148.5,152.09,147.56
01/12/2026,148.86,"3,921,931",142.77,149.06,142.21
01/09/2026,142.74,"3,020,257",144.18,144.895,141.55
01/08/2026,144.0,"3,466,016",144.0,145.16,142.51
01/07/2026,143.51,"3,743,234",145.04,146.0,142.82
01/06/2026,144.69,"5,826,118",139.23,146.19,139.01
01/05/2026,138.93,"3,707,974",135.56,138.98,133.85
01/02/2026,136.82,"3,544,359",132.785,137.7,132.65
12/31/2025,132.77,"2,345,070",135.15,135.71,132.57
12/30/2025,135.82,"1,513,447",136.835,138.085,135.727
12/29/2025,137.52,"3,212,677",137.73,139.83,137.05
12/26/2025,137.84,"1,722,544",135.85,137.9,135.54
12/24/2025,135.45,"966,921",134.56,136.25,133.5
12/23/2025,134.25,"2,338,995",137.18,137.2,133.88
12/22/2025,137.52,"3,666,686",138.0,138.46,136.38
12/19/2025,137.28,"5,137,233",135.97,137.415,134.18
12/18/2025,136.68,"4,335,377",135.95,137.895,135.66
12/17/2025,136.97,"3,765,667",134.19,137.6,133.5
12/16/2025,134.51,"6,147,945",132.94,135.68,132.8
12/15/2025,132.93,"4,561,702",134.3,135.57,132.03
12/12/2025,133.21,"4,593,192",132.5,133.31,130.78
12/11/2025,132.68,"4,209,227",126.25,132.71,126.145
12/10/2025,125.89,"2,939,356",126.54,126.625,123.86
12/09/2025,125.54,"4,086,456",124.97,128.55,124.07
