date,close,volume,open,high,low
05/15/2026,186.61,"1,081,530",189.16,189.88,186.43
05/14/2026,187.94,"768,064",190.92,192.8,187.1401
05/13/2026,190.85,"693,146",188.81,191.11,187.51
05/12/2026,190.18,"754,932",191.21,192.3,189.47
05/11/2026,189.81,"620,698",187.36,190.45,187.13
05/08/2026,187.39,"762,516",191.71,192.2,186.23
05/07/2026,190.84,"739,973",188.19,190.99,187.895
05/06/2026,189.13,"898,644",190.89,192.62,188.49
05/05/2026,190.84,"613,834",191.39,191.7,189.18
05/04/2026,191.5,"567,482",190.61,193.495,190.41
05/01/2026,192.67,"691,960",194.5,196.34,192.205
04/30/2026,194.2,"1,109,986",190.24,195.87,189.915
04/29/2026,189.32,"1,399,922",193.85,194.489,187.5
04/28/2026,195.05,"909,135",198.59,198.78,194.27
04/27/2026,196.63,"702,929",195.91,198.0,195.61
04/24/2026,196.27,"1,038,852",199.99,200.07,194.46
04/23/2026,199.53,"1,263,389",205.28,205.66,196.96
04/22/2026,204.0,"1,609,415",205.37,207.0,198.71
04/21/2026,205.04,"2,426,163",203.25,209.79,202.13
04/20/2026,196.31,"1,964,250",194.22,196.77,191.63
04/17/2026,195.02,"1,000,067",190.23,196.45,190.23
04/16/2026,191.46,"987,366",191.22,194.27,191.15
04/15/2026,191.42,"877,973",193.17,194.28,191.04
04/14/2026,194.16,"885,499",192.27,194.26,191.16
04/13/2026,192.91,"898,996",191.03,193.13,189.72
04/10/2026,191.51,"1,044,169",197.66,197.66,190.12
04/09/2026,197.82,"718,355",197.93,199.405,196.55
04/08/2026,198.81,"799,277",196.18,198.89,194.02
04/07/2026,196.81,"908,927",199.49,201.0,195.7
04/06/2026,198.96,"477,839",196.87,199.215,196.57
04/02/2026,198.02,"519,962",196.66,199.14,196.06
04/01/2026,197.69,"587,379",195.51,198.86,194.0901
03/31/2026,195.98,"1,268,735",194.86,198.95,192.73
03/30/2026,197.16,"865,570",196.67,197.56,194.72
03/27/2026,195.51,"976,313",197.93,198.63,194.57
03/26/2026,198.15,"706,214",196.24,198.8821,195.0001
03/25/2026,196.46,"679,761",196.77,197.72,194.28
03/24/2026,196.08,"759,239",194.58,197.03,193.81
03/23/2026,195.6,"881,169",197.33,202.9109,195.23
03/20/2026,195.26,"2,030,142",194.07,196.83,192.79
03/19/2026,194.16,"806,594",195.01,197.21,193.91
03/18/2026,195.23,"694,228",197.07,201.49,194.88
03/17/2026,198.61,"795,424",200.7,200.7,197.18
03/16/2026,198.94,"777,162",200.98,201.8785,198.86
03/13/2026,199.7,"663,197",202.84,205.0,199.09
