date,close,volume,open,high,low
05/15/2026,135.39,"2,663,888",139.03,140.06,134.77
05/14/2026,139.36,"2,444,248",141.6,142.17,138.78
05/13/2026,140.73,"2,256,772",142.35,143.355,139.02
05/12/2026,143.27,"2,415,558",145.0,145.51,141.6875
05/11/2026,144.96,"1,758,247",147.55,147.62,144.75
05/08/2026,147.63,"1,532,410",146.97,148.28,145.14
05/07/2026,145.97,"1,807,183",148.74,149.86,145.57
05/06/2026,149.17,"2,628,478",150.99,152.8,148.7
05/05/2026,146.47,"1,889,265",144.58,148.295,144.0
05/04/2026,143.53,"2,270,883",148.1,149.01,143.22
05/01/2026,149.98,"2,185,005",154.16,154.43,149.83
04/30/2026,153.86,"1,613,833",152.215,154.93,152.07
04/29/2026,151.65,"2,177,876",155.25,156.41,151.38
04/28/2026,156.41,"1,603,044",160.42,161.17,156.01
04/27/2026,159.33,"1,642,444",159.0,160.99,158.55
04/24/2026,159.9,"2,223,031",163.98,164.605,159.61
04/23/2026,164.22,"2,663,771",161.97,164.5,160.01
04/22/2026,161.18,"3,347,769",162.95,164.415,159.9349
04/21/2026,162.2,"6,262,119",166.98,166.98,161.3
04/20/2026,153.34,"3,445,374",148.57,153.53,148.23
04/17/2026,149.81,"3,389,170",146.69,153.05,146.69
04/16/2026,143.35,"2,087,149",144.51,145.74,142.79
04/15/2026,144.2,"1,847,812",144.48,144.78,142.79
04/14/2026,145.25,"1,742,943",145.0,146.84,144.195
04/13/2026,144.33,"1,719,595",141.97,144.44,140.43
04/10/2026,142.64,"3,886,016",143.7,144.1,139.51
04/09/2026,143.74,"3,809,104",141.18,145.96,140.6
04/08/2026,142.68,"3,457,677",141.78,146.7299,141.645
04/07/2026,137.07,"2,680,297",139.73,140.01,135.8
04/06/2026,141.72,"1,865,457",139.02,141.9,138.8
04/02/2026,139.69,"1,974,221",136.37,140.805,135.18
04/01/2026,138.25,"2,166,701",136.93,139.99,135.98
03/31/2026,137.22,"3,019,430",135.76,137.96,132.39
03/30/2026,132.53,"3,098,553",136.97,137.03,132.39
03/27/2026,134.19,"2,759,096",134.94,136.5,133.4803
03/26/2026,135.96,"1,988,244",136.33,138.87,135.855
03/25/2026,137.69,"3,264,849",140.15,140.51,133.52
03/24/2026,138.33,"2,760,689",136.66,140.06,135.85
03/23/2026,138.82,"3,039,870",136.86,140.29,136.23
03/20/2026,133.12,"6,728,918",137.56,137.765,131.75
03/19/2026,137.98,"2,704,565",136.8,138.53,136.08
03/18/2026,137.25,"2,293,905",140.74,142.01,136.72
03/17/2026,142.14,"2,394,309",142.71,143.635,141.6
03/16/2026,142.09,"1,924,635",141.63,142.125,139.96
03/13/2026,140.49,"2,885,608",140.86,142.935,139.835
03/12/2026,139.04,"3,089,251",141.6,141.6,138.79
03/11/2026,142.67,"2,217,485",144.82,145.16,142.11
03/10/2026,145.28,"2,337,264",147.18,147.83,144.39
03/09/2026,147.69,"2,775,318",144.74,148.22,141.895
03/06/2026,147.26,"2,486,599",148.59,148.59,144.8
03/05/2026,149.88,"2,315,083",151.38,152.46,149.37
03/04/2026,152.7,"1,990,579",151.53,153.25,149.0
03/03/2026,152.61,"2,764,014",150.0,155.035,148.53
03/02/2026,154.4,"2,397,531",156.88,156.88,153.14
02/27/2026,160.39,"3,264,576",158.8,163.18,158.11
02/26/2026,158.97,"1,734,017",158.01,159.07,156.155
02/25/2026,157.46,"3,142,848",164.08,164.12,153.32
02/24/2026,163.95,"2,232,872",164.0,167.0,163.73
02/23/2026,164.25,"1,651,019",164.31,165.48,160.48
02/20/2026,164.12,"1,646,658",163.935,166.663,162.04
02/19/2026,163.78,"2,223,841",166.78,167.415,163.26
02/18/2026,167.25,"2,809,028",166.94,168.56,165.85
02/17/2026,166.29,"2,258,252",168.0,169.17,162.74
02/13/2026,167.78,"2,635,120",165.0,168.89,164.675
02/12/2026,164.59,"4,462,142",164.9,168.2,164.11
02/11/2026,163.85,"4,179,165",160.75,164.0,160.17
02/10/2026,162.28,"3,262,160",155.12,162.6,154.565
02/09/2026,153.5,"3,053,229",156.8,158.0,153.3
02/06/2026,156.27,"4,551,522",157.43,161.255,151.5601
02/05/2026,158.13,"2,476,924",157.75,160.0,156.4
02/04/2026,158.22,"4,003,692",155.28,160.97,155.07
02/03/2026,153.83,"3,696,114",149.01,159.69,149.01
02/02/2026,149.77,"1,820,467",149.25,150.62,146.64
01/30/2026,148.84,"2,336,426",148.47,149.58,145.94
01/29/2026,150.42,"3,248,573",150.03,153.91,148.4
01/28/2026,150.17,"2,959,849",148.89,153.35,148.356
01/27/2026,148.59,"3,131,279",148.59,149.35,147.46
01/26/2026,150.0,"2,374,272",150.5,151.205,148.6
01/23/2026,150.51,"2,976,927",155.81,156.4635,150.22
01/22/2026,155.74,"3,996,301",160.87,161.4218,155.5
01/21/2026,158.11,"5,053,354",153.53,160.57,153.205
01/20/2026,153.19,"4,883,457",150.13,157.43,148.59
01/16/2026,155.96,"5,280,178",159.84,161.925,153.93
01/15/2026,161.0,"2,398,516",160.4,161.54,158.045
01/14/2026,159.3,"3,087,158",158.55,161.36,157.475
01/13/2026,160.85,"2,820,933",160.46,161.75,159.15
01/12/2026,159.71,"4,367,098",156.51,160.59,155.03
01/09/2026,157.28,"7,314,201",150.0,157.63,149.7
01/08/2026,145.9,"4,410,402",138.54,146.22,137.7
01/07/2026,139.31,"5,130,193",144.49,145.82,138.34
01/06/2026,144.5,"4,933,461",142.98,144.87,140.3801
01/05/2026,146.48,"2,328,834",144.45,148.51,143.93
01/02/2026,145.72,"1,985,177",144.34,146.125,143.1801
12/31/2025,144.03,"1,403,166",144.75,145.4,143.98
12/30/2025,145.53,"1,302,252",145.43,145.9,144.46
12/29/2025,145.96,"1,447,507",146.05,146.55,144.76
12/26/2025,146.32,"1,143,972",146.32,146.74,145.055
12/24/2025,146.63,"996,970",144.47,147.2,143.73
12/23/2025,144.47,"2,968,144",145.67,145.94,143.29
12/22/2025,145.38,"2,486,470",146.43,147.34,144.73
12/19/2025,147.18,"6,879,641",149.48,149.88,146.09
12/18/2025,151.4,"3,849,843",156.23,156.35,151.205
12/17/2025,152.0,"4,082,351",152.0,153.26,150.145
12/16/2025,155.12,"2,871,446",156.88,156.88,153.446
12/15/2025,156.47,"2,401,323",157.29,158.2,154.98
12/12/2025,156.45,"2,477,296",156.1,157.21,154.69
12/11/2025,155.2,"1,669,629",156.3,158.0,154.8
12/10/2025,155.27,"3,776,042",150.37,155.545,150.21
