date,close,volume,open,high,low
05/15/2026,188.51,"2,569,425",190.88,190.88,187.85
05/14/2026,192.84,"2,753,352",193.7,194.36,191.35
05/13/2026,193.31,"2,075,738",194.93,194.99,190.64
05/12/2026,195.27,"1,894,075",195.87,195.97,193.29
05/11/2026,196.24,"1,295,365",195.57,197.54,194.81
05/08/2026,195.31,"1,376,762",195.21,197.3,194.93
05/07/2026,194.78,"2,483,066",199.2,199.2,192.97
05/06/2026,199.68,"1,625,831",198.14,201.26,197.05
05/05/2026,196.69,"1,943,785",199.0,199.26,194.84
05/04/2026,198.51,"1,700,255",199.96,200.54,197.2069
05/01/2026,200.7,"1,206,792",201.04,201.58,198.73
04/30/2026,200.94,"3,230,911",194.76,201.33,194.63
04/29/2026,194.56,"1,934,724",193.96,195.28,192.27
04/28/2026,194.58,"2,936,270",194.97,195.73,191.56
04/27/2026,196.34,"1,944,132",199.04,200.45,194.25
04/24/2026,200.0,"4,627,521",201.93,208.14,199.35
04/23/2026,200.0,"2,743,220",202.0,203.23,198.0501
04/22/2026,200.86,"2,001,447",202.85,203.82,199.89
04/21/2026,201.27,"2,081,235",203.94,204.94,201.16
04/20/2026,203.91,"1,578,986",203.84,204.5962,202.34
04/17/2026,203.62,"2,063,349",199.455,204.21,199.22
04/16/2026,199.05,"1,462,455",196.28,199.05,196.28
04/15/2026,195.69,"1,672,876",195.24,195.97,193.025
04/14/2026,195.79,"1,766,082",192.68,196.41,191.79
04/13/2026,191.85,"1,559,901",188.24,191.9,187.875
04/10/2026,188.87,"1,317,106",188.21,189.37,187.735
04/09/2026,188.15,"2,749,221",185.72,190.08,185.4148
04/08/2026,185.63,"4,000,388",186.39,186.45,182.3
04/07/2026,182.42,"1,255,987",181.22,182.86,179.2
04/06/2026,181.99,"1,341,267",181.59,183.0,180.48
04/02/2026,181.69,"1,693,920",179.51,182.71,179.2
04/01/2026,180.45,"1,906,506",180.91,182.72,179.51
03/31/2026,180.21,"3,178,882",177.11,181.97,176.545
03/30/2026,175.18,"2,528,120",177.47,178.7,174.15
03/27/2026,175.42,"1,490,571",173.94,176.459,173.5
03/26/2026,174.75,"1,133,066",175.19,177.3499,174.405
03/25/2026,176.43,"1,266,204",177.13,178.09,174.84
03/24/2026,174.71,"1,426,823",176.57,178.77,174.61
03/23/2026,176.47,"1,579,635",176.42,177.96,175.24
03/20/2026,173.3,"3,062,728",179.99,180.275,173.08
03/19/2026,179.85,"1,447,362",177.89,179.9,176.71
03/18/2026,178.94,"1,348,703",180.34,181.41,178.71
03/17/2026,180.39,"1,611,895",182.75,182.75,179.81
03/16/2026,181.25,"2,081,992",181.94,182.95,180.86
03/13/2026,179.61,"1,576,774",179.94,181.88,179.24
03/12/2026,180.4,"1,878,657",179.64,181.24,178.2101
03/11/2026,180.59,"2,898,384",180.4,183.52,179.4
03/10/2026,180.86,"1,771,721",179.51,183.135,179.51
03/09/2026,179.65,"2,098,577",173.9,179.81,172.9101
03/06/2026,176.19,"2,745,718",179.36,182.135,175.98
03/05/2026,179.75,"3,080,478",181.0,181.75,177.74
03/04/2026,182.62,"1,840,593",178.14,183.18,177.04
03/03/2026,178.13,"1,506,092",175.645,179.13,174.62
03/02/2026,178.69,"1,513,396",175.14,178.99,173.79
02/27/2026,177.2,"3,258,337",175.05,177.87,174.277
02/26/2026,176.37,"1,992,778",180.09,180.49,174.7772
02/25/2026,179.59,"1,939,019",179.11,180.21,178.06
02/24/2026,178.24,"1,373,277",176.06,178.52,174.47
02/23/2026,176.09,"1,598,341",174.55,177.005,174.12
02/20/2026,175.68,"1,379,710",175.99,177.0,174.7101
02/19/2026,176.9,"1,299,500",176.29,177.53,175.765
02/18/2026,176.02,"2,283,699",179.7,179.975,175.22
02/17/2026,179.89,"2,213,591",180.89,182.55,178.485
02/13/2026,180.97,"2,374,889",181.5,182.0,178.99
02/12/2026,180.31,"4,574,615",179.17,184.79,176.9901
02/11/2026,174.57,"1,552,334",171.97,174.65,171.27
02/10/2026,172.53,"2,153,071",171.62,173.48,168.64
02/09/2026,172.13,"2,249,090",170.45,173.13,167.79
02/06/2026,171.62,"3,404,303",167.62,173.9,166.76
02/05/2026,164.65,"2,359,091",167.12,168.0,162.61
02/04/2026,166.79,"2,019,584",165.58,167.39,164.46
02/03/2026,164.45,"1,964,319",165.21,167.35,162.37
02/02/2026,165.11,"1,828,538",164.91,167.4,164.17
01/30/2026,165.95,"2,090,153",166.74,167.37,163.82
01/29/2026,167.44,"2,287,446",164.5,168.4,163.34
01/28/2026,163.21,"1,383,882",163.51,164.92,162.5
01/27/2026,163.16,"1,592,888",161.63,165.23,160.0
01/26/2026,161.57,"2,288,862",159.88,163.41,159.6
01/23/2026,159.16,"1,397,868",159.01,160.79,157.15
01/22/2026,158.71,"1,751,355",159.65,160.47,158.1865
01/21/2026,159.0,"1,808,599",160.87,161.5,157.625
01/20/2026,159.62,"2,348,788",162.51,163.7,158.61
01/16/2026,163.6,"2,586,137",160.51,165.21,159.53
01/15/2026,160.57,"2,146,976",161.87,163.76,160.22
01/14/2026,159.26,"1,991,891",159.78,160.3,157.26
01/13/2026,160.71,"1,468,323",158.74,161.09,157.47
01/12/2026,157.87,"1,787,947",158.1,160.25,156.0
01/09/2026,158.55,"1,956,856",153.77,159.49,153.475
