date,close,volume,open,high,low
05/15/2026,89.58,"2,737,378",89.86,91.4,88.51
05/14/2026,89.97,"4,588,704",87.23,90.97,87.17
05/13/2026,86.8,"3,023,559",88.87,89.0,85.8812
05/12/2026,89.05,"4,991,381",90.1,90.87,88.195
05/11/2026,90.02,"5,089,001",94.24,94.25,89.32
05/08/2026,94.24,"3,452,468",97.36,97.77,93.805
05/07/2026,96.76,"4,145,858",96.09,98.33,94.26
05/06/2026,96.51,"3,784,837",95.68,98.66,95.235
05/05/2026,93.69,"4,972,065",94.32,95.735,92.65
05/04/2026,94.05,"3,063,287",94.34,96.2,93.625
05/01/2026,94.67,"3,158,939",97.47,97.74,94.19
04/30/2026,97.11,"3,215,334",96.025,97.43,95.725
04/29/2026,95.7,"3,042,438",97.78,98.375,94.36
04/28/2026,98.22,"3,654,888",99.19,99.5,96.04
04/27/2026,98.0,"5,735,672",104.17,104.6,96.57
04/24/2026,103.75,"2,474,269",102.54,103.84,100.515
04/23/2026,102.25,"2,206,913",101.97,103.36,101.22
04/22/2026,101.97,"3,197,032",105.29,105.29,100.32
04/21/2026,103.83,"4,931,392",108.4,110.24,103.57
04/20/2026,107.25,"3,015,186",105.1,108.2,105.1
04/17/2026,105.93,"6,296,654",100.99,106.8,100.5
04/16/2026,99.93,"2,901,222",101.4,103.31,99.79
04/15/2026,101.33,"2,875,000",100.75,102.0032,100.37
04/14/2026,100.67,"3,262,312",101.22,102.36,99.41
04/13/2026,102.13,"3,978,141",98.22,102.94,98.22
04/10/2026,99.55,"3,664,100",102.08,102.91,98.28
04/09/2026,102.6,"4,463,415",103.75,104.245,100.5583
04/08/2026,105.62,"3,669,997",106.99,109.555,105.48
04/07/2026,106.42,"3,250,595",109.77,109.95,104.86
04/06/2026,111.09,"2,087,632",108.63,111.47,107.945
04/02/2026,108.44,"2,531,636",108.7,108.9899,106.265
04/01/2026,108.7,"1,671,326",110.48,110.79,108.55
03/31/2026,109.51,"3,086,065",107.43,109.78,106.77
03/30/2026,105.74,"2,235,192",108.96,108.96,104.92
03/27/2026,107.0,"2,710,853",105.33,107.39,105.28
03/26/2026,105.99,"3,036,444",106.0,108.37,105.115
03/25/2026,106.64,"2,338,103",108.07,108.85,106.03
03/24/2026,106.53,"2,873,773",106.81,109.145,103.0
03/23/2026,108.27,"3,304,308",108.39,109.88,106.44
03/20/2026,105.92,"4,671,442",105.56,106.92,104.21
03/19/2026,105.56,"3,536,194",107.77,108.04,104.42
03/18/2026,107.49,"3,553,580",110.97,111.478,106.59
03/17/2026,111.84,"3,600,196",115.19,117.06,111.27
03/16/2026,114.36,"5,311,350",111.73,115.48,109.0
03/13/2026,107.46,"4,429,492",112.27,112.74,106.83
03/12/2026,111.7,"3,726,581",110.5,112.73,107.7
03/11/2026,113.25,"3,480,341",116.09,117.37,113.07
03/10/2026,116.82,"2,789,065",115.34,119.91,115.21
03/09/2026,115.85,"2,638,899",114.52,116.13,111.3
03/06/2026,115.79,"2,181,909",113.85,115.83,113.46
03/05/2026,115.91,"2,441,661",116.63,117.49,114.86
03/04/2026,117.85,"2,629,070",120.01,120.23,116.46
03/03/2026,118.41,"2,677,586",117.59,120.48,115.88
03/02/2026,119.88,"2,930,775",124.36,124.755,119.81
02/27/2026,126.48,"2,394,281",124.37,126.63,123.22
02/26/2026,126.95,"2,085,921",127.77,130.03,125.665
02/25/2026,127.7,"2,670,679",131.62,132.395,127.2
02/24/2026,131.71,"1,976,910",131.56,132.98,130.58
02/23/2026,130.41,"2,697,869",132.89,133.715,128.03
02/20/2026,134.51,"4,010,883",133.41,138.91,131.75
02/19/2026,133.57,"2,603,956",131.72,134.0445,130.93
02/18/2026,132.54,"3,364,360",128.17,133.56,126.77
02/17/2026,128.52,"4,162,969",129.75,130.94,125.79
02/13/2026,126.06,"2,907,906",126.03,127.93,122.16
02/12/2026,128.43,"3,789,819",125.83,129.29,124.85
02/11/2026,125.0,"2,911,228",122.31,125.71,121.815
02/10/2026,121.92,"2,195,398",123.0,123.91,120.83
02/09/2026,123.17,"2,109,781",123.77,124.48,122.515
02/06/2026,123.83,"3,085,337",120.62,125.18,120.33
02/05/2026,119.6,"2,493,965",121.83,122.83,118.865
02/04/2026,121.83,"2,790,407",117.55,121.9099,117.55
02/03/2026,119.69,"3,544,343",117.4,121.29,116.05
02/02/2026,117.22,"2,538,075",118.09,118.445,116.05
01/30/2026,117.59,"3,275,428",116.02,117.97,116.02
01/29/2026,117.31,"3,131,489",119.73,120.83,116.65
01/28/2026,119.1,"3,332,371",121.19,121.55,118.1045
01/27/2026,121.84,"4,705,190",125.69,126.015,121.23
01/26/2026,125.4,"3,863,082",129.26,129.79,125.1
01/23/2026,128.92,"3,349,596",127.53,129.35,125.5
01/22/2026,126.79,"5,045,506",131.95,133.0,125.31
01/21/2026,132.94,"4,069,382",131.8,133.51,128.89
01/20/2026,134.06,"3,061,733",139.87,140.18,133.44
01/16/2026,139.95,"2,205,300",141.32,141.85,138.51
01/15/2026,141.21,"2,585,954",140.24,142.4,138.43
01/14/2026,140.29,"2,945,849",137.28,140.6,137.115
01/13/2026,137.37,"3,470,010",136.72,138.465,136.03
01/12/2026,137.24,"2,877,337",131.76,137.4,130.62
01/09/2026,132.38,"2,547,196",130.77,132.75,129.64
01/08/2026,131.61,"3,170,694",131.48,133.1,131.0
01/07/2026,131.56,"2,492,347",134.0,134.16,130.65
01/06/2026,133.78,"4,135,376",129.25,135.18,129.09
01/05/2026,128.57,"2,249,591",128.0,129.62,125.885
01/02/2026,127.7,"2,795,371",122.7,128.95,122.7
12/31/2025,123.01,"1,590,550",123.28,124.37,122.8006
12/30/2025,124.02,"1,646,069",122.86,124.75,122.14
12/29/2025,123.93,"2,546,585",123.24,125.5,123.24
12/26/2025,123.95,"1,894,192",122.0,124.46,121.01
12/24/2025,122.01,"1,304,490",120.05,122.59,119.2
12/23/2025,119.53,"3,337,981",122.49,123.08,119.05
12/22/2025,122.49,"4,266,826",128.61,128.61,121.89
12/19/2025,127.84,"6,133,534",126.264,127.86,125.58
12/18/2025,126.9,"2,771,013",129.48,130.65,126.18
12/17/2025,128.35,"3,911,946",131.57,131.75,127.19
12/16/2025,131.15,"3,377,271",130.66,132.48,130.46
12/15/2025,131.17,"2,238,168",131.295,132.43,130.24
12/12/2025,129.87,"2,506,212",130.2,130.595,127.735
12/11/2025,129.97,"3,006,421",123.96,130.53,123.3851
12/10/2025,124.24,"2,550,428",120.01,124.47,119.5001
