date,close,volume,open,high,low
05/15/2026,19.36,"12,907,930",19.43,19.605,19.25
05/14/2026,19.56,"6,205,344",19.69,19.91,19.505
05/13/2026,19.55,"10,299,360",19.62,19.71,19.28
05/12/2026,19.78,"6,594,164",19.81,19.83,19.34
05/11/2026,19.76,"8,468,029",19.55,19.85,19.5
05/08/2026,19.64,"7,229,218",19.69,19.87,19.345
05/07/2026,19.66,"15,362,820",19.5,19.66,18.91
05/06/2026,19.5,"28,533,640",16.96,19.635,16.83
05/05/2026,16.51,"7,762,590",16.31,16.575,16.175
05/04/2026,16.29,"9,034,896",16.26,16.605,16.14
05/01/2026,16.42,"9,556,037",16.18,16.515,16.065
04/30/2026,16.17,"9,296,596",16.01,16.25,15.98
04/29/2026,15.99,"7,908,951",15.94,16.205,15.935
04/28/2026,16.05,"9,964,719",16.23,16.34,15.7
04/27/2026,16.2,"6,009,154",16.47,16.645,16.11
04/24/2026,16.43,"8,274,870",16.4,16.565,16.19
04/23/2026,16.41,"10,060,380",16.38,16.47,16.01
04/22/2026,16.33,"6,623,504",16.58,16.64,16.26
04/21/2026,16.47,"7,528,155",17.08,17.08,16.42
04/20/2026,17.1,"6,084,896",17.27,17.39,17.1
04/17/2026,17.37,"7,852,224",17.02,17.43,17.02
04/16/2026,17.18,"6,791,616",17.25,17.3962,17.05
04/15/2026,17.2,"6,447,418",16.87,17.23,16.8
04/14/2026,16.87,"6,382,589",16.5,16.93,16.45
04/13/2026,16.5,"6,952,535",16.65,16.77,16.405
04/10/2026,16.74,"5,205,098",16.71,17.04,16.62
04/09/2026,16.69,"7,240,411",16.59,16.74,16.46
04/08/2026,16.68,"9,930,341",17.02,17.05,16.67
04/07/2026,16.88,"10,392,130",16.65,17.0699,16.65
04/06/2026,16.67,"9,263,513",16.37,16.795,16.3
04/02/2026,16.52,"8,628,067",16.32,16.57,16.05
04/01/2026,16.38,"11,539,180",16.4,16.5,15.9905
03/31/2026,16.43,"13,177,160",16.85,16.89,16.36
03/30/2026,16.55,"7,037,102",16.81,16.86,16.485
03/27/2026,16.59,"8,943,706",16.78,16.81,16.46
03/26/2026,16.79,"6,594,566",16.725,17.13,16.72
03/25/2026,16.81,"8,250,787",16.74,16.97,16.555
03/24/2026,16.7,"8,096,097",17.07,17.28,16.655
03/23/2026,17.17,"9,589,257",17.32,17.41,17.11
03/20/2026,17.05,"13,755,090",17.61,17.66,16.98
03/19/2026,17.73,"10,058,050",17.38,17.85,17.35
03/18/2026,17.39,"6,932,134",17.58,17.725,17.39
03/17/2026,17.65,"9,899,093",17.42,17.78,17.37
03/16/2026,17.36,"7,287,195",17.14,17.43,17.05
03/13/2026,16.98,"6,898,713",17.18,17.3,16.875
03/12/2026,16.9,"6,239,311",17.06,17.1466,16.87
03/11/2026,17.07,"5,093,265",17.32,17.345,16.94
03/10/2026,17.4,"5,382,672",17.4,17.495,17.24
03/09/2026,17.42,"5,853,209",17.0,17.495,16.81
03/06/2026,17.28,"5,051,339",17.11,17.38,16.96
03/05/2026,17.41,"5,083,296",17.4,17.58,17.23
03/04/2026,17.65,"6,920,552",17.5,17.66,17.24
03/03/2026,17.49,"6,621,945",17.36,17.645,17.025
03/02/2026,17.63,"5,952,222",17.48,17.715,17.27
02/27/2026,17.68,"13,324,650",17.52,17.95,17.48
02/26/2026,17.51,"6,097,743",17.55,17.695,17.455
02/25/2026,17.51,"5,856,710",17.31,17.51,17.05
02/24/2026,17.25,"6,295,082",17.31,17.5,17.19
02/23/2026,17.3,"10,218,840",16.96,17.555,16.96
02/20/2026,16.99,"17,983,660",17.08,17.12,16.755
02/19/2026,17.06,"5,982,907",17.2,17.37,16.985
02/18/2026,17.12,"8,566,188",17.18,17.31,17.04
02/17/2026,17.22,"10,597,040",16.82,17.3,16.71
02/13/2026,16.7,"9,436,620",16.3,16.8,16.28
02/12/2026,16.28,"17,058,600",17.0,17.14,16.19
02/11/2026,16.96,"16,077,100",17.18,17.2,16.85
02/10/2026,17.0,"8,385,638",16.93,17.18,16.87
02/09/2026,16.84,"5,709,302",16.82,16.9,16.595
02/06/2026,16.85,"8,340,275",16.73,16.945,16.645
02/05/2026,16.68,"10,183,090",16.78,17.15,16.665
02/04/2026,16.78,"14,579,330",16.51,16.81,16.22
02/03/2026,16.45,"19,364,800",16.5,16.8,16.3135
02/02/2026,16.92,"11,699,950",17.18,17.3172,16.825
01/30/2026,17.24,"12,420,060",17.19,17.255,16.86
01/29/2026,17.14,"12,287,650",17.26,17.38,17.01
01/28/2026,17.15,"9,947,768",17.76,17.765,17.11
01/27/2026,17.71,"8,353,061",17.74,17.84,17.44
01/26/2026,17.76,"7,475,908",18.14,18.19,17.67
01/23/2026,18.08,"7,993,749",17.79,18.12,17.64
01/22/2026,17.79,"10,093,970",17.93,18.03,17.68
01/21/2026,17.91,"9,130,212",17.92,17.9799,17.61
01/20/2026,17.83,"8,748,500",17.63,17.91,17.42
01/16/2026,17.83,"9,291,275",17.34,17.84,17.3
01/15/2026,17.55,"7,798,743",17.35,17.57,17.28
01/14/2026,17.26,"8,396,393",16.95,17.27,16.745
01/13/2026,16.94,"7,234,827",16.8,16.995,16.685
01/12/2026,16.81,"10,035,650",16.8,16.985,16.66
01/09/2026,16.71,"7,963,536",17.09,17.13,16.71
01/08/2026,17.04,"10,608,740",16.88,17.08,16.605
01/07/2026,16.94,"14,679,230",16.68,17.335,16.64
01/06/2026,16.5,"12,198,980",16.35,16.525,16.31
01/05/2026,16.39,"12,587,060",16.2,16.645,16.0701
01/02/2026,16.2,"6,717,601",16.04,16.205,15.86
12/31/2025,16.08,"4,843,321",16.18,16.18,16.01
12/30/2025,16.18,"6,528,381",16.08,16.22,16.035
12/29/2025,16.06,"7,378,952",16.12,16.29,16.04
12/26/2025,16.11,"4,654,051",16.0,16.125,15.9515
12/24/2025,16.03,"5,908,685",15.77,16.05,15.74
12/23/2025,15.78,"8,944,840",15.98,16.0,15.71
12/22/2025,16.04,"8,030,271",16.0,16.09,15.93
12/19/2025,15.99,"12,357,220",16.24,16.3,15.98
12/18/2025,16.41,"7,127,594",16.52,16.57,16.38
12/17/2025,16.4,"7,696,581",16.36,16.62,16.34
12/16/2025,16.36,"10,227,890",16.48,16.66,16.305
12/15/2025,16.66,"6,362,917",16.69,16.84,16.57
12/12/2025,16.62,"6,177,726",16.67,16.89,16.55
12/11/2025,16.68,"9,503,254",16.61,16.84,16.44
12/10/2025,16.63,"9,385,119",16.52,16.8,16.46
12/09/2025,16.49,"6,556,988",16.75,16.94,16.45
12/08/2025,16.74,"7,187,187",17.0,17.025,16.73
12/05/2025,17.02,"6,358,031",17.15,17.2355,17.0
12/04/2025,17.18,"7,564,351",17.25,17.37,17.15
12/03/2025,17.29,"11,667,810",17.97,18.09,17.24
12/02/2025,18.04,"6,451,363",18.22,18.2606,17.795
12/01/2025,18.19,"8,498,767",18.15,18.27,18.06
11/28/2025,18.26,"2,231,391",18.19,18.3,18.18
11/26/2025,18.22,"4,694,605",18.05,18.35,18.02
11/25/2025,18.11,"4,493,299",17.95,18.2,17.8
11/24/2025,17.85,"7,463,446",17.84,18.015,17.81
11/21/2025,17.84,"7,124,699",17.51,17.975,17.43
11/20/2025,17.4,"5,829,506",17.75,17.88,17.38
11/19/2025,17.61,"6,022,001",17.72,17.81,17.57
11/18/2025,17.69,"7,813,999",17.33,17.71,17.28
11/17/2025,17.29,"6,602,237",17.41,17.6,17.23
11/14/2025,17.35,"6,239,627",17.39,17.49,17.3144
11/13/2025,17.51,"5,445,497",17.64,17.725,17.45
11/12/2025,17.64,"5,461,088",17.8,17.89,17.6
11/11/2025,17.9,"4,867,014",17.8,17.96,17.63
11/10/2025,17.7,"7,303,679",17.84,17.92,17.59
11/07/2025,17.82,"8,175,835",17.63,17.86,17.61
11/06/2025,17.56,"6,366,546",17.9,18.02,17.55
11/05/2025,17.87,"9,467,972",17.66,17.945,17.57
11/04/2025,17.54,"7,384,001",17.69,17.76,17.455
11/03/2025,17.69,"9,033,488",17.71,17.82,17.47
10/31/2025,17.95,"9,652,641",17.55,18.05,17.39
10/30/2025,17.57,"9,628,643",17.52,17.905,17.5
10/29/2025,17.58,"8,897,694",17.9,18.07,17.43
10/28/2025,18.03,"13,475,000",18.86,18.92,17.885
10/27/2025,19.06,"9,167,439",18.75,19.285,18.62
10/24/2025,18.76,"9,408,962",18.72,19.34,18.495
10/23/2025,18.54,"7,319,260",18.68,18.68,18.385
10/22/2025,18.62,"6,196,029",18.6,18.7522,18.49
10/21/2025,18.58,"4,811,453",18.75,18.79,18.54
10/20/2025,18.72,"4,308,825",18.67,18.8016,18.61
10/17/2025,18.55,"7,618,460",18.35,18.635,18.335
10/16/2025,18.45,"25,954,570",18.6,18.77,18.395
10/15/2025,18.51,"20,475,480",18.22,18.545,18.2
10/14/2025,18.14,"19,292,060",17.8,18.18,17.51
10/13/2025,17.96,"12,586,530",18.06,18.16,17.825
10/10/2025,18.05,"13,971,580",18.46,18.49,17.995
10/09/2025,18.45,"12,931,730",18.9,18.99,18.44
10/08/2025,18.85,"7,071,795",19.11,19.12,18.785
10/07/2025,19.14,"5,600,332",19.25,19.36,19.0812
10/06/2025,19.24,"5,176,600",19.39,19.48,19.23
10/03/2025,19.37,"5,611,912",19.29,19.68,19.26
10/02/2025,19.18,"5,134,344",19.15,19.21,18.965
10/01/2025,19.18,"5,571,540",19.07,19.235,19.01
09/30/2025,19.15,"6,917,698",19.08,19.2,18.93
09/29/2025,19.01,"6,897,694",18.95,19.2751,18.915
09/26/2025,18.94,"7,739,156",18.62,18.98,18.61
09/25/2025,18.54,"6,464,877",18.66,18.68,18.505
09/24/2025,18.65,"5,778,568",18.83,18.83,18.535
09/23/2025,18.89,"7,008,730",18.53,18.945,18.475
09/22/2025,18.5,"7,251,678",18.4,18.555,18.12
09/19/2025,18.47,"18,093,680",18.53,18.68,18.4
09/18/2025,18.57,"5,266,697",18.28,18.65,18.12
09/17/2025,18.21,"6,730,149",18.3,18.56,18.195
09/16/2025,18.23,"6,803,550",18.22,18.31,18.1
09/15/2025,18.25,"5,982,913",18.27,18.31,18.1235
09/12/2025,18.08,"4,343,618",18.15,18.2,18.0301
09/11/2025,18.14,"6,798,662",17.93,18.18,17.89
09/10/2025,17.95,"5,570,284",17.95,18.135,17.94
09/09/2025,18.06,"6,425,232",18.3,18.44,17.94
09/08/2025,18.3,"8,335,843",18.24,18.4999,18.145
09/05/2025,18.39,"5,903,754",18.16,18.415,18.065
09/04/2025,18.0,"4,876,022",17.82,18.02,17.71
09/03/2025,17.73,"5,895,238",17.86,18.06,17.71
09/02/2025,17.95,"5,553,965",17.86,17.98,17.795
08/29/2025,17.94,"5,435,957",17.87,17.975,17.81
08/28/2025,17.86,"4,611,744",17.98,18.0,17.665
08/27/2025,17.9,"5,569,266",17.57,17.92,17.55
08/26/2025,17.53,"9,520,006",17.6,17.65,17.355
08/25/2025,17.65,"6,117,886",17.78,17.805,17.595
08/22/2025,17.75,"8,698,843",17.38,17.9,17.375
08/21/2025,17.28,"5,651,285",17.11,17.305,17.09
08/20/2025,17.22,"9,673,208",17.18,17.45,17.06
08/19/2025,17.22,"6,258,668",17.16,17.35,17.04
08/18/2025,17.06,"5,136,708",17.25,17.34,17.035
08/15/2025,17.31,"6,202,323",17.05,17.35,17.02
08/14/2025,17.04,"5,526,426",16.95,17.17,16.88
08/13/2025,17.14,"7,554,626",17.04,17.15,16.86
08/12/2025,17.0,"8,527,774",16.86,17.01,16.63
08/11/2025,16.77,"5,985,605",17.0,17.09,16.72
08/08/2025,16.96,"7,199,482",16.96,17.09,16.83
08/07/2025,16.96,"4,854,141",16.97,17.08,16.81
08/06/2025,16.85,"7,309,185",17.25,17.27,16.8
08/05/2025,17.19,"6,476,575",16.98,17.22,16.9
08/04/2025,16.9,"9,180,370",16.83,16.955,16.7
08/01/2025,16.77,"12,918,840",17.09,17.255,16.72
07/31/2025,16.94,"10,396,310",17.14,17.2,16.89
07/30/2025,17.22,"10,665,520",17.4,17.7565,17.13
07/29/2025,17.37,"11,866,330",17.1,17.41,16.98
07/28/2025,17.26,"13,634,250",17.63,17.64,17.21
07/25/2025,17.6,"16,253,220",18.39,18.39,17.481
07/24/2025,18.87,"6,247,990",19.0,19.125,18.87
07/23/2025,19.05,"6,819,818",18.99,19.13,18.95
07/22/2025,18.99,"6,362,456",18.42,19.0,18.42
07/21/2025,18.4,"4,484,685",18.41,18.54,18.32
07/18/2025,18.32,"4,445,208",18.3,18.41,18.205
07/17/2025,18.36,"5,104,154",18.29,18.45,18.2
07/16/2025,18.26,"4,948,771",18.31,18.505,18.1
07/15/2025,18.23,"4,858,175",18.6,18.6,18.15
07/14/2025,18.54,"5,492,165",18.41,18.57,18.38
07/11/2025,18.45,"5,349,179",18.395,18.515,18.285
07/10/2025,18.54,"6,325,430",18.26,18.7,18.21
07/09/2025,18.26,"5,035,495",18.27,18.325,18.18
07/08/2025,18.21,"5,116,805",17.935,18.28,17.83
07/07/2025,17.98,"6,445,315",18.32,18.32,17.82
07/03/2025,18.22,"5,546,828",18.26,18.475,18.19
07/02/2025,18.31,"9,219,282",17.77,18.36,17.77
07/01/2025,17.88,"8,679,653",17.425,18.135,17.425
06/30/2025,17.51,"7,523,329",17.37,17.52,17.09
06/27/2025,17.36,"9,420,997",17.5,17.59,17.24
06/26/2025,17.48,"7,602,460",17.37,17.51,17.295
06/25/2025,17.31,"10,403,830",17.44,17.48,17.167
06/24/2025,17.49,"7,394,522",17.42,17.64,17.42
06/23/2025,17.49,"6,258,030",17.14,17.52,17.13
06/20/2025,17.1,"10,740,400",17.12,17.358,17.09
06/18/2025,17.05,"5,384,444",17.09,17.28,16.96
06/17/2025,17.01,"4,495,483",17.09,17.205,16.95
06/16/2025,17.14,"5,171,082",17.35,17.465,17.09
06/13/2025,17.38,"4,889,979",17.34,17.475,17.245
06/12/2025,17.5,"4,496,914",17.5,17.55,17.365
06/11/2025,17.51,"4,769,351",17.65,17.75,17.41
06/10/2025,17.6,"5,181,777",17.29,17.665,17.25
06/09/2025,17.27,"4,366,333",17.29,17.48,17.12
06/06/2025,17.26,"4,569,569",17.235,17.29,17.12
06/05/2025,17.08,"5,475,777",17.06,17.265,16.905
06/04/2025,17.1,"4,165,881",17.2,17.22,17.05
06/03/2025,17.15,"6,344,867",17.38,17.38,16.905
06/02/2025,17.41,"4,934,112",17.3,17.43,17.14
05/30/2025,17.41,"9,932,477",17.42,17.535,17.32
