date,close,volume,open,high,low
05/15/2026,302.29,"745,530",306.7,309.21,302.12
05/14/2026,304.01,"714,017",309.0,311.5,303.59
05/13/2026,308.48,"914,789",309.5,312.83,306.0
05/12/2026,310.16,"953,438",315.83,317.245,309.49
05/11/2026,313.22,"1,146,682",322.79,325.49,310.06
05/08/2026,323.48,"947,497",334.5422,334.9199,321.27
05/07/2026,332.53,"1,035,919",324.66,336.37,323.825
05/06/2026,324.66,"1,132,220",334.27,335.68,322.17
05/05/2026,331.73,"739,114",329.8,335.65,329.104
05/04/2026,330.42,"1,062,805",336.93,340.77,328.22
05/01/2026,337.77,"691,196",341.0,342.7,334.335
04/30/2026,339.42,"950,152",332.31,340.52,331.91
04/29/2026,332.31,"1,627,417",339.865,341.115,326.54
04/28/2026,340.46,"1,669,400",338.305,345.2222,335.02
04/27/2026,335.3,"4,092,213",341.47,344.01,328.74
04/24/2026,367.83,"1,381,214",369.19,375.42,366.89
04/23/2026,372.39,"846,941",367.375,372.75,364.0
04/22/2026,365.93,"543,083",369.93,373.09,365.855
04/21/2026,369.2,"561,106",369.66,371.99,366.765
04/20/2026,369.46,"662,798",371.82,372.17,367.38
04/17/2026,372.06,"690,053",370.53,376.99,369.0
04/16/2026,369.0,"711,991",367.9,372.0,366.25
04/15/2026,368.07,"644,580",369.17,370.0,365.45
04/14/2026,369.17,"597,248",367.5,377.1038,367.5
04/13/2026,368.83,"801,552",365.39,370.1,362.32
04/10/2026,365.95,"529,638",372.36,373.0,364.17
04/09/2026,373.3,"641,178",372.92,376.43,372.0
04/08/2026,376.24,"619,239",371.61,376.95,368.91
04/07/2026,368.15,"912,846",381.15,381.725,367.39
04/06/2026,380.77,"1,099,175",369.26,382.13,368.81
04/02/2026,370.82,"995,879",362.4,372.215,358.0
04/01/2026,361.54,"982,765",359.035,362.48,351.625
03/31/2026,358.79,"1,150,001",354.12,361.72,349.5701
03/30/2026,352.94,"1,252,911",348.14,354.83,346.31
03/27/2026,348.14,"897,015",358.0,358.875,346.39
03/26/2026,358.54,"1,202,320",362.75,364.77,356.99
03/25/2026,362.53,"943,495",362.7,364.51,359.06
03/24/2026,360.09,"880,380",366.27,366.79,359.67
03/23/2026,366.8,"1,131,046",373.28,377.08,363.42
03/20/2026,373.35,"1,262,206",373.43,375.13,365.1
03/19/2026,375.3,"1,052,718",375.07,380.2,372.25
03/18/2026,376.92,"1,381,058",392.63,393.83,376.01
03/17/2026,396.18,"965,107",393.0,398.18,391.44
03/16/2026,392.27,"1,052,270",400.49,402.17,392.0
03/13/2026,401.625,"982,583",396.175,403.48,394.7149
03/12/2026,395.98,"1,161,240",391.69,397.06,389.0475
03/11/2026,393.29,"1,221,766",399.6,399.71,391.3122
03/10/2026,400.52,"1,336,164",412.14,412.505,399.8244
03/09/2026,415.78,"1,099,601",405.95,416.59,398.94
03/06/2026,408.41,"775,499",401.0,410.7813,395.0
03/05/2026,402.7,"759,625",405.48,407.68,400.24
03/04/2026,406.62,"718,385",409.1,411.9999,406.33
03/03/2026,408.38,"807,072",395.6,410.21,394.82
03/02/2026,401.37,"1,026,284",397.53,404.835,394.0
02/27/2026,402.51,"808,755",397.57,405.12,393.19
02/26/2026,399.29,"1,298,843",407.285,407.285,395.96
02/25/2026,403.94,"1,113,327",413.27,413.7999,402.51
02/24/2026,414.2,"1,385,875",402.75,417.72,402.33
