date,close,volume,open,high,low
05/15/2026,195.89,"805,298",195.57,196.99,194.055
05/14/2026,194.61,"742,941",194.21,197.105,193.12
05/13/2026,192.81,"1,381,569",198.21,198.44,190.13
05/12/2026,199.12,"1,338,123",197.19,202.8699,196.08
05/11/2026,195.8,"1,039,982",196.1,197.5199,193.71
05/08/2026,196.23,"877,604",199.62,201.0399,194.95
05/07/2026,195.17,"1,067,199",193.45,195.86,190.005
05/06/2026,195.7,"975,109",198.28,199.58,194.916
05/05/2026,194.5,"754,756",192.14,196.68,191.1901
05/04/2026,192.09,"974,884",194.57,195.93,190.01
05/01/2026,194.76,"1,121,143",200.74,202.77,192.12
04/30/2026,200.56,"789,220",198.2,201.07,197.01
04/29/2026,196.29,"767,444",196.17,199.53,195.775
04/28/2026,196.51,"710,080",199.67,200.17,195.91
04/27/2026,198.7,"892,582",200.93,202.08,198.0
04/24/2026,201.06,"909,807",201.04,202.8399,199.45
04/23/2026,202.34,"1,763,416",201.39,204.55,200.34
04/22/2026,199.73,"1,271,612",197.19,200.09,197.12
04/21/2026,196.95,"885,305",202.38,202.38,196.02
04/20/2026,201.85,"938,784",200.33,202.77,199.12
04/17/2026,201.07,"1,062,463",198.66,203.9,198.225
04/16/2026,196.66,"1,218,936",199.36,200.45,195.71
04/15/2026,199.68,"1,564,852",197.95,202.3,196.73
04/14/2026,197.98,"1,817,340",191.45,198.67,191.45
04/13/2026,191.89,"1,583,413",191.38,191.92,186.905
04/10/2026,192.39,"1,235,435",194.68,196.05,191.41
04/09/2026,196.34,"1,231,930",195.29,198.09,194.655
04/08/2026,195.65,"1,936,234",194.59,198.52,193.99
04/07/2026,190.63,"1,162,252",196.17,197.31,190.32
04/06/2026,196.57,"966,909",195.04,196.6,194.45
04/02/2026,196.33,"1,255,094",191.68,197.035,190.22
04/01/2026,193.06,"1,376,839",195.75,197.28,193.04
03/31/2026,196.04,"1,132,738",197.2,198.61,193.25
03/30/2026,195.05,"1,122,440",193.43,195.9154,192.375
03/27/2026,192.49,"1,452,103",198.0,199.0,191.676
03/26/2026,198.87,"901,431",200.89,202.63,197.93
03/25/2026,201.66,"1,287,040",199.96,201.77,196.08
03/24/2026,200.52,"1,709,586",195.06,201.3,194.38
03/23/2026,195.97,"1,776,333",206.06,206.755,195.84
03/20/2026,203.05,"5,472,484",205.13,208.0,201.78
03/19/2026,204.42,"3,293,851",195.72,206.75,195.69
03/18/2026,200.71,"2,157,125",202.46,204.0,199.34
03/17/2026,203.86,"1,732,511",207.97,210.98,203.73
03/16/2026,206.69,"1,694,083",205.44,207.8,203.9501
03/13/2026,202.37,"1,114,753",201.41,203.92,199.96
03/12/2026,198.43,"1,327,444",201.44,203.14,198.23
03/11/2026,203.44,"1,274,974",203.22,207.52,202.0401
03/10/2026,203.47,"1,064,172",199.37,204.83,199.07
