date,close,volume,open,high,low
05/15/2026,120.95,"3,832,094",122.95,123.26,120.9
05/14/2026,124.31,"2,483,056",123.9,124.4,123.41
05/13/2026,123.9,"3,404,378",123.99,124.53,122.84
05/12/2026,125.07,"3,338,335",125.0,125.83,123.85
05/11/2026,124.9,"2,256,386",124.53,125.36,124.38
05/08/2026,124.17,"2,586,104",125.04,125.69,123.425
05/07/2026,124.87,"3,296,394",125.0,125.1,124.05
05/06/2026,125.54,"5,946,957",127.04,127.49,124.995
05/05/2026,127.58,"3,994,391",128.9,129.29,127.56
05/04/2026,127.45,"3,365,786",128.0,129.0,126.75
05/01/2026,128.6,"2,578,998",129.44,130.7,128.59
04/30/2026,129.55,"3,799,645",127.03,129.84,126.11
04/29/2026,126.51,"2,322,113",127.31,127.94,126.35
04/28/2026,127.8,"2,167,016",128.47,128.6,127.095
04/27/2026,127.09,"2,322,748",127.66,128.34,126.86
04/24/2026,127.27,"2,399,805",127.79,128.245,126.77
04/23/2026,128.04,"2,624,842",126.4,128.315,126.0
04/22/2026,125.25,"3,053,316",126.75,127.26,124.9
04/21/2026,125.67,"2,842,766",128.47,128.5053,125.64
04/20/2026,127.86,"2,710,629",128.13,129.18,127.575
04/17/2026,128.03,"3,461,602",127.51,128.2,125.93
04/16/2026,128.63,"2,712,749",127.73,129.0071,127.12
04/15/2026,127.98,"3,295,090",129.25,129.25,127.93
04/14/2026,129.78,"2,506,530",129.85,130.1,128.38
04/13/2026,130.4,"3,580,020",131.83,132.12,129.75
04/10/2026,131.79,"2,758,891",132.41,133.52,131.79
04/09/2026,133.0,"3,118,810",131.28,134.13,131.28
04/08/2026,131.6,"3,716,796",130.32,131.66,129.46
04/07/2026,131.82,"2,563,318",131.5,132.88,131.15
04/06/2026,131.41,"2,819,877",131.63,132.7,131.0
04/02/2026,132.22,"3,720,737",131.9,133.03,130.9
04/01/2026,130.9,"4,314,934",130.43,131.87,129.86
03/31/2026,130.94,"5,376,255",132.66,132.66,129.75
03/30/2026,131.71,"3,968,866",131.45,132.71,131.065
03/27/2026,129.99,"4,797,797",129.55,131.21,129.02
03/26/2026,129.38,"3,182,301",128.33,129.875,127.895
03/25/2026,128.16,"3,369,120",128.2,129.0,127.18
03/24/2026,127.38,"4,423,818",126.98,129.089,126.85
03/23/2026,127.34,"4,320,716",127.92,128.115,126.95
03/20/2026,126.81,"7,644,784",130.43,130.54,126.77
03/19/2026,129.74,"5,543,056",130.75,131.41,128.88
03/18/2026,130.75,"3,454,698",132.31,132.635,130.7
03/17/2026,132.95,"3,948,836",134.28,134.49,132.79
03/16/2026,133.46,"4,974,222",133.85,134.27,133.05
03/13/2026,133.15,"4,710,196",132.49,134.12,132.49
03/12/2026,131.82,"5,842,331",130.0,133.2,129.96
03/11/2026,130.03,"4,249,915",129.5,130.5,129.155
03/10/2026,129.69,"8,176,640",129.5,130.69,128.55
03/09/2026,131.08,"7,057,215",131.86,132.48,130.54
03/06/2026,132.5,"5,040,992",131.4,132.63,130.23
03/05/2026,131.61,"4,860,826",131.01,131.73,129.53
03/04/2026,131.88,"3,702,772",131.5,132.655,130.56
03/03/2026,131.43,"3,579,793",130.85,132.3,128.49
03/02/2026,131.63,"5,034,368",131.0,132.2,130.55
02/27/2026,130.85,"4,691,665",129.87,131.57,129.295
02/26/2026,129.23,"3,738,200",129.27,129.8,128.24
02/25/2026,128.93,"3,854,303",128.08,129.17,126.2841
02/24/2026,128.46,"4,232,204",127.86,128.565,126.52
02/23/2026,127.79,"4,891,378",126.83,128.61,126.805
02/20/2026,126.78,"5,039,572",127.18,127.31,125.08
02/19/2026,126.37,"5,483,566",125.64,126.76,125.3
02/18/2026,125.24,"4,111,677",126.9,126.9,124.78
02/17/2026,126.71,"4,252,985",128.5,129.0,126.17
02/13/2026,128.2,"5,569,375",125.11,128.26,124.975
02/12/2026,126.11,"7,094,971",125.4,128.085,125.31
02/11/2026,125.2,"5,980,266",124.27,125.4,122.92
02/10/2026,123.64,"6,609,052",122.2,124.365,120.46
02/09/2026,121.72,"4,288,537",121.49,122.06,120.78
02/06/2026,121.86,"4,412,237",124.0,124.28,121.34
02/05/2026,123.41,"4,224,130",123.025,124.05,122.43
02/04/2026,122.21,"5,679,747",122.44,123.35,121.61
02/03/2026,121.67,"4,169,289",119.48,121.9,119.48
02/02/2026,119.49,"4,272,958",121.46,122.0,119.0365
01/30/2026,121.35,"5,603,156",120.72,121.43,120.1
01/29/2026,120.89,"4,298,358",120.38,121.74,120.29
01/28/2026,120.24,"4,463,690",120.2,121.1,119.6
01/27/2026,120.29,"4,813,167",118.78,120.32,118.2
01/26/2026,118.78,"3,955,560",118.16,119.7,118.0101
01/23/2026,117.43,"4,491,029",117.89,117.94,116.25
01/22/2026,117.71,"3,807,207",119.15,119.51,117.62
01/21/2026,119.37,"4,751,758",120.19,120.8399,118.455
01/20/2026,119.55,"4,595,325",119.07,119.6466,118.1
01/16/2026,119.22,"4,500,069",118.5,119.4,117.86
01/15/2026,118.9,"3,716,377",118.63,119.41,118.45
01/14/2026,118.68,"4,555,065",117.57,119.29,117.35
01/13/2026,117.39,"3,284,132",116.48,117.56,115.98
01/12/2026,116.71,"3,007,805",116.77,117.49,116.27
01/09/2026,116.8,"2,885,014",117.39,118.26,116.76
01/08/2026,117.32,"3,214,131",116.51,118.6,116.19
01/07/2026,116.19,"3,227,807",118.12,118.3,115.95
01/06/2026,117.74,"3,303,698",116.76,117.91,116.4
01/05/2026,116.81,"4,310,560",117.0,117.0,115.1
01/02/2026,117.44,"2,619,778",117.18,118.07,116.38
12/31/2025,117.21,"1,973,886",117.7,117.8074,117.1
12/30/2025,117.68,"1,835,231",117.59,117.94,117.25
12/29/2025,117.52,"2,489,135",117.3,118.03,117.08
12/26/2025,117.18,"1,440,329",117.16,117.8,116.7701
12/24/2025,117.48,"1,060,648",117.19,117.51,116.82
12/23/2025,116.79,"3,627,782",116.37,117.19,116.12
12/22/2025,116.3,"2,477,207",115.3,116.46,115.0
