date,close,volume,open,high,low
05/15/2026,199.74,"700,063",193.67,199.9,191.57
05/14/2026,192.58,"867,709",197.12,198.8,191.62
05/13/2026,198.1,"638,554",201.1,201.93,196.88
05/12/2026,200.54,"1,374,495",197.5,202.69,195.3301
05/11/2026,198.93,"1,106,603",200.83,202.13,196.93
05/08/2026,198.65,"1,127,109",196.595,199.27,193.85
05/07/2026,196.26,"1,817,681",194.32,197.08,187.04
05/06/2026,193.88,"2,940,976",169.28,194.29,169.28
05/05/2026,157.04,"1,997,962",151.01,157.93,148.0
05/04/2026,154.08,"875,885",151.67,156.7,151.67
05/01/2026,151.65,"579,442",154.87,155.84,151.27
04/30/2026,155.14,"741,946",151.4,155.18,149.59
04/29/2026,151.99,"822,325",149.61,153.7,149.35
04/28/2026,150.07,"466,373",151.76,152.075,149.915
04/27/2026,150.05,"463,840",152.31,153.69,149.775
04/24/2026,151.85,"680,976",154.42,154.45,149.99
04/23/2026,155.03,"606,356",153.0,156.15,153.0
04/22/2026,152.42,"540,556",149.99,152.52,149.41
04/21/2026,149.9,"461,932",150.3,151.51,149.46
04/20/2026,149.33,"454,166",147.06,149.83,147.06
04/17/2026,147.91,"627,180",147.49,149.485,146.6
04/16/2026,148.13,"779,518",145.02,148.79,145.02
04/15/2026,144.57,"844,423",148.61,149.32,143.07
04/14/2026,149.45,"448,958",150.79,151.96,149.1
04/13/2026,151.56,"411,562",149.76,151.96,148.82
04/10/2026,150.05,"456,096",150.46,151.3,149.26
04/09/2026,150.68,"556,096",147.88,151.61,147.88
04/08/2026,148.44,"737,387",151.31,152.995,148.29
04/07/2026,149.7,"652,639",150.67,151.635,148.91
04/06/2026,150.12,"640,486",144.76,150.22,144.76
04/02/2026,145.58,"1,141,552",150.22,151.19,144.77
04/01/2026,150.34,"978,180",152.84,153.72,150.32
03/31/2026,153.69,"852,779",153.45,155.0,152.08
03/30/2026,152.37,"623,405",155.34,155.34,152.23
03/27/2026,154.43,"575,055",157.01,157.01,153.83
03/26/2026,156.76,"591,832",155.17,157.18,154.5927
03/25/2026,155.11,"539,380",153.57,155.61,152.06
03/24/2026,153.28,"586,639",152.2,154.69,151.45
03/23/2026,152.21,"727,967",152.5,153.14,150.71
03/20/2026,149.31,"2,285,946",148.87,152.485,148.87
03/19/2026,149.76,"745,601",149.79,152.18,148.83
03/18/2026,148.83,"858,886",150.0,152.26,148.81
03/17/2026,149.98,"762,952",149.1,152.43,149.1
03/16/2026,148.22,"1,040,827",150.0,151.8025,147.76
03/13/2026,150.72,"1,271,441",153.08,153.77,146.09
03/12/2026,153.06,"1,329,006",153.86,157.2,152.305
03/11/2026,154.81,"1,271,695",150.1,155.45,148.81
03/10/2026,151.55,"662,613",151.9,154.18,149.87
03/09/2026,152.56,"1,042,490",150.0,153.41,147.21
03/06/2026,150.76,"803,276",150.27,151.33,147.47
03/05/2026,149.94,"876,472",152.59,152.84,148.13
03/04/2026,154.79,"542,550",152.41,155.295,150.51
03/03/2026,152.27,"637,280",151.76,152.855,148.52
03/02/2026,153.98,"978,718",155.07,159.42,153.79
02/27/2026,156.3,"1,080,903",152.03,157.91,151.865
02/26/2026,152.54,"893,337",149.72,153.23,149.72
02/25/2026,149.51,"802,425",151.35,152.495,146.0
02/24/2026,150.91,"697,072",150.5,151.39,146.6701
02/23/2026,151.28,"616,270",152.51,154.5,150.3
02/20/2026,150.73,"883,628",147.91,151.505,147.6
02/19/2026,147.34,"629,659",148.03,148.76,146.505
02/18/2026,147.75,"719,276",149.71,150.41,146.08
02/17/2026,150.41,"1,035,575",149.35,152.67,149.2
02/13/2026,148.95,"1,125,251",148.05,149.95,146.335
02/12/2026,149.97,"1,836,337",144.34,152.76,144.34
02/11/2026,144.27,"1,151,081",139.89,145.2,139.21
02/10/2026,139.28,"865,447",138.86,141.56,138.55
02/09/2026,137.64,"1,488,322",140.0,141.5,136.19
02/06/2026,140.83,"2,255,255",149.0,151.42,139.54
02/05/2026,149.22,"2,227,383",143.68,150.445,142.5101
02/04/2026,142.06,"3,046,226",136.06,147.6,135.9
02/03/2026,134.73,"4,809,663",128.0,139.86,125.0
02/02/2026,111.19,"2,443,007",109.06,111.33,108.875
01/30/2026,109.34,"1,104,218",107.12,109.5,105.41
01/29/2026,107.24,"1,145,242",106.0,107.76,105.51
01/28/2026,105.88,"710,344",104.75,106.85,104.0596
01/27/2026,105.61,"750,165",106.79,106.955,105.03
01/26/2026,107.51,"583,317",108.4,108.61,106.7
01/23/2026,108.12,"1,026,569",108.64,109.16,107.395
01/22/2026,109.17,"904,357",107.33,110.425,107.2
01/21/2026,106.3,"970,493",103.9,106.69,103.9
01/20/2026,103.93,"925,471",103.91,105.115,103.475
01/16/2026,104.74,"654,324",104.94,106.32,104.2
01/15/2026,105.84,"949,317",103.25,106.38,102.26
01/14/2026,103.87,"2,113,957",104.0,104.855,101.0
01/13/2026,104.47,"1,085,307",110.0,110.1,104.24
01/12/2026,110.1,"566,249",111.49,111.715,109.59
01/09/2026,111.45,"904,666",113.0,113.505,108.6675
01/08/2026,112.59,"774,761",110.6,113.24,110.6
01/07/2026,111.01,"718,037",114.59,115.19,110.33
01/06/2026,114.72,"924,235",113.61,115.27,111.43
01/05/2026,113.94,"886,368",113.53,115.82,113.37
01/02/2026,114.51,"832,396",113.68,115.19,113.165
12/31/2025,113.61,"562,461",113.82,114.13,113.22
12/30/2025,113.82,"492,215",113.05,114.34,113.0
12/29/2025,113.5,"413,430",114.0,114.2219,112.54
12/26/2025,113.98,"575,354",113.87,114.5234,113.42
12/24/2025,114.41,"328,975",114.66,115.025,113.12
12/23/2025,114.72,"442,761",116.28,116.28,114.65
12/22/2025,116.51,"627,848",114.95,117.435,114.7
12/19/2025,115.2,"1,883,053",115.75,116.53,114.65
12/18/2025,116.15,"636,759",118.51,118.675,115.3701
12/17/2025,118.42,"692,176",117.78,120.08,117.5
12/16/2025,117.94,"820,679",120.48,120.61,117.665
12/15/2025,120.05,"1,048,309",121.78,122.4,118.52
12/12/2025,121.35,"775,882",121.11,121.75,120.68
12/11/2025,120.33,"1,045,590",119.38,122.61,117.62
12/10/2025,118.68,"969,423",116.95,119.36,116.32
12/09/2025,116.67,"573,742",117.11,117.622,116.0
12/08/2025,117.05,"688,125",117.1,117.9,115.91
12/05/2025,117.39,"620,142",117.54,118.72,117.16
12/04/2025,117.28,"660,847",118.09,118.5,116.39
12/03/2025,118.25,"722,367",119.23,120.37,117.84
12/02/2025,119.18,"855,569",119.13,120.59,118.0
12/01/2025,119.24,"831,034",119.52,120.6,118.665
11/28/2025,119.68,"503,451",120.1,120.5,119.6
11/26/2025,120.1,"536,757",121.33,122.16,119.89
11/25/2025,121.37,"716,443",120.55,121.88,119.53
11/24/2025,119.49,"4,939,388",120.5,122.26,119.04
11/21/2025,120.25,"1,096,069",116.02,121.5,115.78
11/20/2025,115.35,"773,699",115.3,116.77,114.1125
11/19/2025,115.2,"767,229",116.89,116.89,113.97
11/18/2025,116.56,"788,396",116.75,117.72,115.69
11/17/2025,117.27,"939,088",121.55,121.8,116.72
11/14/2025,121.55,"684,479",123.4,123.4,121.51
11/13/2025,123.05,"728,985",122.67,124.86,122.615
11/12/2025,123.6,"919,628",121.99,125.68,121.97
11/11/2025,122.27,"947,768",120.61,124.1,120.37
11/10/2025,120.17,"1,044,811",121.5,121.7775,118.75
11/07/2025,123.69,"956,290",121.43,123.79,120.92
11/06/2025,121.53,"963,066",120.99,122.19,120.48
11/05/2025,121.16,"936,632",119.69,121.87,119.245
11/04/2025,119.97,"1,339,692",118.81,120.78,118.3245
11/03/2025,119.05,"1,364,059",118.0,119.06,115.64
10/31/2025,119.02,"1,373,196",118.34,119.54,115.39
10/30/2025,118.75,"2,541,074",124.87,128.3963,117.73
10/29/2025,126.56,"1,567,537",129.07,130.82,126.04
10/28/2025,129.61,"544,296",129.55,130.7527,128.28
10/27/2025,129.55,"541,992",129.17,129.77,128.69
10/24/2025,129.19,"699,259",129.29,130.47,128.48
10/23/2025,128.02,"537,277",128.21,128.36,126.57
10/22/2025,129.08,"606,933",128.45,130.245,128.161
10/21/2025,128.41,"372,544",128.09,129.105,127.2807
10/20/2025,128.05,"489,399",126.43,128.48,125.655
10/17/2025,125.88,"391,327",125.37,126.27,124.6
10/16/2025,125.25,"542,220",126.0,126.94,124.76
10/15/2025,126.0,"814,739",125.49,127.92,124.8708
10/14/2025,126.62,"738,846",123.46,126.95,123.095
10/13/2025,123.91,"455,140",124.1,124.6,122.925
10/10/2025,123.99,"595,281",126.88,126.94,123.13
10/09/2025,126.38,"686,694",128.59,128.885,126.31
10/08/2025,127.89,"660,753",131.26,131.26,127.43
10/07/2025,131.04,"659,338",129.41,131.84,129.175
10/06/2025,128.14,"753,870",130.66,131.155,127.88
10/03/2025,131.16,"777,388",132.6,133.2179,130.86
