date,close,volume,open,high,low
05/15/2026,49.49,"16,485,720",47.88,49.56,47.74
05/14/2026,47.24,"10,112,860",46.44,47.405,46.3807
05/13/2026,46.9,"14,414,370",46.6,47.03,45.99
05/12/2026,46.77,"14,734,160",46.79,47.245,46.38
05/11/2026,46.73,"16,317,270",46.41,46.99,46.2
05/08/2026,45.61,"15,147,820",46.0,46.3686,45.175
05/07/2026,45.31,"26,624,590",45.67,45.855,44.2
05/06/2026,46.6,"41,051,280",47.5,48.74,46.45
05/05/2026,50.99,"14,916,610",51.24,51.95,50.67
05/04/2026,51.26,"11,095,720",50.93,51.69,50.37
05/01/2026,50.56,"9,504,621",51.18,51.18,49.59
04/30/2026,51.37,"9,691,692",50.11,51.445,49.68
04/29/2026,51.08,"17,092,760",50.075,51.3,49.891
04/28/2026,49.48,"13,961,870",49.14,49.765,48.77
04/27/2026,48.2,"8,762,550",48.3,48.985,47.815
04/24/2026,47.94,"10,876,980",47.93,48.15,47.455
04/23/2026,48.15,"11,194,710",47.57,48.5,47.36
04/22/2026,47.12,"12,758,090",46.0,47.315,45.965
04/21/2026,45.6,"11,074,090",44.94,45.725,44.51
04/20/2026,44.94,"10,121,260",44.81,45.275,44.38
04/17/2026,44.23,"22,821,020",43.34,44.265,41.92
04/16/2026,45.78,"7,603,960",45.25,46.31,45.19
04/15/2026,45.23,"7,743,728",45.05,45.69,44.73
04/14/2026,45.25,"12,501,440",46.63,46.8499,44.92
04/13/2026,47.27,"10,285,730",48.33,48.64,46.82
04/10/2026,47.79,"10,332,150",47.63,48.075,46.98
04/09/2026,47.88,"13,745,460",48.15,49.105,47.6
04/08/2026,47.91,"18,024,960",46.27,48.1,45.1
04/07/2026,49.95,"12,451,040",49.955,50.79,49.6
04/06/2026,49.65,"9,362,227",49.6,49.88,49.155
04/02/2026,49.49,"13,939,690",50.3,50.675,48.59
04/01/2026,48.59,"18,746,140",49.1,49.82,47.64
03/31/2026,50.32,"21,718,090",51.69,52.31,48.94
03/30/2026,51.52,"12,248,080",52.09,52.71,51.335
03/27/2026,52.07,"14,984,180",51.63,52.455,51.34
03/26/2026,51.35,"13,772,420",50.87,51.845,50.68
03/25/2026,50.41,"10,384,450",49.92,50.58,49.63
03/24/2026,50.27,"20,009,810",48.97,50.705,48.955
03/23/2026,48.49,"17,112,640",47.5,49.005,46.8
03/20/2026,48.66,"56,064,560",48.72,49.67,48.42
03/19/2026,48.79,"28,297,070",48.375,49.83,48.28
03/18/2026,48.16,"21,007,900",47.41,48.17,47.08
03/17/2026,47.42,"18,441,740",47.15,47.5,46.76
03/16/2026,46.65,"19,839,740",46.0,46.905,45.57
03/13/2026,46.25,"11,978,040",45.52,46.405,45.41
03/12/2026,46.19,"24,014,090",45.7,46.405,45.26
03/11/2026,45.36,"14,039,820",44.03,45.42,43.72
03/10/2026,43.7,"16,009,230",44.48,44.9303,43.43
03/09/2026,44.82,"25,647,010",45.2,46.0,44.18
03/06/2026,44.48,"13,017,270",44.93,45.47,44.185
03/05/2026,44.52,"18,760,130",44.16,44.88,44.02
03/04/2026,43.49,"10,755,840",43.53,43.98,42.7
03/03/2026,44.0,"16,514,660",45.25,45.47,43.615
03/02/2026,44.95,"16,801,940",45.555,45.555,43.815
02/27/2026,43.53,"9,521,430",43.31,43.79,42.7
02/26/2026,42.66,"8,897,189",42.15,43.315,41.74
02/25/2026,42.62,"6,757,720",43.45,43.495,42.225
02/24/2026,43.28,"9,065,320",43.83,43.84,42.715
02/23/2026,43.67,"8,751,069",44.4,44.9625,43.54
02/20/2026,44.39,"14,057,630",44.34,44.71,43.85
02/19/2026,44.66,"12,672,470",44.88,46.15,44.325
02/18/2026,44.44,"14,979,160",44.5,45.32,43.55
02/17/2026,44.04,"9,194,997",44.98,45.29,43.45
02/13/2026,44.66,"7,046,224",43.57,44.9,43.57
02/12/2026,43.96,"12,134,430",44.52,44.84,43.0003
02/11/2026,44.96,"9,523,985",44.0,45.02,43.94
02/10/2026,43.48,"5,965,007",43.45,43.55,42.89
02/09/2026,43.48,"7,810,760",43.66,44.015,43.37
02/06/2026,43.81,"11,221,910",43.31,44.0,43.09
02/05/2026,43.17,"12,912,700",42.82,43.4,41.955
02/04/2026,43.39,"21,828,910",41.93,43.68,41.84
02/03/2026,41.11,"24,035,010",40.24,41.5374,39.5
02/02/2026,40.14,"21,885,330",39.46,40.77,39.16
01/30/2026,40.21,"11,349,020",39.61,40.38,39.13
01/29/2026,39.94,"14,530,480",40.59,41.31,39.83
01/28/2026,39.83,"8,880,584",39.57,39.985,39.17
01/27/2026,39.45,"6,940,183",39.1,39.5701,38.87
01/26/2026,38.63,"6,015,961",39.27,39.38,38.11
01/23/2026,38.64,"7,445,827",38.74,39.19,38.42
01/22/2026,37.98,"8,722,288",37.71,37.99,36.95
01/21/2026,37.75,"8,628,131",37.17,38.4,37.095
01/20/2026,36.29,"9,111,680",36.42,37.075,36.1401
01/16/2026,36.2,"9,210,288",36.2,36.885,35.975
01/15/2026,36.32,"22,437,040",37.26,38.24,35.965
01/14/2026,37.92,"16,721,840",37.1,38.72,37.03
01/13/2026,36.84,"9,571,335",36.18,37.265,36.175
01/12/2026,35.72,"6,689,610",35.81,36.015,35.425
01/09/2026,35.76,"5,678,249",36.19,36.4,35.66
01/08/2026,36.09,"9,846,396",34.83,36.545,34.65
01/07/2026,34.47,"13,022,040",35.84,35.9,34.23
01/06/2026,35.89,"8,595,556",36.48,36.93,35.76
01/05/2026,36.55,"11,876,600",37.79,38.08,35.45
01/02/2026,37.87,"8,717,274",36.68,38.1877,36.49
12/31/2025,36.63,"3,917,608",36.86,36.94,36.46
12/30/2025,36.82,"4,940,320",36.49,36.9175,36.41
12/29/2025,36.18,"5,923,564",36.03,36.45,35.95
12/26/2025,35.67,"5,248,230",36.17,36.25,35.41
12/24/2025,36.2,"2,202,885",36.21,36.36,36.02
12/23/2025,36.34,"4,609,915",36.575,36.63,36.12
12/22/2025,36.43,"5,965,676",36.36,36.875,36.235
12/19/2025,35.84,"17,503,630",35.78,36.4,35.78
12/18/2025,35.72,"8,142,387",36.99,37.0,35.71
12/17/2025,36.95,"10,536,870",35.7,37.04,35.61
12/16/2025,35.09,"10,308,250",35.72,35.845,34.91
12/15/2025,36.17,"10,818,950",37.21,37.26,36.04
12/12/2025,37.52,"7,109,069",38.14,38.285,37.4501
12/11/2025,37.54,"6,406,984",37.95,38.16,37.32
12/10/2025,38.41,"8,178,748",37.4,38.475,37.07
12/09/2025,37.4,"7,091,715",37.32,37.81,37.14
12/08/2025,37.57,"8,556,183",37.66,38.1751,37.125
12/05/2025,37.47,"7,670,786",37.58,38.2701,37.435
12/04/2025,37.71,"5,638,450",37.74,38.0,37.56
12/03/2025,37.69,"9,200,464",37.58,38.005,37.52
12/02/2025,37.26,"6,963,666",37.9,37.9,37.03
12/01/2025,37.86,"9,103,157",36.99,38.1224,36.97
11/28/2025,37.06,"4,439,049",36.48,37.37,36.37
11/26/2025,36.4,"7,695,319",35.85,36.715,35.78
11/25/2025,35.82,"6,312,573",35.63,35.89,35.35
11/24/2025,35.93,"9,493,963",35.52,36.125,35.16
11/21/2025,35.65,"11,410,150",35.07,35.99,34.785
11/20/2025,35.16,"10,806,140",35.65,36.875,34.975
11/19/2025,35.28,"7,934,531",35.0,35.39,34.71
11/18/2025,35.87,"9,686,516",34.75,36.19,34.59
11/17/2025,35.07,"6,735,714",35.85,35.89,34.85
11/14/2025,35.84,"8,369,713",35.19,35.89,34.48
11/13/2025,35.04,"8,334,593",35.37,35.68,34.665
11/12/2025,35.22,"10,711,340",35.1,35.525,34.78
11/11/2025,35.16,"9,901,725",34.11,35.58,34.11
11/10/2025,33.92,"6,808,247",34.02,34.2,33.34
11/07/2025,33.7,"9,921,090",32.81,33.73,32.485
11/06/2025,32.43,"13,993,850",33.32,33.59,32.06
