date,close,volume,open,high,low
05/15/2026,61.63,"11,133,390",59.91,63.19,59.46
05/14/2026,57.82,"4,318,139",59.02,59.555,57.655
05/13/2026,58.57,"7,032,757",60.45,61.355,58.53
05/12/2026,61.14,"6,099,682",60.14,61.46,59.65
05/11/2026,59.33,"5,272,514",60.335,60.59,58.425
05/08/2026,60.61,"4,217,962",60.91,61.37,60.13
05/07/2026,60.91,"5,080,786",60.36,61.55,60.35
05/06/2026,60.36,"5,905,337",59.71,61.08,58.7
05/05/2026,59.48,"5,528,661",60.54,61.0,58.975
05/04/2026,60.04,"5,492,762",61.61,61.63,59.165
05/01/2026,61.35,"10,563,040",60.985,62.85,59.7
04/30/2026,59.55,"5,343,333",57.88,59.64,57.58
04/29/2026,57.56,"6,558,780",58.95,58.95,56.72
04/28/2026,59.32,"5,590,696",61.68,62.435,59.09
04/27/2026,61.41,"3,377,002",61.12,62.075,61.04
04/24/2026,61.57,"3,600,015",62.67,62.9,60.34
04/23/2026,62.7,"2,505,814",63.09,63.78,61.9
04/22/2026,63.41,"2,680,660",63.16,63.87,62.51
04/21/2026,62.6,"4,355,141",64.87,65.0,62.41
04/20/2026,64.62,"3,767,237",63.57,65.29,63.34
04/17/2026,63.98,"7,831,139",62.43,64.09,61.9
04/16/2026,61.23,"5,747,291",61.29,63.89,60.8214
04/15/2026,61.54,"5,682,926",63.04,63.88,61.37
04/14/2026,62.95,"4,730,405",62.69,63.7,62.0
04/13/2026,63.12,"5,701,564",63.99,64.03,61.64
04/10/2026,64.02,"2,107,262",65.9,66.135,63.61
04/09/2026,65.68,"3,762,664",65.39,66.44,64.4
04/08/2026,65.8,"2,807,971",65.01,65.87,64.86
04/07/2026,63.11,"3,869,971",63.1,64.28,62.58
04/06/2026,63.21,"3,192,334",62.22,63.3,62.1001
04/02/2026,62.22,"2,407,723",61.6,62.86,60.57
04/01/2026,62.37,"3,530,460",62.8,63.665,61.91
03/31/2026,62.8,"3,977,819",62.77,63.68,61.955
03/30/2026,61.9,"3,991,771",62.35,63.25,61.62
03/27/2026,62.25,"4,310,200",65.91,65.91,61.99
03/26/2026,66.09,"2,160,837",66.84,67.93,65.985
03/25/2026,66.84,"2,941,037",67.22,68.09,65.535
03/24/2026,66.6,"3,843,530",66.31,66.94,65.095
03/23/2026,65.94,"3,662,067",68.1,68.21,65.9
03/20/2026,66.95,"8,047,275",67.42,67.91,66.0
03/19/2026,67.27,"3,744,633",67.98,68.76,67.1
03/18/2026,67.66,"3,987,095",66.72,68.05,66.71
03/17/2026,67.32,"5,159,094",67.11,68.69,66.99
03/16/2026,66.34,"4,922,237",64.85,66.81,64.6
03/13/2026,64.24,"4,075,952",65.28,65.78,63.82
03/12/2026,65.26,"5,287,780",65.65,66.79,65.17
03/11/2026,66.31,"4,028,170",67.11,67.98,65.785
03/10/2026,67.79,"2,521,421",68.6,68.75,66.74
03/09/2026,68.74,"4,072,596",67.02,68.94,66.0
03/06/2026,68.1,"3,930,660",69.72,69.86,67.64
03/05/2026,70.69,"5,099,895",72.36,72.76,70.435
03/04/2026,72.9,"4,340,679",73.03,73.57,71.1
03/03/2026,73.08,"2,380,733",72.47,73.53,72.245
03/02/2026,73.78,"3,699,395",72.37,73.91,71.57
02/27/2026,73.43,"5,454,053",73.58,74.35,73.03
02/26/2026,74.38,"2,883,634",73.45,74.43,72.83
02/25/2026,73.16,"3,239,937",73.42,73.705,72.34
02/24/2026,73.09,"4,141,766",73.31,73.61,70.81
02/23/2026,73.26,"4,864,518",73.07,74.49,72.86
02/20/2026,73.08,"3,325,464",72.35,73.37,72.04
02/19/2026,72.27,"3,459,134",72.785,73.26,71.61
02/18/2026,72.8,"4,450,543",70.71,73.24,70.03
02/17/2026,70.43,"5,909,319",70.25,72.19,69.81
02/13/2026,70.02,"11,020,960",64.445,71.34,62.86
02/12/2026,65.08,"7,685,688",68.01,69.0,64.88
02/11/2026,68.15,"5,173,249",68.28,68.55,67.04
02/10/2026,68.16,"7,885,749",70.18,70.34,68.12
02/09/2026,70.16,"4,031,502",69.01,70.21,67.87
02/06/2026,69.97,"3,659,937",70.57,70.68,68.68
02/05/2026,69.89,"5,571,968",70.98,72.055,69.63
02/04/2026,70.82,"7,051,273",71.86,72.275,70.48
02/03/2026,71.63,"5,026,743",72.55,75.36,70.73
02/02/2026,72.53,"3,274,347",72.705,73.59,72.41
01/30/2026,73.04,"3,825,652",73.41,74.955,72.83
01/29/2026,74.0,"5,100,856",73.32,74.21,72.34
01/28/2026,73.36,"4,525,412",73.67,73.925,72.66
01/27/2026,73.67,"5,642,820",73.215,73.88,71.845
01/26/2026,73.34,"7,318,771",72.95,74.01,72.65
01/23/2026,72.86,"5,247,368",73.05,73.53,71.66
01/22/2026,73.92,"11,335,560",71.74,75.975,70.78
01/21/2026,72.11,"5,406,323",71.29,72.81,70.75
01/20/2026,70.73,"4,842,341",68.77,71.3299,68.54
01/16/2026,69.54,"7,440,493",69.35,70.38,69.02
01/15/2026,69.24,"5,636,161",69.65,70.055,68.97
01/14/2026,69.7,"5,836,483",70.05,71.28,68.71
01/13/2026,70.25,"8,712,143",70.89,70.92,68.465
01/12/2026,70.98,"10,860,590",66.74,72.5,65.92
01/09/2026,67.4,"7,876,486",68.61,68.89,65.6
01/08/2026,68.43,"4,564,683",69.33,69.84,67.3
01/07/2026,70.1,"5,080,661",69.76,70.92,69.12
01/06/2026,69.89,"3,973,695",67.65,70.28,67.3
01/05/2026,67.65,"5,200,783",66.64,67.94,65.19
01/02/2026,66.54,"2,893,203",66.63,67.49,66.12
12/31/2025,66.37,"2,065,092",67.1,67.15,66.0
12/30/2025,67.06,"2,252,360",67.36,67.71,66.86
12/29/2025,67.47,"2,708,504",67.59,68.18,67.12
12/26/2025,67.57,"1,411,796",67.45,67.66,67.0
12/24/2025,67.42,"948,103",66.92,67.51,66.75
12/23/2025,66.86,"2,818,447",67.36,67.395,66.35
12/22/2025,67.43,"3,950,512",66.16,67.95,66.12
12/19/2025,66.06,"10,644,470",66.45,66.87,65.64
12/18/2025,65.91,"3,922,649",66.31,66.67,65.56
12/17/2025,65.75,"5,235,270",66.18,68.19,65.63
12/16/2025,66.37,"4,630,392",66.35,67.0,65.2
12/15/2025,65.73,"7,428,659",67.42,67.75,65.36
12/12/2025,66.96,"6,833,025",69.025,69.31,66.675
12/11/2025,68.94,"6,926,610",67.98,69.77,67.53
12/10/2025,67.56,"8,527,643",66.485,68.22,65.61
12/09/2025,66.33,"5,136,011",65.6,66.77,64.4
12/08/2025,65.62,"4,681,315",65.26,66.04,64.0
12/05/2025,65.49,"3,854,687",65.38,66.75,65.15
12/04/2025,65.25,"3,484,310",65.13,65.335,64.09
12/03/2025,64.85,"3,710,786",64.43,65.16,64.09
12/02/2025,64.45,"4,799,533",65.09,65.315,64.36
12/01/2025,63.52,"5,209,243",62.79,63.975,62.32
11/28/2025,63.47,"2,254,792",62.565,63.95,62.2301
11/26/2025,62.53,"3,665,450",61.36,63.085,61.08
11/25/2025,61.69,"6,759,583",61.985,64.0,61.425
11/24/2025,62.21,"6,298,016",60.38,62.85,60.07
11/21/2025,60.23,"5,453,686",58.5,61.15,58.355
11/20/2025,58.42,"4,820,936",59.72,60.755,58.285
11/19/2025,59.73,"6,353,545",59.78,60.33,59.16
11/18/2025,60.17,"6,688,572",58.35,60.48,58.14
11/17/2025,58.49,"6,047,666",58.11,59.15,57.2
11/14/2025,58.06,"5,375,297",59.05,59.47,57.92
11/13/2025,59.72,"6,824,424",59.195,60.85,59.195
11/12/2025,59.61,"6,845,186",58.07,59.79,57.51
11/11/2025,58.13,"9,740,898",56.29,58.86,55.84
11/10/2025,54.84,"8,877,587",55.16,55.895,54.2
11/07/2025,55.0,"10,943,930",58.015,58.25,54.11
11/06/2025,58.02,"8,984,545",58.97,60.0,56.89
11/05/2025,59.28,"8,967,393",60.95,60.95,58.34
11/04/2025,61.18,"11,623,130",61.09,62.39,58.88
11/03/2025,60.43,"17,887,170",58.55,61.145,58.5
10/31/2025,58.22,"26,557,730",59.19,60.36,56.445
10/30/2025,68.2,"7,250,695",68.36,69.17,68.0
10/29/2025,68.18,"4,434,808",68.92,69.1,67.795
10/28/2025,69.23,"8,687,456",70.665,70.665,66.42
10/27/2025,70.63,"2,909,309",70.87,71.115,69.82
10/24/2025,70.33,"3,162,013",71.14,72.08,70.31
10/23/2025,71.06,"2,856,351",70.7,71.5,70.11
10/22/2025,70.7,"4,156,796",70.44,71.99,69.75
10/21/2025,69.75,"4,481,068",68.68,69.83,67.99
10/20/2025,68.43,"4,724,688",67.05,68.47,66.7
10/17/2025,66.6,"3,516,582",66.26,66.85,65.41
10/16/2025,66.33,"3,956,649",66.0,66.68,64.985
10/15/2025,65.41,"3,334,085",66.35,66.61,64.9
10/14/2025,66.21,"5,726,732",63.85,67.29,63.195
10/13/2025,65.2,"3,379,925",65.99,66.37,64.93
10/10/2025,65.12,"3,502,918",68.15,68.5,65.03
10/09/2025,68.08,"3,345,099",67.56,69.0,67.24
10/08/2025,67.78,"5,947,157",65.96,67.88,64.9
10/07/2025,66.03,"3,703,550",66.77,67.43,65.88
10/06/2025,66.36,"5,931,256",67.9,68.0,66.12
10/03/2025,67.05,"4,440,066",66.78,67.63,66.37
10/02/2025,66.44,"4,891,592",65.79,66.82,64.67
10/01/2025,66.08,"7,619,533",67.21,67.86,63.53
09/30/2025,67.29,"3,793,547",66.7,67.61,66.18
09/29/2025,66.46,"5,867,974",67.34,67.37,65.18
09/26/2025,67.1,"7,431,517",68.05,69.25,66.71
09/25/2025,68.3,"6,570,351",66.7,68.57,65.5
09/24/2025,67.5,"6,904,896",68.265,70.18,67.14
09/23/2025,68.2,"6,156,001",69.01,69.98,68.03
09/22/2025,69.51,"11,279,300",67.69,70.5,66.57
09/19/2025,67.45,"20,848,660",75.0,75.18,66.9
09/18/2025,75.78,"9,237,330",72.93,75.96,71.8
09/17/2025,76.44,"7,422,223",76.99,77.84,75.5501
09/16/2025,76.55,"4,300,567",75.79,77.73,75.6
09/15/2025,75.58,"3,861,590",76.44,78.96,75.525
09/12/2025,76.22,"3,054,630",75.77,76.69,75.39
09/11/2025,76.0,"6,352,978",76.24,77.93,75.85
09/10/2025,76.0,"4,889,784",77.97,78.28,75.555
09/09/2025,78.4,"2,503,758",77.61,79.2,77.61
09/08/2025,78.0,"4,101,010",79.35,79.65,77.74
09/05/2025,80.51,"2,718,286",80.875,81.6,79.48
09/04/2025,80.76,"4,977,460",79.2,81.64,78.68
09/03/2025,78.92,"6,702,573",74.32,79.51,74.0
09/02/2025,74.3,"4,469,420",74.17,75.1073,73.47
08/29/2025,75.34,"2,921,982",75.08,75.8,74.54
08/28/2025,75.08,"5,969,633",76.26,76.36,74.21
08/27/2025,76.38,"4,576,689",75.8,76.97,74.74
08/26/2025,76.12,"4,840,800",76.25,76.89,75.72
08/25/2025,75.96,"6,534,615",81.705,82.2,75.89
08/22/2025,82.26,"3,667,106",81.01,82.36,80.475
08/21/2025,80.62,"3,470,305",81.45,81.93,79.83
08/20/2025,81.67,"3,584,483",80.77,82.05,80.43
08/19/2025,80.9,"2,267,882",80.68,81.42,80.32
08/18/2025,80.82,"2,976,858",80.93,81.74,80.3227
08/15/2025,80.95,"2,232,926",80.29,82.04,80.29
08/14/2025,79.96,"2,291,904",79.74,80.205,78.86
08/13/2025,79.96,"4,278,314",80.67,81.56,79.87
08/12/2025,80.17,"3,609,936",78.5,80.36,78.145
08/11/2025,77.85,"4,224,440",78.74,79.22,77.599
08/08/2025,78.86,"3,865,848",76.27,79.05,76.27
08/07/2025,76.4,"3,083,957",77.12,77.95,75.59
08/06/2025,76.4,"4,843,281",75.48,77.95,74.795
08/05/2025,75.46,"5,633,134",76.3,76.53,74.88
08/04/2025,76.25,"6,537,454",79.9,80.215,75.94
08/01/2025,79.28,"5,238,726",80.57,80.86,78.93
07/31/2025,80.77,"9,282,481",85.7,87.0,80.46
07/30/2025,89.06,"4,522,233",89.35,89.98,88.3
07/29/2025,89.35,"2,472,433",89.64,89.96,88.97
07/28/2025,89.53,"2,700,621",88.99,89.76,88.63
07/25/2025,88.99,"3,072,493",87.215,89.07,86.69
07/24/2025,86.74,"1,994,678",86.54,87.14,86.055
07/23/2025,86.43,"2,188,235",86.19,86.775,85.49
07/22/2025,85.12,"1,971,631",84.49,85.65,84.25
07/21/2025,84.03,"2,093,731",83.955,84.5,83.3
07/18/2025,83.89,"2,616,547",84.7,84.775,83.23
07/17/2025,84.1,"4,777,438",84.09,85.9,83.54
07/16/2025,84.13,"2,353,452",85.485,85.57,83.85
07/15/2025,84.78,"2,128,100",86.03,86.14,84.67
07/14/2025,85.33,"2,384,116",83.42,85.61,82.96
07/11/2025,83.37,"2,328,315",85.33,85.35,83.05
07/10/2025,85.46,"3,670,085",85.24,85.92,84.058
07/09/2025,84.87,"2,692,919",84.14,85.2,82.73
07/08/2025,83.76,"3,037,999",83.14,84.46,82.9241
07/07/2025,82.94,"2,782,495",82.84,83.805,82.5
07/03/2025,82.93,"1,841,055",83.7,84.49,82.575
07/02/2025,83.58,"2,867,130",83.26,84.73,82.79
07/01/2025,83.58,"5,589,561",83.175,85.62,82.75
06/30/2025,87.29,"2,724,448",85.77,87.49,85.5568
06/27/2025,86.33,"4,632,472",85.0,87.48,84.84
06/26/2025,85.04,"2,456,012",84.95,86.07,84.8
06/25/2025,84.68,"4,435,185",87.55,87.75,84.4
06/24/2025,87.57,"10,201,000",80.31,88.32,79.4
06/23/2025,79.84,"5,672,531",79.99,80.32,77.81
06/20/2025,80.0,"5,238,850",81.6,82.06,79.61
06/18/2025,81.01,"4,738,518",82.01,82.43,80.23
06/17/2025,81.83,"2,685,622",82.665,83.35,81.61
06/16/2025,83.0,"3,446,282",82.8,83.7,82.265
06/13/2025,81.99,"2,904,103",81.69,83.17,81.3901
06/12/2025,82.85,"2,805,698",83.09,83.6088,82.0244
06/11/2025,82.99,"3,246,683",85.01,85.49,82.9
06/10/2025,84.82,"2,246,936",86.05,86.45,84.305
06/09/2025,85.68,"2,072,842",86.91,86.935,85.09
06/06/2025,86.67,"2,422,665",86.73,87.91,85.83
06/05/2025,85.74,"2,394,742",85.78,86.54,84.87
06/04/2025,85.61,"1,858,029",86.87,87.235,85.59
06/03/2025,86.79,"2,423,031",85.49,87.33,84.5
06/02/2025,85.51,"2,524,466",85.44,85.88,84.1
05/30/2025,85.8,"4,257,115",86.76,86.8,84.85
05/29/2025,84.86,"3,694,185",87.65,87.665,84.51
05/28/2025,86.98,"2,862,709",85.24,87.6,85.24
05/27/2025,85.33,"2,034,121",85.44,85.7,84.6
05/23/2025,84.51,"2,599,356",83.94,85.01,83.48
05/22/2025,84.83,"1,693,953",84.9,85.31,84.28
05/21/2025,84.89,"2,673,498",86.43,87.0,84.5
05/20/2025,87.34,"2,743,539",86.21,87.6533,85.875
05/19/2025,86.96,"2,366,501",84.67,86.99,84.34
05/16/2025,85.48,"3,397,874",85.88,86.0,84.68
05/15/2025,85.67,"2,892,321",86.21,86.85,84.76
05/14/2025,86.52,"3,828,441",83.64,86.565,83.64
05/13/2025,84.11,"5,514,636",84.74,85.54,83.84
05/12/2025,85.05,"4,030,142",87.02,87.02,84.31
05/09/2025,84.67,"3,349,024",84.78,85.71,84.23
05/08/2025,85.34,"6,159,401",84.0,85.74,83.48
05/07/2025,83.35,"3,945,588",81.53,83.9,80.5
05/06/2025,81.53,"5,205,021",79.515,82.48,78.5501
05/05/2025,80.27,"5,371,566",81.65,81.96,80.0018
05/02/2025,81.62,"10,696,540",75.26,81.88,74.96
05/01/2025,70.26,"6,874,455",71.38,71.71,69.7
04/30/2025,71.38,"2,859,756",70.665,71.57,69.75
04/29/2025,71.3,"2,332,053",71.275,71.46,70.29
04/28/2025,71.18,"2,782,847",72.27,72.6,70.5731
04/25/2025,71.66,"2,857,999",70.85,72.28,70.355
04/24/2025,70.78,"3,922,896",67.79,70.98,67.545
04/23/2025,66.86,"4,522,417",68.45,70.21,66.8
04/22/2025,66.33,"4,142,207",67.09,67.305,65.53
04/21/2025,66.11,"4,023,310",68.07,68.12,65.11
04/17/2025,68.57,"3,702,797",67.0,68.78,66.53
04/16/2025,68.73,"4,273,569",68.84,69.69,67.75
04/15/2025,69.23,"4,615,119",67.4,69.32,66.978
04/14/2025,67.39,"3,644,730",67.28,68.07,66.4101
04/11/2025,66.14,"4,788,611",67.23,67.6599,64.99
04/10/2025,67.3,"8,912,116",72.8,73.5,66.46
04/09/2025,66.84,"6,697,678",60.09,67.63,59.62
04/08/2025,60.69,"5,576,407",62.5,63.89,59.97
04/07/2025,61.63,"8,396,078",58.03,62.9,58.0
04/04/2025,59.83,"6,552,482",59.63,61.05,57.52
04/03/2025,61.8,"5,404,473",64.89,65.01,61.48
04/02/2025,68.14,"2,561,941",66.32,68.52,66.32
04/01/2025,67.32,"3,216,548",67.85,68.4,66.3
03/31/2025,68.29,"5,617,469",67.22,68.75,66.25
03/28/2025,67.74,"4,681,070",69.5,69.89,67.37
03/27/2025,69.47,"5,524,036",71.98,72.47,69.41
03/26/2025,72.13,"3,271,802",73.25,73.3965,71.47
03/25/2025,73.55,"3,240,581",75.24,76.01,72.52
03/24/2025,75.32,"2,692,800",75.045,75.81,74.6
03/21/2025,73.8,"5,560,929",74.17,74.485,72.73
03/20/2025,75.11,"3,588,379",72.9,76.27,72.52
03/19/2025,73.38,"4,303,239",70.71,74.42,70.71
03/18/2025,70.7,"2,604,057",71.25,71.35,69.92
03/17/2025,71.35,"3,627,105",70.33,72.2,70.3
03/14/2025,70.69,"4,902,283",68.59,70.77,68.59
03/13/2025,68.48,"3,360,485",70.7,70.715,68.3
