date,close,volume,open,high,low
05/15/2026,247.62,"1,842,200",248.32,250.15,245.25
05/14/2026,248.88,"1,587,722",250.0,251.07,248.6
05/13/2026,249.62,"1,757,363",250.79,252.97,248.6
05/12/2026,251.7,"1,625,355",251.12,252.4,248.7501
05/11/2026,251.1,"1,654,141",255.82,257.37,250.13
05/08/2026,254.22,"1,869,331",257.58,258.36,251.89
05/07/2026,256.55,"1,860,110",264.02,265.5,256.44
05/06/2026,263.42,"1,691,319",261.65,265.79,261.65
05/05/2026,257.65,"1,145,171",256.93,259.12,254.565
05/04/2026,255.59,"1,726,044",257.58,261.02,254.83
05/01/2026,259.51,"978,377",262.48,263.1,258.99
04/30/2026,260.6,"1,413,433",257.23,261.9977,256.0
04/29/2026,256.61,"1,560,211",262.2,265.9157,254.53
04/28/2026,266.96,"2,145,332",267.84,269.14,259.2101
04/27/2026,267.88,"1,285,470",269.75,269.96,265.95
04/24/2026,269.49,"1,220,109",270.66,271.52,266.0
04/23/2026,271.45,"796,554",269.97,272.96,267.23
04/22/2026,268.93,"1,083,584",271.96,274.12,267.42
04/21/2026,270.84,"1,109,827",277.04,277.685,269.5801
04/20/2026,275.68,"1,159,853",274.8,278.84,274.16
04/17/2026,274.8,"2,636,658",270.03,279.0,269.055
04/16/2026,269.23,"1,441,397",270.1,273.0,267.85
04/15/2026,270.37,"1,036,867",271.86,273.46,267.54
04/14/2026,273.13,"1,166,546",276.94,276.94,272.07
04/13/2026,275.2,"1,712,424",271.73,275.89,269.88
04/10/2026,273.29,"1,596,857",273.71,274.77,272.0001
04/09/2026,272.47,"923,631",270.37,273.09,268.6205
04/08/2026,273.51,"1,326,192",268.765,273.56,267.79
04/07/2026,262.26,"1,238,445",265.71,266.53,259.14
04/06/2026,267.03,"826,308",263.13,267.1,262.48
04/02/2026,264.28,"1,000,609",265.18,269.11,262.71
04/01/2026,269.54,"1,095,884",267.45,270.86,265.56
03/31/2026,266.02,"1,874,419",261.05,266.3,259.76
03/30/2026,262.49,"1,485,948",262.0,265.455,261.7
03/27/2026,261.37,"1,720,202",263.42,265.23,260.54
03/26/2026,264.25,"1,260,255",268.93,269.925,263.28
03/25/2026,268.54,"2,191,579",268.46,270.9,265.11
03/24/2026,264.49,"1,744,483",260.0,267.87,258.5825
03/23/2026,261.13,"1,745,240",259.12,264.04,257.03
