date,close,volume,open,high,low
05/15/2026,105.36,"2,328,375",107.4,107.51,105.31
05/14/2026,107.13,"2,006,443",106.47,107.315,105.97
05/13/2026,106.16,"2,463,956",105.13,106.36,104.71
05/12/2026,106.9,"3,283,746",107.28,107.605,106.01
05/11/2026,106.21,"2,115,165",106.95,107.67,105.69
05/08/2026,106.31,"2,580,155",107.3,107.61,104.615
05/07/2026,106.39,"3,106,227",106.16,107.09,105.32
05/06/2026,106.87,"2,281,323",109.14,109.295,106.77
05/05/2026,109.15,"1,776,094",109.66,110.33,108.9
05/04/2026,109.63,"2,909,904",110.04,111.33,109.185
05/01/2026,110.49,"2,280,558",111.47,112.43,110.48
04/30/2026,111.49,"2,918,822",109.04,111.57,108.06
04/29/2026,108.88,"1,512,456",108.99,110.03,108.33
04/28/2026,109.62,"1,573,993",110.22,110.49,108.96
04/27/2026,108.83,"1,260,091",109.36,110.125,108.81
04/24/2026,109.06,"1,418,005",109.45,110.0,108.66
04/23/2026,110.25,"1,638,832",109.26,110.525,108.59
04/22/2026,108.13,"1,497,709",108.94,109.5299,107.645
04/21/2026,108.19,"1,527,976",109.84,110.34,107.98
04/20/2026,109.67,"1,424,386",109.65,111.3399,109.24
04/17/2026,110.15,"2,109,412",109.76,110.32,108.21
04/16/2026,110.52,"1,621,833",110.03,111.06,109.26
04/15/2026,110.28,"1,669,101",110.82,111.445,109.95
04/14/2026,111.66,"1,814,989",111.41,111.925,110.48
04/13/2026,111.89,"1,488,600",113.54,113.725,111.22
04/10/2026,113.56,"1,123,417",113.93,115.29,113.225
04/09/2026,114.98,"1,742,928",113.45,115.66,113.45
04/08/2026,113.57,"2,617,531",112.09,113.68,111.06
04/07/2026,114.46,"1,360,203",114.8,115.67,114.36
04/06/2026,114.61,"1,199,038",114.7,115.62,114.1705
04/02/2026,115.43,"1,614,446",114.57,115.86,114.1668
04/01/2026,113.91,"1,690,489",112.47,114.055,112.2
03/31/2026,113.18,"4,177,229",114.07,114.07,111.41
03/30/2026,113.39,"2,271,938",112.86,113.97,111.95
03/27/2026,111.68,"1,776,467",111.78,112.09,110.9
03/26/2026,111.52,"1,501,148",110.23,112.085,109.968
03/25/2026,110.03,"1,927,185",110.21,111.13,109.33
03/24/2026,109.88,"1,505,246",108.99,111.19,108.48
03/23/2026,109.11,"1,735,271",110.83,110.83,108.805
03/20/2026,109.45,"4,149,957",111.82,111.9686,108.82
03/19/2026,111.69,"1,764,437",113.62,113.881,111.38
03/18/2026,113.53,"1,175,114",114.57,114.76,113.37
03/17/2026,114.9,"1,792,383",116.1,116.23,114.66
03/16/2026,115.46,"2,851,096",115.62,115.75,114.3208
03/13/2026,114.88,"1,762,731",114.16,115.37,113.55
03/12/2026,113.13,"1,748,417",111.73,114.4,111.21
03/11/2026,111.74,"1,438,211",111.2,111.98,110.65
03/10/2026,111.3,"1,615,837",111.35,112.26,110.685
03/09/2026,111.8,"2,255,756",112.54,112.75,111.09
03/06/2026,112.28,"2,341,745",110.98,112.555,110.0
03/05/2026,110.71,"2,705,764",111.99,112.2,110.25
03/04/2026,112.49,"2,267,090",112.37,112.7,110.62
03/03/2026,112.36,"2,740,367",111.5,113.31,109.89
03/02/2026,112.06,"2,699,161",112.48,113.75,111.875
02/27/2026,112.52,"5,310,692",111.68,112.95,111.02
02/26/2026,110.76,"2,713,261",111.61,111.81,110.55
02/25/2026,111.0,"2,679,183",111.21,111.52,109.9
02/24/2026,111.01,"6,871,342",110.26,111.44,110.0
