date,close,volume,open,high,low
05/15/2026,351.67,"343,425",349.11,352.03,347.79
05/14/2026,347.99,"309,773",349.22,352.62,347.95
05/13/2026,347.97,"272,723",350.25,353.65,343.97
05/12/2026,351.67,"351,963",351.22,354.89,346.64
05/11/2026,350.78,"375,204",352.56,355.31,348.64
05/08/2026,351.52,"261,655",348.19,353.98,348.19
05/07/2026,351.73,"354,123",351.09,354.95,347.81
05/06/2026,351.9,"267,685",351.51,354.3099,350.17
05/05/2026,349.68,"336,156",350.49,353.1,347.31
05/04/2026,347.52,"370,161",351.07,355.53,345.21
05/01/2026,353.57,"407,568",359.45,360.48,352.41
04/30/2026,356.76,"524,398",335.74,360.86,334.26
04/29/2026,344.01,"349,513",345.69,347.79,340.83
04/28/2026,347.07,"209,787",347.09,349.51,344.52
04/27/2026,343.52,"253,768",341.47,346.05,341.47
04/24/2026,343.38,"230,204",349.51,350.78,343.17
04/23/2026,350.81,"330,914",343.845,351.92,343.845
04/22/2026,345.0,"330,955",349.39,350.8125,344.04
04/21/2026,349.82,"354,835",354.16,354.16,349.1001
04/20/2026,350.64,"311,152",350.46,355.26,349.96
04/17/2026,351.49,"344,049",343.88,352.745,343.83
04/16/2026,344.41,"352,321",346.28,349.2517,343.55
04/15/2026,345.61,"384,188",341.25,349.62,340.185
04/14/2026,341.24,"544,490",332.61,343.0,330.325
04/13/2026,333.43,"348,879",328.05,333.84,327.97
04/10/2026,329.87,"294,313",335.03,339.728,327.395
04/09/2026,335.61,"281,854",331.36,339.185,331.36
04/08/2026,333.26,"323,362",329.25,334.075,327.91
04/07/2026,327.38,"298,604",325.87,329.84,325.3
04/06/2026,328.42,"220,327",325.18,329.265,324.925
04/02/2026,327.09,"300,772",320.71,330.0,320.71
04/01/2026,323.87,"259,219",324.84,328.805,321.75
03/31/2026,326.85,"376,146",322.34,331.48,322.09
03/30/2026,323.33,"328,829",320.67,324.17,318.44
03/27/2026,317.93,"233,572",324.05,324.5099,316.69
03/26/2026,323.89,"412,583",324.0,326.58,321.21
03/25/2026,323.93,"237,059",326.39,327.59,323.54
03/24/2026,323.77,"345,236",324.26,328.05,323.37
03/23/2026,324.3,"428,460",322.72,326.88,318.48
03/20/2026,316.02,"678,932",315.98,318.06,314.7225
03/19/2026,315.96,"299,233",319.9,321.71,313.26
03/18/2026,319.86,"279,960",320.8,324.38,318.37
03/17/2026,322.5,"283,452",324.14,326.8699,322.005
03/16/2026,320.52,"265,854",321.98,325.91,320.51
03/13/2026,320.36,"232,136",324.46,325.5,320.23
03/12/2026,322.34,"360,275",319.91,326.2475,317.015
03/11/2026,321.48,"342,712",326.82,327.015,320.34
03/10/2026,327.5,"299,885",326.91,330.7325,323.161
03/09/2026,328.05,"359,182",331.23,331.89,325.6
03/06/2026,334.11,"341,174",331.46,334.57,324.2866
03/05/2026,332.84,"349,518",332.36,335.05,331.0
03/04/2026,334.11,"432,288",334.1,335.95,331.47
03/03/2026,335.13,"468,199",335.04,339.38,325.47
03/02/2026,339.63,"375,863",334.69,341.305,334.69
02/27/2026,335.49,"369,454",339.02,339.02,331.86
02/26/2026,337.82,"355,105",338.9,341.69,335.68
02/25/2026,335.81,"427,023",339.86,341.835,335.29
02/24/2026,339.65,"279,025",337.01,342.16,334.19
02/23/2026,337.77,"359,454",342.41,345.57,337.27
02/20/2026,342.48,"318,004",345.04,345.04,337.195
02/19/2026,342.93,"291,905",344.52,348.31,340.62
02/18/2026,345.51,"396,891",345.63,347.11,341.44
02/17/2026,346.03,"587,525",340.52,348.22,337.94
02/13/2026,338.03,"451,225",334.59,338.04,331.605
02/12/2026,336.12,"633,182",332.58,338.0,331.105
02/11/2026,332.42,"362,828",329.66,333.32,327.3825
02/10/2026,330.48,"482,000",322.0,332.82,322.0
02/09/2026,322.12,"407,425",326.61,330.59,320.005
02/06/2026,328.39,"399,851",326.51,332.85,326.51
02/05/2026,325.89,"878,686",334.15,334.15,306.09
02/04/2026,333.42,"633,668",333.08,339.73,326.61
02/03/2026,329.83,"348,013",330.72,336.81,329.29
02/02/2026,331.76,"274,308",328.64,331.92,327.155
01/30/2026,331.28,"294,323",327.78,332.445,326.69
01/29/2026,329.62,"357,045",328.83,331.84,325.43
01/28/2026,324.91,"303,417",323.08,328.2,321.14
01/27/2026,323.94,"241,584",325.91,325.92,322.125
01/26/2026,327.1,"199,160",325.21,329.2962,325.01
01/23/2026,323.57,"283,673",319.96,323.66,319.96
01/22/2026,321.7,"349,046",322.36,323.32,319.0
01/21/2026,322.94,"352,978",322.93,324.665,318.26
01/20/2026,320.0,"313,555",316.18,321.705,316.18
01/16/2026,318.81,"278,723",319.85,322.045,318.14
01/15/2026,321.21,"304,956",324.99,328.34,320.11
01/14/2026,325.91,"377,757",322.34,326.47,321.375
01/13/2026,319.92,"360,309",326.44,328.36,317.21
01/12/2026,328.38,"402,324",330.61,335.795,327.17
01/09/2026,333.18,"288,054",336.78,339.02,332.375
01/08/2026,338.1,"366,156",332.89,340.42,331.045
01/07/2026,331.43,"317,158",332.0,335.76,328.1
01/06/2026,332.32,"393,169",341.0,341.99,331.18
