date,close,volume,open,high,low
05/15/2026,133.05,"3,173,434",135.42,135.42,131.17
05/14/2026,137.88,"2,088,689",137.79,138.98,136.9354
05/13/2026,137.76,"2,964,883",136.71,138.46,135.1
05/12/2026,137.28,"3,433,304",138.86,138.99,134.5
05/11/2026,139.43,"2,487,558",141.3,141.5,139.09
05/08/2026,141.31,"2,534,485",142.57,142.9,139.495
05/07/2026,141.09,"3,938,065",147.95,147.95,139.85
05/06/2026,147.99,"5,843,832",142.0,149.47,142.0
05/05/2026,138.38,"4,139,120",138.32,140.67,136.9
05/04/2026,135.46,"3,317,008",137.0,139.4732,135.43
05/01/2026,137.45,"2,759,883",141.03,141.03,137.23
04/30/2026,140.44,"2,737,186",137.26,140.9,137.26
04/29/2026,136.56,"2,866,443",138.69,139.1,136.34
04/28/2026,138.42,"1,779,327",140.37,140.79,138.08
04/27/2026,141.47,"2,595,745",141.51,142.7,139.58
04/24/2026,141.35,"2,455,391",142.37,142.48,140.2079
04/23/2026,142.44,"2,660,929",142.0,143.155,139.49
04/22/2026,142.77,"2,261,773",146.35,147.03,142.55
04/21/2026,144.83,"1,706,824",147.06,148.49,144.305
04/20/2026,146.77,"2,223,128",145.45,147.075,144.98
04/17/2026,146.35,"3,831,057",142.555,147.375,142.555
04/16/2026,140.37,"3,274,063",140.68,141.76,139.355
04/15/2026,140.4,"2,566,267",143.38,144.4,140.13
04/14/2026,144.56,"1,986,075",145.43,145.871,143.24
04/13/2026,144.46,"2,606,912",143.41,144.5,141.88
04/10/2026,143.77,"2,029,662",145.64,145.77,143.67
04/09/2026,144.67,"2,344,352",142.435,145.41,142.435
04/08/2026,142.66,"4,870,070",141.36,145.0,140.22
04/07/2026,134.64,"3,030,361",131.75,134.91,131.43
04/06/2026,132.66,"2,897,817",130.97,132.82,130.4075
04/02/2026,131.7,"2,562,621",128.74,133.25,128.315
04/01/2026,132.37,"2,898,513",132.15,134.4,131.44
03/31/2026,131.02,"5,004,370",126.16,131.26,125.3
03/30/2026,123.3,"2,986,603",126.635,126.83,122.635
03/27/2026,125.4,"3,474,839",124.625,127.625,123.42
03/26/2026,126.31,"2,484,417",129.16,130.52,125.97
03/25/2026,130.86,"3,087,719",132.46,132.52,129.44
03/24/2026,130.15,"2,950,574",127.74,131.0,127.24
03/23/2026,129.83,"4,006,483",129.44,133.44,128.735
03/20/2026,128.15,"3,352,981",129.61,130.345,126.62
03/19/2026,129.9,"3,141,756",127.655,130.82,125.95
03/18/2026,129.88,"1,997,455",132.01,132.91,129.64
03/17/2026,132.49,"3,407,464",133.78,134.47,130.01
03/16/2026,133.09,"2,352,723",133.65,134.64,131.905
03/13/2026,132.24,"3,531,481",133.41,134.775,131.82
03/12/2026,132.18,"3,356,819",137.56,138.1436,131.61
03/11/2026,139.57,"2,043,902",139.64,139.75,137.2
03/10/2026,140.1,"3,156,452",141.4,142.845,140.02
03/09/2026,141.12,"3,148,959",135.97,141.45,134.65
03/06/2026,138.36,"2,060,950",138.94,140.0,137.83
03/05/2026,142.22,"3,889,853",143.0,144.415,140.595
