date,close,volume,open,high,low
05/15/2026,1059.44,"453,752",1077.44,1077.44,1055.2
05/14/2026,1079.68,"479,624",1077.28,1085.76,1072.55
05/13/2026,1077.28,"625,914",1074.91,1085.935,1060.9
05/12/2026,1080.63,"464,064",1080.71,1085.085,1069.681
05/11/2026,1086.22,"679,362",1072.61,1094.85,1071.3268
05/08/2026,1072.08,"428,813",1072.41,1082.62,1064.95
05/07/2026,1066.76,"443,884",1084.11,1090.595,1061.42
05/06/2026,1087.96,"545,506",1082.9,1097.44,1078.47
05/05/2026,1078.46,"385,814",1088.39,1089.58,1067.07
05/04/2026,1083.2,"485,518",1087.19,1091.18,1075.29
05/01/2026,1085.03,"658,273",1086.13,1091.69,1070.04
04/30/2026,1082.83,"1,077,438",1048.76,1084.845,1045.0
04/29/2026,1089.07,"672,957",1074.36,1093.62,1068.56
04/28/2026,1076.4,"807,123",1090.41,1097.5128,1063.285
04/27/2026,1089.85,"589,538",1103.95,1108.47,1084.83
04/24/2026,1108.76,"610,153",1121.83,1128.68,1103.32
04/23/2026,1115.29,"563,845",1097.8,1123.9199,1097.8
04/22/2026,1102.28,"519,898",1096.78,1107.93,1095.93
04/21/2026,1094.34,"507,382",1100.54,1108.19,1087.17
04/20/2026,1103.97,"373,339",1093.18,1104.29,1087.32
04/17/2026,1088.62,"463,120",1074.74,1093.03,1068.895
04/16/2026,1070.9,"467,531",1051.1,1072.88,1051.1
04/15/2026,1052.98,"614,039",1059.77,1059.77,1043.29
04/14/2026,1057.37,"510,679",1060.07,1060.07,1044.17
04/13/2026,1056.84,"450,962",1027.59,1057.8799,1023.77
04/10/2026,1030.24,"342,775",1031.47,1034.2599,1024.035
04/09/2026,1031.57,"405,854",1017.98,1039.9,1017.98
04/08/2026,1017.66,"505,951",1018.01,1023.47,1002.23
04/07/2026,1007.29,"424,295",1003.23,1008.735,984.11
04/06/2026,1016.08,"301,539",999.4,1016.39,997.865
04/02/2026,1000.37,"464,432",989.8,1006.555,986.0101
04/01/2026,995.98,"476,841",985.17,999.67,978.02
03/31/2026,980.24,"647,806",973.81,986.89,963.38
03/30/2026,964.05,"717,565",972.25,981.83,958.4882
03/27/2026,963.0,"397,539",963.38,968.185,958.265
03/26/2026,963.39,"530,184",960.77,971.33,954.06
03/25/2026,965.95,"380,146",970.19,977.83,964.23
03/24/2026,964.53,"499,480",964.78,974.635,958.5197
03/23/2026,966.96,"576,010",965.8,974.91,953.215
03/20/2026,959.16,"1,817,929",975.73,979.385,953.72
03/19/2026,974.76,"416,334",963.34,976.66,959.625
03/18/2026,973.56,"463,014",978.51,984.23,971.9474
03/17/2026,976.88,"422,249",985.42,990.465,975.36
03/16/2026,984.46,"790,291",975.03,990.98,974.92
03/13/2026,969.9,"512,331",979.23,983.375,962.64
03/12/2026,971.47,"756,282",961.19,981.42,955.55
03/11/2026,973.43,"661,195",956.46,982.5,955.0
03/10/2026,956.07,"658,615",944.91,965.0,939.565
03/09/2026,944.91,"699,460",926.5,947.36,918.275
03/06/2026,937.2,"688,426",945.07,956.63,933.96
03/05/2026,953.0,"692,498",954.6,962.53,946.06
03/04/2026,969.04,"624,744",970.48,974.93,957.26
03/03/2026,972.01,"849,632",942.26,977.36,942.26
03/02/2026,966.1,"409,352",959.65,970.785,954.3764
02/27/2026,974.26,"1,141,268",948.02,975.0,943.645
02/26/2026,948.02,"612,309",963.63,963.63,941.69
02/25/2026,960.52,"639,492",947.86,962.41,945.0
02/24/2026,951.9,"486,156",946.3,956.0,940.71
02/23/2026,945.64,"665,116",926.02,950.11,924.45
02/20/2026,928.11,"993,572",915.52,928.72,911.4
02/19/2026,918.03,"647,974",924.24,928.37,916.01
02/18/2026,924.24,"837,569",948.3,949.97,918.2
02/17/2026,951.97,"700,242",952.5,958.29,933.0
02/13/2026,956.19,"1,063,985",956.78,967.03,942.11
02/12/2026,957.87,"2,685,260",956.44,992.9,940.9
02/11/2026,867.52,"652,401",860.17,868.02,851.83
02/10/2026,856.74,"510,646",853.7,864.62,847.545
02/09/2026,857.74,"436,666",846.57,859.67,840.6
02/06/2026,848.12,"615,514",815.94,848.88,813.63
02/05/2026,807.56,"595,956",803.7,814.42,792.845
02/04/2026,802.13,"520,307",806.38,815.06,799.87
02/03/2026,801.83,"499,730",809.02,818.0,791.54
02/02/2026,810.38,"603,388",816.22,826.83,807.625
01/30/2026,820.93,"650,158",822.02,823.17,808.36
01/29/2026,826.05,"685,796",818.25,826.955,813.315
01/28/2026,816.15,"589,691",811.42,831.715,806.31
01/27/2026,809.55,"526,278",809.96,812.606,796.87
01/26/2026,806.35,"567,295",795.68,810.02,793.18
01/23/2026,791.27,"467,368",792.09,800.8,784.345
01/22/2026,792.76,"346,978",796.6,801.86,788.37
01/21/2026,795.48,"566,346",790.0,809.54,786.715
01/20/2026,784.2,"496,977",792.63,794.74,782.01
01/16/2026,801.78,"532,393",802.32,809.56,796.29
01/15/2026,801.82,"443,496",800.55,813.45,797.87
01/14/2026,799.02,"399,716",797.42,800.9175,785.88
01/13/2026,801.31,"587,721",784.23,808.85,784.23
01/12/2026,783.86,"1,237,716",799.55,805.0,758.9
01/09/2026,800.35,"321,750",785.44,804.4,785.44
01/08/2026,781.88,"408,450",769.75,783.88,767.53
01/07/2026,776.55,"440,981",791.88,795.245,776.36
01/06/2026,788.06,"452,331",772.0,789.9899,769.63
01/05/2026,772.02,"580,416",761.08,775.195,755.4
01/02/2026,764.11,"556,767",766.16,766.6,758.43
12/31/2025,766.16,"340,736",769.71,771.33,764.5
12/30/2025,769.71,"276,041",765.41,771.695,762.99
12/29/2025,765.0,"404,957",765.83,769.23,763.15
12/26/2025,763.3,"164,123",759.41,763.84,757.88
12/24/2025,758.72,"122,919",759.43,762.0,755.22
12/23/2025,760.13,"333,816",757.0,761.04,753.1101
12/22/2025,757.92,"413,218",753.15,762.96,751.22
12/19/2025,758.51,"1,371,455",742.56,763.06,740.33
12/18/2025,744.08,"723,404",752.5,757.03,740.75
12/17/2025,747.88,"924,478",757.0,764.5,739.81
12/16/2025,758.15,"582,555",759.66,763.11,749.5
12/15/2025,761.385,"632,870",755.86,762.55,749.5
12/12/2025,750.32,"697,133",755.82,764.5,726.95
12/11/2025,754.13,"555,733",737.41,757.16,730.815
12/10/2025,734.4,"429,384",743.22,747.46,732.65
12/09/2025,740.67,"417,397",737.02,747.0,730.87
12/08/2025,739.93,"546,336",741.59,748.39,737.21
12/05/2025,741.58,"760,865",727.49,747.88,724.71
12/04/2025,726.09,"720,800",722.1,738.0,720.6201
12/03/2025,732.72,"991,823",728.8,735.19,724.42
12/02/2025,727.38,"828,253",735.0,735.565,724.16
12/01/2025,733.28,"588,536",746.63,746.63,732.16
11/28/2025,753.31,"301,080",748.64,759.21,745.01
11/26/2025,750.41,"476,452",747.47,756.81,745.52
11/25/2025,748.15,"626,208",768.85,768.85,747.5
11/24/2025,760.62,"1,031,605",754.0,760.85,743.1901
11/21/2025,754.68,"536,201",755.61,759.74,744.4
11/20/2025,752.81,"607,640",772.18,781.11,752.24
11/19/2025,765.08,"512,096",773.37,774.79,755.43
11/18/2025,779.17,"397,681",777.58,781.77,769.61
11/17/2025,776.88,"355,183",786.91,790.51,771.0
11/14/2025,785.57,"498,316",784.69,787.015,777.87
11/13/2025,786.54,"574,843",810.96,812.6178,780.67
11/12/2025,813.24,"672,335",819.64,827.155,812.57
11/11/2025,821.04,"441,165",828.69,831.8,820.29
11/10/2025,828.13,"512,926",824.0,833.98,816.28
11/07/2025,824.75,"306,860",824.14,825.25,812.64
11/06/2025,819.33,"671,554",817.0,827.67,807.4674
11/05/2025,822.12,"591,995",822.54,829.28,810.58
11/04/2025,829.91,"435,973",834.08,839.73,824.14
11/03/2025,832.84,"506,699",840.47,846.0,821.165
10/31/2025,846.01,"816,969",828.62,852.19,821.9199
