date,close,volume,open,high,low
05/15/2026,63.88,"2,146,883",65.48,65.48,63.87
05/14/2026,65.02,"2,717,464",66.2,66.2,65.02
05/13/2026,65.83,"2,917,071",65.51,66.005,65.13
05/12/2026,65.89,"4,306,936",66.37,66.395,65.29
05/11/2026,66.18,"2,052,237",65.9,66.25,65.625
05/08/2026,65.54,"1,772,320",65.89,66.06,65.405
05/07/2026,65.86,"3,924,247",66.14,66.49,65.78
05/06/2026,66.16,"2,801,244",66.71,66.855,66.06
05/05/2026,66.25,"2,733,316",65.75,66.95,65.14
05/04/2026,65.24,"2,192,799",64.9,65.83,64.51
05/01/2026,65.17,"2,334,019",65.46,66.28,64.805
04/30/2026,65.38,"3,594,966",65.46,65.83,64.92
04/29/2026,65.43,"5,544,375",64.3,66.5,64.21
04/28/2026,65.15,"3,763,598",62.64,65.265,62.59
04/27/2026,62.32,"2,547,306",62.2,62.87,62.2
04/24/2026,62.26,"2,269,073",62.66,62.66,61.94
04/23/2026,62.65,"2,696,040",61.85,62.84,61.85
04/22/2026,61.7,"2,387,545",61.95,62.335,61.325
04/21/2026,61.85,"2,510,589",63.32,63.42,61.85
04/20/2026,63.43,"2,082,504",62.36,63.47,62.305
04/17/2026,62.68,"3,408,889",61.015,62.99,60.78
04/16/2026,60.49,"2,458,483",61.2,61.7,60.34
04/15/2026,61.3,"2,694,180",61.36,61.5351,60.82
04/14/2026,61.36,"2,594,843",60.71,61.555,60.6
04/13/2026,60.78,"1,923,735",60.94,60.96,59.96
04/10/2026,61.14,"2,461,829",60.5,61.29,60.37
04/09/2026,60.46,"1,521,549",60.4,61.05,60.35
04/08/2026,60.8,"2,264,699",60.85,61.28,60.485
04/07/2026,60.21,"2,287,833",60.16,60.89,60.06
04/06/2026,60.06,"2,097,941",60.16,60.64,59.8003
04/02/2026,60.27,"1,750,960",59.56,60.54,59.24
04/01/2026,59.55,"2,169,177",59.03,59.77,58.925
03/31/2026,59.15,"3,370,210",59.38,59.67,58.53
03/30/2026,58.58,"2,532,153",58.46,59.2,58.08
03/27/2026,58.75,"2,333,869",59.4,59.605,58.495
03/26/2026,59.51,"3,298,799",58.62,59.69,58.57
03/25/2026,58.46,"2,381,434",58.77,59.22,58.255
03/24/2026,58.67,"2,716,342",58.2,59.155,57.85
03/23/2026,58.41,"2,715,775",59.0,59.275,58.26
03/20/2026,57.98,"4,113,370",59.32,59.51,57.57
03/19/2026,59.31,"2,032,057",59.57,60.07,59.14
03/18/2026,59.85,"2,516,095",60.48,60.58,59.545
03/17/2026,61.02,"2,107,195",60.62,61.25,60.44
03/16/2026,60.06,"2,050,239",60.55,60.74,60.035
03/13/2026,59.99,"1,830,096",61.0,61.58,59.73
03/12/2026,60.27,"2,093,134",59.83,61.02,59.58
03/11/2026,60.16,"2,757,841",61.18,61.18,59.38
03/10/2026,61.48,"2,202,557",61.83,62.34,60.83
03/09/2026,62.18,"2,416,296",62.09,62.52,60.95
03/06/2026,62.72,"1,864,282",62.42,62.83,61.5401
03/05/2026,63.11,"2,733,677",62.21,63.235,61.98
03/04/2026,62.78,"1,676,754",62.37,62.975,61.96
03/03/2026,62.72,"1,713,620",62.38,63.19,61.575
03/02/2026,63.13,"2,488,688",63.21,63.63,62.56
02/27/2026,63.21,"3,378,197",63.73,63.9,62.75
02/26/2026,64.12,"2,287,609",63.62,64.455,63.38
02/25/2026,63.4,"2,100,844",63.5,63.885,62.8
02/24/2026,63.56,"2,002,228",63.18,63.9052,62.67
02/23/2026,63.32,"3,822,364",63.09,63.97,62.5
02/20/2026,62.6,"3,988,551",63.34,63.57,62.55
02/19/2026,63.05,"1,811,612",63.12,63.97,62.46
02/18/2026,63.59,"1,872,632",63.47,63.93,63.085
02/17/2026,63.48,"2,948,469",64.52,65.11,62.63
02/13/2026,63.86,"3,251,466",63.19,64.245,62.705
02/12/2026,63.05,"5,050,361",64.95,65.08,62.16
02/11/2026,64.65,"3,402,205",65.5,66.21,64.64
02/10/2026,65.57,"6,663,376",64.68,65.725,64.68
02/09/2026,64.67,"3,375,007",64.14,64.75,63.655
02/06/2026,63.89,"3,802,297",61.45,65.0,61.45
02/05/2026,61.77,"3,362,650",63.2,63.2,61.29
02/04/2026,63.08,"2,547,981",61.83,63.48,61.83
02/03/2026,61.79,"2,029,914",61.525,62.4,61.32
02/02/2026,61.61,"2,163,752",62.58,62.58,61.51
01/30/2026,62.32,"2,599,602",61.98,62.42,61.265
01/29/2026,61.86,"2,621,530",61.21,62.02,60.92
01/28/2026,60.76,"2,405,541",62.17,62.46,60.605
01/27/2026,62.15,"3,322,203",62.23,62.658,61.99
01/26/2026,62.12,"2,585,781",62.41,62.495,61.48
01/23/2026,62.09,"2,789,197",60.91,62.14,60.7
01/22/2026,60.96,"2,546,422",61.31,61.78,60.63
01/21/2026,61.35,"2,126,529",61.13,61.57,60.775
01/20/2026,61.02,"1,866,790",61.195,61.59,60.58
01/16/2026,62.04,"2,176,804",60.92,62.12,60.31
01/15/2026,61.17,"1,738,952",61.32,61.9,61.09
01/14/2026,61.2,"2,087,471",60.15,61.31,60.15
01/13/2026,60.19,"1,936,119",60.36,60.62,59.1
01/12/2026,60.26,"3,161,374",60.56,60.88,60.075
01/09/2026,60.44,"2,772,139",62.36,62.87,60.11
01/08/2026,62.87,"1,660,737",61.69,63.39,61.69
01/07/2026,61.94,"4,999,554",62.55,63.0,61.9
01/06/2026,62.41,"2,072,349",60.67,62.56,60.55
01/05/2026,60.92,"2,524,527",61.56,61.88,60.885
01/02/2026,62.03,"1,840,304",62.32,62.34,61.57
12/31/2025,63.04,"1,592,699",63.5,63.65,63.0
12/30/2025,63.5,"1,317,099",63.88,64.2,63.11
12/29/2025,63.28,"1,231,977",63.25,63.305,62.87
12/26/2025,63.09,"1,567,833",62.7,63.14,62.6
12/24/2025,62.73,"693,553",62.59,62.99,62.35
12/23/2025,62.33,"2,037,933",62.45,62.45,61.665
12/22/2025,62.29,"3,086,339",61.19,62.515,60.8901
12/19/2025,61.37,"4,433,239",62.26,62.26,61.36
12/18/2025,62.09,"2,855,750",61.99,62.64,61.76
12/17/2025,61.98,"3,384,277",60.96,62.27,60.78
12/16/2025,60.73,"2,780,208",61.26,61.295,60.47
12/15/2025,61.1,"2,019,648",61.15,61.29,60.73
12/12/2025,60.95,"1,952,608",60.9,61.22,60.61
12/11/2025,60.63,"2,189,121",60.86,61.39,60.42
12/10/2025,60.67,"2,669,579",60.07,61.12,60.07
12/09/2025,60.05,"1,955,077",60.91,61.44,60.01
12/08/2025,60.6,"2,540,260",61.205,61.25,60.02
12/05/2025,61.06,"2,214,130",61.38,61.835,60.98
12/04/2025,61.61,"2,796,210",61.9,62.416,61.5
12/03/2025,62.03,"2,300,277",61.87,62.295,61.77
12/02/2025,61.98,"1,867,199",61.66,62.16,61.1
12/01/2025,61.44,"1,963,904",61.28,62.13,61.02
11/28/2025,61.75,"941,839",61.5,62.04,61.45
11/26/2025,61.58,"2,186,611",60.89,61.945,60.835
11/25/2025,61.1,"1,933,234",60.82,61.64,60.775
11/24/2025,60.55,"3,265,297",60.26,60.91,59.96
11/21/2025,60.55,"2,948,223",59.41,60.8555,59.3901
11/20/2025,59.16,"1,726,365",59.38,59.94,59.0
11/19/2025,58.94,"1,932,273",59.15,59.21,58.66
11/18/2025,59.18,"1,932,621",59.08,59.53,58.8
11/17/2025,59.05,"1,922,755",59.66,59.72,58.85
11/14/2025,59.42,"1,923,733",59.63,60.02,59.25
11/13/2025,59.28,"2,306,034",59.16,59.82,59.06
11/12/2025,59.62,"1,955,764",60.07,60.57,59.57
11/11/2025,60.49,"1,987,111",59.85,60.565,59.61
11/10/2025,59.51,"2,003,573",59.63,59.76,58.79
11/07/2025,59.71,"2,352,065",59.03,59.79,58.8945
11/06/2025,58.7,"2,466,968",59.7,59.9,58.65
11/05/2025,59.77,"2,998,270",59.68,59.92,58.8
11/04/2025,59.38,"3,783,264",58.93,59.46,58.47
11/03/2025,59.08,"3,530,123",58.76,60.06,58.38
10/31/2025,59.44,"3,669,155",60.11,60.7,59.41
10/30/2025,60.31,"4,546,403",59.0,60.5,58.595
10/29/2025,58.91,"6,319,581",59.9,60.7,58.51
10/28/2025,61.46,"2,323,516",63.04,63.53,61.44
10/27/2025,63.31,"2,160,952",63.35,63.505,62.59
10/24/2025,63.42,"2,462,942",63.72,63.78,63.165
10/23/2025,63.33,"1,741,953",63.89,63.94,62.82
10/22/2025,63.74,"2,758,437",63.09,63.89,62.57
10/21/2025,62.82,"2,335,532",62.62,63.49,62.37
10/20/2025,62.35,"2,558,824",62.62,62.98,62.21
10/17/2025,62.21,"5,073,567",61.63,62.28,61.39
10/16/2025,61.5,"4,880,863",62.3,62.3,61.16
10/15/2025,62.09,"2,073,085",62.44,62.86,61.79
10/14/2025,62.3,"1,383,058",61.96,62.35,61.72
10/13/2025,62.01,"1,459,670",61.59,62.13,61.41
10/10/2025,61.67,"1,645,278",62.11,62.5,61.09
10/09/2025,61.97,"1,557,264",62.52,62.76,61.82
10/08/2025,62.33,"1,345,809",62.08,62.415,61.93
10/07/2025,62.47,"1,603,128",62.44,63.04,62.2
10/06/2025,62.22,"1,856,723",63.35,63.43,62.175
10/03/2025,63.3,"1,839,759",63.6,64.11,63.29
10/02/2025,63.48,"1,686,556",63.84,63.995,63.11
10/01/2025,64.1,"2,258,597",64.57,64.86,64.03
09/30/2025,64.73,"2,771,399",63.91,64.77,63.84
09/29/2025,64.12,"1,990,864",64.18,64.61,63.93
09/26/2025,64.53,"2,124,475",64.01,64.84,63.72
09/25/2025,63.74,"2,297,215",64.47,64.84,63.62
09/24/2025,65.16,"2,675,608",65.47,65.715,64.83
09/23/2025,65.68,"1,916,179",65.28,65.76,64.99
09/22/2025,65.29,"1,938,934",64.92,65.34,64.39
09/19/2025,65.05,"5,032,329",64.82,65.62,64.52
09/18/2025,64.87,"2,044,285",64.85,65.08,64.29
09/17/2025,64.63,"2,282,970",64.54,65.715,64.54
09/16/2025,64.75,"2,576,916",65.15,65.49,64.62
09/15/2025,65.28,"1,827,081",66.72,66.84,65.2
09/12/2025,66.44,"1,264,534",66.92,67.105,66.39
09/11/2025,66.89,"1,448,763",65.89,67.05,65.56
09/10/2025,65.86,"1,561,004",66.62,67.12,65.73
09/09/2025,66.62,"1,371,678",66.04,66.76,66.02
09/08/2025,66.39,"2,189,517",66.22,66.66,65.805
09/05/2025,66.81,"2,171,157",66.0,67.07,65.85
