date,close,volume,open,high,low
05/15/2026,56.22,"6,356,528",57.14,57.22,56.11
05/14/2026,56.57,"4,717,393",55.69,57.0,55.55
05/13/2026,55.93,"4,418,757",55.79,55.97,55.111
05/12/2026,55.78,"4,616,144",56.54,56.725,55.45
05/11/2026,56.45,"7,976,918",56.5,57.0,56.15
05/08/2026,55.96,"6,206,927",56.38,56.7177,55.915
05/07/2026,56.22,"9,948,950",56.58,56.705,55.31
05/06/2026,57.36,"7,686,942",57.48,58.27,57.03
05/05/2026,58.72,"7,037,507",58.625,59.41,57.91
05/04/2026,59.08,"5,537,047",58.8,59.825,58.69
05/01/2026,58.66,"7,408,481",60.0,60.03,58.13
04/30/2026,60.08,"6,907,933",58.72,60.66,58.65
04/29/2026,59.11,"8,724,629",59.56,60.3,58.8
04/28/2026,59.42,"6,598,562",59.44,60.06,59.29
04/27/2026,58.64,"9,473,775",59.56,60.795,58.4
04/24/2026,58.91,"8,010,338",58.56,59.05,57.92
04/23/2026,58.93,"9,733,600",58.86,59.5,57.88
04/22/2026,58.72,"10,616,260",58.31,59.26,56.78
04/21/2026,56.98,"8,789,386",56.68,57.42,56.26
04/20/2026,57.0,"9,355,882",57.6,58.51,56.755
04/17/2026,58.48,"10,518,800",56.755,58.61,56.38
04/16/2026,58.39,"8,829,798",56.985,58.495,56.76
04/15/2026,56.76,"6,716,235",56.5,57.1693,56.39
04/14/2026,56.71,"5,625,997",57.47,57.86,56.495
04/13/2026,57.7,"5,650,347",58.78,58.97,57.205
04/10/2026,58.68,"5,061,008",58.91,59.49,58.14
04/09/2026,59.47,"6,067,668",60.22,60.855,59.095
04/08/2026,60.18,"10,656,820",58.92,60.39,58.09
04/07/2026,60.69,"5,720,979",60.7,61.55,60.205
04/06/2026,60.4,"4,603,746",59.55,60.91,59.4696
04/02/2026,59.7,"8,807,071",62.085,62.17,59.4
04/01/2026,61.09,"11,694,360",62.495,63.235,60.955
03/31/2026,63.64,"10,817,890",65.01,65.57,62.67
03/30/2026,64.44,"9,880,198",67.46,67.74,63.86
03/27/2026,67.55,"5,862,456",67.45,68.24,67.28
03/26/2026,66.86,"7,531,296",67.875,67.875,66.72
03/25/2026,67.93,"7,112,330",65.51,67.99,65.4
03/24/2026,65.33,"9,451,745",65.7,67.26,65.2
03/23/2026,65.23,"11,294,690",63.33,66.49,63.01
03/20/2026,64.67,"15,139,290",65.0,66.27,64.43
03/19/2026,64.68,"13,260,230",64.32,67.15,63.845
03/18/2026,63.52,"7,273,471",64.43,64.6,62.11
03/17/2026,64.43,"5,881,765",64.81,65.68,59.5
03/16/2026,64.31,"6,547,129",64.24,64.99,63.95
03/13/2026,64.37,"8,545,511",64.44,65.34,64.06
03/12/2026,64.64,"9,253,960",64.26,65.32,63.57
03/11/2026,63.83,"10,464,540",62.05,63.84,61.85
03/10/2026,61.83,"8,120,727",61.9,62.36,61.33
03/09/2026,62.23,"12,013,100",62.34,62.928,61.51
03/06/2026,61.96,"7,818,202",62.27,63.0,61.71
03/05/2026,61.67,"7,692,205",61.31,62.39,61.01
03/04/2026,61.31,"8,344,048",60.9,61.46,60.115
03/03/2026,61.61,"9,201,048",62.05,63.06,60.5761
03/02/2026,61.64,"8,856,374",62.29,62.4925,60.61
02/27/2026,61.42,"12,160,120",60.42,61.77,60.25
02/26/2026,59.74,"9,819,813",58.6,59.99,58.52
02/25/2026,59.38,"8,613,014",58.5,59.6,58.5
02/24/2026,58.41,"8,558,072",58.95,59.11,57.63
02/23/2026,59.03,"7,552,845",60.51,61.25,58.63
02/20/2026,60.5,"12,245,690",60.0,60.89,59.61
02/19/2026,59.77,"14,132,700",59.77,61.24,59.01
02/18/2026,58.63,"12,993,640",56.28,59.55,55.8124
02/17/2026,57.75,"10,209,420",58.74,58.89,56.465
02/13/2026,58.7,"8,800,857",56.67,59.01,56.4242
02/12/2026,57.18,"12,153,210",57.0,57.86,56.16
02/11/2026,56.93,"6,922,811",56.02,57.34,55.78
