date,close,volume,open,high,low
05/15/2026,213.05,"150,607",215.45,220.49,212.01
05/14/2026,213.31,"222,826",214.59,216.4,211.38
05/13/2026,212.66,"168,343",216.39,219.92,211.475
05/12/2026,218.5,"171,159",217.28,221.41,215.0
05/11/2026,217.09,"195,651",217.0,218.6,212.55
05/08/2026,215.9,"140,529",216.42,218.215,211.01
05/07/2026,216.75,"224,939",213.3,219.19,213.3
05/06/2026,213.56,"219,243",221.25,223.71,213.55
05/05/2026,221.24,"432,971",210.9,223.46,210.9
05/04/2026,210.65,"229,976",214.85,217.75,210.065
05/01/2026,214.96,"254,592",220.91,224.82,214.21
04/30/2026,218.93,"323,858",217.34,219.71,215.44
04/29/2026,219.73,"198,001",227.74,227.93,217.945
04/28/2026,229.94,"232,152",235.2,236.135,228.755
04/27/2026,231.22,"248,419",236.75,236.75,225.495
04/24/2026,233.62,"392,928",248.73,256.77,231.0
04/23/2026,248.9,"253,900",251.56,251.56,246.34
04/22/2026,250.0,"169,079",252.06,254.165,248.0
04/21/2026,253.85,"215,498",253.47,257.54,251.77
04/20/2026,253.63,"224,882",244.77,254.52,243.2955
04/17/2026,244.81,"255,016",241.95,246.65,241.43
04/16/2026,241.27,"278,091",245.17,246.955,240.05
04/15/2026,244.53,"275,645",250.32,250.845,242.25
04/14/2026,249.43,"214,085",261.29,261.71,249.43
04/13/2026,261.29,"159,367",252.22,262.245,251.42
04/10/2026,253.76,"248,790",257.79,260.585,251.8
04/09/2026,257.25,"156,895",250.4,259.55,250.4
04/08/2026,253.38,"216,613",249.03,254.5667,248.345
04/07/2026,248.54,"164,503",252.49,254.0,248.11
04/06/2026,254.33,"119,029",249.03,254.76,248.145
04/02/2026,249.51,"128,856",247.68,251.74,245.5
04/01/2026,246.99,"145,125",251.05,251.05,245.0
03/31/2026,251.31,"263,709",249.45,252.67,245.235
03/30/2026,247.99,"226,419",243.55,250.33,242.92
03/27/2026,240.87,"134,095",244.43,244.43,240.53
03/26/2026,243.26,"195,934",236.46,244.78,236.375
03/25/2026,236.09,"162,964",241.63,243.545,233.82
03/24/2026,240.53,"171,019",245.69,247.43,240.39
03/23/2026,245.88,"316,898",242.63,248.98,239.47
03/20/2026,240.37,"1,472,659",240.86,243.3,239.83
03/19/2026,240.93,"210,043",244.46,245.4,235.22
03/18/2026,243.87,"196,636",245.4,250.39,243.79
03/17/2026,247.08,"152,266",249.54,253.33,245.3
03/16/2026,247.23,"166,292",247.09,250.38,245.76
03/13/2026,246.91,"127,017",246.5,247.3,242.545
03/12/2026,243.03,"238,878",240.65,246.64,240.65
03/11/2026,242.7,"240,446",244.8,247.5,237.585
03/10/2026,243.99,"208,897",253.42,257.48,242.365
03/09/2026,255.66,"328,897",259.0,259.5,247.0
03/06/2026,259.85,"282,326",268.03,270.94,259.8
03/05/2026,269.7,"172,642",272.0,278.165,269.56
03/04/2026,272.19,"186,359",269.41,275.1608,262.34
03/03/2026,272.16,"178,891",265.575,273.25,260.83
03/02/2026,266.75,"188,388",269.5,271.17,263.33
02/27/2026,269.44,"241,648",268.87,269.66,263.64
02/26/2026,268.7,"241,761",272.36,276.63,268.66
02/25/2026,269.82,"290,503",258.82,271.06,256.64
02/24/2026,257.01,"441,184",258.49,262.81,247.01
02/23/2026,263.77,"254,365",273.42,273.95,263.38
02/20/2026,273.04,"198,635",277.14,279.47,270.74
02/19/2026,274.63,"183,437",277.99,277.99,271.98
02/18/2026,277.4,"158,227",283.65,285.18,277.15
02/17/2026,283.85,"323,064",282.9,287.91,282.435
02/13/2026,279.11,"163,657",282.78,284.355,276.46
02/12/2026,282.94,"161,233",279.86,286.29,278.095
02/11/2026,280.49,"231,561",276.69,281.409,271.105
02/10/2026,278.64,"286,025",270.79,280.1,267.395
02/09/2026,269.57,"246,374",286.32,288.98,269.3
02/06/2026,287.71,"192,799",287.37,292.69,284.86
02/05/2026,285.62,"124,775",285.55,291.27,284.78
02/04/2026,286.38,"259,401",282.0,292.18,280.9
02/03/2026,280.75,"165,376",279.93,286.83,278.77
02/02/2026,281.93,"165,461",284.65,285.21,279.98
01/30/2026,283.01,"616,377",282.61,284.12,277.62
01/29/2026,282.1,"214,283",275.34,284.66,275.34
01/28/2026,273.53,"175,066",272.5,274.72,270.07
01/27/2026,272.5,"176,495",280.36,281.55,272.35
01/26/2026,280.55,"159,001",277.96,280.67,275.785
01/23/2026,275.85,"143,556",283.65,285.47,275.1401
01/22/2026,285.35,"121,833",280.0,286.365,278.96
01/21/2026,279.9,"181,468",286.45,289.8699,275.0
01/20/2026,286.88,"192,195",283.24,290.08,280.51
01/16/2026,283.21,"176,348",281.96,283.24,279.24
01/15/2026,283.07,"92,823",284.56,288.22,282.97
01/14/2026,283.85,"148,561",282.21,286.47,282.21
01/13/2026,281.41,"276,570",283.15,290.16,280.33
01/12/2026,282.3,"171,478",282.25,287.02,280.6
01/09/2026,280.52,"86,884",285.17,287.38,280.24
01/08/2026,285.36,"100,414",280.18,288.37,280.18
01/07/2026,281.9,"115,831",285.82,285.88,281.81
01/06/2026,285.51,"133,498",278.7,285.97,277.24
01/05/2026,281.93,"146,884",275.87,284.095,275.815
