date,close,volume,open,high,low
05/15/2026,67.17,"2,490,085",68.49,68.49,66.8278
05/14/2026,68.81,"1,681,444",68.55,69.0,68.15
05/13/2026,68.25,"1,970,744",68.12,68.6399,67.73
05/12/2026,68.73,"2,875,546",67.25,68.945,66.84
05/11/2026,67.24,"2,730,087",67.19,68.1,67.1
05/08/2026,66.51,"3,620,526",67.74,68.19,66.33
05/07/2026,67.04,"3,670,909",67.69,67.96,66.465
05/06/2026,68.52,"1,968,711",68.71,69.28,68.36
05/05/2026,68.9,"2,000,364",69.59,69.935,68.87
05/04/2026,69.44,"1,795,801",70.6,70.95,68.83
05/01/2026,71.07,"2,150,136",70.7,71.76,70.17
04/30/2026,70.7,"4,696,083",69.02,71.1,68.9
04/29/2026,68.72,"1,879,605",68.05,68.76,67.68
04/28/2026,68.58,"1,617,539",69.25,69.34,68.425
04/27/2026,68.72,"1,436,158",68.81,69.225,68.28
04/24/2026,68.64,"1,655,760",68.93,69.2,68.11
04/23/2026,68.77,"1,433,188",67.59,68.85,67.585
04/22/2026,67.05,"1,454,543",67.49,68.125,66.82
04/21/2026,66.82,"1,636,804",68.72,68.75,66.81
04/20/2026,68.51,"1,328,853",68.87,69.55,68.18
04/17/2026,69.25,"1,650,194",69.36,69.36,68.15
04/16/2026,69.18,"1,478,323",68.71,69.44,68.42
04/15/2026,68.77,"1,919,777",68.59,69.22,68.1
04/14/2026,69.01,"1,497,810",68.63,69.15,68.03
04/13/2026,68.68,"1,913,683",69.81,69.985,68.07
04/10/2026,69.97,"2,237,191",70.58,70.82,69.74
04/09/2026,70.57,"2,614,176",69.76,71.195,69.76
04/08/2026,69.95,"2,426,998",69.25,70.36,68.98
04/07/2026,69.49,"1,345,065",69.36,69.79,69.23
04/06/2026,69.44,"1,349,880",69.19,70.09,68.99
04/02/2026,69.47,"2,522,782",69.87,69.9,69.095
04/01/2026,69.65,"2,467,421",68.52,69.75,68.0
03/31/2026,69.28,"3,062,670",68.81,69.32,68.055
03/30/2026,68.41,"3,025,210",68.58,69.74,68.1
03/27/2026,67.59,"2,458,125",67.58,68.13,67.05
03/26/2026,67.96,"2,015,816",67.0,68.545,66.97
03/25/2026,67.04,"3,495,751",68.47,68.95,66.97
03/24/2026,67.47,"2,693,731",67.0,68.1,66.76
03/23/2026,67.65,"2,904,084",67.52,68.335,66.7634
03/20/2026,66.67,"7,240,749",68.9,69.672,66.32
03/19/2026,69.62,"4,626,125",72.74,73.04,69.43
03/18/2026,72.74,"3,029,558",72.2,73.26,71.85
03/17/2026,72.44,"2,279,208",73.67,73.88,72.26
03/16/2026,73.2,"2,699,645",73.44,73.84,72.13
03/13/2026,73.1,"2,245,026",74.27,74.27,72.91
03/12/2026,73.21,"1,998,390",73.98,74.57,73.1
03/11/2026,73.94,"1,433,623",74.01,74.15,73.2025
03/10/2026,73.61,"2,038,762",73.52,74.075,72.9
03/09/2026,73.85,"2,590,509",74.5,74.965,72.73
03/06/2026,74.44,"1,938,484",73.51,74.77,73.05
03/05/2026,73.87,"2,172,924",73.79,74.085,72.99
03/04/2026,75.32,"2,337,205",74.73,75.51,73.965
03/03/2026,74.73,"2,084,123",73.5,75.26,72.325
03/02/2026,74.42,"2,455,092",76.21,76.21,74.25
02/27/2026,76.21,"3,171,953",75.17,76.41,75.015
02/26/2026,75.05,"1,770,048",75.08,75.43,74.715
02/25/2026,74.92,"3,188,397",74.89,75.09,73.22
02/24/2026,75.13,"2,336,804",74.83,75.275,73.96
02/23/2026,74.87,"2,455,966",73.37,74.98,73.37
02/20/2026,73.56,"4,759,637",73.84,74.28,73.1
02/19/2026,73.67,"2,642,119",71.71,74.145,71.71
02/18/2026,71.72,"2,263,831",73.2,73.51,71.59
02/17/2026,73.03,"4,114,780",75.0,75.0,72.25
02/13/2026,73.36,"4,279,062",71.4,74.13,70.59
02/12/2026,70.32,"2,810,835",70.3,71.56,70.03
02/11/2026,70.22,"2,739,578",69.1,70.245,68.215
02/10/2026,69.3,"2,323,056",67.4,69.69,67.4
02/09/2026,67.63,"2,612,475",67.74,67.77,66.6
02/06/2026,67.36,"3,036,818",68.56,68.97,67.12
02/05/2026,67.73,"2,548,896",68.56,69.16,67.55
02/04/2026,68.24,"3,332,198",69.1,69.39,68.07
02/03/2026,68.54,"3,142,127",67.84,69.455,67.84
02/02/2026,67.91,"3,160,708",69.11,69.44,67.75
01/30/2026,69.13,"3,315,617",68.79,69.25,68.15
01/29/2026,68.92,"2,967,546",70.16,70.835,68.695
01/28/2026,69.9,"3,141,820",71.0,71.38,69.74
01/27/2026,70.63,"1,928,311",70.18,70.855,69.8801
01/26/2026,70.33,"1,587,504",69.59,71.07,69.59
01/23/2026,69.58,"2,441,769",70.42,70.52,68.88
01/22/2026,70.45,"1,475,453",71.27,71.57,70.28
01/21/2026,71.38,"2,016,003",71.32,71.6,70.55
01/20/2026,70.79,"2,584,008",69.53,70.84,69.28
01/16/2026,70.11,"3,203,490",69.395,70.315,69.05
01/15/2026,69.69,"2,504,180",69.94,71.36,69.49
01/14/2026,69.95,"3,043,063",68.69,70.54,68.43
01/13/2026,68.4,"1,743,488",68.75,68.92,67.595
01/12/2026,68.75,"3,227,013",67.33,69.21,66.8702
01/09/2026,67.79,"2,003,372",67.92,69.025,67.65
