date,close,volume,open,high,low
05/15/2026,267.06,"835,760",268.22,270.78,265.22
05/14/2026,268.53,"634,068",273.0,273.0,268.155
05/13/2026,271.94,"427,164",267.26,271.96,265.68
05/12/2026,268.64,"329,053",270.18,270.18,265.6334
05/11/2026,268.77,"411,504",265.62,269.22,264.98
05/08/2026,263.55,"381,496",267.25,267.39,263.49
05/07/2026,267.37,"408,309",267.09,268.826,264.48
05/06/2026,267.26,"322,750",267.68,269.62,266.7
05/05/2026,266.69,"251,719",265.09,268.53,264.17
05/04/2026,264.67,"354,931",266.46,267.87,262.01
05/01/2026,263.35,"408,849",263.32,265.245,258.49
04/30/2026,263.21,"733,886",265.78,267.96,260.12
04/29/2026,264.92,"1,016,027",269.33,270.35,259.365
04/28/2026,267.88,"718,864",260.29,269.37,259.05
04/27/2026,256.83,"570,186",255.49,258.95,255.4
04/24/2026,255.37,"378,854",255.2,256.22,253.2
04/23/2026,255.06,"356,505",253.03,256.23,252.78
04/22/2026,252.19,"306,398",254.08,254.86,250.6
04/21/2026,253.16,"303,884",257.98,258.975,253.15
04/20/2026,258.54,"301,006",252.98,258.81,252.98
04/17/2026,254.97,"462,494",248.76,255.51,248.56
04/16/2026,248.0,"424,682",250.0,252.98,246.9
04/15/2026,251.71,"375,990",251.3,252.335,249.17
04/14/2026,251.42,"494,575",250.38,251.72,248.16
04/13/2026,248.95,"388,567",249.31,250.03,246.355
04/10/2026,250.07,"437,138",249.91,253.93,249.29
04/09/2026,250.03,"394,867",250.44,252.13,249.4
04/08/2026,251.9,"566,136",252.0,254.14,250.05
04/07/2026,248.3,"290,191",247.45,250.25,247.39
04/06/2026,247.71,"266,032",246.23,249.02,245.74
04/02/2026,247.34,"483,299",241.83,248.39,240.875
04/01/2026,243.08,"407,113",241.22,244.48,240.54
03/31/2026,242.0,"665,263",243.73,244.42,239.74
03/30/2026,242.61,"466,159",241.95,244.75,240.73
03/27/2026,239.61,"483,756",244.3,244.3,238.46
03/26/2026,243.71,"537,719",241.42,245.2,241.42
03/25/2026,242.14,"605,904",244.95,245.595,241.53
03/24/2026,243.5,"302,073",240.98,245.46,239.96
03/23/2026,242.58,"806,710",244.51,247.68,242.28
03/20/2026,240.19,"878,816",246.47,247.39,239.99
03/19/2026,246.28,"507,298",246.18,248.29,245.42
03/18/2026,246.7,"448,373",249.29,250.27,246.29
03/17/2026,251.06,"341,135",251.12,252.36,249.42
03/16/2026,249.1,"454,607",252.64,254.37,248.11
03/13/2026,249.95,"516,114",255.01,255.24,249.12
03/12/2026,251.38,"485,811",248.94,254.16,248.505
03/11/2026,250.22,"604,748",251.69,253.14,247.77
03/10/2026,254.29,"554,039",253.87,257.2,251.145
03/09/2026,255.34,"650,341",252.99,256.65,249.01
03/06/2026,255.13,"324,487",255.95,256.25,250.51
03/05/2026,258.24,"404,347",253.85,258.48,253.42
03/04/2026,256.07,"360,400",253.52,256.54,252.55
03/03/2026,255.5,"349,824",251.79,256.56,248.86
03/02/2026,256.03,"488,261",252.03,257.24,252.03
02/27/2026,255.11,"900,775",259.83,260.59,253.36
02/26/2026,262.74,"421,763",260.66,263.94,260.0
02/25/2026,259.93,"518,215",257.93,260.34,256.27
02/24/2026,258.4,"344,266",255.14,258.895,253.36
02/23/2026,255.33,"559,906",254.95,258.905,253.6
02/20/2026,254.52,"528,584",255.9,256.535,253.425
02/19/2026,254.43,"254,306",254.68,257.0,252.36
02/18/2026,256.18,"383,322",253.3,256.66,251.76
02/17/2026,253.35,"431,972",252.7,254.17,249.99
02/13/2026,251.16,"509,954",252.14,254.36,250.01
02/12/2026,251.36,"821,879",264.5,264.5,249.46
02/11/2026,261.41,"514,216",262.98,266.49,260.75
02/10/2026,262.51,"515,345",258.44,263.07,257.615
02/09/2026,257.8,"419,186",256.77,259.23,255.56
02/06/2026,258.06,"947,087",251.5,258.74,251.5
02/05/2026,251.49,"1,206,037",250.01,253.245,246.99
02/04/2026,252.57,"779,962",248.14,254.08,247.98
02/03/2026,247.59,"598,828",247.8,251.1,245.7
02/02/2026,248.46,"459,915",252.05,252.19,248.41
01/30/2026,251.87,"678,255",252.37,252.96,246.12
01/29/2026,249.88,"565,285",247.75,250.55,246.05
01/28/2026,245.48,"542,609",252.26,253.08,244.63
01/27/2026,251.73,"432,586",252.1,254.17,251.71
01/26/2026,252.93,"447,966",255.44,255.44,251.66
01/23/2026,254.08,"589,605",254.29,254.98,251.21
01/22/2026,252.95,"547,443",257.03,259.48,252.785
01/21/2026,257.24,"597,875",257.55,258.89,254.265
01/20/2026,256.25,"678,299",254.37,257.1,253.58
01/16/2026,258.27,"565,950",253.22,259.34,252.55
01/15/2026,253.52,"409,849",254.43,255.03,252.65
01/14/2026,253.18,"635,033",249.69,254.4,249.69
01/13/2026,249.92,"590,693",250.09,251.0,247.69
01/12/2026,250.09,"665,657",251.43,253.33,249.2
01/09/2026,251.02,"806,839",255.31,257.26,248.57
01/08/2026,256.95,"470,862",249.66,258.92,249.66
01/07/2026,251.06,"767,844",258.05,258.9,249.76
01/06/2026,256.61,"694,983",251.99,257.64,251.61
01/05/2026,253.06,"748,384",255.5,256.45,252.2
01/02/2026,256.89,"540,625",259.02,260.46,254.93
12/31/2025,261.68,"414,682",264.08,264.39,261.4768
12/30/2025,263.92,"268,302",262.99,264.48,262.6426
12/29/2025,262.99,"242,202",263.3,263.46,261.65
12/26/2025,262.16,"265,321",260.87,262.22,259.91
12/24/2025,261.12,"167,297",260.6,262.2,259.49
12/23/2025,259.69,"291,538",261.13,261.13,257.765
12/22/2025,260.84,"810,812",257.0,261.855,256.09
12/19/2025,257.39,"1,207,586",260.03,260.92,257.37
12/18/2025,261.07,"489,834",263.57,263.57,260.44
12/17/2025,262.45,"542,419",255.58,264.12,255.415
12/16/2025,255.44,"626,501",258.25,259.07,252.56
12/15/2025,259.26,"614,198",259.2,260.155,257.375
12/12/2025,257.62,"763,445",259.66,261.25,257.595
12/11/2025,258.13,"480,836",256.64,259.005,255.25
12/10/2025,255.21,"635,248",252.4,257.23,252.4
12/09/2025,252.2,"486,324",253.41,255.58,250.78
12/08/2025,252.22,"412,674",255.4,255.7,252.01
12/05/2025,255.37,"314,333",256.79,258.78,255.0
12/04/2025,257.57,"396,523",259.98,262.1,257.16
12/03/2025,259.78,"459,692",260.33,262.87,259.57
12/02/2025,260.73,"438,051",260.54,261.71,258.24
12/01/2025,260.24,"458,847",261.43,263.905,260.06
11/28/2025,263.62,"142,150",261.84,264.7,261.165
11/26/2025,262.12,"264,436",259.65,263.7726,259.65
11/25/2025,261.16,"383,686",260.16,263.5919,259.75
11/24/2025,260.25,"492,045",260.76,262.1,259.1
11/21/2025,261.2,"392,201",256.1,262.17,256.1
11/20/2025,255.73,"457,375",257.12,258.61,254.98
11/19/2025,254.63,"251,995",254.41,255.94,251.45
11/18/2025,253.58,"310,961",253.05,255.05,251.14
11/17/2025,252.29,"385,944",255.74,255.82,251.655
11/14/2025,254.59,"398,240",253.85,256.97,252.33
11/13/2025,253.61,"524,411",252.45,255.91,252.02
11/12/2025,254.97,"911,798",260.1,262.12,253.94
11/11/2025,261.71,"328,623",261.09,263.1306,259.41
11/10/2025,260.15,"451,188",259.21,261.51,256.01
11/07/2025,260.42,"644,701",256.97,260.42,256.145
11/06/2025,256.26,"431,268",259.98,260.58,256.14
11/05/2025,260.36,"552,845",257.0,261.51,255.94
11/04/2025,256.56,"563,784",253.84,256.85,252.045
11/03/2025,254.32,"620,016",248.28,254.65,247.4
10/31/2025,251.77,"861,218",249.51,257.17,248.17
10/30/2025,249.82,"1,097,303",250.16,255.4,243.25
10/29/2025,247.18,"859,186",253.87,254.74,246.62
10/28/2025,256.15,"510,127",261.02,262.86,255.75
