date,close,volume,open,high,low
05/15/2026,109.03,"5,005,397",111.57,111.985,108.99
05/14/2026,112.9,"2,318,908",112.47,113.015,111.97
05/13/2026,112.35,"3,218,746",112.46,113.01,111.61
05/12/2026,112.93,"4,911,056",112.7,113.18,112.0
05/11/2026,112.97,"2,743,221",112.49,113.35,111.13
05/08/2026,111.59,"4,139,216",112.43,112.95,110.71
05/07/2026,112.02,"7,808,283",112.69,112.905,111.255
05/06/2026,112.96,"16,657,250",113.22,113.5,112.35
05/05/2026,117.36,"2,077,050",117.0,118.11,116.61
05/04/2026,116.4,"1,724,304",115.58,117.315,114.995
05/01/2026,116.43,"2,737,479",117.07,118.445,116.06
04/30/2026,117.91,"3,085,702",116.39,118.225,114.96
04/29/2026,114.67,"4,129,343",116.15,117.95,114.295
04/28/2026,113.16,"2,531,662",114.06,114.06,112.63
04/27/2026,113.44,"2,625,608",114.17,114.62,113.41
04/24/2026,113.64,"2,755,498",113.75,114.3,113.205
04/23/2026,113.92,"2,013,200",111.62,114.11,111.23
04/22/2026,110.47,"2,758,908",112.39,112.98,109.62
04/21/2026,111.24,"5,426,586",114.59,114.6955,110.5
04/20/2026,113.66,"3,184,828",114.99,115.455,113.16
04/17/2026,115.52,"3,754,288",115.13,115.98,114.0
04/16/2026,115.51,"2,833,396",114.66,115.655,114.44
04/15/2026,114.95,"3,103,492",115.0,115.51,114.29
04/14/2026,115.57,"2,056,433",115.34,115.92,114.08
04/13/2026,115.33,"1,814,324",116.46,116.46,114.23
04/10/2026,116.47,"1,890,128",117.14,117.805,116.28
04/09/2026,117.44,"2,758,923",114.74,117.68,114.74
04/08/2026,114.61,"2,872,354",113.45,114.96,112.95
04/07/2026,113.87,"2,108,715",114.09,115.38,113.7412
04/06/2026,114.57,"2,765,935",114.64,115.61,114.1
04/02/2026,114.9,"2,365,915",113.54,115.3151,113.0
04/01/2026,113.58,"3,023,641",111.81,114.07,111.81
03/31/2026,112.36,"3,267,502",111.13,112.53,109.92
03/30/2026,111.06,"3,562,203",111.54,111.78,109.55
03/27/2026,109.88,"9,098,011",106.06,111.99,104.94
03/26/2026,102.86,"1,989,825",102.33,103.085,101.78
03/25/2026,102.76,"2,487,435",103.37,103.74,102.355
03/24/2026,102.52,"2,290,543",100.82,103.69,100.75
03/23/2026,101.34,"2,715,124",101.45,102.89,100.73
03/20/2026,99.9,"5,883,542",104.01,104.25,99.24
03/19/2026,103.94,"2,764,514",103.32,104.7168,102.28
03/18/2026,104.26,"2,509,650",105.52,105.69,103.97
03/17/2026,106.07,"1,726,856",107.06,107.15,105.87
03/16/2026,106.17,"1,751,067",106.71,106.71,105.54
03/13/2026,105.58,"1,969,211",105.48,106.62,105.2
03/12/2026,104.52,"3,066,280",103.48,106.08,103.0
03/11/2026,103.82,"2,457,638",104.96,104.96,103.425
03/10/2026,104.76,"1,759,169",105.88,105.89,103.91
03/09/2026,104.65,"2,904,236",104.21,104.79,102.73
03/06/2026,104.7,"1,976,506",104.49,105.69,103.81
03/05/2026,105.48,"2,260,997",105.41,106.46,104.68
03/04/2026,106.49,"3,070,149",106.55,107.105,104.855
03/03/2026,105.81,"2,737,788",104.84,106.88,103.03
03/02/2026,106.63,"2,236,014",106.75,107.93,106.34
02/27/2026,107.11,"3,008,290",105.75,107.21,105.38
02/26/2026,105.73,"1,975,661",106.62,107.175,105.59
02/25/2026,106.26,"2,541,490",105.24,106.655,104.145
02/24/2026,105.2,"2,857,101",105.01,105.65,104.005
02/23/2026,104.87,"3,035,503",103.92,106.0,103.92
02/20/2026,104.02,"2,721,624",103.84,104.205,102.82
02/19/2026,103.33,"2,036,379",102.25,103.485,102.01
02/18/2026,102.39,"1,880,383",104.47,104.63,102.05
02/17/2026,104.44,"3,062,476",106.0,106.7099,104.085
02/13/2026,105.07,"6,208,479",102.44,105.69,102.005
02/12/2026,101.96,"5,095,660",99.67,102.94,99.0
02/11/2026,100.2,"3,238,286",100.33,101.225,99.32
02/10/2026,99.71,"2,903,199",98.45,100.32,97.89
02/09/2026,98.15,"1,912,721",97.18,98.46,96.96
02/06/2026,97.96,"2,513,728",97.92,98.55,96.2901
02/05/2026,96.89,"3,637,919",97.06,98.08,96.25
02/04/2026,96.83,"3,261,747",98.0,98.54,96.465
02/03/2026,97.35,"2,641,177",95.95,97.52,95.86
02/02/2026,95.49,"2,390,864",95.92,96.92,95.11
01/30/2026,95.89,"2,769,748",95.56,96.28,94.445
01/29/2026,96.03,"3,422,138",95.89,98.0,95.4
01/28/2026,96.48,"1,857,890",96.69,97.7199,96.02
01/27/2026,96.58,"2,097,906",94.95,96.62,94.7
01/26/2026,94.97,"2,728,729",93.63,95.155,93.535
01/23/2026,93.19,"2,512,810",93.46,93.86,92.29
01/22/2026,93.54,"3,095,101",95.73,95.77,93.39
01/21/2026,95.73,"2,891,126",95.6,96.4101,94.61
01/20/2026,94.75,"2,364,160",95.66,96.68,94.61
01/16/2026,96.42,"2,133,219",95.48,96.87,95.27
01/15/2026,95.67,"3,034,710",95.27,95.94,94.686
01/14/2026,95.17,"2,209,746",94.32,95.2225,93.96
01/13/2026,94.37,"2,192,653",93.16,94.37,92.8101
01/12/2026,93.5,"1,774,186",93.13,94.25,92.95
01/09/2026,93.52,"2,848,578",92.81,94.12,92.065
01/08/2026,91.19,"3,691,694",91.32,92.145,90.92
01/07/2026,91.31,"1,612,554",93.73,93.99,91.18
01/06/2026,93.32,"1,750,972",92.71,93.68,92.45
01/05/2026,92.55,"2,011,266",93.71,93.74,90.985
01/02/2026,93.86,"1,872,944",92.57,94.29,91.895
12/31/2025,92.43,"1,513,261",93.36,93.37,92.39
12/30/2025,93.37,"1,597,914",93.05,93.638,92.8901
12/29/2025,93.13,"1,491,704",92.98,93.69,92.96
12/26/2025,92.85,"1,288,789",92.44,92.97,92.0485
12/24/2025,92.67,"780,235",92.28,92.84,92.02
12/23/2025,92.33,"2,550,028",92.06,92.68,91.72
12/22/2025,91.99,"2,144,912",91.79,92.08,90.8675
12/19/2025,91.5,"6,062,367",92.51,93.01,91.45
12/18/2025,92.21,"2,821,097",92.49,92.84,91.91
12/17/2025,91.83,"3,647,562",92.97,93.135,91.67
12/16/2025,92.81,"2,113,786",93.435,94.2,92.63
12/15/2025,93.75,"2,499,035",92.13,94.02,91.575
12/12/2025,92.35,"3,197,762",93.36,93.5746,91.71
12/11/2025,93.32,"2,504,557",92.98,93.86,92.6
12/10/2025,93.33,"2,248,137",93.23,93.55,92.21
12/09/2025,93.23,"2,972,670",93.23,94.24,93.21
12/08/2025,92.9,"3,219,723",94.17,94.21,92.545
12/05/2025,94.22,"3,317,394",93.93,94.82,93.63
12/04/2025,94.46,"3,742,637",93.96,95.0,93.4
12/03/2025,94.24,"5,825,977",93.25,94.26,92.39
12/02/2025,92.97,"2,029,152",95.07,95.07,92.92
12/01/2025,94.59,"2,295,460",96.67,96.99,94.415
11/28/2025,97.52,"928,696",97.0,97.66,96.66
11/26/2025,96.55,"1,902,132",95.93,96.86,95.54
11/25/2025,95.27,"2,318,242",95.8,96.03,94.58
11/24/2025,95.48,"3,527,983",93.7,95.74,93.16
11/21/2025,93.7,"2,601,140",93.57,94.205,92.74
11/20/2025,93.35,"3,767,156",94.63,95.89,93.345
11/19/2025,94.03,"2,179,320",94.45,95.1,93.7
11/18/2025,94.44,"2,481,865",95.54,96.195,94.43
11/17/2025,95.54,"2,949,066",95.45,96.38,94.75
11/14/2025,95.05,"2,465,007",94.29,95.65,93.98
11/13/2025,94.42,"2,706,508",95.43,95.995,94.3
11/12/2025,96.54,"2,247,194",96.89,97.21,96.25
11/11/2025,96.87,"2,197,922",96.8,97.33,95.745
11/10/2025,97.11,"2,657,551",97.21,98.46,97.0
11/07/2025,97.19,"2,658,677",95.885,97.19,95.17
11/06/2025,95.7,"1,786,484",96.23,96.76,95.67
11/05/2025,96.28,"2,212,765",96.26,97.1,95.46
11/04/2025,96.23,"2,511,396",96.88,97.09,95.85
11/03/2025,96.87,"3,291,583",95.82,97.474,94.925
10/31/2025,96.09,"3,196,601",96.12,97.005,95.56
10/30/2025,96.05,"3,029,593",95.18,97.215,95.0963
10/29/2025,95.46,"4,739,569",94.0,96.965,92.755
10/28/2025,95.02,"2,543,319",98.0,98.0,95.01
10/27/2025,97.36,"3,179,857",97.33,97.38,95.73
10/24/2025,96.58,"2,217,642",96.12,97.22,95.73
10/23/2025,95.67,"1,964,844",96.21,96.72,95.44
10/22/2025,96.0,"2,018,871",95.98,96.535,95.59
10/21/2025,95.66,"1,999,862",96.84,97.11,95.025
10/20/2025,96.71,"2,793,404",96.38,96.935,95.58
10/17/2025,95.84,"2,332,448",96.36,96.5925,95.435
10/16/2025,96.02,"1,894,751",98.0,98.555,95.98
10/15/2025,97.65,"2,125,019",97.07,97.9,96.78
10/14/2025,96.66,"2,648,389",95.55,97.29,95.31
10/13/2025,95.72,"2,186,439",95.45,96.53,95.34
10/10/2025,95.26,"3,743,792",95.94,97.4,95.0
10/09/2025,95.62,"2,244,590",97.28,97.61,95.46
10/08/2025,96.66,"2,858,996",96.56,97.4,95.88
10/07/2025,95.98,"3,571,130",97.64,97.76,95.21
10/06/2025,97.48,"4,137,291",95.6,98.58,95.6
10/03/2025,95.39,"3,714,218",95.91,96.61,94.26
10/02/2025,93.57,"2,708,988",93.2,94.07,92.35
10/01/2025,93.4,"2,398,481",93.23,94.305,93.015
09/30/2025,93.19,"3,040,874",93.65,93.92,91.65
09/29/2025,93.55,"3,821,772",92.45,93.81,91.9
09/26/2025,92.25,"2,671,242",90.82,92.285,90.48
09/25/2025,90.33,"2,869,679",91.25,91.67,90.205
09/24/2025,91.59,"2,524,549",91.43,91.74,90.725
09/23/2025,90.85,"2,134,538",89.25,90.98,88.9
09/22/2025,89.24,"2,325,214",88.66,89.41,88.06
09/19/2025,88.67,"4,786,668",88.52,89.28,87.69
09/18/2025,87.83,"2,464,917",87.9,88.57,87.375
09/17/2025,88.18,"2,936,827",88.45,88.85,87.925
09/16/2025,88.26,"1,967,594",90.19,90.46,88.17
09/15/2025,90.19,"2,062,310",90.17,90.7,89.99
09/12/2025,90.29,"2,082,860",89.73,90.74,89.73
09/11/2025,89.86,"2,366,055",88.65,89.935,88.37
09/10/2025,88.44,"2,756,716",86.9,88.52,86.9
09/09/2025,87.01,"1,936,790",86.7,87.47,86.49
09/08/2025,86.83,"3,264,579",87.69,88.0,86.4
09/05/2025,87.75,"1,952,050",88.32,88.56,86.81
09/04/2025,88.18,"3,500,036",88.78,89.6,87.4475
09/03/2025,87.2,"1,626,600",87.04,87.64,86.71
09/02/2025,87.41,"1,727,822",87.63,88.07,86.89
08/29/2025,88.09,"1,705,187",88.26,88.69,87.86
08/28/2025,88.13,"5,441,294",89.3,89.69,87.85
08/27/2025,89.55,"1,632,425",89.54,90.0,88.84
08/26/2025,89.59,"3,385,569",89.26,89.86,88.64
08/25/2025,89.17,"1,539,983",89.03,89.7,89.0
08/22/2025,89.33,"2,029,223",89.82,90.27,88.84
08/21/2025,89.22,"1,459,567",89.8,90.07,88.575
08/20/2025,89.83,"2,621,017",89.07,90.35,88.9
08/19/2025,88.81,"2,805,852",87.98,88.84,87.85
08/18/2025,87.85,"1,915,340",89.05,89.38,87.565
08/15/2025,89.12,"4,104,872",90.51,90.51,88.62
08/14/2025,90.29,"2,461,067",90.7,91.0,90.25
08/13/2025,90.98,"1,789,884",90.65,91.0,89.77
08/12/2025,90.89,"2,399,072",90.23,90.93,88.86
08/11/2025,90.09,"1,916,404",90.01,90.47,89.12
08/08/2025,90.47,"1,627,491",90.75,91.24,90.05
08/07/2025,90.53,"2,131,647",90.0,90.835,89.92
08/06/2025,90.28,"2,678,062",90.3,91.465,89.91
08/05/2025,90.4,"3,800,609",91.74,92.4,89.895
08/04/2025,91.62,"3,509,774",90.15,91.895,90.09
08/01/2025,89.67,"2,658,503",90.07,90.435,89.1
07/31/2025,90.43,"2,965,349",89.69,90.64,89.16
07/30/2025,89.29,"5,480,984",90.2,91.46,89.265
07/29/2025,88.24,"3,357,024",87.03,88.54,86.75
07/28/2025,86.68,"2,814,623",88.17,88.295,86.49
07/25/2025,88.16,"1,804,825",88.05,88.455,87.85
07/24/2025,88.15,"2,563,243",88.3,88.99,87.63
07/23/2025,88.12,"2,539,333",89.08,89.35,87.6
07/22/2025,88.53,"2,743,610",87.36,88.595,87.1
07/21/2025,87.03,"2,468,213",86.98,87.16,86.12
07/18/2025,86.4,"2,512,453",84.91,86.46,84.76
07/17/2025,84.54,"3,138,171",83.32,85.195,83.14
07/16/2025,83.55,"2,989,564",82.78,83.67,82.38
07/15/2025,82.87,"3,368,597",83.0,83.61,81.91
07/14/2025,82.79,"2,925,443",81.49,83.0,81.35
07/11/2025,81.75,"1,892,732",81.62,82.0,80.865
07/10/2025,82.12,"1,675,976",81.2,82.35,81.06
07/09/2025,81.46,"2,342,202",81.51,81.75,80.35
07/08/2025,80.93,"2,444,850",81.18,81.395,80.11
07/07/2025,81.72,"1,744,246",81.83,82.06,81.07
07/03/2025,81.92,"1,120,750",81.14,82.29,81.05
07/02/2025,81.32,"2,343,838",82.19,82.82,80.84
07/01/2025,82.53,"3,198,244",83.1,83.23,81.645
06/30/2025,83.12,"2,526,734",82.33,83.17,82.13
06/27/2025,82.48,"3,236,559",82.02,83.09,81.64
06/26/2025,81.86,"2,281,372",81.47,82.23,81.35
06/25/2025,81.32,"2,499,337",82.58,82.83,81.145
06/24/2025,82.97,"3,003,936",82.86,83.7,82.675
06/23/2025,82.61,"2,567,153",81.24,82.67,81.24
06/20/2025,80.97,"7,933,946",81.22,82.05,80.87
06/18/2025,80.92,"2,723,754",81.17,81.48,80.495
06/17/2025,80.98,"1,905,254",81.53,81.624,80.68
06/16/2025,81.73,"2,147,505",83.01,83.22,81.37
06/13/2025,82.07,"2,540,296",82.83,83.1,81.77
06/12/2025,83.29,"2,575,008",82.23,83.39,81.87
06/11/2025,82.15,"2,534,993",82.33,82.965,81.79
06/10/2025,82.21,"3,124,265",82.82,83.12,81.48
06/09/2025,82.81,"3,315,131",82.01,83.78,81.55
06/06/2025,82.15,"2,381,510",82.14,82.6,81.53
06/05/2025,81.8,"1,735,283",82.01,82.345,81.3
06/04/2025,81.89,"1,817,658",82.77,83.29,81.64
06/03/2025,82.93,"2,376,455",84.2,84.21,81.67
06/02/2025,83.14,"2,577,247",82.62,83.38,81.89
05/30/2025,83.28,"4,051,049",81.97,83.45,81.5
05/29/2025,82.36,"1,805,708",81.725,82.7,81.24
05/28/2025,81.81,"1,952,361",82.62,82.835,81.395
05/27/2025,82.78,"2,406,131",83.62,83.62,82.08
05/23/2025,82.82,"1,945,206",82.04,82.905,80.98
05/22/2025,81.28,"1,905,375",82.28,82.36,80.6
05/21/2025,82.57,"2,415,383",84.28,84.42,82.44
05/20/2025,84.33,"3,736,911",82.49,84.63,82.28
05/19/2025,83.01,"2,490,464",82.76,83.15,82.31
05/16/2025,83.14,"2,444,488",82.03,83.15,81.775
05/15/2025,81.82,"5,058,115",80.93,82.55,80.825
05/14/2025,80.51,"3,728,295",81.36,81.36,79.4
05/13/2025,80.89,"3,921,657",81.43,82.1,80.56
05/12/2025,81.27,"4,294,066",83.0,83.13,81.06
05/09/2025,82.92,"2,170,834",83.65,83.89,82.465
05/08/2025,83.31,"4,275,668",84.04,84.23,83.149
05/07/2025,84.24,"4,369,156",83.5,84.96,83.37
05/06/2025,83.92,"3,609,900",83.83,84.5,83.62
05/05/2025,84.39,"2,239,098",84.37,84.68,83.3146
05/02/2025,84.47,"2,919,807",83.07,84.74,82.57
05/01/2025,83.37,"3,669,632",83.36,84.7625,82.42
04/30/2025,83.17,"4,003,475",83.12,84.0,81.44
04/29/2025,83.53,"3,931,221",83.32,84.84,82.36
04/28/2025,85.09,"3,018,662",84.68,85.15,84.02
04/25/2025,84.61,"2,697,794",84.76,85.2,84.19
04/24/2025,84.97,"3,437,233",83.72,85.26,83.25
04/23/2025,84.26,"3,037,228",83.41,85.11,83.32
04/22/2025,83.28,"4,772,792",81.805,83.69,81.23
04/21/2025,80.51,"3,200,248",82.72,82.75,79.48
04/17/2025,83.27,"3,228,172",82.52,84.38,82.5
04/16/2025,82.24,"2,006,422",83.47,83.74,81.92
04/15/2025,83.46,"2,994,447",83.21,84.46,82.845
04/14/2025,82.58,"2,604,914",82.54,83.375,82.08
04/11/2025,81.72,"3,384,270",80.06,82.04,78.99
04/10/2025,80.28,"5,178,070",79.9,81.36,78.46
04/09/2025,80.51,"10,462,110",78.0,81.32,75.57
04/08/2025,79.01,"5,000,245",81.67,81.77,78.07
04/07/2025,79.34,"6,618,955",76.65,81.35,75.62
04/04/2025,79.03,"7,635,602",85.02,85.02,78.51
04/03/2025,85.06,"6,498,600",85.55,87.25,84.85
04/02/2025,86.61,"3,126,041",85.52,86.94,85.02
04/01/2025,85.66,"4,601,088",85.36,86.069,84.19
03/31/2025,85.49,"6,230,824",84.36,85.65,84.159
03/28/2025,84.41,"3,388,683",84.38,85.06,84.1
03/27/2025,84.02,"4,320,684",84.08,84.83,83.44
03/26/2025,84.11,"3,732,571",83.04,84.27,82.855
03/25/2025,82.92,"4,658,305",84.02,84.09,82.42
03/24/2025,84.01,"4,836,658",84.28,84.78,82.54
03/21/2025,83.88,"9,132,309",83.5,84.395,83.39
03/20/2025,84.64,"3,952,768",84.52,84.85,84.18
