date,close,volume,open,high,low
05/15/2026,43.38,"9,505,027",44.4,44.46,43.265
05/14/2026,44.4,"7,031,902",44.29,44.58,44.15
05/13/2026,44.27,"9,424,616",44.5,44.61,43.91
05/12/2026,44.98,"7,919,111",44.19,45.135,44.05
05/11/2026,44.19,"6,027,581",44.075,44.505,44.03
05/08/2026,43.91,"5,518,298",44.51,44.75,43.87
05/07/2026,44.41,"9,412,748",44.805,44.9,44.155
05/06/2026,45.02,"11,530,460",46.75,46.89,44.99
05/05/2026,46.18,"10,023,530",46.58,46.74,46.04
05/04/2026,46.61,"6,900,691",46.03,46.75,45.985
05/01/2026,46.5,"7,146,086",46.22,47.01,45.96
04/30/2026,45.99,"19,253,330",46.9,47.68,45.68
04/29/2026,47.02,"10,641,470",46.78,47.16,46.595
04/28/2026,47.04,"4,205,655",46.91,47.2,46.65
04/27/2026,46.59,"5,252,317",46.92,47.23,46.57
04/24/2026,46.92,"7,274,671",46.435,47.01,46.21
04/23/2026,46.75,"5,834,978",46.38,46.805,46.19
04/22/2026,45.86,"6,850,129",46.58,47.01,45.625
04/21/2026,46.27,"10,099,520",46.43,46.61,46.075
04/20/2026,46.4,"8,530,732",46.69,47.36,46.3
04/17/2026,47.02,"15,403,910",46.06,47.13,45.77
04/16/2026,47.59,"9,621,678",47.66,48.07,46.9
04/15/2026,47.88,"8,638,656",48.36,48.54,47.8
04/14/2026,48.66,"8,853,387",47.96,48.66,47.73
04/13/2026,48.15,"5,722,814",48.51,48.665,48.01
04/10/2026,48.57,"5,643,977",49.2,49.315,48.45
04/09/2026,49.44,"7,686,240",49.1,50.11,49.1
04/08/2026,49.17,"6,442,364",49.025,49.25,48.38
04/07/2026,49.05,"4,546,512",48.805,49.43,48.805
04/06/2026,48.94,"5,509,173",49.0,49.45,48.89
04/02/2026,49.33,"5,839,663",49.11,49.465,48.96
04/01/2026,48.88,"6,654,687",48.82,49.145,48.33
03/31/2026,49.02,"9,325,361",49.19,49.25,48.385
03/30/2026,49.11,"6,474,500",48.7,49.405,48.42
03/27/2026,48.32,"6,439,483",48.48,48.89,48.16
03/26/2026,48.4,"7,886,126",47.935,48.535,47.67
03/25/2026,47.67,"5,483,477",47.59,48.06,47.34
03/24/2026,47.29,"6,663,211",47.01,47.79,46.94
03/23/2026,47.17,"6,493,521",46.77,47.455,46.45
03/20/2026,46.44,"15,405,170",47.512,48.11,46.18
03/19/2026,48.01,"8,764,968",49.45,49.57,47.855
03/18/2026,49.25,"9,315,655",49.755,49.88,49.205
03/17/2026,50.04,"9,856,655",50.55,50.65,49.925
03/16/2026,50.29,"7,549,027",50.19,50.33,49.8
03/13/2026,49.82,"8,886,208",49.92,50.375,49.675
03/12/2026,49.48,"11,373,850",48.6,49.845,48.43
03/11/2026,48.84,"8,209,377",48.85,49.095,48.75
03/10/2026,49.01,"7,466,386",48.9,49.24,48.515
03/09/2026,49.14,"7,478,506",49.22,49.34,48.67
03/06/2026,49.36,"12,403,000",48.5,49.47,48.33
03/05/2026,48.77,"15,932,650",48.93,49.08,48.035
03/04/2026,49.25,"11,787,790",48.92,49.395,48.53
03/03/2026,48.96,"10,190,650",49.17,49.335,47.74
03/02/2026,49.17,"9,103,507",49.05,49.515,49.04
02/27/2026,49.47,"15,389,710",48.99,49.875,48.825
02/26/2026,48.8,"8,521,555",48.675,48.93,48.56
02/25/2026,48.7,"6,851,157",48.49,48.825,47.94
02/24/2026,48.59,"6,444,148",48.2,48.63,47.65
02/23/2026,48.2,"7,504,809",47.95,48.54,47.7
02/20/2026,47.79,"10,466,190",47.455,47.825,46.98
02/19/2026,47.36,"8,858,471",47.13,47.66,46.935
02/18/2026,47.24,"7,979,032",47.95,48.08,47.03
02/17/2026,48.04,"9,356,611",48.84,49.11,47.705
02/13/2026,48.48,"11,557,670",47.47,48.7175,47.4
02/12/2026,47.55,"24,174,200",45.92,48.435,44.99
02/11/2026,44.45,"10,331,500",44.885,44.885,44.34
02/10/2026,44.64,"8,679,952",43.97,44.92,43.7
02/09/2026,43.97,"7,165,283",44.09,44.195,43.665
02/06/2026,44.33,"8,002,228",44.275,44.56,43.55
02/05/2026,44.06,"9,232,309",43.84,44.305,43.58
02/04/2026,43.43,"10,289,720",44.39,44.435,43.245
02/03/2026,44.01,"9,979,088",43.89,45.06,43.865
02/02/2026,43.91,"6,525,494",45.0,45.07,43.61
01/30/2026,44.78,"6,539,326",44.32,44.82,44.055
01/29/2026,44.41,"8,151,957",44.99,45.17,44.34
01/28/2026,44.76,"6,165,275",44.77,45.045,44.48
01/27/2026,44.83,"8,063,808",44.385,44.915,44.295
01/26/2026,44.55,"7,224,147",44.27,44.81,44.2
01/23/2026,44.06,"8,937,168",44.24,44.5,43.415
01/22/2026,44.6,"8,509,845",44.92,44.98,44.25
01/21/2026,45.0,"9,960,206",45.06,45.23,44.425
01/20/2026,44.95,"9,859,375",44.61,44.975,44.095
01/16/2026,44.73,"14,411,100",44.17,44.815,44.07
01/15/2026,44.15,"8,861,884",43.77,44.18,43.62
01/14/2026,43.6,"10,723,310",43.49,43.88,43.405
01/13/2026,43.32,"5,750,584",42.89,43.355,42.755
01/12/2026,42.9,"5,958,414",43.15,43.57,42.86
01/09/2026,43.3,"4,825,806",43.5,43.84,43.225
01/08/2026,43.45,"5,784,852",42.9,43.77,42.86
01/07/2026,42.99,"4,818,293",43.92,44.0,42.815
01/06/2026,43.84,"5,971,385",43.54,44.0,43.33
01/05/2026,43.54,"5,944,915",43.86,43.88,42.7901
01/02/2026,43.92,"4,809,096",43.56,44.175,43.26
12/31/2025,43.59,"3,374,306",43.94,43.95,43.55
12/30/2025,43.92,"3,421,769",43.64,43.96,43.58
12/29/2025,43.63,"3,380,755",43.67,43.9964,43.6
12/26/2025,43.56,"2,595,617",43.52,43.67,43.31
12/24/2025,43.52,"2,946,364",43.29,43.55,43.2
12/23/2025,43.46,"6,461,324",43.58,43.585,43.215
12/22/2025,43.55,"4,866,375",43.48,43.73,43.305
12/19/2025,43.66,"15,427,230",44.14,44.71,43.61
12/18/2025,44.28,"6,533,656",44.265,44.45,44.0
12/17/2025,44.22,"7,973,702",43.86,44.425,43.69
12/16/2025,43.76,"6,985,765",43.95,44.01,43.5
12/15/2025,43.87,"7,162,168",43.87,44.105,43.665
12/12/2025,43.57,"5,989,346",43.345,43.62,43.12
12/11/2025,43.09,"4,946,874",43.51,43.745,42.97
12/10/2025,43.28,"6,328,822",43.76,43.87,43.25
12/09/2025,43.76,"7,428,646",43.52,43.83,43.435
12/08/2025,43.33,"8,091,321",43.97,43.97,43.19
12/05/2025,43.81,"7,619,776",44.13,44.22,43.77
12/04/2025,43.91,"9,420,289",44.37,44.47,43.63
12/03/2025,44.54,"11,092,720",45.04,45.35,44.22
12/02/2025,45.0,"10,580,800",45.68,45.68,44.87
12/01/2025,45.69,"11,970,680",46.222,46.57,45.42
11/28/2025,47.12,"3,792,758",46.56,47.17,46.4
11/26/2025,46.57,"5,576,271",45.93,46.615,45.93
11/25/2025,45.78,"6,968,860",46.27,46.3575,45.445
11/24/2025,46.23,"16,557,340",45.99,46.53,45.29
11/21/2025,45.75,"7,010,928",45.46,46.095,45.38
11/20/2025,45.41,"7,564,146",45.67,45.96,45.275
11/19/2025,45.56,"7,332,882",46.35,46.46,45.41
11/18/2025,46.38,"7,872,981",46.585,46.85,46.21
11/17/2025,46.6,"6,633,780",46.2,46.885,46.0101
11/14/2025,45.94,"9,104,340",45.53,46.2,45.19
11/13/2025,45.45,"7,267,799",45.87,46.26,45.375
11/12/2025,45.93,"8,593,868",45.45,46.215,45.31
11/11/2025,45.44,"6,757,150",45.61,45.75,45.275
11/10/2025,45.46,"7,480,885",45.75,46.0672,45.07
11/07/2025,46.21,"7,715,848",45.96,46.8,45.82
11/06/2025,45.71,"6,483,333",46.15,46.5,45.665
11/05/2025,46.15,"9,720,523",46.61,46.892,46.125
11/04/2025,46.38,"13,496,560",47.44,48.0,45.6
11/03/2025,46.2,"9,713,745",45.855,46.395,45.29
10/31/2025,46.12,"8,716,383",46.725,46.83,46.05
10/30/2025,47.07,"6,539,156",47.31,47.66,46.995
10/29/2025,47.2,"11,932,600",47.44,47.86,46.985
10/28/2025,47.7,"7,730,675",48.19,48.19,47.56
10/27/2025,48.07,"7,681,318",47.89,48.09,47.595
10/24/2025,48.035,"6,296,154",47.85,48.11,47.54
10/23/2025,47.6,"11,514,880",48.28,48.395,47.42
10/22/2025,48.11,"6,652,358",47.94,48.505,47.775
10/21/2025,48.0,"5,343,539",48.25,48.39,47.57
10/20/2025,48.24,"4,466,701",48.05,48.29,47.685
10/17/2025,47.78,"7,553,644",47.545,48.065,47.36
10/16/2025,47.36,"5,269,070",47.73,48.0699,47.26
10/15/2025,47.83,"5,960,629",47.46,47.88,47.38
10/14/2025,47.38,"5,195,761",47.32,47.63,47.17
10/13/2025,46.85,"5,192,454",46.98,47.1,46.5
10/10/2025,47.07,"5,979,699",46.74,47.345,46.645
10/09/2025,46.66,"4,504,782",46.75,46.97,46.5211
10/08/2025,46.62,"5,218,943",46.9,46.92,46.0577
10/07/2025,46.79,"6,846,489",46.3,47.055,45.89
10/06/2025,45.69,"6,290,490",45.31,45.73,45.12
10/03/2025,45.34,"4,745,835",44.94,45.635,44.89
10/02/2025,44.97,"11,435,880",44.88,45.11,44.545
10/01/2025,45.06,"7,776,560",45.48,45.58,44.96
09/30/2025,45.01,"6,770,654",44.31,45.06,44.25
09/29/2025,44.27,"5,964,563",43.94,44.36,43.495
09/26/2025,44.09,"6,805,985",43.99,44.25,43.81
09/25/2025,43.78,"5,140,209",44.47,44.67,43.74
09/24/2025,44.23,"5,460,488",44.23,44.525,44.14
09/23/2025,44.23,"4,590,246",43.24,44.28,43.24
09/22/2025,43.4,"4,538,053",43.35,43.5655,43.225
09/19/2025,43.41,"12,225,990",43.2,43.56,42.82
09/18/2025,43.11,"3,894,521",42.95,43.38,42.58
09/17/2025,43.23,"6,037,086",42.96,43.33,42.8446
09/16/2025,42.73,"6,252,264",43.38,43.555,42.705
09/15/2025,43.43,"5,441,733",43.37,43.67,43.135
09/12/2025,43.38,"4,244,990",43.35,43.63,43.21
