date,close,volume,open,high,low
05/15/2026,13.4,"108,272,300",13.98,14.05,13.285
05/14/2026,14.48,"187,021,600",13.75,14.94,13.63
05/13/2026,13.57,"216,261,200",11.97,13.94,11.97
05/12/2026,11.99,"42,165,340",11.92,12.025,11.8
05/11/2026,12.05,"48,850,840",12.34,12.39,12.01
05/08/2026,12.32,"38,453,550",12.29,12.37,12.18
05/07/2026,12.18,"38,986,730",12.222,12.3,12.06
05/06/2026,12.17,"52,111,220",11.94,12.2499,11.94
05/05/2026,11.69,"42,262,080",11.56,11.79,11.555
05/04/2026,11.5,"51,014,810",11.85,11.88,11.455
05/01/2026,11.88,"52,880,470",12.06,12.07,11.78
04/30/2026,12.08,"80,557,940",11.551,12.09,11.47
04/29/2026,12.24,"48,672,830",12.37,12.38,12.135
04/28/2026,12.4,"44,278,000",12.52,12.52,12.2431
04/27/2026,12.49,"35,098,180",12.38,12.65,12.38
04/24/2026,12.38,"35,043,470",12.45,12.46,12.29
04/23/2026,12.48,"30,844,540",12.61,12.695,12.37
04/22/2026,12.63,"23,958,290",12.84,12.8797,12.575
04/21/2026,12.78,"32,209,970",12.87,13.03,12.775
04/20/2026,12.87,"26,028,970",12.81,12.915,12.75
04/17/2026,12.87,"45,735,000",12.64,13.04,12.62
04/16/2026,12.44,"37,407,680",12.67,12.75,12.42
04/15/2026,12.71,"39,926,530",12.7,12.755,12.49
04/14/2026,12.71,"50,232,180",12.51,12.75,12.45
04/13/2026,12.16,"32,688,630",12.03,12.165,11.92
04/10/2026,12.13,"28,362,740",12.34,12.42,12.07
04/09/2026,12.24,"32,576,250",12.065,12.27,11.96
04/08/2026,12.18,"58,139,980",11.96,12.24,11.96
04/07/2026,11.52,"41,991,580",11.54,11.605,11.35
04/06/2026,11.61,"24,374,590",11.6,11.63,11.5
04/02/2026,11.6,"31,109,070",11.47,11.62,11.36
04/01/2026,11.68,"33,991,680",11.62,11.69,11.575
03/31/2026,11.54,"38,287,890",11.36,11.59,11.27
03/30/2026,11.21,"41,459,900",11.41,11.45,11.11
03/27/2026,11.37,"33,064,550",11.54,11.55,11.29
03/26/2026,11.6,"28,517,570",11.56,11.72,11.49
03/25/2026,11.67,"37,746,080",11.945,12.01,11.66
03/24/2026,11.84,"31,903,850",11.68,11.88,11.67
03/23/2026,11.76,"44,442,150",11.93,12.01,11.72
03/20/2026,11.52,"147,725,100",11.635,11.68,11.37
03/19/2026,11.64,"47,423,420",11.68,11.75,11.48
03/18/2026,11.79,"55,564,770",11.87,12.01,11.7
03/17/2026,11.94,"59,520,140",11.86,12.03,11.84
03/16/2026,11.71,"49,441,380",11.815,11.875,11.64
03/13/2026,11.67,"48,546,480",12.11,12.13,11.65
03/12/2026,12.04,"51,733,910",11.93,12.19,11.85
03/11/2026,12.11,"50,074,540",12.27,12.49,12.031
03/10/2026,12.24,"56,746,280",12.19,12.51,12.19
03/09/2026,12.19,"69,611,160",11.94,12.2,11.8
03/06/2026,12.15,"59,877,680",12.17,12.32,12.03
03/05/2026,12.34,"71,944,260",12.7,12.745,12.24
03/04/2026,12.81,"73,976,740",12.945,13.15,12.81
03/03/2026,12.7,"102,354,700",13.07,13.18,12.68
03/02/2026,13.39,"110,305,500",13.93,13.93,13.22
02/27/2026,14.09,"73,156,950",14.32,14.57,14.03
02/26/2026,14.41,"61,456,280",14.45,14.795,14.3044
02/25/2026,14.43,"58,968,680",14.25,14.49,14.15
02/24/2026,14.2,"73,560,770",13.77,14.325,13.73
02/23/2026,13.64,"59,134,370",13.98,14.04,13.57
02/20/2026,14.01,"67,701,100",13.775,14.035,13.72
02/19/2026,13.78,"58,268,470",13.77,13.945,13.69
02/18/2026,13.85,"64,199,310",14.11,14.14,13.805
02/17/2026,14.13,"57,684,790",14.09,14.17,13.933
02/13/2026,14.12,"87,400,200",13.88,14.335,13.85
02/12/2026,14.0,"133,257,200",13.9,14.36,13.85
02/11/2026,13.85,"129,595,000",13.62,13.88,13.515
02/10/2026,13.57,"80,827,670",13.635,13.74,13.57
02/09/2026,13.59,"59,777,960",13.75,13.775,13.53
02/06/2026,13.8,"55,588,190",13.78,13.88,13.665
02/05/2026,13.72,"79,719,940",13.75,13.82,13.53
02/04/2026,13.82,"70,488,670",13.72,14.0,13.69
02/03/2026,13.73,"76,637,980",13.82,14.0351,13.61
02/02/2026,13.81,"54,218,120",13.86,13.895,13.745
01/30/2026,13.88,"66,996,340",13.91,13.98,13.79
01/29/2026,14.0,"84,803,900",13.89,14.09,13.795
01/28/2026,13.82,"48,751,760",13.88,13.89,13.76
