date,close,volume,open,high,low
05/14/2026,43.98,"4,998,587",43.89,44.15,43.48
05/13/2026,43.77,"7,430,005",43.3,43.875,42.995
05/12/2026,43.32,"4,500,283",43.475,43.8,42.97
05/11/2026,43.3,"9,109,907",43.985,44.15,42.965
05/08/2026,44.17,"4,384,350",44.39,44.605,43.875
05/07/2026,44.36,"7,490,899",44.98,45.635,44.285
05/06/2026,44.71,"10,972,530",44.8,45.41,44.565
05/05/2026,44.33,"6,411,798",45.0,45.12,44.215
05/04/2026,44.88,"6,452,629",44.63,45.12,44.56
05/01/2026,44.91,"5,941,512",45.0,45.16,44.495
04/30/2026,44.93,"8,650,607",43.71,45.1,43.62
04/29/2026,43.71,"6,212,336",44.225,44.59,43.635
04/28/2026,44.68,"5,630,754",45.49,45.49,44.49
04/27/2026,45.28,"5,547,593",44.64,45.485,44.64
04/24/2026,44.69,"4,079,114",45.26,45.35,44.625
04/23/2026,45.45,"5,229,207",45.09,45.705,44.97
04/22/2026,44.81,"5,685,816",45.71,45.79,44.64
04/21/2026,45.7,"6,424,251",45.51,45.905,45.4
04/20/2026,45.56,"5,427,072",45.6,46.0352,45.37
04/17/2026,45.78,"9,131,605",45.23,46.0,45.13
04/16/2026,44.72,"6,685,556",44.4,45.24,44.35
04/15/2026,44.4,"8,872,528",44.5,44.51,43.52
04/14/2026,44.62,"11,386,280",45.425,45.6999,44.12
04/13/2026,45.8,"16,217,620",48.74,49.0,45.27
04/10/2026,49.17,"7,289,927",49.265,49.67,49.085
04/09/2026,49.1,"7,316,976",48.18,49.42,47.98
04/08/2026,48.18,"7,429,113",46.41,48.21,46.41
04/07/2026,45.64,"7,128,745",45.77,45.88,45.095
04/06/2026,45.87,"7,363,272",45.97,46.3,45.635
04/02/2026,46.3,"7,128,430",46.085,47.26,45.88
04/01/2026,46.63,"5,737,583",46.55,46.95,46.21
03/31/2026,46.4,"10,751,000",45.65,46.575,45.18
03/30/2026,45.12,"6,411,737",45.14,45.46,44.66
03/27/2026,44.95,"5,709,088",44.96,45.375,44.7901
03/26/2026,45.11,"5,845,843",45.41,45.89,44.94
03/25/2026,45.37,"5,085,007",45.2,45.5499,44.555
03/24/2026,44.89,"5,117,672",43.683,45.22,43.683
03/23/2026,44.45,"6,455,686",44.63,45.29,44.36
03/20/2026,43.76,"30,102,430",44.37,44.795,43.465
03/19/2026,44.49,"8,655,496",45.085,45.085,44.085
03/18/2026,45.08,"6,363,452",45.74,45.945,45.05
03/17/2026,45.93,"6,182,119",46.0,46.16,45.2
03/16/2026,45.68,"5,124,814",45.75,45.87,45.2601
03/13/2026,45.46,"6,190,714",45.8,45.8,44.845
03/12/2026,45.25,"7,256,172",46.26,46.44,45.22
03/11/2026,46.59,"6,015,854",46.315,46.68,45.6
03/10/2026,46.3,"7,194,883",46.42,46.87,46.04
03/09/2026,46.8,"9,592,811",46.01,47.05,45.38
03/06/2026,46.46,"8,186,791",46.45,46.73,45.94
03/05/2026,47.3,"11,530,000",47.8,48.415,46.99
03/04/2026,46.43,"9,006,480",46.35,47.08,45.785
03/03/2026,46.23,"7,327,975",46.265,46.59,45.275
03/02/2026,46.33,"7,522,846",45.97,46.585,45.48
02/27/2026,46.04,"9,926,403",45.39,46.305,45.39
02/26/2026,45.68,"5,984,063",44.97,45.71,44.7968
02/25/2026,44.63,"6,168,581",45.56,45.6275,44.51
02/24/2026,45.46,"5,318,707",45.17,45.645,45.01
02/23/2026,45.05,"6,648,980",46.15,46.36,44.95
02/20/2026,46.22,"11,672,290",46.22,46.8,44.83
02/19/2026,46.21,"6,155,967",45.84,46.38,45.715
02/18/2026,45.98,"5,214,662",45.61,46.12,45.29
02/17/2026,45.69,"5,750,725",46.365,46.4703,45.65
02/13/2026,46.41,"9,921,118",45.705,46.54,45.03
02/12/2026,45.54,"10,177,550",47.35,47.83,45.441
02/11/2026,47.02,"6,070,549",46.96,47.54,46.46
02/10/2026,46.66,"5,840,303",46.55,46.85,46.34
02/09/2026,46.52,"9,493,594",47.72,47.72,46.3975
02/06/2026,47.73,"6,479,636",47.9,48.235,47.4
02/05/2026,47.33,"13,340,550",47.915,48.08,46.7503
02/04/2026,48.28,"16,477,250",46.64,48.445,46.4732
02/03/2026,46.34,"14,090,210",44.73,46.51,44.73
02/02/2026,44.8,"10,133,440",43.25,44.89,42.76
01/30/2026,43.36,"8,131,995",43.11,43.39,42.74
01/29/2026,43.32,"12,440,820",43.49,44.13,43.075
01/28/2026,43.62,"4,645,652",43.85,44.1,43.42
01/27/2026,43.95,"4,659,010",43.57,44.01,43.38
01/26/2026,43.73,"7,541,500",43.67,44.06,43.39
01/23/2026,43.89,"8,123,720",44.74,44.91,43.84
01/22/2026,44.78,"9,296,965",44.825,44.95,44.165
01/21/2026,44.61,"12,914,680",42.695,44.815,42.55
01/20/2026,42.62,"19,630,170",41.95,42.8,41.26
01/16/2026,43.74,"17,103,720",43.37,44.02,43.23
01/15/2026,43.53,"10,715,390",42.78,43.63,41.22
01/14/2026,42.42,"9,952,359",42.53,42.625,41.83
01/13/2026,42.42,"9,438,725",41.77,42.52,41.485
01/12/2026,41.7,"8,079,575",41.85,42.26,41.56
01/09/2026,41.98,"6,328,147",41.79,42.38,41.7
01/08/2026,41.8,"8,051,339",40.42,42.21,40.2501
01/07/2026,40.61,"10,640,660",41.24,41.26,40.26
01/06/2026,41.54,"6,479,145",40.89,41.8,40.75
01/05/2026,41.15,"9,442,321",40.44,41.5,40.33
01/02/2026,40.44,"7,483,963",40.26,40.69,39.86
12/31/2025,40.13,"5,205,710",40.79,40.86,40.08
12/30/2025,40.87,"4,994,339",41.15,41.19,40.84
12/29/2025,41.29,"4,729,943",41.58,41.74,41.27
12/26/2025,41.56,"3,379,253",41.9,41.9111,41.4001
12/24/2025,41.83,"1,292,608",41.63,41.94,41.55
12/23/2025,41.72,"4,751,039",41.75,41.865,41.675
12/22/2025,41.75,"6,594,143",41.93,42.31,41.37
12/19/2025,42.35,"21,484,800",42.52,42.53,42.08
12/18/2025,42.34,"7,620,767",41.87,42.42,41.74
12/17/2025,41.87,"8,676,974",42.2,42.285,41.52
12/16/2025,42.34,"8,242,268",42.77,42.77,42.1
12/15/2025,42.58,"11,807,080",42.69,43.2,42.32
12/12/2025,42.01,"6,698,994",42.11,42.17,41.72
12/11/2025,41.75,"5,613,716",41.11,41.84,40.9725
