date,close,volume,open,high,low
05/15/2026,63.01,"15,462,570",62.19,63.805,61.38
05/14/2026,66.14,"12,618,340",66.93,66.93,64.95
05/13/2026,67.16,"17,112,420",66.83,68.85,65.8651
05/12/2026,66.03,"14,477,470",63.61,66.37,62.73
05/11/2026,64.37,"14,852,330",62.215,64.98,62.14
05/08/2026,61.65,"12,202,690",61.78,62.28,60.7
05/07/2026,60.61,"18,316,120",61.63,62.55,60.12
05/06/2026,60.89,"17,655,470",60.63,61.2799,60.01
05/05/2026,57.68,"13,861,050",57.01,57.985,56.245
05/04/2026,55.57,"14,777,240",56.2,56.89,55.49
05/01/2026,56.55,"14,899,730",57.69,58.1692,56.5
04/30/2026,57.78,"16,181,360",57.925,58.34,57.02
04/29/2026,56.93,"11,444,720",57.98,57.98,56.585
04/28/2026,58.21,"14,754,670",59.76,60.2,57.87
04/27/2026,60.57,"15,199,250",61.305,61.42,59.3718
04/24/2026,61.05,"17,741,600",62.07,62.45,59.83
04/23/2026,61.48,"38,773,520",62.27,65.2,61.0
04/22/2026,70.36,"14,213,130",69.39,70.49,69.17
04/21/2026,67.57,"17,092,830",70.0,70.72,67.46
04/20/2026,70.18,"12,297,780",69.535,70.965,69.2301
04/17/2026,70.21,"20,218,340",69.37,70.705,67.79
04/16/2026,68.28,"10,342,670",68.87,69.51,67.72
04/15/2026,68.7,"15,405,570",67.96,69.46,67.54
04/14/2026,68.27,"12,330,770",68.54,68.83,67.57
04/13/2026,68.03,"13,134,070",66.85,68.5499,66.85
04/10/2026,67.8,"15,706,780",67.24,68.41,67.1
04/09/2026,66.45,"12,664,650",65.2,66.75,64.6501
04/08/2026,65.1,"20,338,050",65.245,65.87,64.02
04/07/2026,60.76,"18,276,930",60.73,61.115,59.68
04/06/2026,61.05,"8,511,516",61.1,61.72,60.4
04/02/2026,61.38,"16,879,990",59.04,62.54,59.04
04/01/2026,61.2,"23,683,990",60.75,62.05,59.895
03/31/2026,58.78,"18,882,490",56.335,59.0,56.26
03/30/2026,54.65,"14,246,650",57.58,58.15,54.17
03/27/2026,56.24,"12,327,440",55.16,57.17,54.925
03/26/2026,55.83,"16,016,520",55.36,56.21,54.9
03/25/2026,57.09,"13,964,970",57.83,58.15,56.82
03/24/2026,56.48,"17,122,960",54.23,56.625,53.98
03/23/2026,54.94,"24,888,580",54.27,55.31,53.24
03/20/2026,52.09,"25,007,260",53.07,53.92,51.505
03/19/2026,53.62,"27,550,300",52.48,53.99,50.79
03/18/2026,55.45,"17,258,710",56.28,56.71,55.0375
03/17/2026,58.09,"10,610,250",58.25,58.67,57.53
03/16/2026,57.93,"17,824,120",57.21,58.26,56.8
03/13/2026,56.38,"21,443,240",59.045,59.06,55.975
03/12/2026,59.21,"17,564,010",60.64,61.04,58.9
03/11/2026,61.54,"17,758,970",61.31,61.77,59.62
03/10/2026,62.4,"16,982,360",60.98,63.12,60.73
03/09/2026,60.49,"26,344,770",57.26,60.49,55.5
03/06/2026,59.36,"25,912,810",60.64,61.195,58.7
03/05/2026,62.66,"23,077,880",64.15,64.3,61.37
03/04/2026,65.93,"17,438,540",66.88,67.848,65.765
03/03/2026,65.57,"25,564,340",64.16,65.69,60.845
03/02/2026,68.29,"15,851,080",67.16,68.64,66.41
02/27/2026,68.08,"19,425,680",68.39,68.93,66.865
02/26/2026,68.38,"17,726,760",68.28,68.6,65.82
02/25/2026,68.82,"16,182,020",69.0,69.75,68.14
02/24/2026,67.88,"20,299,280",65.395,68.84,64.81
02/23/2026,65.55,"15,631,290",64.235,65.93,63.88
02/20/2026,64.34,"14,680,030",62.045,64.39,61.9
02/19/2026,62.57,"13,357,870",61.43,62.58,60.14
02/18/2026,62.55,"17,244,820",62.76,63.18,61.55
02/17/2026,61.09,"12,238,430",61.24,61.58,59.2
02/13/2026,62.84,"14,370,640",61.15,63.35,60.16
02/12/2026,62.04,"23,459,940",65.97,65.98,61.25
02/11/2026,65.46,"15,495,760",65.1,65.5,63.07
02/10/2026,63.26,"11,647,360",63.25,63.52,62.07
02/09/2026,63.61,"14,751,970",61.355,64.17,61.28
02/06/2026,60.67,"20,119,060",60.36,61.01,59.71
02/05/2026,59.22,"22,330,400",59.95,60.93,58.23
02/04/2026,61.86,"31,834,210",64.98,65.65,60.98
02/03/2026,64.67,"31,102,690",64.09,64.96,62.6
02/02/2026,60.76,"21,334,620",59.88,61.25,59.56
01/30/2026,60.23,"40,774,420",61.735,61.915,58.6625
01/29/2026,65.13,"48,277,650",69.39,69.44,63.11
01/28/2026,63.63,"22,636,450",64.125,64.67,62.02
01/27/2026,62.87,"20,123,720",61.5,63.18,61.27
01/26/2026,61.17,"31,620,210",63.415,63.575,61.1
01/23/2026,60.41,"24,545,850",59.75,60.8062,58.38
01/22/2026,58.85,"25,597,150",60.775,61.75,58.24
01/21/2026,60.58,"25,719,780",61.55,62.125,59.75
01/20/2026,60.07,"19,583,630",59.095,60.38,58.35
01/16/2026,58.71,"21,629,930",58.63,58.85,57.7
01/15/2026,59.96,"18,285,720",58.975,60.495,58.7
01/14/2026,60.35,"19,747,530",60.21,60.71,59.115
01/13/2026,59.34,"22,060,090",60.02,60.09,58.422
01/12/2026,58.71,"20,373,710",57.745,58.83,57.16
01/09/2026,56.53,"19,272,710",55.45,56.71,54.57
01/08/2026,54.22,"22,333,080",54.615,54.615,53.285
01/07/2026,55.5,"20,893,980",55.23,55.58,53.85
01/06/2026,56.15,"35,253,260",56.01,57.12,55.67
01/05/2026,54.41,"26,935,110",53.625,54.445,53.29
01/02/2026,51.93,"11,518,430",51.725,52.185,51.0
12/31/2025,50.79,"8,776,792",51.3,51.51,50.66
12/30/2025,51.41,"10,055,680",52.24,52.38,50.85
12/29/2025,51.48,"15,231,720",51.565,52.22,51.17
12/26/2025,53.04,"14,848,320",53.05,53.765,52.64
12/24/2025,51.92,"4,073,916",51.93,51.99,51.23
12/23/2025,51.9,"14,155,680",51.61,52.29,50.99
12/22/2025,50.64,"15,316,630",50.0,50.95,49.91
12/19/2025,49.15,"21,954,840",48.07,49.636,48.07
12/18/2025,47.92,"15,029,540",48.07,48.295,47.32
12/17/2025,47.82,"15,613,000",48.11,48.24,47.37
12/16/2025,47.54,"15,481,470",47.31,47.675,46.62
12/15/2025,47.52,"15,437,660",48.815,48.86,47.39
12/12/2025,47.38,"17,034,870",48.76,49.0,46.81
12/11/2025,48.11,"20,740,950",46.58,48.32,46.43
12/10/2025,46.45,"17,054,760",44.88,46.45,44.685
12/09/2025,44.8,"10,310,100",44.13,45.2,43.93
12/08/2025,45.0,"16,538,420",45.38,45.72,44.73
12/05/2025,45.2,"20,208,130",45.27,45.97,45.12
12/04/2025,44.61,"12,392,130",44.025,44.735,43.66
12/03/2025,44.53,"22,864,290",44.325,45.09,44.13
12/02/2025,42.97,"11,131,950",43.18,43.42,42.305
12/01/2025,43.07,"14,614,780",43.4,43.93,42.995
11/28/2025,42.98,"8,848,145",42.76,43.405,42.32
11/26/2025,42.15,"13,339,370",41.78,42.49,41.56
11/25/2025,41.07,"11,446,600",41.24,41.785,40.965
11/24/2025,40.79,"15,241,040",39.9,41.12,39.9
11/21/2025,39.87,"18,896,920",39.83,40.3,38.85
11/20/2025,39.63,"15,648,030",41.9,41.9,39.305
11/19/2025,41.25,"19,873,580",40.91,42.215,40.77
11/18/2025,40.0,"23,695,170",41.75,41.81,39.94
11/17/2025,39.0,"17,578,460",39.99,40.03,38.87
11/14/2025,40.16,"10,358,540",39.625,40.67,38.88
11/13/2025,40.54,"10,381,750",41.85,41.885,40.21
11/12/2025,41.81,"12,842,940",41.47,42.26,41.47
11/11/2025,41.07,"10,730,750",40.825,41.34,40.45
11/10/2025,40.95,"13,890,570",40.79,41.25,40.35
11/07/2025,39.81,"17,305,680",39.93,40.005,38.75
11/06/2025,38.65,"25,307,270",39.91,39.92,38.54
11/05/2025,40.21,"12,057,620",39.89,40.6665,39.62
11/04/2025,39.42,"14,388,350",39.97,40.03,39.115
11/03/2025,41.18,"13,717,230",41.57,41.59,40.432
10/31/2025,41.7,"11,939,500",41.585,42.52,41.26
10/30/2025,41.73,"11,822,940",41.76,42.335,40.86
10/29/2025,42.19,"19,707,750",41.72,43.485,41.55
10/28/2025,41.17,"11,973,800",40.59,41.95,40.5
10/27/2025,41.1,"14,374,400",41.73,41.73,40.445
10/24/2025,41.37,"10,605,290",41.16,41.63,40.46
10/23/2025,41.23,"18,292,570",41.45,42.25,41.06
10/22/2025,40.78,"12,134,360",40.65,41.2,40.12
10/21/2025,41.31,"12,932,210",41.2,41.51,40.655
10/20/2025,42.19,"12,617,500",41.93,42.215,41.4196
10/17/2025,41.18,"14,027,520",41.6,41.99,40.7084
10/16/2025,41.7,"15,080,990",42.02,42.04,41.21
10/15/2025,41.71,"16,028,050",42.84,42.84,41.265
10/14/2025,41.97,"16,563,360",41.56,42.43,40.5
10/13/2025,42.78,"15,475,300",43.29,43.5,42.28
10/10/2025,40.88,"24,243,420",43.67,43.67,40.74
10/09/2025,43.31,"23,238,040",44.53,44.785,42.55
10/08/2025,42.85,"25,769,020",41.945,43.03,41.87
10/07/2025,40.69,"19,846,760",40.71,41.31,40.1601
10/06/2025,40.32,"26,706,830",40.19,41.24,39.5604
10/03/2025,39.67,"23,921,640",39.65,40.35,38.92
10/02/2025,38.87,"23,508,850",39.37,39.96,38.19
10/01/2025,39.09,"19,117,030",39.025,39.48,38.84
09/30/2025,39.22,"38,973,120",37.95,39.325,37.2
09/29/2025,37.12,"40,224,660",36.35,38.11,36.05
09/26/2025,35.75,"41,515,810",35.5,36.31,35.29
09/25/2025,35.34,"86,778,640",37.53,37.53,35.15
09/24/2025,37.67,"91,311,740",41.83,41.99,37.66
09/23/2025,45.36,"14,308,460",45.39,46.286,45.14
09/22/2025,45.16,"11,980,810",44.83,45.38,44.54
09/19/2025,44.94,"21,120,230",45.245,45.7,44.7104
09/18/2025,44.93,"13,174,440",45.0,45.4353,44.59
09/17/2025,45.09,"8,951,835",45.1,46.29,44.7813
09/16/2025,45.3,"10,043,400",45.65,45.9,44.81
09/15/2025,45.64,"12,670,180",44.5,45.75,44.36
09/12/2025,44.72,"16,046,310",45.2,45.4975,43.93
09/11/2025,45.92,"14,919,180",44.87,46.155,44.8
09/10/2025,44.88,"16,678,940",44.29,45.47,44.23
09/09/2025,43.89,"24,956,690",45.32,46.11,43.615
09/08/2025,46.66,"10,436,370",46.525,46.75,45.5
09/05/2025,46.34,"8,069,194",46.715,47.02,45.735
09/04/2025,46.07,"8,509,044",45.72,46.145,45.1802
09/03/2025,46.21,"12,237,800",45.25,46.295,45.11
09/02/2025,44.94,"12,166,350",43.76,44.95,42.74
08/29/2025,44.4,"7,370,962",44.33,44.725,44.1
08/28/2025,44.37,"9,253,890",44.115,44.5577,43.9105
08/27/2025,43.87,"11,201,760",43.94,44.055,43.47
08/26/2025,44.35,"11,824,700",43.53,44.41,43.45
08/25/2025,43.69,"12,596,800",43.42,43.845,43.35
08/22/2025,43.28,"10,822,130",41.83,43.43,41.79
08/21/2025,41.72,"6,181,217",41.105,41.75,40.96
08/20/2025,41.31,"5,526,199",41.15,41.53,41.02
