date,close,volume,open,high,low
05/15/2026,43.82,"4,844,867",44.66,44.98,43.725
05/14/2026,44.5,"3,267,667",44.11,44.63,44.11
05/13/2026,44.12,"3,858,880",44.49,44.49,43.8701
05/12/2026,44.71,"4,408,252",44.6,44.92,44.27
05/11/2026,44.6,"4,689,904",44.48,44.715,44.29
05/08/2026,44.33,"6,388,637",45.21,45.5,44.28
05/07/2026,45.17,"4,963,008",44.97,45.18,44.73
05/06/2026,45.55,"8,966,013",45.79,46.135,45.31
05/05/2026,45.88,"8,235,507",46.75,46.9345,45.83
05/04/2026,46.78,"10,818,420",46.63,47.32,46.275
05/01/2026,46.92,"11,488,100",47.74,47.74,46.78
04/30/2026,47.52,"16,153,100",49.18,49.83,47.05
04/29/2026,48.94,"5,390,372",48.97,49.43,48.5
04/28/2026,49.58,"4,778,130",49.97,49.97,49.44
04/27/2026,49.44,"4,352,354",49.55,49.905,49.4
04/24/2026,49.41,"3,722,173",49.59,49.76,49.115
04/23/2026,49.62,"4,490,184",48.95,49.62,48.8649
04/22/2026,48.43,"4,173,984",48.93,49.199,48.245
04/21/2026,48.51,"7,993,798",49.5,49.735,48.48
04/20/2026,49.45,"3,892,247",50.09,50.51,49.28
04/17/2026,50.1,"5,109,565",50.5,50.5,49.39
04/16/2026,50.58,"4,527,967",50.45,50.75,49.82
04/15/2026,50.55,"5,098,601",50.88,51.08,50.465
04/14/2026,51.04,"4,311,717",50.96,51.285,50.59
04/13/2026,51.05,"3,175,033",51.51,51.51,50.695
04/10/2026,51.43,"3,047,362",51.83,52.0,51.35
04/09/2026,51.91,"3,379,496",51.3,52.34,51.255
04/08/2026,51.4,"2,878,305",51.36,51.4,50.46
04/07/2026,51.0,"3,831,603",51.09,51.31,50.82
04/06/2026,51.02,"2,245,704",51.14,51.41,50.855
04/02/2026,51.31,"2,981,090",51.1,51.52,50.83
04/01/2026,50.96,"4,242,386",50.48,51.05,50.41
03/31/2026,50.66,"4,003,116",50.5,50.75,50.01
03/30/2026,50.42,"3,294,419",50.77,51.065,50.25
03/27/2026,50.03,"3,857,615",50.2,52.29,49.87
03/26/2026,50.03,"4,360,559",49.36,50.3,49.18
03/25/2026,49.52,"4,943,784",49.61,49.965,49.33
03/24/2026,49.16,"3,084,443",48.46,49.57,48.46
03/23/2026,48.77,"4,139,902",48.89,49.49,48.53
03/20/2026,48.54,"8,570,384",49.75,49.97,48.2
03/19/2026,49.69,"7,457,317",50.7,50.98,49.32
03/18/2026,50.66,"3,267,764",51.03,51.2,50.65
03/17/2026,51.21,"4,589,648",51.95,52.015,51.135
03/16/2026,51.76,"4,124,073",51.75,51.93,51.47
03/13/2026,51.16,"5,545,294",51.18,51.75,50.96
03/12/2026,50.82,"3,324,968",50.63,51.435,50.525
03/11/2026,50.65,"4,527,277",50.54,50.74,50.245
03/10/2026,50.66,"2,825,236",50.88,51.155,50.55
03/09/2026,50.96,"4,522,862",50.96,51.09,50.17
03/06/2026,50.84,"4,006,017",50.03,51.005,49.74
