date,close,volume,open,high,low
05/15/2026,362.58,"536,875",360.0,365.83,358.82
05/14/2026,364.59,"967,779",360.34,365.53,356.45
05/13/2026,357.4,"652,941",354.54,359.93,349.725
05/12/2026,354.98,"505,208",358.68,362.0,352.05
05/11/2026,358.3,"553,850",353.6,360.0,350.94
05/08/2026,354.03,"708,776",345.03,354.52,342.826
05/07/2026,345.02,"713,653",342.48,347.47,340.69
05/06/2026,341.02,"675,262",339.94,342.8699,331.17
05/05/2026,339.9,"599,100",330.58,340.61,329.93
05/04/2026,329.93,"652,130",322.33,332.49,322.32
05/01/2026,323.2,"778,846",324.49,326.0,320.1407
04/30/2026,323.9,"1,023,103",327.54,329.2,318.93
04/29/2026,328.15,"1,666,244",313.5,331.96,311.84
04/28/2026,303.79,"1,714,405",299.08,305.06,290.6
04/27/2026,297.72,"933,979",301.94,304.64,295.68
04/24/2026,303.16,"830,790",299.75,303.71,293.67
04/23/2026,299.89,"934,741",311.1,311.537,294.69
04/22/2026,311.18,"536,718",316.5,318.54,308.7
04/21/2026,315.56,"801,180",314.91,319.68,314.305
04/20/2026,314.0,"490,441",310.5,314.44,310.0
04/17/2026,310.87,"606,750",310.54,313.75,306.91
04/16/2026,308.06,"650,060",301.69,308.16,300.015
04/15/2026,299.09,"506,884",296.7,300.35,295.91
04/14/2026,295.19,"572,398",300.0,301.725,294.455
04/13/2026,298.07,"642,101",287.04,298.49,287.04
04/10/2026,289.81,"639,636",294.5,295.14,284.0
04/09/2026,294.59,"896,868",303.56,305.77,289.87
04/08/2026,304.76,"946,331",315.09,315.34,303.5775
04/07/2026,309.1,"493,347",307.2,310.39,302.83
04/06/2026,307.64,"505,053",306.44,308.9,304.85
04/02/2026,303.35,"553,094",290.64,304.49,290.64
04/01/2026,295.65,"526,819",290.82,297.31,289.0
03/31/2026,289.33,"513,113",281.18,291.29,277.18
03/30/2026,279.73,"536,565",283.41,285.73,278.16
03/27/2026,281.98,"664,265",290.04,291.41,278.3501
03/26/2026,293.15,"642,521",297.24,303.995,292.49
03/25/2026,297.86,"774,579",292.87,300.62,290.925
03/24/2026,289.04,"445,416",286.83,290.91,284.995
03/23/2026,289.75,"587,882",288.37,290.8,286.43
03/20/2026,284.28,"2,968,140",291.06,295.51,282.25
03/19/2026,290.3,"1,293,958",279.91,293.53,279.37
03/18/2026,282.2,"608,419",286.03,289.38,281.77
03/17/2026,286.03,"759,854",283.06,290.63,282.45
03/16/2026,283.73,"841,070",289.31,292.1,282.66
03/13/2026,289.31,"599,599",285.9,291.0,283.46
03/12/2026,282.69,"433,154",287.14,289.82,282.515
03/11/2026,289.52,"418,082",286.14,289.98,283.06
03/10/2026,286.14,"415,340",286.84,289.99,281.99
03/09/2026,285.33,"609,914",281.55,287.14,274.29
03/06/2026,286.22,"582,134",277.05,286.79,275.855
03/05/2026,283.64,"527,457",283.26,287.65,278.69
03/04/2026,286.12,"713,335",280.48,286.96,277.26
03/03/2026,281.54,"618,601",272.8,281.98,270.79
03/02/2026,278.0,"507,311",271.58,279.45,269.84
02/27/2026,271.36,"1,185,390",273.95,275.225,266.68
02/26/2026,277.52,"842,387",280.77,283.53,275.805
02/25/2026,278.55,"1,254,291",275.06,278.915,272.56
02/24/2026,272.03,"632,541",269.57,275.38,266.08
02/23/2026,269.52,"564,431",275.82,276.685,268.495
02/20/2026,278.39,"685,393",279.0,287.5742,277.64
02/19/2026,279.19,"677,608",275.61,279.78,273.0
02/18/2026,277.69,"535,458",270.13,278.72,267.62
02/17/2026,270.58,"513,747",273.33,273.741,268.47
02/13/2026,273.93,"586,484",265.37,275.38,262.89
02/12/2026,262.02,"944,694",281.03,281.03,259.665
02/11/2026,282.67,"427,483",284.5,284.98,277.94
02/10/2026,282.38,"494,375",278.32,283.34,278.32
02/09/2026,278.74,"578,378",276.57,279.009,274.98
02/06/2026,276.57,"516,806",273.61,278.93,272.22
02/05/2026,271.21,"541,264",276.07,277.7299,269.08
02/04/2026,276.49,"846,178",276.26,280.69,273.86
02/03/2026,274.63,"1,216,275",281.37,285.09,272.19
02/02/2026,280.72,"802,186",273.28,281.8,272.0
01/30/2026,275.61,"1,026,107",280.465,283.8,272.0773
01/29/2026,282.53,"1,263,013",293.75,293.75,274.2
01/28/2026,292.3,"2,875,237",298.5,303.98,285.0
01/27/2026,270.43,"2,244,625",268.52,272.91,264.34
01/26/2026,267.45,"1,295,194",261.87,268.28,261.85
01/23/2026,259.26,"813,948",261.01,265.55,257.175
01/22/2026,262.0,"701,501",263.57,267.405,261.06
01/21/2026,261.55,"887,503",260.27,265.84,260.18
01/20/2026,259.7,"923,107",262.73,267.055,259.44
01/16/2026,268.22,"2,542,603",273.99,275.6599,266.0
01/15/2026,273.99,"1,187,823",277.3,280.75,272.52
01/14/2026,267.45,"760,566",267.69,269.51,265.21
01/13/2026,269.81,"601,371",270.63,273.37,267.6141
01/12/2026,270.56,"802,004",265.0,272.15,264.58
01/09/2026,269.31,"667,477",270.49,272.1342,264.86
01/08/2026,269.41,"789,753",266.82,273.08,266.42
01/07/2026,267.92,"709,764",269.0,271.02,265.31
01/06/2026,270.64,"1,090,378",271.33,272.93,265.27
01/05/2026,272.06,"1,449,648",263.79,275.15,262.28
01/02/2026,256.63,"825,359",255.83,261.17,254.21
12/31/2025,255.26,"1,237,970",259.13,259.81,255.2
12/30/2025,259.37,"1,080,867",259.04,260.69,257.46
12/29/2025,259.43,"962,573",262.86,263.355,257.74
12/26/2025,263.14,"1,217,474",262.68,265.27,261.88
12/24/2025,262.33,"793,717",260.46,262.735,259.3
12/23/2025,260.46,"936,283",259.86,261.52,258.17
12/22/2025,260.4,"1,105,433",257.9,262.62,257.78
12/19/2025,256.91,"3,168,195",259.44,262.35,255.76
12/18/2025,259.11,"1,129,078",256.26,260.4,252.04
12/17/2025,256.07,"1,434,250",257.91,260.97,255.8
12/16/2025,258.26,"1,464,100",260.82,261.73,256.13
12/15/2025,263.01,"1,966,044",264.76,266.25,260.681
12/12/2025,262.67,"1,414,407",264.53,265.99,259.525
12/11/2025,264.45,"1,482,544",258.03,265.6,255.64
12/10/2025,258.08,"1,287,397",256.55,260.16,255.2
12/09/2025,257.98,"1,335,461",248.21,259.41,247.6
12/08/2025,248.21,"1,153,231",248.66,252.56,248.02
12/05/2025,248.12,"952,210",243.295,249.0525,243.03
12/04/2025,243.33,"1,093,669",240.5,245.22,239.325
12/03/2025,240.63,"1,072,266",238.36,241.185,236.33
12/02/2025,238.52,"1,247,129",239.87,241.24,233.955
12/01/2025,238.57,"1,199,827",236.99,243.26,236.99
11/28/2025,239.16,"558,446",240.45,242.48,237.71
11/26/2025,238.22,"908,103",240.76,241.23,237.62
11/25/2025,240.01,"1,120,083",236.14,242.02,236.14
11/24/2025,236.14,"3,194,606",234.885,238.79,232.4
11/21/2025,234.29,"3,011,679",226.99,238.04,225.83
11/20/2025,225.83,"1,335,856",226.99,230.63,225.39
11/19/2025,223.99,"750,689",225.45,228.91,223.76
11/18/2025,227.05,"745,328",227.44,229.96,226.0
11/17/2025,228.64,"812,277",232.23,234.24,227.88
11/14/2025,234.0,"894,417",236.14,237.13,233.21
11/13/2025,238.87,"1,121,452",240.17,241.88,236.53
11/12/2025,240.17,"647,086",240.48,243.77,238.76
11/11/2025,238.51,"881,560",240.77,242.0,237.54
11/10/2025,240.77,"861,079",246.68,248.61,239.01
11/07/2025,245.74,"957,187",245.81,246.53,242.03
11/06/2025,248.09,"1,407,020",245.34,249.0,241.59
11/05/2025,246.49,"1,257,733",242.12,250.5599,241.95
11/04/2025,241.38,"1,594,879",246.97,247.05,239.94
11/03/2025,249.04,"1,539,160",252.98,253.25,247.57
10/31/2025,253.05,"1,006,496",256.02,257.67,252.49
10/30/2025,256.69,"936,825",257.27,261.455,256.01
10/29/2025,258.76,"1,294,328",267.0,267.05,257.5
10/28/2025,267.58,"2,755,007",262.35,276.19,261.5
10/27/2025,290.41,"1,878,177",303.6,304.61,288.7
10/24/2025,298.34,"458,579",305.35,305.35,298.24
10/23/2025,301.86,"660,519",297.63,303.29,297.63
10/22/2025,297.835,"589,741",300.01,300.98,294.2088
10/21/2025,299.21,"930,225",296.5,300.22,294.0
10/20/2025,296.5,"842,953",300.13,302.0,295.03
10/17/2025,300.9,"2,254,553",295.01,302.72,292.5192
10/16/2025,295.35,"3,040,112",324.68,325.525,287.5312
10/15/2025,330.75,"1,449,187",341.42,343.17,322.63
10/14/2025,343.17,"746,151",336.88,345.47,335.12
10/13/2025,340.64,"646,685",343.33,343.33,334.92
10/10/2025,331.75,"334,954",344.46,346.0,331.39
10/09/2025,342.35,"354,423",342.58,342.64,334.62
10/08/2025,342.58,"704,667",333.38,343.84,332.15
10/07/2025,330.76,"1,316,442",331.22,334.5,325.8501
10/06/2025,329.0,"280,017",325.88,333.0,325.695
10/03/2025,324.98,"236,057",327.37,330.882,324.84
10/02/2025,327.18,"296,970",328.05,329.06,324.48
10/01/2025,327.29,"434,952",320.61,327.69,317.66
09/30/2025,323.19,"428,416",323.0,324.8,320.435
09/29/2025,322.66,"359,669",327.47,329.2,322.27
09/26/2025,324.87,"269,343",324.35,326.14,320.485
09/25/2025,324.0,"289,212",321.71,324.465,318.77
09/24/2025,324.47,"366,147",325.34,325.9,322.92
09/23/2025,324.7,"397,274",329.96,334.25,324.37
09/22/2025,330.19,"460,754",326.16,330.81,326.0
09/19/2025,328.69,"1,276,690",334.42,334.88,325.61
09/18/2025,331.8,"380,101",324.53,332.22,324.31
09/17/2025,323.81,"258,123",324.79,326.0,320.5409
09/16/2025,323.73,"289,011",324.05,324.9999,321.29
09/15/2025,324.1,"355,445",320.27,324.94,319.7167
09/12/2025,321.67,"439,879",332.49,332.49,320.97
09/11/2025,334.59,"465,181",326.69,337.39,326.69
09/10/2025,326.69,"394,774",326.6,329.225,322.56
09/09/2025,325.41,"428,956",319.86,329.805,318.53
09/08/2025,320.63,"316,394",316.57,320.8,316.52
09/05/2025,315.89,"310,965",314.35,317.03,311.87
09/04/2025,314.35,"400,918",310.16,314.74,309.33
09/03/2025,309.03,"450,602",305.94,309.12,303.605
09/02/2025,306.73,"598,882",309.89,311.12,306.0415
08/29/2025,313.14,"593,463",319.07,319.07,310.33
08/28/2025,318.4,"414,246",317.0,320.25,315.235
08/27/2025,317.74,"249,644",315.24,318.53,314.715
08/26/2025,315.57,"694,728",316.98,319.14,313.22
08/25/2025,315.7,"246,817",317.41,317.58,315.48
08/22/2025,317.23,"312,595",316.02,322.42,315.58
08/21/2025,314.23,"332,294",314.48,316.5799,313.01
08/20/2025,315.79,"371,978",315.48,316.39,308.4101
08/19/2025,315.48,"334,034",315.66,319.1,314.225
08/18/2025,316.26,"367,801",315.0,317.1199,312.65
08/15/2025,315.34,"327,753",318.78,318.78,313.95
08/14/2025,318.5,"300,996",322.53,323.68,315.1
08/13/2025,325.79,"492,472",327.83,327.83,324.045
08/12/2025,326.47,"770,371",319.01,326.64,319.01
08/11/2025,318.11,"412,820",320.34,323.52,317.25
08/08/2025,321.77,"403,248",319.2,322.6,317.28
08/07/2025,317.23,"469,163",322.5,323.0,314.855
08/06/2025,321.23,"523,217",319.98,323.2,316.65
08/05/2025,318.78,"826,681",320.59,324.12,315.93
08/04/2025,321.0,"813,756",309.73,322.63,308.97
08/01/2025,307.43,"790,548",308.14,309.77,301.52
07/31/2025,313.42,"1,829,371",323.0,333.9999,312.5901
07/30/2025,298.99,"830,302",299.97,301.89,294.89
07/29/2025,299.24,"462,378",302.89,305.9799,298.357
07/28/2025,301.63,"370,045",299.54,302.01,298.7
07/25/2025,299.37,"262,548",302.12,303.77,299.01
07/24/2025,301.93,"508,264",300.19,305.15,298.88
07/23/2025,300.62,"362,318",298.81,300.69,297.85
07/22/2025,297.82,"346,063",300.4,300.425,296.66
07/21/2025,300.12,"292,347",301.64,302.17,298.105
07/18/2025,302.17,"597,884",301.92,307.0,300.19
07/17/2025,300.34,"542,112",294.89,301.21,293.13
07/16/2025,293.12,"333,386",291.75,293.55,288.76
07/15/2025,290.76,"436,041",294.67,296.11,290.65
07/14/2025,294.15,"390,700",291.7,295.42,290.67
07/11/2025,291.89,"451,319",299.23,299.23,291.24
07/10/2025,299.89,"423,571",301.97,303.43,297.3
07/09/2025,302.28,"430,053",302.45,302.68,297.65
07/08/2025,302.41,"544,676",301.56,304.7,299.1
07/07/2025,299.26,"469,459",298.75,301.66,297.0
07/03/2025,300.13,"272,018",298.23,301.78,297.62
07/02/2025,296.12,"388,249",294.98,296.8225,293.305
07/01/2025,295.97,"517,833",294.32,298.62,293.31
06/30/2025,294.32,"631,000",297.45,301.83,293.83
06/27/2025,295.75,"675,626",288.88,297.57,287.825
06/26/2025,289.09,"995,987",295.0,295.13,284.2701
06/25/2025,294.41,"407,141",295.78,297.015,293.8833
06/24/2025,295.9,"435,278",297.0,298.7,293.28
06/23/2025,295.09,"452,311",287.43,295.34,285.71
06/20/2025,287.13,"842,795",288.5,289.13,283.79
06/18/2025,286.48,"376,115",288.98,290.415,286.1
06/17/2025,288.59,"422,187",288.56,292.26,286.58
06/16/2025,290.34,"299,052",289.4,292.05,288.575
06/13/2025,286.61,"253,474",287.87,291.5562,285.1232
06/12/2025,291.66,"266,810",292.38,294.07,290.865
06/11/2025,292.89,"251,049",294.6,295.0,290.4443
06/10/2025,293.66,"269,290",294.73,294.73,290.755
06/09/2025,294.73,"230,148",296.17,297.0,294.32
06/06/2025,295.43,"313,269",295.49,296.4,293.565
06/05/2025,293.96,"471,512",293.79,294.685,290.5801
06/04/2025,293.83,"397,773",291.07,293.88,289.18
06/03/2025,290.65,"389,500",286.02,290.905,285.38
06/02/2025,286.02,"346,368",283.99,286.35,280.09
05/30/2025,285.38,"1,291,160",279.31,285.67,277.78
05/29/2025,280.59,"344,223",285.53,285.53,278.3954
05/28/2025,283.29,"330,894",287.04,287.51,283.13
05/27/2025,286.59,"306,717",285.66,286.91,284.55
05/23/2025,282.1,"248,401",279.21,283.63,278.02
05/22/2025,284.48,"323,010",286.06,286.82,283.62
05/21/2025,286.26,"443,373",285.11,290.34,283.925
05/20/2025,286.9,"461,978",285.56,288.34,284.61
05/19/2025,285.7,"284,441",281.69,286.29,281.55
05/16/2025,284.92,"331,423",283.51,285.115,280.53
05/15/2025,282.67,"254,810",282.06,284.01,280.25
05/14/2025,281.59,"564,176",283.0,284.52,279.5467
05/13/2025,283.23,"469,278",280.1,285.085,280.1
05/12/2025,280.35,"348,574",280.0,281.03,276.9628
05/09/2025,270.07,"379,595",273.99,274.815,267.86
05/08/2025,273.14,"558,917",270.13,275.695,268.125
05/07/2025,267.48,"488,708",266.85,267.68,264.21
05/06/2025,264.82,"417,181",263.05,266.3,260.6862
05/05/2025,267.19,"386,393",266.89,270.46,265.35
05/02/2025,268.81,"514,336",269.03,271.27,267.46
05/01/2025,265.77,"664,116",264.54,269.125,262.7138
04/30/2025,264.74,"859,176",260.75,265.415,255.57
04/29/2025,262.72,"1,281,011",260.03,265.96,256.49
04/28/2025,265.07,"1,049,897",270.22,271.48,263.88
04/25/2025,270.03,"607,646",268.33,270.36,264.82
04/24/2025,268.16,"497,180",261.15,269.78,261.15
04/23/2025,262.46,"568,780",260.72,265.99,256.56
04/22/2025,254.77,"524,304",254.17,257.45,252.6
04/21/2025,250.8,"370,987",255.78,258.2227,247.841
04/17/2025,258.61,"405,096",262.1,262.83,256.695
04/16/2025,258.98,"510,565",260.7,264.04,256.94
04/15/2025,263.53,"424,054",263.74,265.52,261.39
04/14/2025,262.69,"424,337",266.76,268.41,260.4601
04/11/2025,261.68,"600,746",255.0,263.37,253.46
04/10/2025,255.0,"672,055",258.18,258.6133,246.635
04/09/2025,264.14,"632,598",239.21,266.2404,236.82
04/08/2025,241.53,"737,981",256.14,256.91,238.38
04/07/2025,243.48,"1,073,100",232.41,252.79,227.0446
04/04/2025,239.25,"725,520",244.74,246.09,236.57
04/03/2025,250.98,"590,126",257.47,261.88,249.88
04/02/2025,272.73,"463,739",264.37,274.54,264.37
04/01/2025,268.58,"457,619",265.37,269.18,264.03
03/31/2025,266.27,"719,388",260.11,268.52,258.995
03/28/2025,263.88,"490,912",268.87,270.915,261.165
03/27/2025,270.08,"356,133",271.85,271.85,267.475
03/26/2025,272.84,"336,495",274.86,277.1,271.302
03/25/2025,275.05,"570,756",274.79,278.845,270.3625
03/24/2025,274.31,"545,170",273.74,276.38,272.19
03/21/2025,268.4,"1,289,441",266.88,268.8,262.755
03/20/2025,268.48,"464,382",267.63,270.95,266.35
03/19/2025,270.21,"549,604",265.33,272.87,264.38
03/18/2025,264.83,"338,009",265.24,266.965,263.68
03/17/2025,267.45,"485,482",259.97,269.765,257.9025
03/14/2025,262.46,"441,189",261.0,264.01,255.9
03/13/2025,257.42,"709,246",266.03,266.07,255.645
03/12/2025,266.06,"537,267",270.15,271.1114,265.87
03/11/2025,265.31,"569,236",265.8,269.87,263.555
03/10/2025,266.5,"634,401",270.55,270.855,263.34
03/07/2025,275.63,"547,677",275.62,278.03,268.75
03/06/2025,275.76,"699,555",278.76,280.11,273.045
03/05/2025,282.73,"794,458",279.91,283.19,276.0
03/04/2025,280.11,"686,082",280.9,283.815,273.14
03/03/2025,284.15,"724,798",295.46,298.54,282.16
02/28/2025,292.43,"840,598",291.23,292.765,285.21
02/27/2025,290.97,"353,741",296.74,297.26,290.31
02/26/2025,294.82,"484,839",293.18,298.01,292.61
02/25/2025,292.98,"590,442",292.67,293.64,287.64
02/24/2025,293.21,"505,786",296.05,296.255,290.005
02/21/2025,295.56,"467,946",305.51,305.51,294.78
02/20/2025,304.6,"415,897",308.88,308.88,301.34
02/19/2025,310.08,"441,436",306.99,310.2,304.88
