date,close,volume,open,high,low
05/15/2026,1098.59,"288,950",1081.39,1112.835,1077.7
05/14/2026,1076.93,"328,769",1059.05,1106.395,1054.42
05/13/2026,1064.64,"376,390",1078.0,1078.595,1046.217
05/12/2026,1086.0,"345,240",1090.275,1113.14,1081.25
05/11/2026,1092.0,"289,871",1120.24,1120.24,1086.87
05/08/2026,1126.0,"315,427",1122.0,1132.93,1100.0
05/07/2026,1128.39,"324,074",1075.0,1133.645,1075.0
05/06/2026,1067.0,"425,625",1065.23,1082.41,1043.4601
05/05/2026,1066.27,"278,377",1058.1,1080.0,1039.8071
05/04/2026,1060.0,"242,744",1050.65,1072.63,1037.3
05/01/2026,1035.5,"259,121",1049.0,1063.0,1002.19
04/30/2026,1025.0,"630,044",1000.0,1026.0,965.5
04/29/2026,1043.57,"505,913",1088.78,1095.0,1007.44
04/28/2026,1010.5,"318,675",1028.71,1059.87,1007.45
04/27/2026,1013.83,"302,698",999.27,1042.6125,985.1238
04/24/2026,1004.72,"311,473",970.15,1010.9,966.0
04/23/2026,979.76,"528,677",952.0,981.42,931.695
04/22/2026,970.17,"1,405,890",1053.58,1069.48,870.01
04/21/2026,1036.7,"358,038",1051.38,1088.8771,1017.12
04/20/2026,1063.41,"241,318",1055.0,1069.24,1031.32
04/17/2026,1073.52,"282,274",1092.0,1110.39,1062.7101
04/16/2026,1069.93,"285,684",1056.895,1079.67,1048.0
04/15/2026,1030.81,"299,670",1017.91,1046.505,1017.91
04/14/2026,1007.28,"419,587",1010.0,1051.66,1000.205
04/13/2026,1000.91,"636,678",927.41,1013.51,923.0
04/10/2026,922.37,"1,086,930",1068.09,1073.98,909.0
04/09/2026,1072.35,"209,727",1081.22,1088.8501,1035.0
04/08/2026,1092.04,"237,496",1119.0,1130.51,1085.47
04/07/2026,1082.08,"195,606",1100.0,1100.76,1075.0
04/06/2026,1094.32,"132,952",1090.0,1099.19,1076.495
04/02/2026,1089.76,"166,702",1050.0,1100.93,1037.433
04/01/2026,1061.99,"254,263",1059.12,1072.0099,1030.13
03/31/2026,1067.54,"242,622",1069.48,1079.89,1037.215
03/30/2026,1047.94,"417,970",1022.3,1057.4199,1010.0
03/27/2026,1011.06,"244,224",1023.42,1030.555,999.99
03/26/2026,1039.84,"202,964",1035.85,1072.29,1029.39
03/25/2026,1043.1,"332,701",1015.45,1044.7499,1006.5
03/24/2026,995.0,"614,434",1040.0,1043.18,969.32
03/23/2026,1063.33,"460,638",1131.09,1150.0,1061.0
03/20/2026,1127.62,"614,148",1110.06,1128.2,1097.46
03/19/2026,1113.16,"389,705",1181.19,1193.0,1107.3
03/18/2026,1203.7,"272,557",1191.0,1217.34,1160.06
03/17/2026,1199.93,"380,700",1174.62,1235.6999,1174.62
03/16/2026,1161.53,"320,314",1141.24,1181.49,1141.24
03/13/2026,1131.22,"496,613",1097.06,1152.9,1096.0
03/12/2026,1093.62,"969,673",1176.48,1206.06,1068.671
03/11/2026,1165.23,"850,141",1287.01,1300.0,1146.69
03/10/2026,1285.15,"457,292",1432.6,1433.0,1280.61
03/09/2026,1441.2,"198,277",1446.48,1461.6978,1418.05
03/06/2026,1476.0,"241,731",1467.635,1481.46,1439.93
03/05/2026,1475.09,"172,678",1461.25,1494.0,1454.2
03/04/2026,1464.01,"182,588",1443.0,1469.43,1415.82
03/03/2026,1448.02,"221,668",1384.83,1465.69,1376.85
03/02/2026,1407.54,"177,786",1380.14,1420.0,1371.97
02/27/2026,1409.36,"309,364",1361.81,1415.89,1361.04
02/26/2026,1388.44,"342,514",1325.0,1416.54,1325.0
02/25/2026,1300.94,"393,163",1227.63,1309.7,1227.63
02/24/2026,1227.63,"571,608",1277.07,1279.3114,1193.095
02/23/2026,1281.64,"259,958",1335.97,1336.99,1268.0
02/20/2026,1350.45,"144,460",1350.16,1382.08,1337.5401
02/19/2026,1352.73,"140,870",1360.38,1365.845,1335.05
02/18/2026,1366.93,"204,964",1360.09,1385.78,1347.6789
02/17/2026,1351.6,"210,404",1363.36,1379.6,1328.085
02/13/2026,1344.74,"191,400",1343.26,1378.15,1335.215
02/12/2026,1337.64,"459,547",1359.96,1370.54,1280.86
02/11/2026,1363.31,"203,684",1386.66,1395.0,1344.17
02/10/2026,1380.68,"235,979",1375.7,1390.0,1331.33
02/09/2026,1372.76,"261,459",1383.42,1397.74,1360.88
02/06/2026,1391.0,"364,130",1365.39,1413.33,1365.39
02/05/2026,1357.34,"285,600",1390.42,1421.25,1338.0901
02/04/2026,1386.88,"616,097",1328.07,1391.105,1284.295
02/03/2026,1328.07,"877,988",1423.56,1432.83,1316.06
02/02/2026,1450.91,"369,425",1464.33,1494.78,1441.42
01/30/2026,1463.17,"282,628",1512.53,1512.53,1455.94
01/29/2026,1501.75,"454,076",1538.84,1585.0,1493.39
01/28/2026,1525.67,"368,351",1537.28,1555.08,1510.0
01/27/2026,1545.0,"439,875",1544.46,1548.0,1513.0
01/26/2026,1550.74,"417,615",1545.0,1555.2543,1522.95
01/23/2026,1544.69,"355,004",1540.09,1562.96,1527.73
01/22/2026,1556.95,"270,624",1546.79,1572.49,1526.33
01/21/2026,1535.54,"339,289",1504.0,1556.35,1503.46
01/20/2026,1494.5,"413,065",1546.56,1550.0,1493.31
01/16/2026,1567.19,"279,921",1570.72,1598.15,1552.32
01/15/2026,1581.19,"163,037",1604.3115,1629.88,1568.2501
01/14/2026,1616.29,"314,882",1615.48,1635.0,1602.64
01/13/2026,1623.18,"187,857",1627.38,1633.03,1607.0
01/12/2026,1631.31,"208,982",1656.55,1684.88,1620.0
01/09/2026,1665.53,"251,699",1600.27,1671.55,1597.5
01/08/2026,1585.6,"252,860",1572.11,1606.0,1560.0
01/07/2026,1580.51,"175,639",1622.95,1643.83,1578.65
01/06/2026,1599.96,"307,020",1630.0,1636.85,1573.29
01/05/2026,1653.48,"289,169",1637.89,1674.34,1637.89
01/02/2026,1643.27,"248,138",1691.03,1691.03,1603.37
12/31/2025,1690.62,"238,057",1744.0,1745.0,1672.9105
12/30/2025,1745.75,"99,704",1749.75,1771.68,1743.1
12/29/2025,1771.69,"140,238",1748.19,1779.005,1737.77
12/26/2025,1753.19,"102,580",1729.36,1754.2,1726.01
12/24/2025,1731.01,"68,605",1716.35,1741.69,1701.49
12/23/2025,1725.78,"140,708",1742.63,1749.2,1712.865
12/22/2025,1742.63,"207,580",1734.04,1767.9,1733.0
12/19/2025,1748.43,"528,309",1756.29,1766.33,1726.39
12/18/2025,1761.41,"272,198",1773.76,1785.745,1752.33
12/17/2025,1755.02,"226,037",1790.46,1815.16,1747.44
12/16/2025,1792.13,"209,156",1817.23,1830.05,1785.055
12/15/2025,1807.73,"214,759",1845.0,1851.6705,1804.27
12/12/2025,1844.98,"242,121",1825.83,1858.91,1815.61
12/11/2025,1825.83,"280,552",1764.31,1836.93,1764.31
12/10/2025,1752.24,"161,822",1755.32,1780.0,1724.43
12/09/2025,1751.69,"183,050",1752.99,1771.89,1736.57
12/08/2025,1760.45,"226,490",1788.22,1806.9617,1732.01
12/05/2025,1798.53,"137,680",1775.4,1813.55,1774.62
12/04/2025,1771.87,"97,106",1777.02,1787.9,1760.38
12/03/2025,1762.35,"146,472",1777.04,1791.37,1756.0
12/02/2025,1778.71,"150,095",1781.04,1800.69,1759.0
12/01/2025,1768.68,"154,608",1781.97,1798.22,1765.99
11/28/2025,1805.83,"48,643",1800.0,1807.22,1782.0
11/26/2025,1797.27,"112,539",1817.925,1835.0,1793.79
11/25/2025,1810.0,"195,535",1745.0,1820.745,1737.78
11/24/2025,1748.25,"278,887",1787.0,1794.18,1724.48
11/21/2025,1788.2,"301,112",1724.85,1820.9,1721.6
11/20/2025,1720.55,"140,564",1750.0,1780.965,1709.33
11/19/2025,1736.16,"124,600",1722.46,1748.11,1702.75
11/18/2025,1724.97,"173,476",1760.25,1761.69,1719.99
11/17/2025,1760.25,"187,763",1750.23,1768.25,1732.975
11/14/2025,1741.37,"118,015",1719.64,1760.79,1691.37
11/13/2025,1737.27,"139,122",1776.0,1791.35,1736.25
11/12/2025,1777.91,"219,889",1805.77,1834.33,1773.46
11/11/2025,1797.69,"276,426",1755.72,1835.0,1755.72
11/10/2025,1756.34,"277,996",1745.5,1807.0,1725.0
11/07/2025,1740.0,"252,183",1646.5,1740.63,1646.5
11/06/2025,1674.8,"408,354",1685.0,1768.2,1668.92
11/05/2025,1629.2,"248,226",1598.4,1638.44,1591.22
11/04/2025,1606.1,"266,125",1636.0,1656.95,1591.66
11/03/2025,1650.51,"248,274",1653.0,1664.66,1619.215
10/31/2025,1659.53,"311,407",1566.64,1671.0,1566.64
10/30/2025,1585.36,"250,240",1569.325,1626.555,1561.61
10/29/2025,1566.9,"261,501",1647.87,1649.92,1565.0
10/28/2025,1666.64,"184,262",1680.0,1682.76,1660.04
10/27/2025,1685.09,"216,079",1676.97,1696.34,1673.75
10/24/2025,1667.0,"189,389",1627.17,1669.18,1624.5
10/23/2025,1615.36,"331,055",1575.0,1628.74,1572.76
10/22/2025,1573.94,"395,466",1560.5,1594.93,1548.775
10/21/2025,1565.83,"397,147",1623.41,1623.41,1564.6
10/20/2025,1620.39,"160,848",1630.09,1653.15,1617.34
10/17/2025,1616.0,"256,520",1624.63,1638.75,1604.335
10/16/2025,1620.14,"287,658",1622.29,1642.01,1607.5
10/15/2025,1636.65,"273,383",1641.28,1652.89,1611.935
10/14/2025,1649.51,"403,742",1641.71,1655.81,1581.48
10/13/2025,1649.99,"288,559",1658.15,1716.1199,1648.31
10/10/2025,1665.21,"297,716",1716.89,1723.57,1652.14
10/09/2025,1708.77,"322,138",1693.395,1730.225,1672.66
10/08/2025,1695.01,"771,197",1821.385,1835.93,1688.69
10/07/2025,1879.55,"363,062",1841.79,1881.21,1825.0
10/06/2025,1850.18,"482,292",1862.12,1886.28,1829.12
10/03/2025,1850.65,"598,558",1786.87,1880.16,1786.83
10/02/2025,1784.68,"1,710,152",1785.5,1998.01,1692.325
10/01/2025,1512.71,"238,689",1506.31,1535.0,1484.23
09/30/2025,1496.53,"262,263",1523.5,1523.94,1488.4
09/29/2025,1525.44,"144,367",1521.05,1542.25,1520.21
09/26/2025,1518.78,"199,014",1542.99,1562.2,1511.55
