date,close,volume,open,high,low
05/15/2026,41.8,"7,982,351",42.3,42.84,41.325
05/14/2026,41.81,"7,668,079",42.47,42.89,41.72
05/13/2026,42.6,"8,246,289",42.715,42.72,41.75
05/12/2026,43.01,"7,938,661",42.81,43.195,41.95
05/11/2026,42.36,"10,691,340",43.14,43.51,41.635
05/08/2026,43.49,"11,469,020",44.5,45.595,43.28
05/07/2026,47.25,"9,359,122",45.83,47.26,45.81
05/06/2026,45.97,"11,228,420",46.63,46.775,45.875
05/05/2026,46.61,"7,245,331",48.01,48.01,46.54
05/04/2026,47.28,"4,200,562",46.52,47.72,46.52
05/01/2026,46.54,"3,168,143",47.03,47.83,46.43
04/30/2026,46.53,"3,981,279",45.86,46.64,45.07
04/29/2026,46.22,"3,972,994",46.04,46.45,45.76
04/28/2026,46.3,"3,943,499",45.99,46.615,45.68
04/27/2026,45.6,"3,350,569",45.04,46.425,45.0
04/24/2026,45.73,"3,286,532",45.16,45.875,44.81
04/23/2026,45.74,"4,252,522",47.18,47.19,45.26
04/22/2026,47.84,"4,841,203",47.75,48.09,46.7
04/21/2026,47.69,"4,975,792",48.3,48.96,47.51
04/20/2026,48.32,"3,618,075",48.5,48.85,47.97
04/17/2026,48.5,"5,418,872",48.89,49.2787,48.24
04/16/2026,48.62,"4,788,367",48.76,49.18,48.4501
04/15/2026,48.32,"6,231,517",47.39,49.14,47.1
04/14/2026,46.98,"5,775,377",46.79,47.395,46.29
04/13/2026,46.43,"10,604,320",43.58,46.485,43.45
04/10/2026,43.37,"9,181,864",45.435,45.435,43.295
04/09/2026,45.29,"7,120,109",46.57,46.72,44.64
04/08/2026,47.01,"11,944,010",46.91,47.35,46.46
04/07/2026,46.21,"6,363,528",46.56,46.84,45.81
04/06/2026,46.68,"4,936,360",46.18,46.75,45.79
04/02/2026,46.29,"5,297,536",45.01,46.32,44.48
04/01/2026,45.17,"7,528,704",46.92,47.02,44.562
03/31/2026,46.91,"6,243,779",47.98,48.308,46.65
03/30/2026,47.45,"4,889,491",46.87,47.945,46.87
03/27/2026,46.89,"6,202,650",47.25,47.42,46.13
03/26/2026,47.41,"11,218,980",47.43,48.36,46.7
03/25/2026,47.6,"9,197,190",49.6,50.25,47.28
03/24/2026,49.14,"4,502,126",49.2,49.7,48.45
03/23/2026,49.77,"4,358,866",50.505,50.68,49.14
03/20/2026,49.79,"8,900,210",48.88,49.94,48.67
03/19/2026,49.26,"5,519,566",49.12,50.284,48.5
03/18/2026,49.21,"5,492,400",49.8,50.12,48.91
03/17/2026,50.23,"6,148,085",50.85,52.07,50.08
03/16/2026,50.44,"4,824,459",49.74,50.59,49.56
03/13/2026,49.7,"3,695,325",49.96,50.03,49.15
03/12/2026,49.26,"5,618,063",49.67,51.25,49.17
03/11/2026,50.16,"4,922,252",50.54,51.375,49.825
03/10/2026,50.53,"5,200,040",51.47,51.47,49.1
03/09/2026,51.62,"6,173,546",51.3,51.755,50.135
03/06/2026,51.49,"7,311,299",50.1,51.82,49.26
03/05/2026,50.58,"5,417,579",49.77,50.8,49.77
03/04/2026,50.08,"6,781,007",50.04,50.87,49.55
03/03/2026,50.27,"5,645,093",49.07,50.88,48.62
03/02/2026,50.0,"5,532,110",49.81,50.9,49.64
02/27/2026,50.96,"6,223,501",50.58,51.12,49.67
02/26/2026,51.05,"5,318,800",49.37,51.13,49.235
02/25/2026,49.07,"6,006,764",48.55,49.08,47.7
02/24/2026,48.11,"6,665,361",48.3,49.23,46.87
02/23/2026,47.46,"5,950,543",48.61,49.06,46.75
02/20/2026,49.13,"3,354,594",48.91,49.63,48.5
02/19/2026,49.0,"3,631,614",48.21,49.02,48.02
02/18/2026,48.58,"5,479,594",47.78,48.68,47.55
02/17/2026,47.52,"6,690,913",47.36,48.32,47.205
02/13/2026,46.8,"5,328,657",47.12,47.225,46.38
02/12/2026,46.95,"8,633,053",48.42,48.9,46.1578
02/11/2026,48.31,"5,151,137",50.5,50.5,48.29
02/10/2026,50.55,"7,224,726",50.62,51.27,50.07
02/09/2026,50.59,"7,095,994",51.19,51.58,50.22
02/06/2026,51.93,"7,750,209",50.91,51.9898,50.53
02/05/2026,50.82,"5,462,624",51.91,52.73,50.48
02/04/2026,51.57,"7,909,670",50.9,52.49,50.74
02/03/2026,50.94,"7,935,895",55.54,55.54,50.85
02/02/2026,56.08,"4,247,350",55.62,56.29,55.04
01/30/2026,55.25,"5,853,569",55.17,55.33,54.4
01/29/2026,55.2,"8,202,187",56.45,56.49,54.65
01/28/2026,56.19,"4,833,333",57.94,58.37,56.02
01/27/2026,58.06,"4,755,810",59.33,59.41,57.78
01/26/2026,59.1,"5,228,185",60.71,60.81,58.75
01/23/2026,60.5,"2,875,436",60.95,61.431,60.13
01/22/2026,61.3,"3,760,007",60.6,61.535,60.37
01/21/2026,60.58,"3,804,163",60.8,61.81,60.555
01/20/2026,60.07,"5,110,788",62.18,62.91,59.95
01/16/2026,63.35,"2,435,818",63.46,63.695,62.475
01/15/2026,63.45,"3,397,577",64.11,64.11,62.7
01/14/2026,63.98,"2,608,573",64.06,64.5401,63.48
01/13/2026,64.23,"3,401,713",65.99,66.73,63.85
01/12/2026,66.24,"4,213,143",64.665,66.64,63.8
01/09/2026,66.84,"3,015,349",67.84,68.215,66.4
01/08/2026,67.54,"2,422,602",66.36,68.368,66.36
01/07/2026,66.73,"1,970,071",67.25,67.32,66.55
01/06/2026,67.05,"2,044,040",65.65,67.3,65.485
01/05/2026,66.37,"3,031,709",65.11,67.45,65.09
01/02/2026,65.62,"1,817,183",66.5,66.59,65.42
12/31/2025,66.46,"1,718,922",67.02,67.17,66.41
12/30/2025,67.17,"1,477,042",67.28,67.6173,67.0
12/29/2025,67.45,"1,890,510",67.18,67.915,66.9
12/26/2025,67.19,"1,037,806",66.9,67.35,66.8674
12/24/2025,67.17,"925,135",67.0,67.55,66.84
12/23/2025,66.8,"2,452,827",66.97,67.335,66.44
12/22/2025,66.89,"2,441,410",65.96,67.44,65.96
12/19/2025,66.05,"4,824,701",65.91,66.38,65.62
12/18/2025,65.9,"3,229,932",66.52,66.665,65.36
12/17/2025,66.3,"2,952,925",66.32,67.15,66.08
12/16/2025,66.62,"2,260,562",66.92,67.31,66.19
12/15/2025,66.61,"3,180,450",67.25,67.68,66.36
12/12/2025,67.11,"2,877,655",67.815,68.175,66.91
12/11/2025,67.24,"4,095,691",66.68,67.5299,66.44
12/10/2025,66.6,"2,523,603",65.21,66.73,65.21
12/09/2025,65.17,"2,191,086",65.41,65.912,64.983
12/08/2025,65.88,"2,317,417",66.44,66.47,65.555
12/05/2025,66.66,"2,777,117",65.6,66.93,65.3375
12/04/2025,65.56,"2,841,900",65.7,66.25,64.91
12/03/2025,65.66,"4,215,127",66.95,67.48,65.41
12/02/2025,66.8,"3,180,776",66.39,67.31,65.71
12/01/2025,66.2,"2,801,687",64.91,66.84,64.91
11/28/2025,65.77,"990,908",65.59,66.1699,65.24
11/26/2025,65.38,"2,180,269",65.14,66.1,64.91
11/25/2025,65.65,"2,313,344",65.0,66.28,64.555
11/24/2025,64.41,"6,173,315",64.09,64.89,63.81
11/21/2025,64.07,"3,291,700",62.67,64.81,62.67
11/20/2025,62.38,"2,256,139",62.79,63.67,62.28
11/19/2025,62.66,"2,937,810",63.2,63.39,62.45
11/18/2025,63.15,"3,144,517",63.89,64.185,63.01
11/17/2025,63.93,"2,822,171",64.32,64.88,63.8201
11/14/2025,64.24,"3,551,487",65.98,66.37,63.97
11/13/2025,66.26,"3,739,539",66.04,66.45,65.39
11/12/2025,66.23,"3,258,557",65.86,66.385,65.22
11/11/2025,66.38,"3,175,619",65.56,66.52,65.3
11/10/2025,65.44,"2,479,400",64.71,65.61,64.05
11/07/2025,64.78,"3,601,388",64.01,65.28,63.86
11/06/2025,64.68,"3,468,858",65.08,66.0,63.4528
11/05/2025,64.75,"7,694,399",63.72,65.0,62.45
11/04/2025,63.15,"5,557,685",62.46,63.48,61.55
11/03/2025,62.2,"4,051,339",62.14,62.435,61.08
10/31/2025,62.52,"3,074,190",61.52,62.61,61.18
10/30/2025,62.39,"5,024,588",62.12,63.28,61.77
10/29/2025,61.5,"15,316,350",61.18,62.89,59.51
10/28/2025,65.93,"3,886,140",66.29,66.835,65.723
10/27/2025,66.53,"4,025,633",67.84,68.0,66.36
