date,close,volume,open,high,low
05/15/2026,55.33,"8,071,606",53.445,55.73,53.445
05/14/2026,53.46,"5,864,241",53.15,53.77,52.27
05/13/2026,52.37,"7,345,356",54.11,54.27,52.17
05/12/2026,54.88,"6,321,394",54.55,55.43,54.08
05/11/2026,54.39,"6,423,390",54.99,55.26,54.13
05/08/2026,55.48,"5,568,933",56.75,56.75,54.64
05/07/2026,56.81,"7,149,820",56.37,57.74,56.355
05/06/2026,56.11,"10,024,640",57.56,57.705,55.67
05/05/2026,57.28,"15,413,540",57.82,59.54,56.495
05/04/2026,62.81,"7,055,278",62.15,64.03,62.0
05/01/2026,62.14,"4,083,102",63.5,63.92,62.05
04/30/2026,62.65,"5,102,609",61.33,62.745,60.49
04/29/2026,62.02,"4,806,781",61.7,62.46,61.17
04/28/2026,61.6,"4,100,255",61.74,62.37,61.12
04/27/2026,61.27,"4,249,406",60.41,61.61,60.41
04/24/2026,60.84,"3,997,388",61.43,61.43,60.275
04/23/2026,61.55,"4,808,863",62.4,62.86,60.565
04/22/2026,63.26,"3,979,353",63.26,63.62,62.46
04/21/2026,63.26,"4,639,687",64.87,65.29,62.93
04/20/2026,64.14,"5,687,419",63.97,65.055,63.86
04/17/2026,63.97,"5,159,374",63.07,64.34,62.56
04/16/2026,62.44,"4,921,200",61.525,62.77,61.31
04/15/2026,61.29,"7,169,187",59.99,61.84,59.88
04/14/2026,59.02,"4,445,983",58.97,59.62,58.53
04/13/2026,58.79,"7,401,835",55.9,59.045,55.7
04/10/2026,56.09,"5,217,907",56.35,56.67,55.47
04/09/2026,56.41,"5,612,075",56.155,56.54,55.19
04/08/2026,56.63,"7,722,678",56.94,58.19,56.48
04/07/2026,55.32,"5,585,879",56.265,56.595,54.9201
04/06/2026,56.32,"4,305,949",56.21,57.34,56.21
04/02/2026,56.16,"9,365,994",55.32,57.2,54.28
04/01/2026,55.45,"5,817,692",55.8,56.15,53.78
03/31/2026,55.8,"7,477,646",55.28,56.12,54.12
03/30/2026,54.53,"7,256,707",54.195,55.08,53.99
03/27/2026,53.9,"8,088,382",54.99,55.01,52.91
03/26/2026,55.54,"4,702,704",56.08,57.09,55.46
03/25/2026,56.64,"5,349,568",57.13,57.95,55.44
03/24/2026,56.34,"6,494,766",57.375,57.375,55.8601
03/23/2026,57.71,"6,787,842",58.02,58.51,56.76
03/20/2026,57.07,"8,027,296",56.85,57.42,56.3321
03/19/2026,57.02,"6,291,037",56.65,58.29,56.0806
03/18/2026,57.06,"6,464,120",57.76,58.255,56.54
03/17/2026,58.21,"6,320,878",58.08,59.56,58.01
03/16/2026,57.57,"7,207,306",56.92,57.62,56.625
03/13/2026,56.74,"6,465,157",56.66,57.15,56.07
03/12/2026,56.07,"7,679,192",58.14,58.83,55.865
03/11/2026,58.5,"6,650,089",59.84,60.1,58.0
03/10/2026,59.45,"5,843,567",60.99,61.15,58.47
03/09/2026,61.29,"5,435,282",62.3,62.37,59.97
03/06/2026,63.1,"5,585,586",62.855,63.19,61.33
03/05/2026,63.86,"6,697,036",62.5,64.52,62.1501
03/04/2026,62.6,"5,478,216",62.66,62.8299,61.76
03/03/2026,62.89,"5,120,198",60.53,63.365,59.885
03/02/2026,61.85,"5,119,321",61.1,62.21,60.42
02/27/2026,62.29,"10,162,990",61.085,62.35,60.11
02/26/2026,61.89,"6,545,690",62.24,63.125,61.12
02/25/2026,61.61,"10,323,170",59.64,62.86,58.95
02/24/2026,59.13,"6,889,413",58.32,59.45,57.9
02/23/2026,58.4,"7,498,094",60.63,61.43,58.165
02/20/2026,61.47,"8,096,838",61.72,62.05,60.9
02/19/2026,61.53,"8,429,488",62.94,63.25,60.88
02/18/2026,63.01,"8,728,682",63.41,64.4,61.82
02/17/2026,63.45,"11,408,810",60.72,63.78,60.56
02/13/2026,59.36,"12,085,770",59.245,60.08,58.57
02/12/2026,58.82,"10,397,980",62.53,62.75,58.53
02/11/2026,62.11,"10,305,050",62.66,63.64,62.02
02/10/2026,62.59,"13,506,650",59.64,63.59,58.62
02/09/2026,60.14,"12,541,950",60.0,60.95,59.78
02/06/2026,60.0,"9,883,359",58.695,60.14,58.52
02/05/2026,58.44,"9,734,378",60.22,60.88,58.0
02/04/2026,59.72,"11,652,390",57.97,60.31,57.86
02/03/2026,58.12,"17,142,900",61.29,61.79,57.79
02/02/2026,62.94,"6,932,162",63.72,63.75,62.65
01/30/2026,63.73,"6,569,073",63.335,64.052,62.67
01/29/2026,63.43,"8,011,936",65.4,65.55,63.21
01/28/2026,64.95,"7,358,710",66.6,66.75,64.62
01/27/2026,66.29,"10,184,970",66.775,66.87,65.3592
01/26/2026,67.15,"13,436,300",67.5,67.905,66.29
01/23/2026,67.56,"6,234,741",66.91,67.63,66.74
01/22/2026,67.4,"7,179,849",66.025,67.55,65.99
01/21/2026,65.73,"8,036,954",64.705,66.0,64.5
01/20/2026,64.49,"11,106,260",65.88,66.16,64.18
01/16/2026,66.29,"8,288,437",66.575,66.875,66.08
01/15/2026,66.78,"10,638,390",67.69,68.08,66.4665
01/14/2026,67.5,"16,416,230",66.615,67.51,66.42
01/13/2026,66.75,"18,278,380",68.42,68.62,65.97
01/12/2026,68.2,"10,700,640",69.44,69.53,67.22
01/09/2026,69.85,"5,070,801",69.69,70.15,68.77
01/08/2026,69.5,"5,567,550",68.19,70.41,68.04
01/07/2026,68.71,"13,040,280",68.91,69.27,67.46
01/06/2026,68.76,"6,920,974",66.77,68.96,66.77
01/05/2026,66.99,"7,127,370",65.19,68.03,64.51
01/02/2026,65.59,"6,039,590",67.53,67.53,65.07
12/31/2025,67.17,"4,244,242",67.42,67.99,67.155
12/30/2025,67.54,"5,251,902",67.15,68.59,67.05
12/29/2025,67.28,"6,639,267",67.39,67.49,66.4
12/26/2025,67.5,"3,476,866",67.75,67.8,66.94
12/24/2025,67.95,"3,243,899",67.72,68.1,67.05
12/23/2025,67.72,"8,820,243",68.39,68.82,67.58
12/22/2025,68.62,"6,077,158",68.04,69.11,67.97
12/19/2025,67.94,"20,614,500",68.14,68.685,67.48
12/18/2025,68.0,"13,085,960",68.74,69.25,67.22
12/17/2025,68.33,"14,524,680",67.7,69.39,67.59
12/16/2025,67.7,"19,180,040",69.135,69.4,67.175
12/15/2025,68.97,"17,650,080",69.3,69.43,67.97
12/12/2025,68.75,"20,182,730",68.73,69.35,67.9102
12/11/2025,68.16,"26,056,920",66.505,68.51,66.505
12/10/2025,66.57,"10,319,240",66.0,66.63,65.57
12/09/2025,66.21,"5,925,674",66.25,66.775,65.67
12/08/2025,65.73,"8,524,999",66.3,67.45,65.43
12/05/2025,66.28,"7,187,612",66.1,67.46,66.06
12/04/2025,66.06,"7,480,517",66.29,66.95,65.27
12/03/2025,66.95,"14,913,180",64.67,67.72,64.4
12/02/2025,63.24,"7,088,376",62.86,64.056,61.72
12/01/2025,62.69,"11,001,950",61.44,63.805,60.455
11/28/2025,61.47,"6,770,459",61.12,62.4,60.76
11/26/2025,60.8,"7,883,189",60.84,61.58,60.6
11/25/2025,60.76,"6,886,945",60.67,61.7799,60.55
11/24/2025,60.67,"10,106,090",60.36,61.17,59.8001
11/21/2025,60.84,"8,356,432",59.9,61.8599,59.56
11/20/2025,59.77,"7,165,461",61.655,62.255,59.72
11/19/2025,61.17,"5,086,125",61.52,61.98,60.38
11/18/2025,61.34,"7,240,107",62.16,62.69,61.13
11/17/2025,62.7,"5,473,962",63.565,64.2,62.41
11/14/2025,63.42,"5,596,494",64.0,64.15,63.02
11/13/2025,64.53,"9,274,509",64.85,66.95,64.3701
11/12/2025,64.38,"6,244,651",64.2,64.87,63.11
11/11/2025,64.26,"5,512,744",63.6,64.475,62.841
11/10/2025,63.8,"8,431,560",63.91,64.18,62.67
11/07/2025,63.7,"14,163,910",60.95,63.84,60.95
11/06/2025,61.63,"17,566,200",63.8,64.0,61.33
11/05/2025,64.0,"15,622,960",63.74,64.87,63.5
11/04/2025,64.45,"16,559,510",64.64,66.22,63.71
11/03/2025,65.14,"22,480,470",66.0,67.48,64.6601
10/31/2025,66.69,"30,157,020",65.64,68.0,65.13
10/30/2025,65.19,"63,794,830",68.87,70.1,64.52
10/29/2025,70.6,"103,454,200",71.36,76.645,66.58
10/28/2025,126.17,"5,802,797",126.73,128.78,125.8
10/27/2025,126.54,"3,809,938",126.36,126.8,124.935
10/24/2025,125.17,"2,840,906",125.31,126.23,124.855
10/23/2025,123.96,"2,454,390",125.29,125.637,123.5
10/22/2025,125.25,"3,953,648",125.86,126.7,124.46
10/21/2025,126.07,"3,086,831",123.87,126.72,123.8
10/20/2025,124.14,"3,958,319",122.29,124.78,121.89
10/17/2025,121.65,"4,315,878",118.0,121.82,117.86
10/16/2025,118.0,"5,394,702",120.69,121.68,117.84
10/15/2025,121.11,"4,927,603",124.48,125.165,120.79
10/14/2025,124.12,"3,923,860",121.78,124.53,121.4
10/13/2025,122.55,"3,518,768",122.62,123.5565,121.93
10/10/2025,122.63,"4,497,608",125.96,126.35,122.62
10/09/2025,125.96,"3,554,941",126.92,127.6899,125.345
10/08/2025,126.51,"3,233,566",126.985,127.86,125.72
10/07/2025,126.69,"4,196,363",125.51,128.35,125.51
10/06/2025,125.05,"5,773,038",128.0,128.24,125.0
10/03/2025,127.56,"4,431,972",126.14,129.85,126.13
10/02/2025,125.76,"5,563,825",126.09,127.735,125.01
10/01/2025,126.09,"5,073,517",128.28,129.6446,124.89
09/30/2025,128.93,"4,764,307",130.13,130.4,127.41
09/29/2025,130.45,"3,990,498",129.57,130.64,128.6
09/26/2025,129.56,"3,202,463",128.8,130.58,128.5737
09/25/2025,128.66,"4,520,000",130.01,130.7653,128.08
09/24/2025,130.59,"6,231,260",130.51,130.855,129.49
09/23/2025,129.82,"7,440,571",130.89,131.7208,128.81
09/22/2025,130.48,"7,526,804",130.83,131.97,128.75
09/19/2025,131.8,"10,594,020",133.37,133.37,131.39
09/18/2025,132.87,"3,239,378",135.12,135.32,132.4
09/17/2025,134.18,"3,042,919",133.32,135.585,133.2398
09/16/2025,132.75,"3,374,262",131.47,133.9475,130.76
09/15/2025,132.65,"2,969,900",135.2,135.88,132.57
09/12/2025,134.32,"2,913,499",135.58,135.7999,134.28
09/11/2025,135.7,"3,859,098",132.91,136.14,132.5925
09/10/2025,132.14,"4,828,868",136.0,136.6,131.955
09/09/2025,136.41,"4,124,168",135.53,136.43,134.69
09/08/2025,135.21,"5,130,166",134.6,135.39,132.465
09/05/2025,135.05,"3,575,191",136.37,138.62,134.25
09/04/2025,136.18,"3,337,061",136.58,136.7505,135.2397
09/03/2025,136.77,"3,329,432",136.45,137.7,135.9609
09/02/2025,136.78,"4,914,037",137.57,138.49,134.03
08/29/2025,138.18,"3,769,837",137.8,138.85,137.43
08/28/2025,137.65,"3,853,868",138.23,138.47,136.2366
08/27/2025,137.98,"3,615,276",137.6,138.67,137.39
08/26/2025,137.88,"4,108,456",137.0,138.2,136.72
08/25/2025,137.26,"2,783,180",139.65,139.94,137.04
08/22/2025,139.68,"6,163,121",139.7,140.09,136.79
08/21/2025,140.0,"3,596,073",139.43,140.19,137.815
08/20/2025,139.96,"3,749,804",139.03,140.42,138.11
08/19/2025,139.11,"4,669,973",137.59,140.21,137.06
08/18/2025,137.06,"3,793,700",136.65,137.65,135.51
