date,close,volume,open,high,low
05/15/2026,47.35,"5,930,438",47.725,47.825,46.8
05/14/2026,47.7,"7,225,575",47.69,48.09,47.51
05/13/2026,47.17,"5,418,483",48.265,48.45,47.13
05/12/2026,48.63,"5,134,661",48.69,48.835,47.75
05/11/2026,48.65,"4,488,864",49.45,49.6,48.415
05/08/2026,49.33,"4,216,508",49.85,50.035,49.28
05/07/2026,49.67,"5,097,348",50.78,50.91,49.59
05/06/2026,50.84,"5,067,667",50.748,51.25,50.748
05/05/2026,50.3,"4,562,321",49.58,50.38,49.31
05/04/2026,49.4,"4,016,557",50.07,50.255,49.19
05/01/2026,50.43,"5,035,871",50.81,50.91,50.29
04/30/2026,50.76,"5,985,868",49.68,50.895,49.295
04/29/2026,49.79,"4,321,104",50.38,50.665,49.525
04/28/2026,50.31,"4,249,052",50.82,51.0,50.09
04/27/2026,50.33,"5,056,016",49.66,50.455,49.51
04/24/2026,49.66,"4,550,624",50.97,50.97,49.3
04/23/2026,50.89,"5,398,568",50.6,50.945,49.96
04/22/2026,50.56,"6,276,340",51.4,51.5,50.3
04/21/2026,51.1,"6,838,410",51.15,51.86,50.905
04/20/2026,50.98,"7,056,628",49.9,51.1,49.9
04/17/2026,50.34,"11,725,130",50.91,51.05,49.85
04/16/2026,49.52,"6,984,624",49.67,50.09,49.47
04/15/2026,49.84,"6,796,123",49.84,50.255,49.38
04/14/2026,49.77,"6,008,419",49.8,50.03,49.2
04/13/2026,49.84,"5,152,865",48.925,49.88,48.74
04/10/2026,49.31,"7,544,332",50.59,50.59,49.265
04/09/2026,50.22,"5,768,150",49.11,50.445,49.09
04/08/2026,49.34,"7,863,831",49.21,49.77,48.89
04/07/2026,47.79,"7,503,950",47.56,47.9,47.26
04/06/2026,47.56,"7,392,314",47.11,47.68,46.9986
04/02/2026,47.11,"7,299,680",45.76,47.245,45.66
04/01/2026,46.82,"11,797,410",46.68,47.41,46.505
03/31/2026,46.46,"13,835,920",45.01,46.59,44.715
03/30/2026,44.68,"8,358,098",44.97,45.04,44.33
03/27/2026,44.54,"8,926,376",45.28,45.4,44.41
03/26/2026,45.41,"7,897,729",45.11,45.835,45.11
03/25/2026,45.81,"7,145,243",46.12,46.71,45.325
03/24/2026,45.99,"11,548,270",44.68,46.585,44.68
03/23/2026,45.37,"13,722,960",45.708,45.92,44.9
