date,close,volume,open,high,low
05/15/2026,57.87,"840,525",58.7,59.0,57.27
05/14/2026,58.6,"545,932",59.52,60.09,58.33
05/13/2026,59.47,"1,039,500",59.49,59.8,58.79
05/12/2026,59.47,"1,169,339",61.58,61.58,59.04
05/11/2026,61.18,"1,657,937",57.97,61.48,57.21
05/08/2026,56.6,"939,712",56.21,56.66,55.64
05/07/2026,56.5,"1,325,263",55.87,57.11,55.87
05/06/2026,56.22,"1,085,707",56.54,56.79,55.86
05/05/2026,55.91,"751,322",56.07,56.3,55.15
05/04/2026,56.07,"818,679",56.97,57.13,55.925
05/01/2026,56.93,"817,625",57.11,57.51,56.68
04/30/2026,57.02,"918,229",56.07,57.34,55.655
04/29/2026,56.62,"603,698",56.47,56.95,56.18
04/28/2026,56.58,"728,250",57.63,57.75,56.45
04/27/2026,57.12,"753,411",56.03,57.39,56.03
04/24/2026,56.17,"817,303",57.56,57.67,55.97
04/23/2026,57.74,"952,913",58.8,59.04,57.17
04/22/2026,58.57,"804,567",57.61,58.86,57.5925
04/21/2026,57.63,"773,886",57.74,58.29,57.41
04/20/2026,57.99,"894,575",58.35,58.98,57.96
04/17/2026,58.53,"1,064,177",57.87,58.61,57.56
04/16/2026,57.9,"1,142,479",56.95,58.23,56.95
04/15/2026,57.05,"942,587",56.82,57.53,56.64
04/14/2026,56.82,"1,383,114",56.14,57.21,55.405
04/13/2026,56.25,"793,196",54.67,56.4,54.67
04/10/2026,54.925,"1,171,691",55.79,56.1,54.385
04/09/2026,55.97,"2,422,460",54.43,56.33,53.915
04/08/2026,54.48,"1,122,297",53.72,54.53,53.72
04/07/2026,53.75,"796,026",53.34,53.985,53.25
04/06/2026,53.48,"1,006,238",52.8,54.04,52.79
04/02/2026,52.87,"1,000,158",52.88,53.22,51.76
04/01/2026,52.88,"2,353,969",53.31,53.66,52.05
03/31/2026,53.1,"7,924,480",54.15,54.7,51.99
03/30/2026,53.78,"2,007,128",53.66,54.425,53.15
03/27/2026,53.38,"1,740,029",52.96,53.43,51.84
03/26/2026,52.55,"1,244,853",52.33,53.01,52.13
03/25/2026,52.35,"1,135,971",52.52,52.86,51.39
03/24/2026,52.52,"2,038,492",51.63,53.13,51.49
03/23/2026,51.63,"2,000,436",52.93,52.99,51.55
03/20/2026,52.18,"4,115,167",51.93,52.58,51.75
03/19/2026,52.02,"2,322,651",52.13,53.04,51.38
03/18/2026,52.14,"2,236,819",52.38,53.23,51.98
03/17/2026,52.71,"1,970,521",52.55,53.73,52.45
03/16/2026,52.15,"1,593,959",52.14,53.09,52.08
03/13/2026,52.03,"3,508,698",52.82,53.92,51.19
03/12/2026,52.48,"1,346,886",52.37,53.17,52.23
03/11/2026,52.77,"1,397,205",53.08,53.42,52.47
03/10/2026,53.08,"1,648,533",53.83,53.83,52.7
03/09/2026,54.04,"1,946,630",53.78,54.22,53.07
03/06/2026,54.31,"1,634,069",53.18,54.48,52.46
03/05/2026,53.5,"1,472,194",53.05,53.725,52.82
03/04/2026,53.24,"2,035,485",52.01,54.22,51.985
03/03/2026,52.38,"1,695,138",51.49,52.5,51.24
03/02/2026,51.99,"1,785,674",51.62,52.12,51.13
02/27/2026,51.73,"2,265,298",51.51,52.051,51.11
02/26/2026,52.03,"2,018,715",49.87,52.24,49.87
02/25/2026,49.62,"1,527,851",49.57,50.4,48.76
02/24/2026,51.46,"1,604,649",50.84,51.58,50.62
02/23/2026,50.85,"2,219,764",51.88,52.12,50.7
02/20/2026,52.25,"1,679,254",51.495,52.35,51.095
02/19/2026,51.47,"1,779,291",51.64,52.19,51.265
