date,close,volume,open,high,low
05/15/2026,233.37,"2,350,592",226.25,237.5,222.5
05/14/2026,231.62,"1,854,618",232.51,236.13,226.175
05/13/2026,234.6,"2,629,822",234.33,240.835,231.17
05/12/2026,228.06,"2,694,410",234.95,237.0,224.03
05/11/2026,233.27,"4,050,568",221.12,237.57,221.12
05/08/2026,219.95,"1,938,650",216.92,221.21,212.01
05/07/2026,214.57,"3,018,870",218.9,223.89,212.2901
05/06/2026,218.0,"2,513,222",218.16,219.54,214.6
05/05/2026,219.38,"3,165,082",213.93,221.58,212.81
05/04/2026,211.39,"2,927,633",213.0,215.745,205.1901
05/01/2026,211.71,"5,067,639",200.08,217.88,199.9
04/30/2026,201.89,"3,258,954",192.41,203.94,189.5
04/29/2026,190.61,"1,671,432",197.0,197.98,187.2
04/28/2026,195.86,"1,687,575",196.41,197.73,194.13
04/27/2026,197.48,"1,999,715",195.04,198.66,191.87
04/24/2026,193.76,"1,506,721",197.24,197.69,190.01
04/23/2026,196.19,"2,212,460",189.57,197.63,189.5
04/22/2026,188.71,"1,967,308",189.35,194.76,188.0001
04/21/2026,186.61,"1,860,882",193.19,195.3699,185.13
04/20/2026,192.49,"1,868,761",190.15,193.41,187.3301
04/17/2026,190.44,"3,406,164",192.03,194.97,189.47
04/16/2026,191.65,"2,498,670",195.4,197.595,188.64
04/15/2026,195.2,"3,515,405",211.0,211.0,194.0001
04/14/2026,200.61,"2,496,092",202.12,203.51,195.19
04/13/2026,200.35,"1,621,269",203.58,205.995,198.86
04/10/2026,203.47,"1,610,465",198.16,207.0,197.28
04/09/2026,197.25,"1,054,714",200.51,204.13,196.81
04/08/2026,200.78,"1,395,839",198.99,202.14,197.2
04/07/2026,192.31,"1,858,608",193.01,193.495,188.99
04/06/2026,195.57,"1,600,213",195.5,198.76,194.05
04/02/2026,195.32,"1,527,393",196.76,200.94,194.64
04/01/2026,199.42,"1,580,600",198.02,200.73,196.38
03/31/2026,197.26,"2,280,383",186.48,197.8499,186.48
03/30/2026,184.7,"1,737,788",192.89,193.74,182.99
03/27/2026,190.29,"2,260,101",185.55,194.9999,185.0
03/26/2026,185.83,"1,568,355",190.59,193.0,185.225
03/25/2026,193.51,"1,140,965",195.44,197.345,193.31
03/24/2026,192.85,"2,141,277",189.69,194.86,186.165
03/23/2026,189.92,"2,122,198",193.26,196.93,188.1
03/20/2026,192.82,"3,564,923",194.74,197.82,189.7801
03/19/2026,199.65,"1,319,152",196.7,200.04,194.15
03/18/2026,197.81,"1,219,907",198.8,202.0,197.5
03/17/2026,200.42,"1,358,516",199.53,202.72,197.85
03/16/2026,199.48,"1,052,616",200.48,202.0,197.65
03/13/2026,196.07,"1,173,320",199.43,201.99,193.76
03/12/2026,197.56,"1,536,727",199.74,200.9,196.485
03/11/2026,200.25,"1,420,800",197.0,203.18,195.31
03/10/2026,197.8,"1,954,600",195.7,201.18,195.24
03/09/2026,195.38,"1,955,777",187.35,196.595,187.1
03/06/2026,189.21,"1,801,366",188.9,192.3,187.24
03/05/2026,191.8,"1,898,949",197.0,199.16,190.23
03/04/2026,197.27,"1,882,064",196.83,203.46,196.26
03/03/2026,197.53,"1,694,018",192.3,199.525,191.77
03/02/2026,199.86,"2,343,419",193.1,200.79,191.7929
02/27/2026,197.2,"3,775,755",195.97,197.915,191.86
02/26/2026,200.1,"4,995,558",208.01,211.55,197.81
02/25/2026,210.12,"9,798,281",197.54,215.09,196.45
02/24/2026,243.21,"3,336,867",242.47,250.99,238.55
02/23/2026,242.15,"1,670,252",242.505,247.0,239.67
02/20/2026,241.88,"2,804,296",232.48,248.829,230.0
02/19/2026,233.3,"2,654,680",238.56,242.18,231.15
02/18/2026,238.57,"2,557,251",227.34,239.12,224.2
02/17/2026,226.05,"2,160,428",225.13,228.0199,220.46
02/13/2026,225.65,"2,629,491",218.7,228.91,216.725
02/12/2026,220.45,"1,648,741",230.13,230.14,217.55
02/11/2026,227.74,"1,211,838",229.81,231.17,222.6
02/10/2026,226.24,"2,459,483",219.0,229.235,218.06
02/09/2026,222.13,"2,651,329",221.295,224.4599,217.315
02/06/2026,218.73,"5,263,860",233.99,236.76,214.74
02/05/2026,234.36,"1,714,475",231.21,238.86,228.5168
02/04/2026,238.06,"2,156,317",242.85,246.705,231.03
02/03/2026,239.04,"1,906,592",228.775,242.88,227.6742
02/02/2026,230.55,"2,029,910",225.25,231.05,224.54
01/30/2026,225.52,"2,819,289",221.0,232.9999,220.85
01/29/2026,224.01,"5,257,273",230.22,232.2,214.0
01/28/2026,249.41,"2,206,870",240.36,251.36,238.64
01/27/2026,235.05,"2,185,618",242.52,245.9,234.385
01/26/2026,242.97,"2,218,581",241.59,249.5,238.12
01/23/2026,242.15,"1,945,470",240.92,246.4,237.92
01/22/2026,239.68,"1,976,243",244.35,247.45,239.49
01/21/2026,243.72,"1,463,729",244.5,247.65,238.22
01/20/2026,242.11,"1,998,400",239.0,245.0,234.63
01/16/2026,243.73,"1,956,087",243.64,248.665,243.0
01/15/2026,243.64,"3,206,701",235.0,252.52,234.81
01/14/2026,236.45,"1,906,189",239.61,244.8694,235.2489
01/13/2026,241.36,"2,063,634",238.5,244.215,237.06
01/12/2026,237.83,"2,116,431",235.53,244.35,233.0
01/09/2026,238.66,"3,712,047",248.02,248.04,235.12
01/08/2026,246.26,"2,301,263",239.66,247.25,238.52
01/07/2026,241.11,"6,207,863",254.02,255.92,239.975
01/06/2026,268.78,"1,620,652",273.0,277.6799,266.28
01/05/2026,272.0,"2,006,817",278.39,280.5,263.23
01/02/2026,274.34,"1,476,805",265.86,277.5699,265.86
12/31/2025,261.23,"1,081,961",264.3,266.3,260.5
12/30/2025,264.3,"817,907",268.25,269.4299,263.75
12/29/2025,268.25,"1,060,648",267.99,275.0,266.05
12/26/2025,269.69,"822,563",271.59,271.735,267.0
12/24/2025,272.21,"849,828",270.03,273.5,267.2695
12/23/2025,269.39,"3,848,528",282.0,283.3675,262.0
12/22/2025,284.59,"3,478,951",269.19,285.99,265.6453
12/19/2025,266.98,"2,708,101",263.47,268.9,261.79
12/18/2025,261.79,"1,873,889",258.89,266.72,255.5
12/17/2025,254.03,"1,750,928",260.0,264.0,251.7
12/16/2025,258.51,"1,489,382",255.25,260.34,252.0
12/15/2025,255.89,"1,564,447",253.51,257.25,249.761
12/12/2025,254.8,"2,969,086",273.0,273.8,249.0
12/11/2025,272.83,"2,315,848",261.11,273.459,253.87
12/10/2025,262.23,"1,825,835",252.15,266.25,251.3
12/09/2025,253.42,"1,998,859",253.81,261.2699,252.4
12/08/2025,255.88,"1,825,433",257.13,258.71,251.32
12/05/2025,257.61,"1,911,217",258.0,264.0,255.12
12/04/2025,257.28,"1,365,390",255.44,260.5,254.7
12/03/2025,256.06,"1,862,924",263.0,263.0,252.31
12/02/2025,262.56,"1,573,322",264.39,265.941,260.0
12/01/2025,263.54,"2,049,905",269.27,272.205,262.69
11/28/2025,272.92,"1,091,176",274.08,276.14,270.51
11/26/2025,272.21,"1,903,802",263.5,274.62,262.69
11/25/2025,260.36,"1,571,218",261.53,261.91,253.53
11/24/2025,259.85,"2,094,054",250.0,261.45,249.0
11/21/2025,249.91,"1,923,029",244.64,254.0,241.0
11/20/2025,245.84,"2,300,693",258.04,264.79,244.22
11/19/2025,251.87,"1,514,666",252.19,257.83,249.3001
11/18/2025,252.19,"1,760,492",247.0,257.38,244.42
11/17/2025,253.54,"1,484,467",251.35,258.0,250.25
11/14/2025,253.08,"2,816,398",244.41,257.7,243.75
11/13/2025,256.59,"2,351,467",267.52,269.77,255.84
11/12/2025,267.52,"1,503,412",268.11,270.37,261.77
11/11/2025,264.15,"1,922,221",268.97,272.9999,261.06
11/10/2025,272.64,"2,141,236",273.07,278.8099,268.06
11/07/2025,267.64,"2,513,339",262.08,268.356,254.51
11/06/2025,271.98,"2,338,799",278.4,279.96,270.62
11/05/2025,277.39,"3,644,340",262.4,281.55,261.0274
11/04/2025,262.7,"2,575,518",256.78,269.7899,253.78
11/03/2025,265.705,"2,707,585",265.93,275.08,261.0
10/31/2025,266.94,"6,158,718",249.13,269.672,246.16
10/30/2025,233.58,"2,529,272",237.14,242.52,232.77
10/29/2025,241.71,"2,331,260",240.0,246.1,236.0
10/28/2025,239.6,"2,552,517",246.07,249.27,236.841
10/27/2025,247.69,"2,068,947",243.605,249.56,241.41
10/24/2025,241.41,"2,595,487",239.68,244.0,234.0
10/23/2025,229.0,"1,681,141",222.8,230.835,222.63
10/22/2025,223.36,"2,379,854",227.19,231.5502,216.6301
10/21/2025,226.85,"1,304,855",230.365,230.41,224.16
10/20/2025,229.0,"1,422,549",234.52,238.0,228.39
10/17/2025,231.85,"2,327,967",235.46,237.3099,229.83
10/16/2025,237.79,"2,294,203",242.1,245.36,236.64
10/15/2025,244.4,"4,617,494",231.69,248.04,229.0823
10/14/2025,224.43,"2,191,769",224.26,230.9574,220.1
10/13/2025,226.15,"2,278,352",227.885,235.88,224.16
10/10/2025,225.91,"2,180,578",232.9,234.42,224.0001
10/09/2025,234.3,"1,517,629",231.17,237.1999,228.9
10/08/2025,231.37,"1,128,220",229.31,232.9999,227.909
10/07/2025,227.89,"1,416,907",229.57,230.9999,225.5
10/06/2025,229.57,"2,030,601",231.515,235.58,227.77
10/03/2025,230.13,"2,191,298",232.25,235.87,226.72
10/02/2025,232.13,"2,773,138",230.02,234.01,227.5003
10/01/2025,224.82,"2,626,018",221.78,229.11,221.41
09/30/2025,220.53,"1,707,221",223.69,224.32,218.03
09/29/2025,223.53,"1,886,375",222.11,226.93,221.7451
09/26/2025,220.02,"1,880,606",221.25,223.39,218.6637
09/25/2025,223.05,"2,051,682",214.69,225.32,211.01
09/24/2025,219.17,"2,818,787",217.5,228.335,217.5
09/23/2025,215.73,"2,479,479",220.0,223.49,215.3901
09/22/2025,219.2,"2,692,520",213.23,219.84,211.5001
09/19/2025,212.49,"3,860,634",211.01,216.7,209.12
09/18/2025,209.63,"2,331,219",211.0,212.6635,206.93
09/17/2025,210.71,"2,656,801",205.97,215.25,204.25
09/16/2025,205.25,"1,847,144",207.375,208.435,203.99
09/15/2025,207.0,"1,925,619",201.81,207.79,196.8
09/12/2025,201.7,"1,239,356",203.54,205.44,201.59
09/11/2025,203.31,"1,653,088",204.36,208.8,202.58
09/10/2025,203.79,"1,692,095",203.75,209.131,201.25
09/09/2025,203.06,"1,846,820",204.1,207.23,197.8
09/08/2025,203.21,"2,450,265",206.25,206.64,198.9478
09/05/2025,205.14,"3,066,253",206.265,213.25,199.3
09/04/2025,201.87,"1,741,250",202.4,204.2,197.5
09/03/2025,201.49,"2,546,786",195.83,203.03,194.3
09/02/2025,195.78,"1,935,216",190.15,196.25,187.64
