date,close,volume,open,high,low
05/15/2026,122.78,"5,533,777",121.17,123.33,119.49
05/14/2026,121.86,"5,784,306",118.03,121.97,115.77
05/13/2026,117.69,"5,236,583",113.205,117.835,112.71
05/12/2026,113.87,"4,910,432",115.19,116.46,113.16
05/11/2026,115.44,"6,718,134",112.095,115.485,112.095
05/08/2026,114.07,"9,904,392",107.3,114.66,106.67
05/07/2026,107.97,"18,110,090",105.255,112.39,104.51
05/06/2026,89.95,"8,050,795",88.775,90.11,87.2872
05/05/2026,89.92,"3,965,328",89.7,90.29,88.545
05/04/2026,89.24,"5,451,922",86.505,89.7596,86.36
05/01/2026,86.29,"4,041,351",86.12,86.75,84.97
04/30/2026,84.31,"5,810,521",85.12,85.22,82.435
04/29/2026,86.11,"3,061,380",85.42,86.39,84.425
04/28/2026,85.72,"3,890,502",86.74,87.44,85.44
04/27/2026,85.67,"5,679,538",84.1,86.755,83.78
04/24/2026,84.34,"5,778,364",83.1,84.56,82.5
04/23/2026,82.76,"5,417,665",85.06,85.35,81.81
04/22/2026,87.09,"4,443,113",86.265,87.64,85.7797
04/21/2026,85.26,"5,158,106",82.23,85.68,82.1
04/20/2026,82.6,"4,049,361",82.1,83.3299,81.47
04/17/2026,81.84,"4,968,406",83.95,84.25,81.02
04/16/2026,82.4,"5,517,870",79.98,82.5,79.89
04/15/2026,79.64,"6,151,370",78.82,80.065,77.41
04/14/2026,78.7,"5,838,513",79.06,80.0229,77.725
04/13/2026,78.74,"6,716,297",76.95,78.8,76.1
04/10/2026,76.7,"12,401,090",80.52,80.52,76.0143
04/09/2026,80.66,"6,656,947",83.265,83.71,79.56
04/08/2026,83.51,"5,955,205",85.095,86.14,82.28
04/07/2026,83.72,"5,591,479",81.86,83.95,81.625
04/06/2026,82.29,"3,459,331",82.74,83.38,81.83
04/02/2026,82.53,"4,139,278",80.85,82.56,80.02
04/01/2026,81.15,"5,255,602",81.765,82.14,80.0
03/31/2026,81.72,"6,045,467",79.75,81.83,79.555
03/30/2026,79.05,"7,015,850",78.11,80.94,78.08
03/27/2026,78.2,"8,771,172",79.69,79.69,76.415
03/26/2026,81.03,"4,489,084",78.29,81.72,78.29
03/25/2026,78.89,"6,053,060",80.13,81.52,78.46
03/24/2026,79.34,"6,173,962",82.33,82.8,79.12
03/23/2026,82.77,"4,999,994",82.01,83.72,81.22
03/20/2026,81.4,"16,257,840",82.96,82.96,80.27
