date,close,volume,open,high,low
05/15/2026,58.72,"2,908,322",58.84,59.495,58.7
05/14/2026,58.92,"3,450,017",59.81,60.1,58.4
05/13/2026,59.42,"2,678,237",60.15,60.52,59.05
05/12/2026,60.27,"2,262,993",60.59,60.67,59.46
05/11/2026,60.31,"2,548,116",61.19,61.57,60.14
05/08/2026,60.43,"2,769,475",60.88,61.115,60.34
05/07/2026,60.9,"2,809,928",60.71,61.15,59.96
05/06/2026,60.4,"4,219,469",61.2,61.5,59.88
05/05/2026,60.69,"2,411,441",60.41,61.08,60.068
05/04/2026,60.08,"3,166,727",59.19,61.155,59.19
05/01/2026,59.03,"3,258,077",60.69,60.85,58.495
04/30/2026,59.79,"7,359,439",62.11,62.805,57.8
04/29/2026,61.75,"4,766,498",61.74,62.43,61.5
04/28/2026,61.77,"3,177,633",62.18,62.229,61.18
04/27/2026,62.01,"4,558,230",61.17,62.28,61.12
04/24/2026,61.09,"2,850,242",60.99,61.56,60.645
04/23/2026,61.11,"2,324,868",60.97,61.395,60.49
04/22/2026,60.86,"2,591,421",61.41,61.74,60.44
04/21/2026,61.03,"2,661,063",60.47,61.71,60.47
04/20/2026,60.97,"2,152,220",60.25,61.025,60.04
04/17/2026,60.52,"3,741,128",60.17,61.155,59.74
04/16/2026,59.65,"2,845,815",59.35,60.205,59.34
04/15/2026,59.37,"2,236,456",59.63,59.765,58.72
04/14/2026,59.71,"2,394,592",58.535,60.31,58.535
04/13/2026,59.82,"3,557,662",58.12,60.015,58.12
04/10/2026,58.36,"3,795,888",60.3,60.5,57.95
04/09/2026,60.23,"2,877,462",59.1,60.645,58.93
04/08/2026,59.38,"2,805,449",58.04,59.425,57.915
04/07/2026,56.87,"2,171,866",56.56,57.2,56.39
04/06/2026,56.71,"2,133,168",55.88,56.785,55.705
04/02/2026,56.08,"1,927,736",55.28,56.605,54.77
04/01/2026,55.9,"2,498,140",55.53,56.17,55.27
03/31/2026,55.28,"2,341,312",54.5,55.91,54.2
03/30/2026,53.62,"1,845,038",54.54,54.7,53.48
03/27/2026,53.92,"1,804,411",54.51,54.6,53.805
03/26/2026,54.81,"1,959,603",54.42,55.405,54.37
03/25/2026,54.78,"2,011,059",55.49,55.83,53.86
03/24/2026,54.9,"2,757,907",54.68,55.44,54.49
03/23/2026,55.39,"2,649,673",56.14,56.78,55.32
03/20/2026,55.22,"4,696,298",55.5,56.14,54.73
03/19/2026,55.55,"4,136,875",54.29,55.87,54.05
03/18/2026,54.84,"3,972,497",55.55,55.69,54.505
03/17/2026,55.84,"4,912,078",54.35,56.36,53.57
03/16/2026,53.76,"3,269,668",54.63,54.79,53.73
03/13/2026,54.27,"2,678,134",54.51,55.405,54.0103
03/12/2026,54.89,"6,102,012",55.86,56.45,54.31
03/11/2026,56.31,"3,074,707",55.6,56.55,55.31
03/10/2026,55.82,"2,506,465",56.57,56.66,55.69
03/09/2026,56.35,"4,668,443",56.43,56.915,55.41
03/06/2026,57.39,"4,414,969",57.25,57.4,55.6
03/05/2026,58.03,"4,120,918",57.5,58.22,57.01
03/04/2026,58.0,"1,903,811",58.19,58.395,57.58
03/03/2026,58.03,"2,582,091",57.62,58.49,56.82
03/02/2026,58.58,"2,503,424",58.43,58.92,57.94
02/27/2026,59.2,"4,964,144",59.12,59.72,58.35
02/26/2026,59.8,"4,306,610",58.72,60.37,58.39
02/25/2026,58.32,"2,983,296",57.82,58.655,57.21
02/24/2026,57.68,"2,498,821",57.29,58.79,57.18
02/23/2026,57.18,"3,531,393",58.1,58.53,56.49
02/20/2026,58.28,"2,946,920",57.65,58.765,57.44
02/19/2026,57.86,"2,361,226",57.98,58.46,57.48
02/18/2026,58.33,"3,760,942",56.99,58.79,56.79
02/17/2026,56.81,"4,195,154",56.98,57.65,56.28
02/13/2026,56.9,"5,692,030",56.1,57.37,56.03
02/12/2026,56.0,"12,572,710",59.0,59.67,54.97
02/11/2026,58.71,"8,939,553",62.0,62.42,57.71
02/10/2026,61.92,"3,182,199",60.8,61.96,60.58
02/09/2026,60.7,"3,345,454",60.14,60.715,59.69
02/06/2026,60.12,"6,733,570",61.0,61.0,58.44
02/05/2026,60.2,"5,890,183",60.73,61.15,58.56
02/04/2026,60.13,"12,979,230",54.5,61.15,54.5
02/03/2026,54.35,"5,669,636",53.87,54.74,53.13
02/02/2026,53.7,"3,170,066",52.75,53.9,52.75
01/30/2026,52.81,"4,329,982",52.78,53.29,52.43
01/29/2026,53.08,"2,670,629",53.35,53.71,52.53
01/28/2026,52.8,"2,910,293",53.12,53.53,52.785
01/27/2026,53.15,"4,674,498",54.65,54.65,53.08
01/26/2026,54.75,"2,135,338",54.78,55.13,54.47
01/23/2026,54.59,"3,540,818",54.6,54.8,53.93
01/22/2026,54.72,"2,076,550",54.93,55.08,54.36
01/21/2026,54.44,"4,564,575",53.23,54.94,52.74
01/20/2026,52.7,"3,501,852",54.37,54.59,52.63
01/16/2026,54.96,"3,207,910",54.78,55.19,54.345
01/15/2026,55.51,"2,666,013",55.98,56.03,55.32
01/14/2026,55.76,"2,828,261",54.7,55.77,54.7
01/13/2026,54.68,"3,536,956",55.67,55.91,54.13
01/12/2026,55.51,"2,348,131",54.87,55.64,54.655
01/09/2026,55.0,"2,916,868",55.24,55.65,54.27
01/08/2026,55.21,"3,740,436",53.88,55.8897,53.88
01/07/2026,54.14,"2,793,906",55.41,55.63,54.085
01/06/2026,55.45,"5,328,045",53.48,55.555,53.41
01/05/2026,53.81,"6,408,657",54.725,55.05,52.65
01/02/2026,55.39,"2,691,267",55.33,55.695,55.0034
12/31/2025,55.21,"1,612,545",55.94,56.12,55.18
12/30/2025,55.94,"2,068,871",56.08,56.19,55.89
12/29/2025,56.15,"2,452,254",55.58,56.18,55.47
12/26/2025,55.69,"1,380,192",55.4,55.74,55.39
12/24/2025,55.46,"972,566",55.5,55.74,55.44
12/23/2025,55.64,"1,612,663",55.77,55.9136,55.285
12/22/2025,55.68,"2,599,607",55.0,55.765,54.78
12/19/2025,54.91,"12,085,490",54.49,55.01,54.44
12/18/2025,54.67,"3,477,167",55.44,55.67,54.48
12/17/2025,55.24,"3,801,585",54.53,55.73,54.465
12/16/2025,54.66,"2,821,823",55.55,55.6699,54.57
12/15/2025,55.35,"3,388,541",55.3,55.475,54.76
12/12/2025,54.93,"3,049,417",55.69,55.75,54.692
12/11/2025,55.46,"2,410,402",54.7,55.525,54.64
12/10/2025,54.8,"2,106,492",53.72,55.035,53.66
12/09/2025,53.67,"2,119,394",54.06,54.38,53.62
12/08/2025,54.13,"3,674,257",53.61,54.15,53.38
12/05/2025,53.75,"2,461,547",53.24,54.09,53.13
12/04/2025,53.38,"2,570,386",53.26,53.82,53.1
12/03/2025,53.45,"2,063,632",53.25,53.6,53.05
12/02/2025,53.14,"1,911,961",52.77,53.355,52.57
12/01/2025,52.77,"2,493,108",53.06,53.52,52.74
11/28/2025,53.48,"1,317,176",53.36,53.54,53.01
11/26/2025,53.23,"2,171,944",53.11,53.5452,53.0
11/25/2025,53.28,"3,143,658",53.14,53.525,52.7
11/24/2025,52.46,"4,210,535",52.86,53.15,52.45
11/21/2025,52.82,"4,152,330",50.99,53.325,50.92
11/20/2025,50.84,"3,644,550",50.91,51.66,50.37
11/19/2025,50.42,"2,716,914",50.34,50.99,50.09
11/18/2025,50.38,"2,638,349",50.31,50.81,50.1
11/17/2025,50.52,"4,358,517",51.49,51.83,50.44
11/14/2025,51.59,"4,473,435",51.48,51.965,51.47
11/13/2025,51.96,"3,905,539",52.05,52.655,51.87
11/12/2025,52.03,"2,894,383",51.85,52.525,51.8
11/11/2025,51.88,"2,213,710",51.33,51.91,51.1
11/10/2025,51.33,"2,547,860",51.35,51.58,50.87
11/07/2025,51.23,"3,262,904",50.89,51.5417,49.985
11/06/2025,51.08,"3,692,574",50.71,51.36,50.52
11/05/2025,50.23,"2,853,019",50.36,50.94,50.055
11/04/2025,50.34,"2,569,750",49.82,50.39,49.63
11/03/2025,50.1,"3,374,449",50.16,50.16,49.03
10/31/2025,50.34,"3,578,922",50.86,50.97,49.95
10/30/2025,51.25,"4,907,940",50.71,52.83,50.24
10/29/2025,50.34,"9,478,977",54.92,55.93,49.77
10/28/2025,49.16,"4,205,490",49.53,49.58,48.975
10/27/2025,49.47,"2,263,939",49.81,49.95,49.26
10/24/2025,49.47,"1,679,561",49.98,50.05,49.16
10/23/2025,49.62,"1,467,689",49.18,49.75,48.88
10/22/2025,49.08,"1,966,704",49.74,49.94,48.995
10/21/2025,49.78,"1,503,485",49.17,50.16,49.105
10/20/2025,49.28,"1,504,184",48.97,49.5,48.77
10/17/2025,48.66,"1,796,960",48.39,48.86,48.29
10/16/2025,48.69,"1,809,980",48.89,48.94,48.28
10/15/2025,48.49,"3,537,520",48.44,49.55,48.1
10/14/2025,49.03,"1,375,359",47.95,49.31,47.95
10/13/2025,48.58,"1,888,519",48.24,48.86,48.03
10/10/2025,47.8,"2,453,390",49.51,49.64,47.71
10/09/2025,49.3,"1,958,021",50.02,50.02,49.16
10/08/2025,49.84,"1,852,401",49.91,50.15,49.3215
10/07/2025,49.61,"1,829,059",50.25,50.29,49.31
10/06/2025,50.03,"2,622,387",50.59,50.84,50.02
10/03/2025,50.41,"3,435,982",49.82,50.715,49.795
10/02/2025,49.78,"3,007,704",50.08,50.79,49.55
10/01/2025,50.08,"4,234,612",48.9,50.22,48.69
09/30/2025,48.99,"3,202,614",48.81,49.01,48.175
09/29/2025,48.91,"3,322,600",48.78,49.26,48.545
09/26/2025,48.53,"2,141,195",48.0,48.56,47.765
09/25/2025,47.67,"3,422,103",47.94,47.94,47.31
09/24/2025,48.16,"2,802,313",48.39,48.81,47.67
09/23/2025,48.44,"2,940,203",48.465,49.26,48.11
09/22/2025,48.32,"2,731,816",47.93,48.56,47.88
09/19/2025,48.63,"9,949,870",49.06,49.06,48.12
09/18/2025,48.83,"2,886,798",48.42,49.39,48.32
09/17/2025,48.03,"4,800,227",48.94,49.745,47.85
09/16/2025,48.75,"2,968,666",48.43,49.005,48.065
09/15/2025,48.56,"3,455,224",49.04,49.105,48.48
09/12/2025,48.83,"4,988,352",49.31,49.41,48.78
09/11/2025,49.57,"6,155,300",47.94,49.745,47.7
09/10/2025,47.75,"4,051,433",47.5,48.1816,47.425
09/09/2025,47.71,"3,538,187",47.8,47.905,47.01
09/08/2025,47.98,"3,201,594",47.7,48.04,47.03
09/05/2025,47.87,"3,314,857",47.77,48.395,47.41
09/04/2025,47.58,"2,766,854",47.06,47.605,46.75
09/03/2025,47.03,"2,848,614",47.22,47.44,46.655
09/02/2025,47.36,"4,128,205",47.12,47.36,46.54
08/29/2025,47.86,"2,948,741",47.98,48.41,47.69
08/28/2025,48.01,"4,023,191",48.8,48.8,47.68
08/27/2025,48.57,"2,315,633",48.39,48.93,48.28
08/26/2025,48.51,"5,215,430",48.48,48.65,48.11
08/25/2025,48.51,"2,753,748",49.13,49.25,48.47
08/22/2025,49.31,"3,749,734",48.18,49.52,47.98
08/21/2025,47.76,"4,113,589",48.0,48.71,47.62
08/20/2025,48.04,"7,630,290",48.2,48.505,47.68
08/19/2025,48.16,"2,665,828",47.97,48.73,47.795
08/18/2025,47.75,"3,454,238",48.13,48.42,47.75
08/15/2025,48.16,"5,626,837",48.01,48.37,47.775
08/14/2025,47.8,"4,464,345",47.94,48.22,47.585
08/13/2025,48.73,"6,250,902",47.86,48.865,47.61
08/12/2025,47.65,"5,826,372",47.05,47.795,46.9
08/11/2025,46.72,"3,920,235",47.19,47.41,46.34
08/08/2025,47.1,"3,774,302",47.46,47.71,46.99
08/07/2025,47.45,"3,207,737",48.15,48.28,47.33
08/06/2025,47.59,"5,499,515",48.53,48.66,47.4602
08/05/2025,48.4,"8,108,259",48.215,48.96,47.85
08/04/2025,47.22,"5,443,879",46.73,47.31,46.345
08/01/2025,46.55,"4,974,305",47.03,47.3,46.47
07/31/2025,47.93,"4,957,200",48.99,49.3099,47.831
07/30/2025,49.65,"9,711,907",52.86,52.86,49.26
07/29/2025,50.92,"3,950,426",51.41,51.54,50.5
07/28/2025,51.26,"3,206,042",51.56,51.9,51.09
07/25/2025,51.52,"2,939,423",51.15,51.54,50.82
07/24/2025,51.06,"2,452,195",51.0,51.47,49.6625
07/23/2025,51.11,"2,928,924",51.43,51.43,50.95
07/22/2025,51.08,"2,760,407",50.13,51.1,50.015
07/21/2025,50.14,"3,630,690",50.72,50.91,50.06
07/18/2025,50.53,"2,749,234",51.47,51.5,50.23
07/17/2025,51.27,"4,664,980",50.5,51.305,50.34
07/16/2025,50.32,"5,005,683",51.17,51.44,50.065
07/15/2025,51.15,"4,430,711",51.76,52.32,51.09
07/14/2025,52.17,"2,607,593",52.27,52.5,51.86
07/11/2025,52.69,"3,543,700",52.59,52.81,52.4
07/10/2025,53.06,"4,938,463",53.13,53.5,52.8305
07/09/2025,52.99,"3,079,508",52.8,53.03,52.4
07/08/2025,52.8,"3,623,605",53.17,53.51,52.68
07/07/2025,53.0,"6,797,719",52.79,53.28,52.61
07/03/2025,53.05,"2,484,750",53.5,53.75,52.83
07/02/2025,53.34,"5,891,286",53.26,53.56,52.945
07/01/2025,53.16,"6,551,319",52.07,54.24,51.25
06/30/2025,52.13,"10,877,160",52.05,52.39,50.0
06/27/2025,52.05,"2,983,250",51.8901,52.2317,51.7229
06/26/2025,51.7738,"1,750,656",51.2431,51.8973,50.9378
06/25/2025,50.945,"2,677,151",51.4321,51.4394,50.8142
06/24/2025,51.3739,"2,804,221",51.3521,51.6138,51.1195
06/23/2025,51.1195,"2,976,559",50.5161,51.1304,50.0654
06/20/2025,50.6324,"3,266,511",51.0904,51.3594,50.4471
06/18/2025,50.7633,"1,833,465",50.6034,51.3085,50.5475
06/17/2025,50.5961,"1,995,985",51.0686,51.403,50.4943
06/16/2025,51.4394,"1,956,665",51.1995,51.8028,50.9886
06/13/2025,50.4725,"4,126,199",50.8433,51.1995,50.1599
06/12/2025,51.5702,"1,939,788",51.3957,51.7774,51.0759
06/11/2025,51.8319,"2,962,534",52.8642,53.1622,51.6793
06/10/2025,52.8206,"3,779,980",53.0677,53.3658,51.4684
06/09/2025,53.2204,"2,863,550",53.2422,53.6274,53.1041
06/06/2025,53.0895,"2,118,238",52.9514,53.4676,52.8569
06/05/2025,52.1663,"1,907,137",52.5153,52.617,51.9446
06/04/2025,52.2826,"1,992,861",52.5734,52.7115,52.2543
06/03/2025,52.4426,"4,558,590",51.2285,53.2712,51.2285
06/02/2025,51.0759,"3,215,504",50.6979,51.1704,49.851
05/30/2025,51.025,"4,282,229",51.4539,51.5993,50.6361
05/29/2025,51.6647,"2,427,695",52.3481,52.3699,51.323
05/28/2025,51.9846,"5,352,174",52.4571,52.7406,51.7592
05/27/2025,51.5121,"5,326,916",51.3012,51.5193,50.8651
05/23/2025,50.647,"3,464,227",50.1236,50.9505,50.1236
05/22/2025,50.9959,"2,469,823",50.7924,51.3885,50.7197
05/21/2025,50.9596,"3,182,069",51.9264,52.1445,50.9378
05/20/2025,52.3044,"3,606,705",52.5516,52.777,52.1823
05/19/2025,52.7915,"4,171,009",52.3626,52.9151,52.3626
05/16/2025,53.2059,"3,225,397",52.6098,53.2713,52.3844
05/15/2025,52.6897,"4,036,938",52.7333,53.0532,52.4753
05/14/2025,52.8497,"2,759,042",53.3367,53.6566,52.8351
05/13/2025,53.5403,"3,393,868",53.5403,54.2818,53.4385
05/12/2025,53.6057,"4,190,913",53.1259,54.0055,53.1259
05/09/2025,51.2649,"3,456,609",50.9596,51.4612,50.7866
05/08/2025,50.7633,"3,360,262",49.8909,51.2067,49.8909
05/07/2025,49.4548,"4,049,630",49.244,50.0,49.1058
05/06/2025,48.8877,"3,482,287",48.4298,49.6002,48.4298
05/05/2025,49.1349,"3,728,819",48.8877,49.4838,48.6478
05/02/2025,49.1058,"5,613,626",49.4693,49.811,48.6042
05/01/2025,48.5461,"10,813,900",47.4556,48.8223,47.2448
04/30/2025,50.6615,"2,802,098",50.1454,50.7778,49.2694
04/29/2025,50.2253,"2,003,257",49.9854,50.4289,49.7165
04/28/2025,50.0218,"1,745,454",50.1163,50.6179,49.3821
04/25/2025,50.1018,"2,136,846",49.9055,50.6397,49.622
