date,close,volume,open,high,low
05/15/2026,60.76,"4,777,452",62.37,62.64,60.67
05/14/2026,62.67,"4,515,907",62.14,63.26,62.115
05/13/2026,61.89,"4,169,659",61.68,62.34,61.01
05/12/2026,62.29,"4,299,977",62.34,62.79,61.73
05/11/2026,61.7,"6,074,298",63.0,64.35,61.49
05/08/2026,63.47,"8,357,227",62.515,63.49,62.0
05/07/2026,61.34,"3,828,357",61.83,62.35,61.2
05/06/2026,61.735,"5,358,921",61.82,62.69,61.13
05/05/2026,61.04,"7,372,576",61.0,61.48,60.14
05/04/2026,61.0,"7,799,032",60.74,62.52,60.71
05/01/2026,61.03,"11,978,550",61.53,61.53,59.81
04/30/2026,60.84,"10,031,040",59.21,61.03,59.18
04/29/2026,59.485,"23,475,880",62.15,62.9,58.75
04/28/2026,68.5,"5,086,764",70.7,70.88,68.39
04/27/2026,70.48,"5,314,433",69.19,70.82,69.0
04/24/2026,68.83,"3,587,691",69.47,69.59,68.52
04/23/2026,69.89,"3,291,674",70.99,71.439,69.275
04/22/2026,71.38,"3,558,293",72.86,72.86,70.9127
04/21/2026,72.26,"2,720,715",74.425,74.64,72.08
04/20/2026,74.15,"2,245,937",74.03,75.18,73.865
04/17/2026,74.66,"3,461,360",75.04,75.95,74.365
04/16/2026,73.2,"2,685,891",73.5,74.3,72.85
04/15/2026,73.51,"3,159,281",74.63,75.08,73.44
04/14/2026,74.67,"2,179,295",74.08,75.09,73.89
04/13/2026,73.83,"2,326,530",72.62,73.96,72.05
04/10/2026,73.18,"2,691,894",73.42,73.69,72.59
04/09/2026,72.91,"3,580,445",72.735,73.21,71.275
04/08/2026,73.75,"4,579,874",72.82,74.13,72.0
04/07/2026,69.73,"3,213,251",70.4,70.81,68.95
04/06/2026,70.4,"2,326,950",70.35,70.87,69.845
04/02/2026,70.35,"2,751,115",70.39,72.29,69.8
04/01/2026,71.98,"3,351,178",71.02,72.14,71.02
03/31/2026,71.18,"3,496,608",69.9,71.385,68.72
03/30/2026,68.77,"3,777,102",69.995,70.46,68.44
03/27/2026,69.23,"3,526,004",71.08,71.25,69.15
03/26/2026,71.54,"4,860,877",71.76,73.505,71.36
