date,close,volume,open,high,low
05/15/2026,1049.23,"2,445,834",1066.0,1066.0,1038.5
05/14/2026,1090.53,"1,690,623",1061.46,1090.7,1049.0
05/13/2026,1062.57,"1,588,376",1084.65,1085.0,1047.3
05/12/2026,1071.98,"2,102,760",1054.0,1076.6799,1033.285
05/11/2026,1073.08,"2,509,952",1041.78,1086.23,1031.15
05/08/2026,1040.15,"1,828,693",1067.34,1069.295,1034.43
05/07/2026,1045.63,"2,588,259",1114.92,1115.83,1040.42
05/06/2026,1118.96,"2,282,777",1114.0,1125.43,1069.27
05/05/2026,1095.21,"2,075,628",1093.5,1109.95,1088.0
05/04/2026,1073.95,"1,923,213",1072.27,1098.9,1066.38
05/01/2026,1062.95,"1,890,378",1088.83,1093.68,1062.0
04/30/2026,1083.46,"3,533,224",1079.23,1093.9999,1066.61
04/29/2026,1063.11,"3,721,142",1091.79,1107.5,1047.5
04/28/2026,1088.93,"4,205,987",1090.0,1091.83,1050.4901
04/27/2026,1120.23,"3,845,840",1135.235,1140.0,1084.95
04/24/2026,1149.19,"3,633,758",1161.02,1167.0,1125.02
04/23/2026,1149.53,"3,073,204",1147.89,1181.95,1133.49
04/22/2026,1127.56,"4,184,734",1076.16,1142.0,1074.22
04/21/2026,991.3,"2,111,121",994.0,1016.0,984.09
04/20/2026,990.18,"1,804,871",1006.23,1009.8899,990.18
04/17/2026,1002.75,"2,328,796",988.65,1009.49,977.21
04/16/2026,978.32,"1,402,664",982.64,989.0,969.52
04/15/2026,985.92,"2,306,947",985.1,1003.99,973.68
04/14/2026,987.5,"2,028,253",1000.0,1006.295,979.0
04/13/2026,991.12,"1,636,176",998.0,1007.38,987.16
04/10/2026,991.32,"2,164,566",973.11,999.43,970.0101
04/09/2026,968.02,"2,061,251",943.56,979.43,940.76
04/08/2026,936.07,"2,336,882",950.0,962.7197,930.55
04/07/2026,910.75,"1,399,055",894.19,910.9399,879.2
04/06/2026,897.36,"1,386,258",901.83,911.4999,887.0001
04/02/2026,898.57,"1,944,149",869.0,913.0,865.95
04/01/2026,894.78,"2,467,657",888.49,912.62,887.49
03/31/2026,872.9,"3,469,215",827.13,873.32,824.01
03/30/2026,817.35,"2,830,824",860.64,862.7099,807.0
03/27/2026,853.16,"2,494,731",867.555,878.39,846.0
03/26/2026,873.12,"3,000,650",915.0,917.2636,871.01
03/25/2026,923.69,"2,864,889",927.0,948.38,920.9
03/24/2026,909.41,"2,782,041",864.13,913.58,860.01
03/23/2026,882.64,"3,353,891",865.685,920.63,860.0
03/20/2026,851.07,"4,438,066",877.77,891.99,844.25
03/19/2026,877.39,"2,509,526",841.5,878.18,829.95
03/18/2026,858.47,"2,193,134",844.525,880.21,844.525
03/17/2026,844.05,"2,259,252",827.37,844.27,817.52
03/16/2026,827.37,"2,361,357",817.5,837.0,811.12
03/13/2026,805.02,"2,271,146",832.99,845.29,802.76
03/12/2026,832.11,"2,142,896",844.13,845.25,819.1
03/11/2026,847.65,"1,706,690",836.03,852.7499,832.25
03/10/2026,839.2,"2,393,625",835.96,852.9199,832.1
03/09/2026,830.1,"2,878,026",782.53,830.49,777.0
03/06/2026,789.23,"2,678,645",792.97,816.14,782.37
03/05/2026,815.01,"3,209,153",830.01,844.25,791.0949
03/04/2026,841.27,"1,817,473",850.6,868.61,838.09
03/03/2026,842.0,"3,558,097",864.44,864.44,811.56
03/02/2026,881.18,"2,421,431",865.0,893.56,854.0
02/27/2026,873.6,"2,456,197",867.7,876.355,853.34
02/26/2026,876.46,"2,796,742",877.37,879.55,830.7
02/25/2026,876.01,"2,293,148",887.96,894.9299,873.61
02/24/2026,879.73,"2,305,259",830.95,879.89,824.9
02/23/2026,831.7,"1,438,182",823.0,833.1,812.74
02/20/2026,830.34,"1,712,678",829.85,842.5,822.0001
02/19/2026,834.61,"1,655,631",816.675,837.3999,810.54
02/18/2026,817.55,"1,808,911",820.0,832.8999,811.0
