date,close,volume,open,high,low
05/15/2026,129.58,"6,641,026",132.27,132.805,129.095
05/14/2026,132.06,"4,533,202",133.77,134.65,131.81
05/13/2026,133.05,"6,666,706",133.552,135.07,131.88
05/12/2026,134.94,"6,034,938",135.0,137.5,132.715
05/11/2026,133.52,"5,384,970",131.01,134.8599,130.98
05/08/2026,131.33,"10,250,370",130.0,133.34,129.0
05/07/2026,134.06,"8,901,045",136.495,136.495,133.76
05/06/2026,136.3,"6,351,160",133.38,136.75,133.19
05/05/2026,133.48,"6,152,431",132.84,133.98,131.89
05/04/2026,132.69,"5,880,732",130.44,133.1,130.0
05/01/2026,131.65,"5,517,169",130.0,132.36,129.0132
04/30/2026,130.84,"6,660,240",127.96,132.21,127.96
04/29/2026,128.84,"5,048,293",128.9,129.96,128.0
04/28/2026,129.26,"5,940,261",130.33,130.47,128.34
04/27/2026,127.75,"8,170,310",128.8,130.33,127.64
04/24/2026,130.4,"5,966,098",131.54,132.325,129.283
04/23/2026,133.64,"3,870,913",134.02,134.68,132.785
04/22/2026,132.9,"6,695,769",133.69,134.075,131.34
04/21/2026,133.29,"6,070,570",136.18,136.335,132.22
04/20/2026,135.87,"3,871,215",138.055,138.54,135.48
04/17/2026,137.64,"7,345,882",138.95,139.76,136.69
04/16/2026,138.55,"3,432,531",138.61,140.265,137.75
04/15/2026,139.77,"3,790,526",140.96,140.96,138.06
04/14/2026,140.45,"6,473,797",138.26,141.4,137.6
04/13/2026,139.03,"5,101,886",137.99,139.55,137.02
04/10/2026,138.99,"4,418,834",142.38,142.38,138.45
04/09/2026,142.09,"4,167,442",140.12,142.97,139.96
04/08/2026,141.54,"4,967,271",140.105,141.57,138.47
04/07/2026,138.8,"5,439,157",139.0,139.39,137.145
04/06/2026,140.13,"3,922,123",139.24,140.71,138.85
04/02/2026,139.71,"4,925,897",139.61,141.34,138.64
04/01/2026,140.3,"5,286,456",139.69,141.49,138.82
03/31/2026,139.37,"7,878,992",137.18,140.35,137.17
03/30/2026,136.34,"6,148,332",134.57,136.63,133.89
03/27/2026,134.25,"5,647,185",136.85,137.47,134.1
03/26/2026,136.88,"4,285,651",138.39,138.94,136.66
03/25/2026,138.26,"5,053,337",139.76,140.415,137.92
03/24/2026,138.11,"6,725,458",136.8,138.365,136.465
03/23/2026,137.34,"7,364,174",139.675,139.8,136.44
03/20/2026,137.21,"15,521,890",140.43,141.0,136.49
03/19/2026,141.11,"7,310,679",141.415,142.09,140.12
03/18/2026,141.29,"7,079,634",143.16,143.795,139.23
03/17/2026,144.4,"3,887,912",146.52,146.71,143.27
03/16/2026,145.21,"3,697,501",144.23,146.13,142.6786
03/13/2026,144.99,"4,375,701",146.85,148.22,144.2
03/12/2026,145.21,"7,006,787",145.11,146.95,143.89
03/11/2026,146.0,"5,552,156",147.11,149.3,145.805
03/10/2026,148.56,"5,098,461",147.73,149.38,146.835
03/09/2026,146.63,"5,210,502",143.5,146.92,143.485
03/06/2026,143.93,"4,921,313",143.56,144.65,142.77
03/05/2026,145.14,"6,944,156",146.32,146.7531,143.345
03/04/2026,148.22,"6,925,216",148.92,148.92,146.1
03/03/2026,147.83,"6,741,675",148.13,148.84,145.5208
03/02/2026,150.03,"7,183,285",147.87,150.77,147.8005
02/27/2026,148.95,"11,195,860",143.555,150.0,143.37
02/26/2026,143.77,"7,987,607",145.92,146.36,143.09
02/25/2026,147.12,"6,209,090",147.35,149.11,146.3905
02/24/2026,147.64,"8,334,027",149.72,150.08,147.05
02/23/2026,149.83,"5,994,769",148.925,152.46,148.38
02/20/2026,151.4,"6,986,978",150.58,153.255,150.09
02/19/2026,151.12,"7,357,970",152.34,152.815,150.33
02/18/2026,152.74,"5,190,851",156.01,156.01,152.37
02/17/2026,155.27,"5,885,152",155.04,155.75,153.31
02/13/2026,154.98,"6,861,934",151.89,156.95,151.46
02/12/2026,151.81,"9,891,223",153.42,155.73,150.82
