date,close,volume,open,high,low
05/15/2026,191.81,"17,221,470",198.11,200.79,191.81
05/14/2026,208.28,"10,948,520",203.37,210.5,200.35
05/13/2026,206.51,"15,450,500",207.84,211.79,196.084
05/12/2026,198.24,"23,121,760",204.34,205.32,188.29
05/11/2026,207.39,"22,399,680",194.0,208.92,191.66
05/08/2026,186.94,"20,589,360",187.21,198.25,184.98
05/07/2026,182.4,"20,243,070",186.82,187.21,178.0
05/06/2026,181.57,"32,981,090",189.38,195.81,175.31
05/05/2026,162.1,"12,386,700",164.43,170.2,160.3213
05/04/2026,159.96,"8,508,484",163.16,163.675,158.31
05/01/2026,158.26,"7,179,572",162.02,163.97,157.695
04/30/2026,164.24,"12,875,940",155.82,165.0,149.14
04/29/2026,151.9,"13,744,830",155.53,155.53,148.17
04/28/2026,153.05,"20,391,640",151.09,162.0,149.75
04/27/2026,168.01,"11,759,680",176.3,177.0,165.5201
04/24/2026,175.89,"10,219,070",171.81,179.08,170.34
04/23/2026,169.5,"5,484,781",168.3,172.54,166.5101
04/22/2026,168.76,"7,051,544",168.0,172.95,163.07
04/21/2026,165.45,"6,942,678",166.46,170.27,163.81
04/20/2026,165.38,"8,571,828",166.08,168.59,162.51
04/17/2026,164.38,"10,349,820",168.2,170.1,163.25
04/16/2026,166.08,"13,148,940",163.38,166.8499,158.5
04/15/2026,168.27,"8,872,880",171.62,173.7699,164.02
04/14/2026,172.82,"9,214,064",173.65,174.71,165.82
04/13/2026,175.17,"7,209,879",169.65,175.61,169.65
04/10/2026,171.24,"9,907,910",172.61,176.75,167.97
04/09/2026,169.8,"11,961,290",167.88,172.22,166.6
04/08/2026,165.1,"15,264,300",156.95,165.24,156.02
04/07/2026,148.52,"7,791,410",142.48,148.9,141.49
04/06/2026,146.5,"11,943,050",147.41,149.3999,141.7172
04/02/2026,147.92,"11,564,090",136.39,148.18,136.345
04/01/2026,142.38,"12,314,390",138.0,144.7,137.9
03/31/2026,135.97,"10,787,980",131.4,135.99,128.4
03/30/2026,128.55,"14,304,060",140.79,141.89,126.68
03/27/2026,136.81,"8,489,682",135.41,140.1,134.04
03/26/2026,135.32,"11,263,850",142.4,143.0,134.5
03/25/2026,146.35,"13,328,270",144.81,150.25,143.35
03/24/2026,142.01,"21,057,230",131.68,145.5,130.26
03/23/2026,130.97,"13,442,420",128.07,135.255,127.09
03/20/2026,124.58,"22,234,020",132.36,134.78,124.41
03/19/2026,133.08,"11,160,130",125.96,134.2499,123.9
03/18/2026,129.86,"10,625,950",132.01,135.28,129.48
03/17/2026,129.89,"10,251,090",128.36,131.65,124.6
03/16/2026,132.05,"9,243,397",133.94,135.28,131.42
03/13/2026,129.12,"6,673,414",131.205,133.24,128.45
03/12/2026,129.77,"8,024,011",130.2,131.78,126.9
03/11/2026,131.76,"13,334,270",133.67,135.33,129.2
03/10/2026,136.22,"16,870,560",132.015,139.63,131.29
03/09/2026,129.05,"15,927,630",121.0,129.6136,120.01
03/06/2026,123.29,"19,123,550",129.44,132.08,122.38
03/05/2026,134.74,"18,285,520",136.16,143.35,131.71
03/04/2026,144.84,"12,683,890",151.0,153.44,143.34
03/03/2026,147.57,"14,816,810",151.75,152.0,141.395
03/02/2026,157.86,"15,338,460",153.45,160.45,152.765
02/27/2026,150.38,"14,555,440",148.99,154.5,146.61
02/26/2026,150.3,"17,594,670",158.36,158.88,148.4
02/25/2026,160.43,"17,977,200",153.88,162.0999,152.65
02/24/2026,151.59,"15,041,580",148.0,152.91,145.75
02/23/2026,145.25,"18,558,800",142.1,148.7,141.01
02/20/2026,139.51,"10,971,190",129.94,140.27,129.79
02/19/2026,129.99,"9,169,365",132.0,134.0,128.88
02/18/2026,132.01,"8,257,480",131.53,135.91,131.31
02/17/2026,130.52,"12,102,590",131.87,133.78,128.4101
02/13/2026,133.46,"10,952,730",130.41,133.605,124.8
02/12/2026,131.5,"12,282,810",133.31,136.825,131.4
02/11/2026,132.9,"10,030,540",131.35,134.39,126.83
02/10/2026,128.1,"12,712,180",129.01,132.5,127.79
02/09/2026,131.39,"15,696,650",124.0,132.32,123.8
02/06/2026,122.16,"12,151,230",114.9,122.555,113.33
02/05/2026,112.79,"9,929,662",107.55,113.44,105.65
02/04/2026,109.69,"12,468,260",113.57,116.3,107.8
02/03/2026,112.79,"11,596,890",117.3,117.3,109.6
02/02/2026,110.36,"11,926,270",103.25,110.86,103.05
01/30/2026,103.25,"13,378,660",103.61,107.64,101.86
01/29/2026,103.0,"11,681,790",104.98,105.48,99.5
01/28/2026,104.28,"18,534,420",107.89,112.9,103.77
01/27/2026,109.74,"25,446,520",102.07,113.99,100.97
01/26/2026,94.95,"5,586,167",93.12,95.55,92.3
01/23/2026,93.3,"4,246,805",93.21,93.89,91.01
01/22/2026,94.28,"5,764,137",95.0,95.6496,92.635
01/21/2026,93.52,"3,860,999",93.13,94.455,91.5547
01/20/2026,92.57,"4,574,643",91.39,93.48,91.27
01/16/2026,94.2,"7,146,569",93.84,94.61,92.13
01/15/2026,93.49,"5,501,335",92.0,94.98,91.8
01/14/2026,90.21,"4,446,024",89.97,90.7999,88.4101
01/13/2026,89.88,"4,272,327",88.0,90.93,88.0
01/12/2026,87.88,"5,583,884",84.8,87.88,84.45
01/09/2026,85.23,"6,113,283",85.33,86.645,85.02
01/08/2026,85.33,"5,137,691",87.69,87.69,83.95
01/07/2026,87.99,"4,070,328",88.7,88.95,86.62
01/06/2026,89.25,"6,351,538",88.18,89.5,84.325
01/05/2026,88.69,"9,762,245",92.04,93.58,86.665
01/02/2026,90.67,"4,586,987",88.91,90.72,88.14
12/31/2025,87.56,"3,333,971",89.155,89.1599,87.52
12/30/2025,88.86,"2,043,936",89.29,89.31,88.45
12/29/2025,89.0,"2,580,840",88.79,89.78,88.29
12/26/2025,89.57,"2,203,586",89.95,90.136,89.175
12/24/2025,89.66,"1,666,586",89.47,89.97,89.09
12/23/2025,89.34,"3,397,491",88.08,89.74,87.8399
12/22/2025,88.4,"4,301,270",89.8,89.98,87.73
12/19/2025,87.86,"14,214,800",87.08,89.13,87.08
12/18/2025,86.88,"5,951,629",87.4,88.55,86.14
12/17/2025,85.42,"6,778,931",87.44,88.905,84.8201
12/16/2025,86.29,"4,836,122",87.52,87.7,85.57
12/15/2025,88.11,"6,265,758",89.22,91.06,87.95
12/12/2025,88.32,"9,693,447",95.45,95.955,87.91
12/11/2025,95.97,"8,895,177",93.66,96.64,92.0
12/10/2025,94.2,"11,260,850",90.97,95.19,90.1601
12/09/2025,91.11,"7,681,619",87.76,91.36,87.76
12/08/2025,88.27,"6,331,866",87.18,89.77,86.62
12/05/2025,85.97,"5,341,123",85.49,86.7,84.93
12/04/2025,85.45,"8,201,900",83.14,87.29,83.14
12/03/2025,83.55,"4,686,188",83.12,84.055,81.67
12/02/2025,83.71,"4,654,753",84.02,85.4498,83.22
12/01/2025,82.9,"3,601,265",83.35,83.49,82.55
11/28/2025,84.2,"1,847,543",83.96,84.34,83.5301
11/26/2025,83.6,"3,515,851",83.62,84.35,82.82
11/25/2025,82.95,"4,467,525",82.38,83.34,80.2712
11/24/2025,82.6,"12,117,380",80.05,82.75,80.02
11/21/2025,79.46,"7,037,507",78.56,80.06,77.39
11/20/2025,78.03,"8,332,229",84.25,84.59,77.485
11/19/2025,81.69,"5,412,614",80.25,82.83,80.01
11/18/2025,80.12,"6,889,693",80.46,81.07,78.87
11/17/2025,81.06,"7,248,013",81.61,82.8,80.22
11/14/2025,82.06,"9,792,209",80.65,83.9199,79.57
11/13/2025,82.36,"11,373,710",88.4,88.73,81.33
11/12/2025,89.01,"6,927,767",88.9,90.615,88.39
11/11/2025,87.93,"4,083,927",87.61,88.47,86.95
11/10/2025,88.56,"6,733,849",87.85,88.82,86.8
11/07/2025,85.48,"7,430,009",85.9,86.44,83.33
11/06/2025,87.86,"6,659,900",87.25,88.615,86.34
11/05/2025,87.1,"5,915,264",85.54,88.12,85.5
11/04/2025,85.21,"5,601,891",85.5,86.08,84.72
11/03/2025,87.5,"4,938,599",89.66,89.89,87.191
10/31/2025,89.08,"7,547,623",91.25,92.57,87.91
10/30/2025,90.28,"5,411,430",88.81,91.79,88.5
10/29/2025,90.29,"13,122,980",87.35,91.925,86.5
10/28/2025,86.43,"14,455,280",84.31,87.25,83.11
10/27/2025,89.37,"11,801,930",88.63,89.77,88.15
10/24/2025,87.41,"7,284,530",87.0,87.76,86.44
10/23/2025,85.84,"5,404,581",84.0,86.38,83.92
10/22/2025,84.14,"8,440,434",86.07,87.34,83.08
10/21/2025,86.05,"4,992,264",85.6,86.45,84.59
10/20/2025,85.28,"4,859,744",85.23,86.025,84.83
10/17/2025,84.49,"5,940,460",86.25,86.54,83.6901
10/16/2025,86.72,"6,501,302",86.87,87.41,85.34
10/15/2025,86.62,"6,427,627",86.06,87.43,85.465
10/14/2025,84.61,"5,195,001",84.28,85.91,83.61
10/13/2025,85.5,"4,957,772",85.11,86.63,84.8
10/10/2025,82.98,"7,898,543",87.39,87.78,82.96
10/09/2025,87.19,"4,536,585",87.15,87.75,86.1301
10/08/2025,87.07,"6,088,091",85.27,87.07,84.76
10/07/2025,85.06,"6,732,986",85.47,86.23,83.81
10/06/2025,85.34,"8,678,038",84.11,86.095,83.81
10/03/2025,83.56,"7,739,175",83.03,84.18,82.6109
10/02/2025,82.52,"7,207,059",83.8,84.35,81.91
10/01/2025,83.12,"9,010,012",81.46,83.75,80.8824
09/30/2025,82.03,"6,300,274",80.26,82.21,80.19
09/29/2025,80.26,"8,204,641",79.9,80.73,79.6
09/26/2025,79.35,"4,483,983",79.15,79.4799,78.69
09/25/2025,79.13,"8,518,744",78.08,79.47,77.05
09/24/2025,79.91,"8,648,928",81.29,81.585,79.06
09/23/2025,81.0,"8,654,169",79.2,81.02,79.02
09/22/2025,79.16,"7,314,157",79.4,79.8399,78.1
09/19/2025,79.56,"10,764,950",79.62,79.98,78.57
09/18/2025,79.62,"10,372,490",77.45,79.65,77.19
09/17/2025,76.88,"10,590,690",78.42,78.68,76.15
09/16/2025,78.7,"12,936,730",78.28,78.805,77.3171
09/15/2025,77.98,"8,835,050",77.75,78.325,76.78
09/12/2025,77.04,"14,826,120",76.91,77.87,75.77
09/11/2025,75.47,"13,968,320",75.18,77.08,74.6
09/10/2025,74.93,"16,600,750",73.17,75.05,72.72
09/09/2025,72.39,"10,646,830",72.0,72.935,71.75
09/08/2025,72.15,"13,643,510",71.49,72.54,71.44
09/05/2025,71.19,"9,078,054",70.275,71.4,70.06
09/04/2025,69.72,"7,104,888",69.59,70.64,69.39
09/03/2025,69.34,"13,308,910",68.7,69.79,66.4
09/02/2025,68.47,"9,109,084",67.0,68.58,66.14
08/29/2025,67.03,"6,191,533",68.36,68.67,66.74
08/28/2025,68.93,"7,266,908",67.39,69.2901,67.32
08/27/2025,67.25,"4,234,105",67.37,67.765,67.09
08/26/2025,67.4,"5,420,990",66.74,67.68,66.725
08/25/2025,66.78,"5,824,116",65.75,67.32,65.75
08/22/2025,65.77,"3,436,536",65.22,66.1499,65.09
08/21/2025,64.89,"3,574,275",64.51,65.115,64.335
08/20/2025,64.6,"5,299,634",64.11,64.67,63.37
08/19/2025,64.52,"5,814,734",65.16,65.37,64.235
08/18/2025,65.52,"3,084,849",65.23,65.95,65.15
08/15/2025,65.44,"3,054,880",65.92,65.92,64.82
08/14/2025,65.76,"3,608,881",65.315,66.055,64.8809
08/13/2025,65.74,"4,295,349",66.02,66.26,64.95
08/12/2025,65.75,"5,193,898",65.3,66.09,65.25
08/11/2025,64.98,"5,694,880",65.87,65.87,64.82
08/08/2025,65.77,"4,374,691",64.98,66.01,64.76
08/07/2025,64.76,"9,632,821",66.49,66.5,64.22
08/06/2025,63.98,"5,825,223",63.9,64.19,63.145
08/05/2025,63.17,"5,389,768",63.76,64.41,63.0725
08/04/2025,63.49,"5,088,394",62.98,63.54,62.65
08/01/2025,62.05,"5,845,644",62.0,62.43,61.44
07/31/2025,63.24,"7,360,134",63.08,63.91,62.3601
07/30/2025,62.61,"7,927,989",61.8,63.2,61.7
07/29/2025,61.98,"17,713,550",58.87,62.98,57.93
07/28/2025,55.41,"5,979,218",55.55,55.5699,54.92
07/25/2025,55.36,"4,718,119",56.0,56.0,54.89
07/24/2025,55.72,"5,254,729",55.65,56.07,55.5
07/23/2025,55.8,"8,080,936",54.4,56.25,54.365
07/22/2025,54.02,"3,865,523",53.77,54.13,53.29
07/21/2025,53.9,"2,993,864",54.0,54.42,53.68
07/18/2025,54.01,"2,502,233",54.29,54.44,53.78
07/17/2025,54.2,"3,898,597",53.19,54.32,53.18
07/16/2025,52.97,"3,345,088",52.7,53.015,52.19
07/15/2025,52.52,"3,781,034",53.61,53.63,52.485
07/14/2025,53.12,"4,899,255",51.54,54.0,51.32
07/11/2025,51.6,"4,098,495",52.0,52.11,51.47
07/10/2025,52.26,"4,345,097",52.67,52.7,51.985
07/09/2025,52.57,"3,088,210",53.16,53.16,52.325
07/08/2025,52.73,"4,314,382",53.03,53.13,52.49
07/07/2025,52.38,"3,233,689",52.94,53.205,52.31
07/03/2025,53.04,"2,066,077",53.0,53.275,52.83
07/02/2025,52.72,"3,142,086",52.55,52.75,52.13
