date,close,volume,open,high,low
05/15/2026,74.86,"8,477,520",76.6,77.16,74.8
05/14/2026,77.75,"8,034,977",75.88,79.27,75.88
05/13/2026,75.81,"8,101,646",76.22,77.66,75.45
05/12/2026,76.44,"5,272,620",75.4,76.89,74.96
05/11/2026,75.29,"6,366,860",78.8,79.0,75.1077
05/08/2026,78.8,"2,950,299",79.13,79.33,78.0691
05/07/2026,78.41,"6,735,051",78.82,79.37,78.17
05/06/2026,78.7,"5,434,786",78.2,79.45,77.825
05/05/2026,76.15,"5,115,772",76.27,77.155,76.02
05/04/2026,75.7,"7,765,372",75.91,77.01,75.2106
05/01/2026,75.77,"7,161,856",77.12,77.5,75.52
04/30/2026,76.89,"11,020,600",77.12,78.075,76.51
04/29/2026,76.62,"9,250,171",78.2,78.31,75.375
04/28/2026,78.95,"15,041,660",78.015,79.4,74.781
04/27/2026,77.96,"8,322,669",76.61,78.83,76.61
04/24/2026,78.05,"6,123,356",78.23,78.52,76.92
04/23/2026,78.52,"4,741,572",78.94,79.1,77.16
04/22/2026,79.0,"3,170,214",79.59,79.7956,78.63
04/21/2026,79.05,"5,355,884",80.44,81.2,79.0
04/20/2026,80.54,"3,958,857",80.86,81.16,80.325
04/17/2026,81.32,"7,298,218",79.4,82.67,79.4
04/16/2026,78.05,"5,615,113",77.59,78.35,77.0111
04/15/2026,77.78,"6,475,583",79.54,79.54,77.76
04/14/2026,79.46,"5,859,625",78.63,79.86,78.1039
04/13/2026,76.83,"3,970,207",75.61,76.86,75.15
04/10/2026,76.42,"4,069,756",77.11,77.47,76.14
04/09/2026,76.73,"6,674,994",75.59,77.31,75.38
04/08/2026,76.74,"7,248,762",76.015,77.06,75.715
04/07/2026,72.76,"5,904,623",72.98,73.18,71.6
04/06/2026,73.43,"5,065,011",72.52,73.63,72.15
04/02/2026,72.54,"8,182,839",73.34,73.68,71.67
04/01/2026,75.04,"5,147,737",75.2,75.87,74.715
03/31/2026,74.5,"5,778,164",74.05,75.09,73.405
03/30/2026,72.76,"7,192,312",73.71,74.23,72.42
03/27/2026,72.98,"7,563,228",75.21,75.26,72.68
03/26/2026,75.6,"8,471,308",75.97,77.17,74.905
03/25/2026,76.61,"7,191,117",77.9,78.29,76.39
03/24/2026,76.57,"7,122,238",74.98,76.87,74.77
03/23/2026,75.72,"7,694,773",74.75,76.85,74.6
03/20/2026,72.81,"17,760,030",73.52,73.9,72.095
03/19/2026,73.79,"9,495,200",72.5,74.4,72.5
03/18/2026,73.53,"6,000,865",73.53,74.81,73.415
03/17/2026,74.04,"4,690,135",73.59,74.57,73.545
03/16/2026,72.95,"7,471,711",73.32,73.85,72.43
03/13/2026,72.39,"7,229,709",73.59,73.94,72.09
03/12/2026,73.45,"7,340,971",73.24,74.02,73.1
03/11/2026,74.79,"5,637,485",75.46,76.58,74.37
03/10/2026,74.93,"8,915,571",74.84,77.2,74.84
03/09/2026,74.69,"8,829,631",73.4,74.7,71.922
03/06/2026,75.21,"8,190,952",74.74,75.22,73.35
03/05/2026,76.2,"8,642,908",78.0,78.17,75.07
03/04/2026,78.6,"8,510,629",78.22,79.335,78.04
03/03/2026,77.27,"9,271,765",75.42,77.435,74.185
03/02/2026,77.76,"8,948,936",77.36,77.76,75.04
02/27/2026,78.71,"13,351,410",79.985,80.08,77.8309
02/26/2026,80.79,"6,403,670",82.4,82.92,80.005
02/25/2026,82.43,"9,309,327",81.44,83.06,81.3715
02/24/2026,81.29,"5,814,540",80.01,82.59,79.75
02/23/2026,79.66,"7,490,549",81.07,81.53,78.44
02/20/2026,81.51,"8,602,322",81.195,82.03,80.6
02/19/2026,81.47,"6,062,590",83.25,83.5,81.015
02/18/2026,83.67,"8,426,881",81.95,83.93,81.7
02/17/2026,81.22,"7,953,325",80.94,81.375,79.6
02/13/2026,81.08,"6,314,296",80.49,81.51,80.0501
02/12/2026,79.93,"6,863,418",80.21,82.17,79.6
02/11/2026,79.82,"9,654,393",80.49,82.0,79.08
02/10/2026,80.27,"7,425,800",81.05,81.5,79.45
02/09/2026,80.68,"9,766,829",82.27,82.4,80.58
02/06/2026,84.24,"8,052,663",83.54,84.7002,82.64
02/05/2026,83.3,"9,142,737",85.15,85.71,83.27
02/04/2026,86.29,"8,838,891",86.16,87.62,85.32
02/03/2026,85.71,"6,903,009",85.47,86.63,84.88
02/02/2026,84.27,"6,948,391",84.25,84.53,83.1
01/30/2026,84.0,"7,767,165",86.01,86.425,83.41
01/29/2026,86.26,"9,696,216",86.19,86.62,85.14
01/28/2026,84.9,"10,072,750",86.07,86.07,84.43
01/27/2026,86.38,"23,631,950",83.63,87.31,82.41
01/26/2026,79.43,"10,939,170",79.25,80.615,79.17
01/23/2026,79.68,"6,865,566",80.67,80.75,79.23
01/22/2026,81.14,"6,789,311",81.21,82.28,80.76
01/21/2026,80.93,"8,215,394",79.26,81.26,79.03
01/20/2026,77.81,"12,071,690",79.75,79.99,77.35
01/16/2026,80.82,"9,838,714",81.0,81.64,80.23
01/15/2026,80.91,"6,416,751",81.865,82.16,80.615
01/14/2026,81.23,"7,550,036",83.0,83.69,80.95
01/13/2026,83.24,"6,022,818",82.97,83.86,82.62
01/12/2026,82.9,"7,376,393",82.2,82.9,81.06
01/09/2026,82.87,"12,142,890",83.51,84.41,81.0
01/08/2026,85.13,"11,643,380",82.8,85.18,82.43
01/07/2026,81.91,"6,362,021",82.1,82.7,81.59
01/06/2026,82.18,"7,972,856",82.7,82.8,81.18
01/05/2026,83.15,"10,468,370",80.54,83.38,79.97
01/02/2026,80.98,"7,469,184",81.41,81.485,79.56
12/31/2025,81.32,"4,483,839",82.25,82.27,81.25
12/30/2025,82.33,"3,240,511",83.17,83.21,82.175
12/29/2025,82.93,"4,759,435",83.07,83.36,82.5
12/26/2025,83.06,"3,412,031",82.8,83.08,82.56
12/24/2025,82.88,"2,370,122",82.75,83.15,82.6
12/23/2025,82.75,"4,819,949",82.73,83.43,82.66
12/22/2025,83.03,"9,119,903",82.6,83.68,82.5812
12/19/2025,82.35,"23,751,050",81.09,82.685,81.09
12/18/2025,81.17,"9,086,565",80.5,81.98,80.39
12/17/2025,80.51,"8,864,282",81.18,81.49,80.385
12/16/2025,81.76,"10,732,570",82.07,83.04,81.18
12/15/2025,81.98,"14,362,220",80.65,82.02,80.5778
12/12/2025,80.89,"9,649,496",80.86,81.545,80.64
12/11/2025,80.85,"9,686,821",80.33,81.22,80.3
12/10/2025,80.8,"14,421,300",77.16,80.95,77.1
12/09/2025,77.16,"7,970,114",76.08,77.35,75.885
12/08/2025,75.71,"10,018,150",76.32,76.665,75.2
12/05/2025,76.05,"8,817,795",75.08,77.0,75.0
12/04/2025,75.29,"12,659,050",75.0,76.225,74.9
12/03/2025,74.69,"8,392,357",73.61,74.915,73.61
