date,close,volume,open,high,low
05/14/2026,401.07,"21,136,720",397.28,402.93,395.84
05/13/2026,402.62,"28,144,560",385.595,403.7,385.0
05/12/2026,387.35,"26,017,490",387.34,388.52,382.77
05/11/2026,388.64,"30,753,740",393.645,397.44,388.47
05/08/2026,400.8,"21,461,850",397.0,402.0,396.36
05/07/2026,397.99,"24,433,490",399.92,400.1,392.68
05/06/2026,398.04,"31,308,480",394.245,399.8499,392.76
05/05/2026,388.43,"23,878,630",386.23,392.8199,384.02
05/04/2026,383.25,"26,298,570",385.63,387.38,379.79
05/01/2026,385.69,"30,105,230",381.63,386.76,379.05
04/30/2026,384.8,"72,039,990",374.07,385.84,365.82
04/29/2026,349.94,"35,376,330",347.565,355.79,344.21
04/28/2026,349.78,"27,824,050",348.55,352.42,346.12
04/27/2026,350.34,"28,576,890",345.98,353.18,342.73
04/24/2026,344.4,"26,426,060",338.725,345.27,335.39
04/23/2026,338.89,"18,650,260",341.18,341.96,336.18
04/22/2026,339.32,"20,293,010",337.02,339.82,335.17
04/21/2026,332.29,"23,123,800",337.685,339.34,331.35
04/20/2026,337.42,"18,784,230",340.755,341.4,336.61
04/17/2026,341.68,"25,581,880",337.65,342.32,336.24
04/16/2026,336.02,"20,541,490",338.75,339.88,334.52
04/15/2026,337.12,"24,918,840",332.89,337.48,330.9
04/14/2026,332.91,"27,721,350",324.785,333.29,323.75
04/13/2026,321.31,"18,866,420",317.135,321.63,315.47
04/10/2026,317.24,"19,152,630",320.015,321.83,316.32
04/09/2026,318.49,"23,739,170",315.905,319.54,311.06
04/08/2026,317.32,"33,547,140",320.445,322.08,315.02
04/07/2026,305.46,"23,205,360",302.725,305.63,297.72
04/06/2026,299.99,"16,945,490",295.87,300.62,295.18
04/02/2026,295.77,"21,666,470",290.69,298.08,289.45
04/01/2026,297.39,"37,684,460",290.835,300.52,290.41
03/31/2026,287.56,"43,875,400",278.04,288.08,277.09
03/30/2026,273.5,"35,141,240",276.42,277.09,272.11
03/27/2026,274.34,"35,890,610",277.275,279.37,273.95
03/26/2026,280.92,"39,080,580",287.91,287.95,278.5
03/25/2026,290.93,"29,460,670",293.44,296.0,289.24
03/24/2026,290.44,"36,864,280",299.2,299.92,290.33
03/23/2026,302.06,"29,326,950",302.11,305.98,300.93
03/20/2026,301.0,"44,364,080",305.46,306.0,298.27
03/19/2026,307.13,"25,075,830",304.005,308.06,302.35
03/18/2026,307.69,"20,009,820",309.27,312.47,306.932
03/17/2026,310.92,"21,955,170",305.86,311.42,305.5
03/16/2026,305.56,"23,519,710",304.35,306.4886,303.0201
03/13/2026,302.28,"23,693,090",307.01,307.69,300.44
03/12/2026,303.55,"24,928,350",306.82,308.94,301.03
03/11/2026,308.7,"24,125,710",306.75,311.42,305.92
03/10/2026,307.04,"23,239,680",306.17,309.51,305.5704
03/09/2026,306.36,"29,312,150",294.36,306.8,294.08
03/06/2026,298.52,"25,576,920",296.09,300.53,295.18
03/05/2026,300.88,"35,752,320",303.035,303.3,297.99
03/04/2026,303.13,"29,536,190",302.89,305.47,300.75
03/03/2026,303.58,"35,496,960",298.59,303.94,296.71
03/02/2026,306.52,"34,790,200",303.225,308.49,301.3
02/27/2026,311.76,"44,640,640",304.135,312.37,303.8
02/26/2026,307.38,"36,431,230",312.64,313.14,302.345
02/25/2026,312.9,"29,963,620",312.06,313.64,309.44
02/24/2026,310.9,"25,615,650",310.515,312.27,305.93
02/23/2026,311.49,"31,422,970",319.045,319.515,309.865
02/20/2026,314.98,"53,210,820",304.32,316.5,303.9
02/19/2026,302.85,"25,834,400",301.82,305.47,300.04
02/18/2026,303.33,"28,482,080",302.09,305.38,301.25
02/17/2026,302.02,"39,247,560",300.04,304.435,296.25
02/13/2026,305.72,"38,499,700",307.725,308.63,303.71
02/12/2026,309.0,"47,761,290",312.09,316.24,307.2
02/11/2026,310.96,"45,406,410",318.97,321.06,309.66
02/10/2026,318.58,"39,170,010",320.97,321.67,314.61
02/09/2026,324.32,"39,640,060",320.93,327.7,317.26
02/06/2026,322.86,"56,380,480",327.18,330.38,319.92
02/05/2026,331.25,"88,205,850",312.22,332.69,306.46
02/04/2026,333.04,"70,618,400",342.96,343.31,328.52
02/03/2026,339.71,"36,506,710",347.34,349.0,337.4745
02/02/2026,343.69,"32,006,050",336.22,344.83,335.63
01/30/2026,338.0,"31,023,950",340.0,340.0,332.285
01/29/2026,338.25,"39,785,610",340.3,342.29,326.54
01/28/2026,336.01,"27,434,430",336.06,337.535,331.94
01/27/2026,334.55,"21,636,160",335.365,337.91,333.48
01/26/2026,333.26,"26,042,120",327.805,335.84,327.0
01/23/2026,327.93,"27,279,970",332.485,333.6889,327.45
01/22/2026,330.54,"26,253,640",334.45,335.15,328.75
01/21/2026,328.38,"35,386,600",320.92,332.4799,319.3518
01/20/2026,322.0,"35,361,050",320.87,327.73,320.43
01/16/2026,330.0,"40,341,640",334.41,334.65,327.7
01/15/2026,332.78,"28,442,410",337.65,337.69,330.74
01/14/2026,335.84,"28,525,570",335.06,336.52,330.48
01/13/2026,335.97,"33,517,610",334.95,340.49,333.62
01/12/2026,331.86,"33,923,930",325.8,334.04,325.0
01/09/2026,328.57,"26,214,170",327.09,330.83,325.8
01/08/2026,325.44,"31,896,100",328.965,330.3196,321.5
01/07/2026,321.98,"35,104,430",314.36,326.15,314.19
01/06/2026,314.34,"31,212,100",316.4,320.94,311.78
01/05/2026,316.54,"30,195,600",317.655,319.015,314.63
01/02/2026,315.15,"32,009,390",316.9,322.5,310.33
12/31/2025,313.0,"16,377,690",312.845,314.58,311.44
12/30/2025,313.85,"17,380,890",312.5,316.95,312.46
12/29/2025,313.56,"19,621,780",311.365,314.02,310.62
12/26/2025,313.51,"10,899,020",314.48,315.085,312.275
12/24/2025,314.09,"10,097,360",314.77,315.08,311.92
12/23/2025,314.35,"25,478,670",309.625,314.94,309.32
12/22/2025,309.78,"26,429,940",309.875,310.13,305.3
12/19/2025,307.16,"59,943,240",301.73,307.25,300.97
12/18/2025,302.46,"33,518,050",301.72,303.96,299.2308
12/17/2025,296.72,"43,930,360",308.01,308.09,296.12
12/16/2025,306.57,"30,585,020",304.945,310.77,302.59
12/15/2025,308.22,"29,151,890",311.315,311.42,304.88
12/12/2025,309.29,"35,940,170",313.7,314.87,305.56
12/11/2025,312.43,"42,353,700",320.08,321.12,308.6
12/10/2025,320.21,"33,428,920",315.83,321.31,314.68
12/09/2025,317.08,"30,194,030",312.37,317.99,311.895
12/08/2025,313.72,"33,909,430",320.05,320.44,311.2219
12/05/2025,321.27,"28,851,710",319.49,323.16,319.165
12/04/2025,317.62,"31,240,920",322.225,322.36,314.7
