date,close,volume,open,high,low
05/15/2026,67.58,"2,565,992",67.92,68.84,67.21
05/14/2026,67.33,"2,168,327",67.36,68.145,66.375
05/13/2026,67.01,"3,431,390",67.99,67.99,66.125
05/12/2026,68.61,"2,785,970",68.77,69.47,67.629
05/11/2026,68.77,"2,393,253",68.73,69.78,68.315
05/08/2026,69.19,"3,560,733",69.99,70.6,68.58
05/07/2026,70.13,"5,242,967",69.5,72.475,68.53
05/06/2026,69.63,"5,751,590",72.3,74.2,67.955
05/05/2026,69.47,"5,291,449",70.7,71.065,69.035
05/04/2026,71.8,"3,665,122",72.23,73.58,71.45
05/01/2026,72.36,"2,871,753",72.9,73.46,71.71
04/30/2026,71.96,"6,323,547",70.61,72.55,69.88
04/29/2026,70.97,"4,634,794",68.76,71.215,68.395
04/28/2026,67.89,"1,791,120",68.75,70.19,67.85
04/27/2026,68.33,"2,380,148",67.55,69.02,67.35
04/24/2026,67.76,"1,519,406",67.38,67.78,66.5
04/23/2026,67.86,"2,239,809",70.66,71.39,67.0
04/22/2026,71.62,"2,118,105",71.7,72.69,70.95
04/21/2026,71.59,"2,128,370",73.0,74.61,71.5
04/20/2026,72.83,"1,688,958",71.98,73.37,71.945
04/17/2026,72.37,"4,018,310",71.505,73.01,70.81
04/16/2026,70.84,"1,849,411",70.69,71.145,69.89
04/15/2026,70.17,"2,497,452",69.045,70.72,68.9
04/14/2026,68.6,"1,897,465",68.51,69.5899,68.15
04/13/2026,68.14,"2,523,029",64.95,68.26,64.66
04/10/2026,65.44,"3,691,889",65.76,66.17,65.0
04/09/2026,65.88,"2,427,947",64.37,65.91,63.26
04/08/2026,65.07,"2,983,969",66.0,67.7,64.46
04/07/2026,62.7,"2,730,429",64.48,65.095,62.45
04/06/2026,65.04,"2,093,032",63.76,65.85,63.555
04/02/2026,64.05,"3,836,522",63.76,66.26,62.6954
04/01/2026,65.36,"4,783,823",68.0,68.48,63.92
03/31/2026,67.3,"3,487,843",67.29,68.02,64.9233
03/30/2026,66.3,"2,207,492",66.23,67.65,65.6821
03/27/2026,65.9,"3,562,989",69.23,69.23,65.61
03/26/2026,69.97,"2,265,540",69.5,71.93,69.5
03/25/2026,70.77,"2,190,147",71.71,73.21,69.44
03/24/2026,70.97,"2,411,389",69.86,71.33,68.835
03/23/2026,71.06,"4,752,679",69.93,71.68,68.6612
03/20/2026,68.5,"5,448,337",68.0,69.02,67.165
03/19/2026,68.18,"4,389,760",68.92,70.715,67.37
03/18/2026,69.64,"3,587,749",71.62,72.42,69.23
03/17/2026,72.42,"3,814,589",69.47,73.12,69.06
03/16/2026,68.05,"3,742,559",69.32,69.34,67.095
03/13/2026,68.67,"3,050,102",70.9,71.42,68.47
03/12/2026,70.35,"3,349,656",72.0,73.53,70.24
03/11/2026,72.85,"3,813,443",73.9,74.99,71.4
03/10/2026,73.54,"3,765,818",73.68,74.8889,72.38
03/09/2026,74.8,"4,014,537",74.38,75.245,71.87
03/06/2026,76.4,"5,213,885",77.23,77.23,74.59
03/05/2026,78.29,"2,771,459",76.87,78.96,76.845
03/04/2026,77.57,"2,836,624",77.84,78.11,76.39
03/03/2026,77.7,"4,042,524",75.89,79.32,75.2501
03/02/2026,77.89,"4,097,552",74.5,78.23,74.5
02/27/2026,76.46,"4,923,734",77.67,78.04,75.83
02/26/2026,77.85,"4,262,647",78.97,79.37,77.14
02/25/2026,77.94,"5,003,952",78.63,78.82,75.733
02/24/2026,78.34,"4,711,410",79.61,80.11,78.21
02/23/2026,79.49,"5,819,023",81.06,81.6,79.32
02/20/2026,82.47,"5,273,826",80.34,82.7,80.1
02/19/2026,80.25,"5,074,759",80.82,80.83,78.611
02/18/2026,81.26,"8,577,061",79.55,81.67,76.0
02/17/2026,69.77,"5,743,562",68.87,70.345,68.12
02/13/2026,68.48,"3,709,241",69.01,69.48,68.09
02/12/2026,68.97,"3,911,096",72.35,72.705,67.9
02/11/2026,72.22,"5,008,451",73.0,73.6895,71.53
02/10/2026,73.28,"2,767,324",72.02,74.175,71.685
02/09/2026,71.76,"4,783,865",72.0,73.06,71.66
02/06/2026,72.86,"2,239,719",71.905,73.36,71.07
02/05/2026,71.26,"3,559,300",71.91,72.39,70.8
02/04/2026,70.8,"3,394,941",67.14,71.33,67.14
02/03/2026,67.21,"6,000,782",70.35,70.61,66.79
02/02/2026,71.99,"3,061,575",71.41,72.64,70.77
01/30/2026,71.74,"2,846,502",70.86,72.11,70.2164
01/29/2026,71.35,"2,766,661",71.9,72.57,70.59
01/28/2026,72.01,"1,815,085",73.8,74.14,71.89
01/27/2026,73.76,"2,034,816",74.82,75.127,73.0
01/26/2026,75.44,"2,940,670",75.41,75.74,74.12
01/23/2026,75.21,"2,015,061",75.25,75.89,74.635
01/22/2026,75.94,"3,680,069",73.92,76.47,73.75
01/21/2026,73.35,"3,921,729",72.36,74.6,72.25
01/20/2026,71.67,"8,126,187",72.67,74.56,71.56
01/16/2026,73.8,"2,831,592",74.695,75.34,73.759
01/15/2026,74.99,"2,772,713",77.5,77.5,74.79
01/14/2026,77.48,"3,466,999",77.54,77.99,76.82
01/13/2026,77.47,"2,971,546",79.0,79.34,76.845
01/12/2026,79.68,"3,006,270",78.69,79.78,78.0
01/09/2026,79.52,"2,533,493",78.81,79.89,78.1201
01/08/2026,78.69,"2,439,471",76.86,79.81,76.25
01/07/2026,77.5,"2,475,341",77.2,78.13,76.24
01/06/2026,77.03,"7,361,897",76.12,77.53,76.12
01/05/2026,77.02,"3,699,017",75.07,78.39,74.85
01/02/2026,75.53,"2,922,361",77.6,78.18,75.0
