date,close,volume,open,high,low
05/15/2026,41.76,"9,228,875",41.21,41.76,41.07
05/14/2026,41.29,"6,823,968",41.04,41.57,40.885
05/13/2026,41.02,"7,656,182",41.755,42.08,40.7
05/12/2026,41.7,"13,150,020",40.61,41.72,40.42
05/11/2026,40.26,"7,402,366",40.16,40.52,39.695
05/08/2026,39.83,"9,047,516",39.153,40.335,39.14
05/07/2026,39.12,"12,617,510",39.95,39.99,38.825
05/06/2026,40.4,"11,972,480",40.46,40.78,39.79
05/05/2026,41.72,"6,559,219",41.84,42.185,41.5896
05/04/2026,41.98,"7,266,595",41.73,42.1,41.27
05/01/2026,41.66,"9,614,272",42.46,42.46,41.3663
04/30/2026,42.3,"13,242,820",41.4,42.39,41.22
04/29/2026,41.81,"11,840,800",41.1,41.825,40.87
04/28/2026,40.81,"11,335,690",40.565,41.07,40.16
04/27/2026,40.13,"14,331,790",40.39,40.75,40.035
04/24/2026,40.36,"14,361,500",39.8,40.365,39.08
04/23/2026,39.65,"14,121,270",39.11,40.31,38.9065
04/22/2026,39.11,"16,573,820",39.01,39.53,38.78
04/21/2026,38.15,"20,598,040",38.03,38.69,37.64
04/20/2026,36.68,"23,299,560",36.97,37.74,36.23
04/17/2026,37.15,"15,327,970",36.03,37.45,35.51
04/16/2026,38.15,"9,988,051",37.54,38.31,37.4115
04/15/2026,37.54,"8,812,931",37.65,38.17,37.36
04/14/2026,37.51,"9,596,554",38.29,38.4,37.31
04/13/2026,38.61,"13,797,410",38.13,38.67,37.91
04/10/2026,37.59,"11,347,700",37.63,38.1,37.209
04/09/2026,37.69,"12,503,480",37.86,38.44,37.265
04/08/2026,37.8,"25,766,830",36.4,38.07,36.05
04/07/2026,38.72,"15,288,920",38.07,38.755,37.445
04/06/2026,37.82,"11,811,710",38.26,38.5,37.65
04/02/2026,38.17,"13,607,700",38.6,39.355,37.86
04/01/2026,38.0,"17,541,640",38.47,38.8,37.635
03/31/2026,38.99,"18,474,370",39.45,40.425,38.59
03/30/2026,39.26,"15,986,800",40.905,41.18,39.23
03/27/2026,40.42,"15,304,730",38.98,40.43,38.94
03/26/2026,38.79,"21,483,230",38.87,39.87,38.61
03/25/2026,38.63,"9,290,805",38.0,38.83,37.97
03/24/2026,38.11,"11,196,840",37.5,38.45,37.2122
03/23/2026,37.51,"12,959,520",36.56,37.79,36.36
03/20/2026,36.53,"58,782,190",37.24,37.36,36.23
03/19/2026,36.93,"18,154,800",36.29,37.27,35.78
03/18/2026,36.22,"16,287,830",35.52,36.39,35.27
03/17/2026,35.64,"20,035,310",34.37,35.86,34.37
03/16/2026,34.16,"20,262,140",33.82,34.45,33.7501
03/13/2026,33.69,"19,817,670",34.53,34.73,33.6634
03/12/2026,34.84,"17,702,110",35.22,36.03,34.83
03/11/2026,35.93,"14,626,010",34.72,36.135,34.65
03/10/2026,35.34,"20,512,320",34.49,35.5,34.25
03/09/2026,34.65,"17,753,130",33.78,34.76,33.485
03/06/2026,34.05,"18,534,950",34.39,34.5,33.705
03/05/2026,34.16,"20,746,970",34.4,34.53,33.52
03/04/2026,34.43,"15,400,980",35.09,35.35,34.0712
03/03/2026,35.26,"14,537,910",35.58,36.09,34.65
03/02/2026,35.97,"15,554,430",37.025,37.025,34.99
02/27/2026,36.0,"10,172,710",36.02,36.19,35.42
02/26/2026,35.71,"10,052,680",34.8,36.055,34.56
02/25/2026,35.27,"12,005,670",35.9,36.18,34.6702
02/24/2026,35.79,"10,966,820",35.36,35.965,34.885
02/23/2026,35.24,"10,502,750",35.04,35.71,34.88
02/20/2026,35.11,"11,384,210",35.36,35.85,34.585
02/19/2026,35.37,"9,132,361",35.15,35.605,34.92
02/18/2026,34.77,"9,986,518",34.34,34.88,34.19
02/17/2026,33.71,"9,323,539",34.23,34.46,33.1
02/13/2026,33.96,"11,533,940",34.14,34.535,33.815
02/12/2026,34.29,"14,968,480",35.13,35.39,33.62
02/11/2026,35.03,"13,765,410",34.63,35.29,34.56
02/10/2026,34.02,"11,722,930",35.06,35.21,33.78
02/09/2026,34.9,"7,481,218",34.94,35.13,34.58
02/06/2026,34.98,"12,640,920",33.9,35.165,33.85
02/05/2026,33.84,"12,449,140",33.77,34.1,32.955
02/04/2026,34.34,"17,463,650",33.96,34.77,33.9292
02/03/2026,33.87,"11,104,550",32.89,33.935,32.6248
02/02/2026,32.83,"15,073,470",32.71,33.295,32.51
01/30/2026,33.52,"13,557,310",33.34,33.88,32.82
01/29/2026,33.39,"18,945,020",34.25,35.04,33.36
01/28/2026,33.36,"16,317,750",34.52,34.555,32.83
01/27/2026,34.26,"9,721,703",34.38,34.95,33.94
01/26/2026,34.16,"13,985,780",34.5,34.5,33.86
01/23/2026,33.95,"16,070,450",34.73,35.55,33.91
01/22/2026,33.72,"16,173,940",33.36,33.92,32.55
01/21/2026,33.36,"26,694,710",32.5,33.8,32.5
01/20/2026,32.06,"19,391,010",32.4,32.85,31.855
01/16/2026,32.57,"10,404,900",32.68,32.94,32.335
01/15/2026,32.78,"9,753,903",32.69,32.895,32.25
01/14/2026,33.04,"15,856,050",32.79,33.72,32.7
01/13/2026,32.61,"13,266,130",32.32,32.96,32.11
01/12/2026,31.9,"13,374,910",32.86,33.0299,31.435
01/09/2026,32.63,"11,457,500",32.3,32.755,32.14
01/08/2026,32.17,"19,696,330",30.86,32.3,30.74
01/07/2026,30.38,"17,100,350",31.04,31.12,30.17
01/06/2026,30.83,"24,490,550",31.76,32.11,30.64
01/05/2026,31.92,"47,339,020",32.0,33.03,31.19
01/02/2026,29.6,"7,818,799",28.34,29.89,28.21
12/31/2025,28.26,"4,086,044",28.51,28.57,28.19
12/30/2025,28.49,"6,200,297",28.33,28.765,28.3
12/29/2025,28.15,"4,424,272",27.99,28.24,27.93
12/26/2025,27.96,"3,005,613",28.05,28.25,27.805
12/24/2025,28.03,"2,341,108",28.17,28.25,27.968
12/23/2025,28.17,"4,505,337",28.19,28.5,27.955
12/22/2025,28.19,"7,142,942",28.01,28.615,27.95
12/19/2025,27.72,"26,395,760",27.54,27.9164,27.465
