date,close,volume,open,high,low
05/15/2026,95.25,"1,577,133",95.65,96.3514,93.905
05/14/2026,95.65,"2,665,513",97.48,97.48,95.17
05/13/2026,94.01,"1,243,128",94.78,95.41,93.48
05/12/2026,94.5,"2,882,662",95.17,95.51,93.93
05/11/2026,95.19,"1,468,728",98.1,98.4,94.59
05/08/2026,97.78,"1,129,153",97.99,98.2,96.34
05/07/2026,97.39,"2,553,250",97.7,98.825,96.99
05/06/2026,97.48,"1,457,343",96.09,97.7,95.83
05/05/2026,94.76,"902,758",94.48,95.24,93.94
05/04/2026,93.97,"889,092",94.84,95.8,93.45
05/01/2026,95.27,"1,228,130",96.11,96.31,94.6001
04/30/2026,95.84,"1,345,175",93.94,96.14,93.34
04/29/2026,94.02,"1,274,339",95.74,95.74,92.755
04/28/2026,95.54,"1,629,636",95.49,96.53,94.79
04/27/2026,94.69,"1,480,528",95.64,96.69,94.48
04/24/2026,95.08,"1,699,833",97.41,97.72,94.83
04/23/2026,96.58,"2,864,752",95.175,99.2,94.33
04/22/2026,90.61,"1,987,596",91.61,93.2,89.51
04/21/2026,91.07,"4,190,167",95.77,96.045,87.82
04/20/2026,95.38,"1,179,020",96.8,97.15,94.935
04/17/2026,97.15,"1,483,553",94.3,98.0,94.3
04/16/2026,93.35,"1,479,355",93.15,94.615,92.12
04/15/2026,93.93,"3,036,227",92.47,94.19,91.8
04/14/2026,92.75,"1,493,092",92.35,93.93,92.12
04/13/2026,92.49,"1,352,094",91.73,92.86,91.4348
04/10/2026,91.73,"1,663,705",92.95,93.4549,90.62
04/09/2026,93.06,"1,792,344",93.5,94.075,92.63
04/08/2026,93.85,"1,500,971",91.95,93.94,91.95
04/07/2026,89.4,"1,472,147",89.905,90.53,88.775
04/06/2026,90.42,"1,773,236",89.92,90.47,89.1
04/02/2026,90.16,"1,729,127",88.2,90.46,87.3001
04/01/2026,89.38,"3,441,245",91.6,92.59,88.42
03/31/2026,93.6,"2,067,259",90.46,94.13,90.43
03/30/2026,89.39,"2,014,239",89.79,90.75,88.83
03/27/2026,88.59,"1,822,154",90.6,91.23,87.99
03/26/2026,91.16,"1,079,562",91.18,92.6,90.79
03/25/2026,92.19,"971,868",92.71,93.67,91.35
03/24/2026,92.6,"887,526",91.93,93.608,91.625
03/23/2026,92.99,"1,837,814",92.77,94.56,91.97
03/20/2026,91.11,"2,715,865",91.03,91.785,90.24
03/19/2026,91.36,"1,698,393",91.31,91.9,90.48
03/18/2026,91.63,"1,240,338",92.73,93.28,91.05
03/17/2026,93.28,"1,761,205",93.52,94.51,93.15
03/16/2026,92.85,"1,292,439",93.55,94.22,92.8
03/13/2026,93.4,"1,351,967",95.48,96.0475,93.265
03/12/2026,95.11,"2,939,861",97.62,98.07,94.31
03/11/2026,94.27,"1,177,619",94.06,95.185,93.56
03/10/2026,95.07,"935,373",95.8,96.59,94.46
03/09/2026,95.78,"1,417,556",92.77,96.05,91.34
03/06/2026,94.49,"1,489,273",94.12,94.8,92.215
03/05/2026,95.37,"1,123,569",96.5,96.72,94.7
03/04/2026,97.13,"1,608,600",98.13,98.75,96.34
03/03/2026,97.63,"1,307,725",96.26,98.18,94.92
03/02/2026,99.05,"1,782,956",97.7,99.14,95.88
02/27/2026,99.59,"2,106,191",99.34,100.25,98.8
02/26/2026,100.36,"1,496,240",100.07,101.59,99.6888
02/25/2026,99.75,"1,577,580",100.65,100.69,98.61
02/24/2026,99.8,"1,153,490",98.98,100.47,98.805
02/23/2026,98.27,"2,037,091",100.66,101.17,96.89
02/20/2026,101.46,"2,012,096",101.0,102.68,99.695
02/19/2026,101.0,"1,490,178",100.94,101.58,99.77
02/18/2026,101.17,"1,595,368",101.69,102.85,100.8341
02/17/2026,102.23,"1,977,172",102.26,103.175,101.54
02/13/2026,102.45,"2,435,284",101.78,103.555,100.955
02/12/2026,101.57,"3,225,911",105.89,106.98,101.2071
02/11/2026,105.94,"3,093,922",103.79,106.71,103.51
02/10/2026,104.0,"6,079,375",98.85,105.35,98.85
02/09/2026,96.76,"4,689,060",93.97,96.77,93.2775
02/06/2026,93.84,"3,118,689",96.5,96.61,93.7
02/05/2026,95.43,"2,161,942",95.91,96.15,94.34
02/04/2026,96.59,"1,810,660",95.39,97.41,95.04
02/03/2026,94.66,"2,067,827",93.93,95.91,93.7501
02/02/2026,93.84,"1,833,935",89.31,93.94,88.88
01/30/2026,89.31,"2,336,971",90.27,90.75,87.9
01/29/2026,90.46,"1,648,989",90.13,90.8025,89.4
01/28/2026,89.875,"1,197,705",89.86,90.47,89.08
01/27/2026,89.69,"1,158,373",89.47,90.115,88.77
01/26/2026,89.41,"1,258,808",88.68,89.47,88.45
01/23/2026,88.68,"1,702,432",88.59,89.01,88.21
01/22/2026,88.75,"1,250,995",88.26,88.91,87.99
