date,close,volume,open,high,low
05/15/2026,15.41,"20,201,710",15.5,15.555,15.17
05/14/2026,15.51,"17,919,620",15.43,15.6,15.425
05/13/2026,15.35,"24,787,670",15.75,15.78,15.335
05/12/2026,15.84,"33,254,250",15.96,15.985,15.6
05/11/2026,15.96,"17,660,330",16.14,16.21,15.83
05/08/2026,16.12,"26,015,740",16.24,16.31,16.03
05/07/2026,16.19,"37,697,330",16.6,16.65,16.105
05/06/2026,16.64,"15,026,540",16.61,16.785,16.56
05/05/2026,16.41,"14,250,930",16.21,16.44,16.12
05/04/2026,16.16,"16,623,390",16.46,16.54,16.115
05/01/2026,16.63,"14,163,470",16.76,16.796,16.58
04/30/2026,16.76,"20,760,820",16.28,16.795,16.17
04/29/2026,16.31,"19,422,150",16.47,16.62,16.19
04/28/2026,16.55,"17,326,000",16.69,16.78,16.48
04/27/2026,16.53,"22,405,720",16.41,16.63,16.4
04/24/2026,16.4,"16,039,130",16.63,16.81,16.335
04/23/2026,16.83,"37,245,370",16.78,16.92,16.22
04/22/2026,16.82,"16,519,300",16.98,17.135,16.78
04/21/2026,16.97,"15,147,580",17.11,17.345,16.93
04/20/2026,17.06,"16,241,480",16.74,17.115,16.735
04/17/2026,16.85,"23,736,430",16.74,17.07,16.68
04/16/2026,16.57,"25,204,660",16.58,16.785,16.565
04/15/2026,16.67,"25,588,090",16.62,16.82,16.48
04/14/2026,16.59,"27,886,250",16.55,16.725,16.43
04/13/2026,16.62,"22,689,200",16.27,16.65,16.14
04/10/2026,16.38,"14,057,480",16.56,16.59,16.34
04/09/2026,16.59,"19,947,680",16.25,16.66,16.25
04/08/2026,16.35,"26,755,690",16.35,16.545,16.265
04/07/2026,15.88,"25,508,010",15.79,15.935,15.74
04/06/2026,15.94,"16,537,910",15.73,15.96,15.7
04/02/2026,15.79,"18,815,940",15.57,15.895,15.43
04/01/2026,15.88,"30,128,320",15.81,16.035,15.745
03/31/2026,15.65,"31,158,480",15.34,15.69,15.22
03/30/2026,15.02,"20,879,770",15.15,15.22,14.95
03/27/2026,15.08,"23,796,640",15.42,15.435,15.01
03/26/2026,15.43,"19,176,790",15.47,15.57,15.345
03/25/2026,15.54,"22,050,770",15.61,15.73,15.3001
03/24/2026,15.48,"24,161,700",15.14,15.625,15.1
03/23/2026,15.29,"32,655,570",15.54,15.6,15.26
03/20/2026,15.09,"40,814,580",15.17,15.24,14.97
03/19/2026,15.17,"19,819,800",15.05,15.3,14.89
03/18/2026,15.11,"22,076,700",15.17,15.4,15.09
03/17/2026,15.39,"25,115,100",15.47,15.5799,15.27
03/16/2026,15.28,"38,594,880",15.405,15.545,15.26
03/13/2026,15.21,"37,139,080",15.66,15.75,15.21
03/12/2026,15.48,"53,768,890",15.33,15.615,15.24
03/11/2026,15.64,"44,750,090",15.93,16.04,15.57
03/10/2026,15.99,"21,203,220",16.19,16.34,15.85
03/09/2026,16.12,"39,514,060",16.08,16.26,15.58
03/06/2026,16.31,"27,481,350",16.235,16.35,15.855
03/05/2026,16.68,"19,617,620",16.71,16.84,16.49
03/04/2026,16.83,"27,684,970",16.88,16.9,16.64
03/03/2026,16.75,"24,787,000",16.65,16.98,16.495
03/02/2026,16.97,"18,965,550",16.585,17.095,16.415
02/27/2026,16.8,"39,296,110",17.27,17.35,16.495
02/26/2026,17.54,"19,498,620",17.37,17.73,17.32
02/25/2026,17.28,"23,954,280",17.2,17.42,17.05
02/24/2026,17.02,"27,065,690",17.1,17.21,16.84
02/23/2026,17.08,"24,767,750",17.97,18.13,17.01
02/20/2026,18.01,"25,391,300",17.85,18.03,17.585
02/19/2026,17.85,"23,422,630",17.71,17.855,17.555
02/18/2026,17.89,"27,278,240",17.51,17.93,17.48
02/17/2026,17.47,"30,405,850",17.29,17.505,17.15
02/13/2026,17.26,"21,208,060",17.21,17.39,17.065
02/12/2026,17.33,"37,721,220",18.09,18.215,17.175
02/11/2026,17.93,"35,687,600",18.6,18.735,17.765
02/10/2026,18.57,"45,280,160",18.52,19.006,18.245
02/09/2026,19.0,"17,333,410",19.15,19.26,19.0
02/06/2026,19.27,"30,188,900",19.24,19.455,19.18
02/05/2026,19.02,"38,614,270",18.92,19.13,18.72
02/04/2026,19.02,"69,191,670",18.58,19.19,18.55
02/03/2026,18.39,"53,854,280",17.88,18.485,17.84
02/02/2026,17.88,"47,527,200",17.36,17.94,17.265
01/30/2026,17.48,"211,994,500",17.31,17.64,17.12
01/29/2026,17.29,"35,403,540",17.195,17.325,16.945
01/28/2026,17.06,"42,270,470",17.46,17.47,16.815
01/27/2026,17.43,"23,037,810",17.41,17.55,17.27
01/26/2026,17.34,"34,643,560",17.34,17.53,17.16
01/23/2026,17.35,"46,836,600",17.5,17.84,17.335
01/22/2026,17.64,"87,086,490",18.3,18.43,17.615
01/21/2026,18.77,"42,494,150",18.06,18.91,18.06
01/20/2026,17.99,"34,619,070",17.735,18.15,17.72
01/16/2026,18.02,"23,386,760",17.915,18.11,17.82
01/15/2026,17.95,"29,481,770",17.72,18.12,17.69
01/14/2026,17.68,"26,110,460",17.43,17.71,17.31
01/13/2026,17.5,"28,747,820",17.94,18.0,17.48
01/12/2026,17.9,"28,621,650",18.14,18.15,17.74
01/09/2026,18.24,"29,643,600",18.45,18.57,18.21
01/08/2026,18.47,"29,565,360",18.05,18.62,18.01
01/07/2026,18.14,"26,985,050",18.3,18.33,17.985
01/06/2026,18.3,"27,274,920",17.88,18.35,17.85
01/05/2026,17.88,"19,140,410",17.41,18.1,17.41
01/02/2026,17.48,"17,730,390",17.38,17.595,17.135
12/31/2025,17.35,"9,261,101",17.51,17.55,17.32
12/30/2025,17.47,"9,632,444",17.57,17.595,17.445
12/29/2025,17.58,"12,656,440",17.74,17.77,17.55
12/26/2025,17.74,"7,733,473",17.74,17.7899,17.67
12/24/2025,17.74,"6,904,619",17.75,17.82,17.675
12/23/2025,17.73,"16,424,580",17.92,17.9375,17.71
12/22/2025,17.92,"15,278,830",17.69,17.9499,17.66
12/19/2025,17.69,"29,942,450",17.55,17.74,17.53
12/18/2025,17.59,"23,821,020",17.69,17.84,17.51
12/17/2025,17.75,"23,967,890",17.675,17.905,17.66
12/16/2025,17.63,"24,112,010",17.775,17.775,17.47
12/15/2025,17.74,"24,793,820",17.97,18.035,17.65
12/12/2025,17.82,"21,631,280",18.0,18.0,17.69
12/11/2025,17.91,"24,359,840",17.5,18.01,17.5
12/10/2025,17.56,"37,663,710",17.07,17.58,16.9
12/09/2025,16.99,"31,683,710",16.94,17.22,16.92
12/08/2025,16.94,"22,433,200",16.945,17.01,16.805
12/05/2025,16.9,"25,173,250",16.985,17.05,16.86
12/04/2025,17.1,"22,713,490",17.04,17.1684,16.975
12/03/2025,17.04,"27,795,870",16.57,17.06,16.55
12/02/2025,16.56,"29,186,020",16.605,16.67,16.425
12/01/2025,16.54,"27,810,130",16.19,16.58,16.16
11/28/2025,16.3,"14,181,420",16.32,16.35,16.19
11/26/2025,16.27,"33,297,880",16.13,16.37,16.13
11/25/2025,16.18,"47,994,390",16.01,16.21,15.97
11/24/2025,15.91,"25,969,760",15.89,16.025,15.78
11/21/2025,15.88,"33,189,690",15.37,16.045,15.37
11/20/2025,15.32,"29,636,910",15.435,15.685,15.2701
11/19/2025,15.38,"31,578,540",15.35,15.48,15.24
11/18/2025,15.35,"26,499,930",15.21,15.49,15.14
11/17/2025,15.3,"30,170,260",15.69,15.7301,15.22
11/14/2025,15.73,"23,315,320",15.65,15.7899,15.52
11/13/2025,15.71,"25,657,730",15.85,15.99,15.67
11/12/2025,15.95,"22,198,920",15.87,16.13,15.84
11/11/2025,15.82,"23,926,040",15.84,15.95,15.715
11/10/2025,15.81,"20,031,220",15.74,15.89,15.65
11/07/2025,15.69,"27,999,050",15.385,15.69,15.3099
11/06/2025,15.42,"23,875,870",15.28,15.5,15.22
11/05/2025,15.29,"26,636,790",15.31,15.45,15.175
11/04/2025,15.27,"22,667,910",15.29,15.37,15.09
11/03/2025,15.37,"21,827,140",15.38,15.4,15.1701
10/31/2025,15.44,"23,143,190",15.25,15.47,15.135
10/30/2025,15.32,"33,092,320",15.14,15.5,15.11
10/29/2025,15.16,"49,576,630",15.47,15.53,15.05
10/28/2025,15.54,"61,710,350",15.6,15.73,15.37
10/27/2025,15.64,"123,965,700",15.52,15.81,15.4
10/24/2025,16.07,"15,350,910",16.07,16.165,15.97
10/23/2025,15.86,"19,553,790",15.92,15.975,15.78
10/22/2025,15.87,"25,895,600",15.9,16.01,15.8
10/21/2025,15.94,"29,783,650",15.9,16.05,15.78
10/20/2025,15.84,"28,011,130",15.8,15.87,15.6
10/17/2025,15.5,"76,956,280",15.63,15.725,15.24
10/16/2025,15.37,"50,243,650",16.16,16.17,15.29
10/15/2025,16.21,"29,714,380",16.445,16.445,16.12
10/14/2025,16.34,"26,377,750",15.845,16.46,15.77
10/13/2025,15.9,"25,619,680",15.86,15.97,15.6403
10/10/2025,15.6,"32,618,370",16.37,16.39,15.58
10/09/2025,16.34,"34,151,110",16.43,16.51,16.3
10/08/2025,16.34,"35,560,810",16.79,16.82,16.32
