date,close,volume,open,high,low
05/15/2026,423.0,"1,156,113",435.37,437.0,422.54
05/14/2026,432.7,"933,370",428.99,434.3,427.89
05/13/2026,427.54,"1,598,102",429.12,432.17,422.9801
05/12/2026,429.69,"1,283,511",428.47,433.92,424.825
05/11/2026,426.37,"2,414,077",435.68,437.95,420.76
05/08/2026,435.19,"1,599,292",433.45,438.0,431.42
05/07/2026,429.02,"774,447",429.73,433.72,428.01
05/06/2026,429.45,"1,091,966",428.01,436.43,428.0
05/05/2026,428.79,"717,110",427.18,432.893,427.0
05/04/2026,427.18,"1,011,146",431.0,432.81,425.8
05/01/2026,433.09,"896,699",435.33,441.645,431.67
04/30/2026,434.45,"1,496,531",435.79,439.13,426.7
04/29/2026,434.78,"1,135,479",429.12,436.97,429.12
04/28/2026,431.92,"1,611,772",450.0,452.39,428.77
04/27/2026,445.77,"1,454,907",438.51,447.13,434.11
04/24/2026,432.46,"3,319,995",430.0,451.57,422.19
04/23/2026,474.03,"1,062,133",472.23,479.44,470.69
04/22/2026,471.34,"973,267",469.21,476.97,465.67
04/21/2026,471.18,"993,037",478.13,479.395,465.31
04/20/2026,478.13,"734,443",488.47,490.15,477.21
04/17/2026,488.0,"960,802",482.97,493.145,480.54
04/16/2026,482.97,"821,531",487.91,494.77,479.82
04/15/2026,488.58,"1,017,110",496.04,501.93,485.27
04/14/2026,498.66,"752,639",495.22,505.54,492.46
04/13/2026,497.42,"628,269",493.81,497.46,487.14
04/10/2026,495.47,"733,820",505.6,508.595,493.045
04/09/2026,507.19,"668,280",503.62,512.14,501.4886
04/08/2026,505.12,"981,021",497.99,506.31,494.791
04/07/2026,489.58,"1,106,092",486.85,494.13,482.68
04/06/2026,483.92,"766,892",471.0,483.99,468.765
04/02/2026,471.84,"905,226",470.54,475.77,459.22
04/01/2026,474.75,"699,534",473.1,477.89,470.08
03/31/2026,473.24,"981,693",472.03,474.71,461.88
03/30/2026,467.83,"891,211",475.28,476.75,467.29
03/27/2026,471.85,"801,776",480.04,481.435,468.7
03/26/2026,480.32,"625,824",482.94,488.5,478.57
03/25/2026,484.02,"928,477",484.14,488.64,477.97
03/24/2026,485.72,"1,368,195",490.0,493.23,474.77
03/23/2026,494.58,"1,276,498",500.3,502.12,493.6
03/20/2026,493.88,"2,120,674",500.1,501.84,490.58
03/19/2026,499.65,"1,168,262",502.0,506.51,495.31
03/18/2026,502.05,"977,277",510.0,513.98,498.759
03/17/2026,509.87,"1,506,878",525.19,529.8,500.2001
03/16/2026,525.19,"852,450",537.38,537.38,524.865
03/13/2026,532.97,"926,318",534.71,541.7775,532.77
03/12/2026,532.58,"1,515,005",538.0,556.52,531.42
03/11/2026,537.28,"997,018",535.78,540.11,532.48
03/10/2026,537.64,"852,009",543.89,544.97,530.0
03/09/2026,545.13,"1,462,125",530.92,546.05,526.05
03/06/2026,532.81,"753,151",530.97,533.72,522.49
03/05/2026,534.47,"1,097,943",537.78,539.64,526.64
03/04/2026,544.41,"930,563",539.75,547.43,536.64
03/03/2026,541.8,"797,639",527.2,542.32,524.1
03/02/2026,532.92,"816,440",530.0,536.9675,525.36
02/27/2026,529.7,"2,291,545",525.73,532.69,523.1
02/26/2026,525.88,"1,062,239",536.52,540.0,524.58
02/25/2026,540.57,"929,417",527.0,541.34,527.0
02/24/2026,526.52,"1,366,807",535.26,536.155,522.05
02/23/2026,535.97,"1,411,841",535.0,547.05,533.65
02/20/2026,532.3,"874,882",530.08,533.91,526.69
