date,close,volume,open,high,low
05/15/2026,297.51,"6,121,507",300.31,302.925,296.88
05/14/2026,304.35,"5,072,611",305.06,305.98,301.415
05/13/2026,302.55,"6,307,803",307.61,307.69,299.27
05/12/2026,310.46,"4,225,706",313.225,314.78,309.11
05/11/2026,311.4,"4,335,726",316.5,317.12,309.71
05/08/2026,317.45,"4,995,471",322.68,324.0,316.8
05/07/2026,322.64,"4,411,673",325.01,327.49,322.43
05/06/2026,323.05,"5,455,949",321.96,325.24,319.35
05/05/2026,315.42,"6,391,353",313.41,317.6276,310.4
05/04/2026,312.42,"6,396,070",322.08,322.08,312.26
05/01/2026,323.88,"3,865,293",330.1,330.52,323.36
04/30/2026,328.8,"4,317,892",322.24,330.12,322.24
04/29/2026,322.81,"4,149,966",325.66,325.84,319.05
04/28/2026,329.06,"4,279,284",334.45,335.9315,327.36
04/27/2026,332.3,"3,282,922",334.48,337.375,332.14
04/24/2026,335.89,"3,255,912",337.88,340.27,334.68
04/23/2026,340.16,"2,712,437",339.5,340.8299,336.88
04/22/2026,339.5,"2,855,813",343.95,345.2399,337.92
04/21/2026,343.92,"3,080,994",352.93,353.545,342.97
04/20/2026,350.99,"3,260,906",348.335,351.17,343.62
04/17/2026,349.4,"4,930,362",342.84,352.02,342.84
04/16/2026,337.15,"2,856,722",339.99,341.9799,336.69
04/15/2026,338.91,"3,365,237",341.85,342.27,336.62
04/14/2026,342.71,"2,882,483",341.0,342.76,338.34
04/13/2026,341.16,"3,741,216",335.54,341.44,331.932
04/10/2026,337.34,"3,208,482",341.04,341.23,335.8063
04/09/2026,339.58,"3,002,030",331.26,340.57,328.445
04/08/2026,336.16,"4,610,604",333.26,338.78,332.25
04/07/2026,318.77,"4,661,614",323.0,324.3815,315.31
04/06/2026,326.65,"2,448,288",319.7,326.68,318.92
04/02/2026,321.63,"3,732,342",323.6,326.3,318.66
04/01/2026,329.56,"3,386,547",329.37,333.09,327.81
03/31/2026,328.89,"5,749,116",328.49,331.44,323.41
03/30/2026,323.5,"4,066,260",325.72,327.99,322.58
03/27/2026,321.65,"3,977,394",327.5,327.54,320.74
03/26/2026,328.43,"3,448,446",331.44,334.12,326.585
03/25/2026,332.51,"4,397,793",335.0,337.185,326.99
03/24/2026,330.91,"4,566,359",325.9,332.5215,323.02
03/23/2026,330.9,"5,806,268",331.99,334.72,328.2106
03/20/2026,320.75,"9,672,177",327.75,330.23,320.2645
03/19/2026,328.21,"3,845,436",328.96,330.23,324.63
03/18/2026,330.93,"3,592,173",338.6,339.8,330.14
03/17/2026,341.43,"3,076,205",344.89,346.78,340.939
03/16/2026,342.58,"3,194,835",342.44,345.24,340.65
03/13/2026,339.03,"2,531,908",341.69,343.42,338.03
03/12/2026,338.93,"3,893,565",346.04,348.67,338.7
03/11/2026,350.84,"3,200,119",355.46,356.32,349.11
03/10/2026,357.15,"3,986,011",353.04,361.64,351.02
03/09/2026,353.56,"4,224,458",355.6,356.49,345.64
03/06/2026,357.92,"4,167,616",357.54,359.45,353.22
03/05/2026,361.68,"4,755,978",366.12,366.98,359.2
03/04/2026,369.11,"4,324,435",366.2,369.57,361.5146
03/03/2026,366.92,"3,965,089",363.73,368.775,360.12
03/02/2026,370.81,"4,537,578",375.0,375.11,369.0
02/27/2026,380.72,"4,819,535",373.86,382.19,372.34
02/26/2026,375.09,"2,889,806",378.4,381.48,374.935
02/25/2026,375.57,"5,036,873",381.07,381.435,371.37
02/24/2026,384.48,"5,675,810",389.11,394.35,382.21
02/23/2026,376.99,"5,495,670",380.99,384.14,369.58
02/20/2026,382.25,"3,984,167",377.45,384.82,375.9482
02/19/2026,378.58,"2,930,887",383.74,383.74,377.39
02/18/2026,383.52,"2,982,644",382.75,385.119,379.54
02/17/2026,383.04,"3,485,285",392.23,394.0,380.5
02/13/2026,391.05,"2,875,923",390.2,394.0,387.1
