date,close,volume,open,high,low
05/15/2026,133.92,"1,291,147",134.77,135.52,133.57
05/14/2026,134.26,"1,048,788",133.48,134.47,133.17
05/13/2026,132.63,"1,382,678",132.37,134.3,131.44
05/12/2026,133.11,"1,231,494",132.72,134.2557,131.826
05/11/2026,132.11,"1,334,596",132.64,133.03,131.075
05/08/2026,132.02,"1,086,461",132.95,133.37,131.65
05/07/2026,132.67,"1,877,254",132.94,134.1,132.08
05/06/2026,133.49,"1,408,327",134.71,135.355,132.89
05/05/2026,134.15,"1,525,634",133.92,134.875,133.65
05/04/2026,133.81,"1,391,025",134.62,136.11,133.34
05/01/2026,135.81,"1,664,222",137.58,138.86,135.79
04/30/2026,136.81,"2,581,948",135.47,137.86,134.555
04/29/2026,136.64,"1,322,805",138.13,138.9918,135.76
04/28/2026,138.79,"1,558,895",137.99,139.88,137.83
04/27/2026,136.71,"1,715,024",133.8,137.56,133.8
04/24/2026,134.45,"2,566,673",137.93,138.96,134.4
04/23/2026,139.61,"1,309,980",138.69,140.11,138.235
04/22/2026,138.11,"1,270,303",138.95,139.015,136.5
04/21/2026,139.15,"1,354,932",139.3,139.97,138.26
04/20/2026,138.94,"1,105,498",139.89,141.61,138.49
04/17/2026,139.84,"1,661,871",138.1,140.94,137.28
04/16/2026,138.28,"1,429,731",137.92,138.77,136.9
04/15/2026,138.75,"1,055,018",138.56,139.815,137.6
04/14/2026,138.77,"1,231,923",138.12,139.235,137.24
04/13/2026,139.07,"1,166,438",136.86,139.21,136.86
04/10/2026,137.23,"1,236,560",140.01,140.07,136.36
04/09/2026,140.4,"1,235,314",138.21,141.5,137.73
04/08/2026,138.9,"1,262,702",136.25,139.045,136.07
04/07/2026,135.76,"1,240,405",136.22,136.8,135.3205
04/06/2026,136.42,"1,141,430",135.99,136.46,135.32
04/02/2026,136.19,"1,023,224",134.67,136.53,134.325
04/01/2026,134.65,"1,290,630",134.89,135.745,134.185
03/31/2026,135.23,"1,424,676",135.8,136.05,133.19
03/30/2026,134.44,"1,185,773",132.12,135.09,132.12
03/27/2026,132.32,"1,259,560",134.97,135.18,131.985
03/26/2026,134.89,"1,172,760",134.14,135.2,133.77
03/25/2026,134.1,"1,187,062",136.01,136.74,134.0
