date,close,volume,open,high,low
05/15/2026,326.17,"437,155",331.21,336.21,325.0
05/14/2026,336.95,"389,777",332.505,339.76,332.505
05/13/2026,334.22,"476,987",332.58,334.96,324.33
05/12/2026,333.56,"928,399",321.02,336.53,318.99
05/11/2026,317.75,"710,284",317.41,326.485,316.49
05/08/2026,316.28,"615,391",317.41,319.89,313.43
05/07/2026,314.72,"653,007",320.77,322.56,312.205
05/06/2026,319.54,"938,398",323.96,325.89,311.0001
05/05/2026,326.13,"1,746,809",338.13,342.06,311.53
05/04/2026,363.37,"490,290",358.55,368.09,357.69
05/01/2026,360.6,"566,270",365.25,366.29,357.85
04/30/2026,364.29,"613,292",365.42,368.31,357.91
04/29/2026,362.17,"483,032",366.08,371.31,361.655
04/28/2026,361.4,"388,319",365.16,368.2899,352.05
04/27/2026,358.4,"645,742",356.45,367.0165,356.45
04/24/2026,359.29,"556,307",371.175,371.175,355.16
04/23/2026,370.14,"416,681",364.0,371.47,362.37
04/22/2026,366.88,"523,823",382.89,384.88,364.2
04/21/2026,378.21,"471,473",389.01,390.0,377.29
04/20/2026,392.19,"252,940",394.48,397.62,390.55
04/17/2026,394.81,"636,994",396.0,400.705,393.0
04/16/2026,396.17,"296,621",400.27,403.9499,394.05
04/15/2026,398.13,"357,523",392.31,401.355,391.9775
04/14/2026,398.07,"287,128",398.87,399.17,394.875
04/13/2026,394.46,"409,589",396.0,400.07,390.97
04/10/2026,394.41,"432,638",401.72,403.37,386.4901
04/09/2026,403.37,"309,311",410.01,414.03,402.26
04/08/2026,411.35,"435,216",405.66,413.58,403.01
04/07/2026,402.28,"248,057",405.16,408.24,400.6
04/06/2026,407.66,"406,791",398.11,407.76,396.31
04/02/2026,396.62,"280,437",388.12,398.99,381.66
04/01/2026,393.32,"519,901",379.5,396.17,379.5
03/31/2026,379.9,"400,499",374.62,382.72,370.41
03/30/2026,369.08,"491,258",386.45,387.07,366.48
03/27/2026,381.79,"375,909",380.73,388.525,372.3738
03/26/2026,384.79,"470,565",396.06,400.985,384.25
03/25/2026,402.56,"286,115",406.315,409.41,399.495
03/24/2026,402.08,"328,038",393.79,406.2199,392.053
03/23/2026,396.57,"677,780",404.98,410.99,396.11
03/20/2026,407.98,"1,810,337",414.66,417.55,405.55
03/19/2026,418.42,"485,349",418.21,423.09,410.28
03/18/2026,427.99,"454,247",424.69,433.41,422.13
03/17/2026,422.94,"462,488",417.37,423.98,413.07
03/16/2026,416.59,"685,550",414.0,419.185,403.59
03/13/2026,415.71,"372,488",414.45,418.44,406.97
03/12/2026,414.56,"412,872",409.99,417.0,403.22
03/11/2026,413.7,"331,826",413.46,419.95,409.95
03/10/2026,417.51,"353,765",423.14,427.36,416.62
03/09/2026,429.58,"468,500",426.58,432.29,417.85
03/06/2026,429.11,"400,230",417.0,432.7199,412.05
03/05/2026,421.17,"485,339",429.09,430.57,411.0601
03/04/2026,437.03,"421,392",441.31,441.44,432.12
03/03/2026,440.33,"418,372",443.14,447.91,435.18
03/02/2026,453.73,"631,700",451.19,460.0,445.67
02/27/2026,444.52,"411,223",441.68,445.175,436.0001
02/26/2026,443.0,"430,778",435.89,444.9875,430.19
02/25/2026,435.58,"514,456",451.84,451.86,418.78
02/24/2026,447.73,"392,659",435.64,449.0344,431.865
02/23/2026,438.01,"469,414",432.75,441.895,428.39
02/20/2026,437.57,"509,286",439.91,447.74,433.59
02/19/2026,443.14,"783,210",423.2,443.32,423.2
02/18/2026,424.89,"350,427",422.18,426.965,417.72
02/17/2026,417.83,"519,750",416.46,420.94,406.7
02/13/2026,418.78,"643,792",406.75,422.29,406.055
02/12/2026,406.76,"625,303",400.05,413.49,395.46
02/11/2026,392.7,"517,517",403.52,403.52,382.01
02/10/2026,399.37,"425,614",401.94,404.2791,394.7901
02/09/2026,405.82,"610,926",401.0,414.46,398.06
02/06/2026,397.77,"774,860",374.89,399.995,374.88
02/05/2026,369.38,"1,563,468",354.61,407.0,351.625
02/04/2026,413.14,"993,196",426.52,429.0,409.41
02/03/2026,429.64,"591,526",423.79,432.9099,422.32
02/02/2026,420.3,"379,560",417.78,425.0,415.5301
01/30/2026,420.51,"476,634",422.05,429.305,417.23
01/29/2026,427.83,"446,246",429.15,436.1444,423.51
01/28/2026,425.39,"441,564",416.68,428.5704,416.12
01/27/2026,422.79,"390,477",413.46,423.66,410.0
01/26/2026,413.56,"573,833",414.39,414.96,405.41
01/23/2026,418.58,"448,932",424.17,428.393,412.04
01/22/2026,424.14,"478,374",421.33,426.62,416.61
01/21/2026,422.68,"578,422",419.99,426.79,410.6101
01/20/2026,415.58,"833,632",423.56,432.0,412.03
01/16/2026,425.9,"688,890",422.52,427.72,420.03
01/15/2026,418.86,"861,247",412.3,420.71,401.2
01/14/2026,415.39,"1,032,427",413.45,425.1199,409.04
01/13/2026,411.66,"1,134,855",413.76,414.57,401.45
01/12/2026,398.25,"590,335",390.0,399.6099,390.0
01/09/2026,386.99,"508,025",380.975,391.04,380.94
01/08/2026,378.47,"947,796",380.0,389.5201,373.9849
01/07/2026,356.45,"719,948",369.87,374.26,356.14
01/06/2026,367.6,"478,054",365.36,370.515,364.0
01/05/2026,363.48,"547,427",358.14,365.916,358.14
01/02/2026,349.75,"402,974",340.07,349.96,336.0
12/31/2025,340.07,"262,458",343.18,344.2223,339.11
12/30/2025,341.98,"384,903",346.26,347.335,340.27
12/29/2025,345.73,"423,020",350.58,352.5,344.9
12/26/2025,351.13,"323,015",355.04,356.1,350.0
12/24/2025,355.45,"197,250",354.01,359.3,353.0
12/23/2025,354.52,"645,024",358.065,360.2,351.2301
12/22/2025,353.52,"866,816",338.69,357.44,338.07
12/19/2025,336.64,"1,438,540",324.15,337.4399,324.15
12/18/2025,322.63,"399,204",321.71,327.19,320.73
12/17/2025,321.29,"475,098",324.17,327.38,318.62
12/16/2025,326.8,"377,916",327.06,328.2417,322.01
12/15/2025,329.16,"335,021",328.03,331.86,324.7213
12/12/2025,326.92,"386,317",331.25,333.31,326.29
12/11/2025,326.72,"521,862",324.19,330.45,321.725
12/10/2025,323.14,"441,408",314.19,326.63,311.0401
12/09/2025,314.95,"322,886",315.15,320.0,314.45
12/08/2025,315.88,"450,197",306.18,316.585,303.61
12/05/2025,304.58,"632,912",315.51,317.863,300.2
12/04/2025,315.88,"357,987",308.68,318.61,308.4
12/03/2025,309.23,"347,042",307.08,310.16,304.01
12/02/2025,307.2,"330,919",307.95,310.87,306.6305
12/01/2025,306.65,"357,068",312.46,312.46,306.08
11/28/2025,313.62,"133,144",313.24,314.31,311.64
11/26/2025,314.31,"229,874",315.39,317.78,313.0
11/25/2025,314.73,"452,665",311.6,316.13,307.38
11/24/2025,309.92,"282,563",302.18,311.3,300.77
11/21/2025,305.49,"516,501",301.26,308.33,295.8701
11/20/2025,301.83,"533,410",315.44,319.9,301.32
11/19/2025,309.74,"312,940",307.0,311.05,304.8
11/18/2025,309.16,"308,895",310.32,312.37,305.3692
11/17/2025,309.74,"321,002",314.0,314.655,308.34
11/14/2025,313.97,"340,418",309.33,317.2499,305.295
11/13/2025,312.67,"431,403",320.0,321.04,310.06
11/12/2025,317.89,"471,147",321.45,325.76,317.77
11/11/2025,324.19,"725,502",317.57,327.98,315.3796
11/10/2025,318.66,"708,128",311.17,319.79,310.97
11/07/2025,309.56,"595,480",303.86,310.8,299.0693
11/06/2025,305.43,"434,712",307.12,308.22,301.29
11/05/2025,306.68,"525,890",313.45,314.5,305.275
11/04/2025,315.9,"383,397",312.55,318.2,311.0
11/03/2025,317.54,"651,324",322.41,323.12,312.18
10/31/2025,322.02,"788,430",316.18,323.34,311.851
10/30/2025,319.07,"981,618",315.0,329.9999,310.0
10/29/2025,298.42,"549,709",300.0,301.24,296.3
10/28/2025,299.14,"402,790",300.42,304.5115,298.0901
10/27/2025,301.69,"562,888",304.0,309.0,299.192
10/24/2025,299.91,"525,246",293.28,301.74,290.69
10/23/2025,290.09,"382,161",283.58,291.96,283.58
10/22/2025,283.64,"350,261",288.0,288.05,282.145
10/21/2025,287.53,"277,903",287.425,291.56,287.145
10/20/2025,285.77,"320,459",281.81,287.035,281.81
10/17/2025,280.02,"359,635",280.16,283.3975,277.01
10/16/2025,282.66,"354,361",286.65,287.565,282.505
10/15/2025,284.96,"562,853",293.0,295.4913,278.64
10/14/2025,291.94,"642,907",288.21,296.03,284.02
10/13/2025,287.9,"334,460",283.51,288.225,283.16
10/10/2025,282.99,"421,877",286.13,287.22,281.3
10/09/2025,286.14,"333,624",290.83,291.49,284.71
10/08/2025,290.83,"264,974",286.74,290.83,285.36
10/07/2025,285.38,"442,824",289.57,291.3399,284.18
10/06/2025,288.49,"335,505",285.96,290.67,285.7
10/03/2025,284.24,"387,437",283.34,286.3749,279.0
10/02/2025,282.22,"378,548",285.58,287.125,281.41
10/01/2025,286.01,"468,606",284.54,291.52,283.745
09/30/2025,287.91,"426,066",279.64,288.11,279.64
09/29/2025,279.53,"308,332",281.38,282.245,278.81
09/26/2025,278.77,"369,063",273.3,279.35,273.25
09/25/2025,271.25,"699,844",278.92,281.1,270.2
09/24/2025,277.51,"600,774",276.52,280.97,276.41
09/23/2025,276.01,"427,286",277.0,280.7999,275.01
09/22/2025,276.16,"497,102",273.88,276.86,273.68
09/19/2025,275.13,"1,344,090",276.06,277.0,271.35
09/18/2025,274.69,"454,729",272.2,275.9,270.68
09/17/2025,272.46,"353,738",272.86,274.865,271.425
09/16/2025,273.19,"609,440",274.29,276.91,270.29
09/15/2025,273.02,"504,624",273.13,276.59,270.81
09/12/2025,274.71,"217,121",277.51,277.735,274.055
09/11/2025,276.07,"295,167",272.19,276.93,272.19
09/10/2025,271.93,"408,576",267.52,273.7125,267.18
09/09/2025,267.07,"431,953",269.3,269.715,264.0
09/08/2025,269.94,"399,657",270.87,271.0225,265.435
09/05/2025,271.13,"362,738",270.14,271.325,266.0
09/04/2025,269.98,"385,876",268.5,270.53,267.1701
09/03/2025,269.33,"456,356",270.29,270.32,266.6
09/02/2025,269.71,"453,578",269.64,272.26,267.51
08/29/2025,270.79,"363,983",274.69,276.1889,270.37
08/28/2025,275.27,"448,136",276.4,277.31,273.04
08/27/2025,276.39,"393,304",271.56,276.91,271.3086
08/26/2025,271.74,"432,758",270.1,273.7,269.135
08/25/2025,270.72,"342,616",270.53,271.63,269.73
08/22/2025,269.98,"358,981",267.96,271.625,267.96
08/21/2025,266.48,"242,272",266.52,267.535,264.55
08/20/2025,267.09,"433,457",265.0,267.93,262.66
08/19/2025,265.4,"629,432",265.96,267.86,263.09
08/18/2025,267.6,"328,140",266.86,269.62,266.02
08/15/2025,266.25,"346,614",266.44,267.0,265.33
08/14/2025,267.46,"236,920",269.06,271.67,267.14
08/13/2025,269.43,"337,768",269.85,271.47,265.71
08/12/2025,268.0,"351,383",266.22,268.4299,264.79
08/11/2025,266.65,"391,285",263.74,270.005,263.74
08/08/2025,264.69,"469,116",267.59,271.9999,264.09
08/07/2025,266.45,"476,195",268.415,268.415,259.0
08/06/2025,267.49,"403,456",272.0,272.926,267.09
08/05/2025,270.92,"591,188",265.37,271.48,264.5377
08/04/2025,265.67,"417,624",270.37,273.02,264.81
08/01/2025,269.83,"770,095",276.87,278.86,267.35
07/31/2025,278.86,"2,039,009",278.67,293.14,277.5739
07/30/2025,258.52,"540,357",261.19,262.0,256.45
07/29/2025,260.84,"281,021",264.02,264.23,260.03
07/28/2025,262.49,"315,614",265.0,265.195,261.0
07/25/2025,264.82,"327,592",263.09,265.82,261.45
07/24/2025,263.33,"371,758",264.72,268.0,262.75
07/23/2025,265.56,"587,253",257.17,265.6,257.17
07/22/2025,253.96,"365,207",250.91,255.43,250.91
07/21/2025,252.93,"334,217",255.5,255.5,252.1
07/18/2025,254.49,"542,989",255.02,257.61,251.84
07/17/2025,255.35,"322,823",254.0,256.17,253.59
07/16/2025,253.82,"416,140",253.83,255.78,251.02
07/15/2025,253.68,"340,635",257.52,259.53,253.21
07/14/2025,258.5,"374,686",257.5,259.6,254.98
07/11/2025,258.18,"367,526",257.185,259.125,253.87
07/10/2025,258.11,"657,065",251.58,258.45,250.0
07/09/2025,248.92,"290,347",248.86,250.195,247.01
07/08/2025,247.95,"560,252",252.67,252.845,246.34
07/07/2025,253.53,"403,229",253.64,256.6178,252.37
07/03/2025,252.08,"304,186",248.27,253.08,247.64
07/02/2025,250.15,"446,118",244.61,250.57,242.62
07/01/2025,246.31,"521,514",239.68,247.75,239.55
06/30/2025,241.46,"315,932",239.21,242.04,237.165
06/27/2025,238.65,"515,997",238.32,239.49,236.655
06/26/2025,239.83,"292,808",236.73,241.86,236.19
06/25/2025,235.12,"612,971",231.44,236.08,228.6901
06/24/2025,231.63,"379,798",233.82,234.25,229.72
06/23/2025,237.1,"495,988",235.81,239.68,235.21
06/20/2025,234.54,"1,555,744",234.8,235.78,230.72
06/18/2025,234.21,"524,350",236.435,239.29,233.13
06/17/2025,234.08,"544,800",230.0,234.47,227.0
06/16/2025,229.26,"546,661",234.74,234.74,226.75
06/13/2025,232.73,"455,851",233.15,235.89,230.0
06/12/2025,229.12,"329,239",224.81,229.3,223.49
06/11/2025,226.15,"548,169",222.77,226.28,215.045
06/10/2025,223.3,"443,430",227.53,227.63,222.3159
06/09/2025,228.07,"483,389",227.01,229.1,224.18
06/06/2025,226.49,"312,982",225.98,228.03,225.0
06/05/2025,224.78,"484,341",225.46,225.89,222.76
06/04/2025,224.79,"463,467",228.99,228.99,224.75
06/03/2025,227.96,"491,599",224.19,229.03,222.18
06/02/2025,222.8,"446,351",222.9,223.51,219.93
05/30/2025,223.06,"590,940",221.74,223.9541,219.82
05/29/2025,223.68,"1,057,972",224.51,225.14,222.21
05/28/2025,225.6,"315,844",228.65,229.24,225.25
05/27/2025,227.84,"366,230",227.0,228.02,224.95
05/23/2025,224.74,"256,873",222.2,225.63,221.35
05/22/2025,224.49,"551,601",222.55,226.11,220.74
05/21/2025,223.38,"453,286",228.01,228.01,222.87
05/20/2025,228.02,"420,442",228.43,230.0,226.71
05/19/2025,229.35,"518,393",229.55,232.27,227.75
05/16/2025,230.05,"311,397",229.01,230.44,227.0215
05/15/2025,228.16,"385,745",227.36,229.04,224.316
05/14/2025,223.11,"522,299",225.43,225.69,219.7119
05/13/2025,225.73,"479,292",229.38,229.725,224.73
05/12/2025,229.74,"530,135",235.0,235.5994,227.68
05/09/2025,231.63,"329,322",235.0,235.2699,230.22
05/08/2025,232.95,"522,325",231.48,234.63,229.49
05/07/2025,230.21,"429,008",231.61,234.2205,230.16
05/06/2025,232.9,"504,577",231.15,233.78,229.45
05/05/2025,233.18,"604,241",231.61,234.43,228.9431
05/02/2025,230.02,"668,974",230.17,232.85,223.52
05/01/2025,227.48,"1,063,413",237.86,238.0,222.02
04/30/2025,230.34,"748,895",230.02,230.97,226.403
04/29/2025,230.37,"504,010",227.05,231.84,227.05
04/28/2025,228.35,"679,130",232.0,232.35,225.53
04/25/2025,226.05,"570,330",222.36,226.39,222.36
04/24/2025,221.9,"824,400",219.77,222.25,217.01
04/23/2025,217.93,"793,437",219.0,221.245,215.46
04/22/2025,217.22,"871,717",215.23,219.61,211.49
04/21/2025,217.86,"478,148",218.32,221.54,215.36
04/17/2025,219.48,"793,549",214.05,220.385,213.58
04/16/2025,215.6,"614,886",216.24,218.51,213.65
04/15/2025,217.98,"722,789",218.66,221.5123,217.41
04/14/2025,219.95,"1,152,197",216.69,221.47,213.41
04/11/2025,215.74,"1,474,113",208.66,218.78,207.36
04/10/2025,200.89,"836,729",196.855,203.7699,195.32
04/09/2025,200.08,"1,009,101",182.88,202.54,182.79
04/08/2025,187.54,"822,859",192.99,195.67,184.46
04/07/2025,183.31,"826,364",181.28,190.095,177.42
04/04/2025,184.95,"855,917",194.14,195.93,184.6
04/03/2025,199.22,"690,687",202.5,206.93,197.23
04/02/2025,204.93,"500,248",200.0,205.43,198.95
04/01/2025,202.2,"549,872",204.42,205.2936,200.86
03/31/2025,204.04,"666,745",204.01,206.6838,202.285
03/28/2025,205.32,"560,259",202.87,205.825,202.8
03/27/2025,203.15,"350,559",203.57,204.88,200.75
03/26/2025,203.27,"438,258",206.37,207.15,202.44
03/25/2025,206.25,"557,428",205.49,207.64,204.205
03/24/2025,205.89,"525,721",202.29,206.73,201.24
03/21/2025,201.47,"1,446,305",201.52,203.52,199.01
03/20/2025,201.71,"651,241",206.27,206.405,200.78
03/19/2025,207.43,"518,818",208.09,211.25,206.71
03/18/2025,208.57,"681,779",206.44,210.0,204.44
03/17/2025,207.13,"1,200,831",196.61,208.8,196.61
03/14/2025,196.16,"790,787",196.4,198.18,194.83
03/13/2025,195.51,"755,108",191.57,198.14,191.57
03/12/2025,191.73,"498,965",194.37,195.85,188.01
03/11/2025,195.01,"947,106",196.9,196.9,190.35
03/10/2025,197.03,"1,039,601",193.34,204.27,193.1535
03/07/2025,195.97,"929,276",191.91,197.8445,190.49
03/06/2025,193.93,"1,178,310",191.91,195.42,187.39
03/05/2025,193.59,"1,782,898",186.5,195.25,181.005
03/04/2025,172.3,"921,726",170.05,175.65,167.7
03/03/2025,172.68,"1,292,393",178.63,178.96,170.86
02/28/2025,175.58,"2,520,949",173.16,175.75,171.56
02/27/2025,174.28,"769,512",173.62,175.88,172.575
02/26/2025,173.19,"727,943",175.79,176.635,172.08
02/25/2025,175.48,"1,143,101",169.0,175.91,168.83
02/24/2025,168.81,"820,663",171.67,172.73,168.76
02/21/2025,170.29,"830,205",177.53,178.29,170.2
02/20/2025,177.89,"903,787",174.34,179.89,173.78
02/19/2025,173.77,"1,099,041",171.0,174.515,170.84
02/18/2025,169.71,"1,212,357",165.0,171.46,164.685
02/14/2025,161.27,"848,384",161.98,163.385,159.41
02/13/2025,160.82,"787,525",165.0,165.73,160.69
