date,close,volume,open,high,low
05/15/2026,316.17,"1,952,516",314.905,318.7299,314.8
05/14/2026,316.52,"1,185,747",314.38,318.49,314.38
05/13/2026,311.41,"1,844,593",312.88,315.39,308.76
05/12/2026,313.57,"1,274,063",316.71,319.15,313.15
05/11/2026,315.53,"1,632,312",314.58,317.01,312.54
05/08/2026,316.78,"1,450,107",321.71,323.45,316.38
05/07/2026,320.3,"1,433,280",321.08,324.0,319.1401
05/06/2026,321.51,"1,799,118",317.96,322.915,315.11
05/05/2026,312.77,"1,712,924",311.39,315.205,310.86
05/04/2026,311.38,"1,429,991",314.75,315.645,308.06
05/01/2026,318.61,"1,732,877",325.74,327.71,316.71
04/30/2026,324.07,"2,143,248",317.69,325.7,316.77
04/29/2026,314.5,"3,313,500",321.55,323.36,311.33
04/28/2026,323.36,"2,850,066",323.42,336.8,323.05
04/27/2026,332.45,"2,203,709",334.44,337.435,329.64
04/24/2026,335.63,"1,510,198",335.2,338.07,332.37
04/23/2026,334.28,"1,152,455",332.53,337.62,330.33
04/22/2026,333.67,"1,542,549",342.53,342.53,333.47
04/21/2026,340.21,"1,414,523",342.06,343.98,339.38
04/20/2026,342.89,"1,042,058",339.86,343.75,339.86
04/17/2026,341.03,"1,874,722",334.7,344.75,334.505
04/16/2026,330.38,"1,126,987",330.85,332.41,328.365
04/15/2026,328.91,"1,197,209",330.71,331.665,325.8
04/14/2026,331.38,"1,746,440",327.27,331.53,325.805
04/13/2026,327.26,"1,367,464",323.43,327.35,320.2
04/10/2026,323.43,"1,270,440",322.99,324.215,320.8747
04/09/2026,322.51,"1,630,187",315.95,323.7,315.195
04/08/2026,317.2,"1,942,306",314.13,319.295,314.13
04/07/2026,302.16,"1,500,100",306.58,307.72,299.06
04/06/2026,306.88,"1,122,782",302.85,307.495,302.36
04/02/2026,304.95,"1,429,833",303.265,309.0,300.62
04/01/2026,308.26,"1,531,589",304.35,309.05,300.81
03/31/2026,304.08,"1,532,938",299.18,305.28,296.9
03/30/2026,295.87,"1,492,020",296.87,299.29,295.04
03/27/2026,294.04,"1,524,001",300.27,300.675,292.37
03/26/2026,301.7,"1,287,193",301.81,304.7,300.35
03/25/2026,303.16,"1,447,974",302.53,304.85,300.48
03/24/2026,299.91,"1,470,243",298.93,300.89,296.64
03/23/2026,300.67,"1,913,067",298.1,305.4,298.1
03/20/2026,292.58,"3,093,932",296.95,299.06,290.67
03/19/2026,297.83,"1,687,874",294.26,298.75,292.76
03/18/2026,294.56,"1,917,726",299.0,301.615,294.32
03/17/2026,301.31,"1,872,945",299.78,305.16,298.51
03/16/2026,296.0,"1,216,288",295.72,298.83,294.0
03/13/2026,291.55,"1,530,945",295.64,299.79,290.94
03/12/2026,294.26,"2,117,985",292.42,296.335,289.52
03/11/2026,296.85,"1,716,777",298.02,298.39,292.59
03/10/2026,298.37,"1,958,485",302.3,303.135,297.84
03/09/2026,303.46,"3,226,930",294.08,304.445,290.0
03/06/2026,298.64,"2,381,320",303.35,303.35,291.04
03/05/2026,307.36,"2,746,079",302.02,308.06,297.62
03/04/2026,304.91,"1,886,015",307.95,309.5,304.56
03/03/2026,305.94,"1,915,378",298.0,307.66,295.88
03/02/2026,304.8,"2,511,079",301.15,308.795,298.18
02/27/2026,311.78,"2,140,092",314.03,314.03,307.69
02/26/2026,317.83,"1,160,817",315.32,319.61,314.56
02/25/2026,313.35,"1,437,792",313.72,314.93,310.01
02/24/2026,312.78,"1,419,881",309.75,314.545,309.665
02/23/2026,311.8,"1,807,401",315.12,315.12,304.13
02/20/2026,315.96,"1,315,429",311.12,315.97,310.35
02/19/2026,312.73,"2,015,032",315.36,316.655,309.745
02/18/2026,315.88,"1,929,871",316.24,319.685,313.78
02/17/2026,317.82,"2,235,889",316.7,320.98,315.85
02/13/2026,314.62,"2,403,560",324.32,324.97,313.6001
02/12/2026,322.17,"2,867,988",325.505,333.86,320.345
02/11/2026,325.13,"3,828,461",321.76,330.98,320.95
02/10/2026,323.7,"3,133,083",318.05,325.0797,316.95
02/09/2026,314.03,"2,086,385",312.88,314.69,311.245
02/06/2026,314.38,"1,718,562",309.06,314.96,307.68
02/05/2026,308.72,"1,521,576",308.0,310.08,305.02
02/04/2026,308.81,"2,249,720",305.64,310.4,305.205
02/03/2026,304.6,"2,784,252",303.31,306.03,300.98
02/02/2026,302.93,"2,862,950",299.92,303.57,298.51
01/30/2026,298.51,"1,945,842",299.3,300.05,295.11
01/29/2026,299.28,"2,848,251",298.82,301.82,297.53
01/28/2026,296.31,"1,274,901",294.99,298.97,294.6784
01/27/2026,296.17,"1,370,284",297.88,298.67,293.4
01/26/2026,297.12,"1,775,618",298.73,300.3236,293.35
01/23/2026,298.11,"3,033,955",295.87,298.27,294.14
01/22/2026,295.92,"1,625,465",297.49,301.09,295.1201
01/21/2026,296.46,"1,679,807",292.08,297.595,291.05
01/20/2026,289.98,"2,269,228",298.18,299.33,287.69
01/16/2026,300.85,"1,680,373",301.0,301.96,298.53
01/15/2026,301.86,"2,218,586",302.75,306.28,300.48
01/14/2026,300.13,"1,527,896",299.84,301.05,295.0201
01/13/2026,300.62,"1,398,848",300.45,301.22,298.115
01/12/2026,300.4,"1,622,839",298.08,300.95,296.479
01/09/2026,300.36,"2,016,924",300.0,303.4,299.17
01/08/2026,298.33,"1,593,422",292.93,298.86,292.495
01/07/2026,293.5,"1,694,489",291.99,296.515,291.0
01/06/2026,293.28,"1,808,228",286.03,293.88,285.11
01/05/2026,285.77,"2,595,756",291.23,292.625,285.61
01/02/2026,292.98,"1,831,954",286.87,293.74,286.705
12/31/2025,287.25,"1,254,128",289.77,290.39,287.15
12/30/2025,290.43,"1,201,852",291.4,292.3,289.951
12/29/2025,292.36,"982,531",292.52,292.64,290.52
12/26/2025,293.48,"601,714",292.81,294.69,292.505
12/24/2025,293.3,"485,843",291.28,293.59,290.505
12/23/2025,291.38,"1,084,848",292.22,293.84,290.98
12/22/2025,292.55,"1,103,654",292.67,294.53,291.56
12/19/2025,292.25,"3,236,954",288.49,293.63,287.62
12/18/2025,287.67,"2,172,987",292.86,294.92,285.8
12/17/2025,293.0,"3,696,141",285.8,294.7,285.06
12/16/2025,285.83,"1,893,759",285.85,287.04,283.25
12/15/2025,285.85,"1,998,380",284.63,287.36,282.97
12/12/2025,280.24,"1,235,334",280.07,282.56,279.5
12/11/2025,278.18,"1,562,995",272.16,279.43,269.99
12/10/2025,271.23,"1,573,997",270.44,271.43,267.19
12/09/2025,269.25,"1,346,038",269.36,271.6,268.94
12/08/2025,269.82,"1,137,102",271.46,273.035,268.55
12/05/2025,272.25,"1,314,553",273.31,274.62,271.23
12/04/2025,273.45,"1,529,862",276.05,278.4199,272.145
12/03/2025,280.24,"1,279,124",280.83,283.6,278.8142
12/02/2025,281.18,"2,039,077",283.67,283.67,277.57
12/01/2025,283.04,"1,917,555",283.95,285.65,282.41
11/28/2025,285.03,"756,133",285.0,287.395,284.211
11/26/2025,285.77,"1,870,968",284.8,287.31,283.63
11/25/2025,284.73,"2,364,106",275.85,285.97,274.93
11/24/2025,274.33,"2,097,336",274.84,276.0,271.925
11/21/2025,274.48,"2,148,452",266.39,277.03,264.32
11/20/2025,264.32,"1,108,443",268.01,269.99,263.945
11/19/2025,267.01,"1,234,522",268.02,269.16,265.54
11/18/2025,267.94,"1,623,073",264.91,270.32,264.91
11/17/2025,266.05,"1,374,590",270.26,270.26,264.87
11/14/2025,269.67,"1,276,814",268.5,270.5,265.88
11/13/2025,269.89,"1,410,899",274.79,277.37,269.8
11/12/2025,274.8,"1,274,625",273.22,277.68,272.79
11/11/2025,273.61,"1,636,427",273.99,275.16,272.81
11/10/2025,274.54,"1,587,226",274.23,277.345,272.07
11/07/2025,273.32,"1,904,091",266.47,273.88,265.45
11/06/2025,265.27,"1,598,798",264.3,268.53,263.6648
11/05/2025,264.46,"1,697,344",259.31,265.46,257.04
11/04/2025,258.64,"1,720,451",257.24,260.89,256.24
11/03/2025,259.09,"1,741,057",255.76,259.63,253.54
10/31/2025,256.96,"1,903,090",259.95,260.59,254.27
10/30/2025,260.18,"1,697,456",260.01,263.31,258.13
10/29/2025,260.39,"2,098,556",260.37,263.69,257.48
10/28/2025,260.9,"1,690,796",265.22,266.3,260.435
10/27/2025,266.22,"1,577,158",268.99,271.13,265.13
10/24/2025,267.77,"1,196,123",269.53,270.39,266.76
10/23/2025,267.63,"2,173,825",274.12,275.855,266.59
10/22/2025,275.06,"3,310,234",274.0,279.6,272.12
10/21/2025,265.96,"2,082,501",260.0,267.245,259.46
10/20/2025,261.04,"1,762,672",260.53,263.99,260.14
10/17/2025,260.27,"1,519,399",257.43,261.94,257.43
10/16/2025,257.47,"2,501,991",265.52,266.31,256.7
10/15/2025,265.11,"1,416,470",268.4,270.629,263.235
10/14/2025,268.4,"1,040,265",261.54,268.65,261.39
10/13/2025,263.36,"1,342,317",260.54,265.51,259.795
10/10/2025,259.53,"1,857,701",260.87,264.14,257.62
10/09/2025,260.1,"1,643,998",261.06,264.15,260.03
