date,close,volume,open,high,low
05/14/2026,217.72,"3,377,706",217.59,218.95,215.755
05/13/2026,217.96,"3,354,054",218.0,219.43,215.96
05/12/2026,218.54,"3,590,647",219.14,219.82,216.41
05/11/2026,219.11,"4,454,027",215.28,221.035,214.87
05/08/2026,213.12,"3,731,707",216.48,216.66,212.755
05/07/2026,216.07,"3,573,133",216.86,218.26,214.01
05/06/2026,216.86,"4,297,263",212.85,218.08,212.85
05/05/2026,209.06,"2,655,211",209.975,211.12,208.54
05/04/2026,209.59,"2,821,978",211.91,213.2499,209.2301
05/01/2026,212.5,"2,988,249",215.025,215.56,212.01
04/30/2026,214.33,"4,128,590",209.51,214.59,209.45
04/29/2026,210.3,"4,502,583",212.5,212.9,208.295
04/28/2026,212.93,"3,796,868",214.74,214.94,210.36
04/27/2026,212.05,"3,615,463",213.36,214.13,210.52
04/24/2026,213.17,"4,607,586",212.81,214.7,209.82
04/23/2026,214.34,"8,019,150",207.874,218.0,207.83
04/22/2026,219.97,"4,470,209",224.29,226.0,219.29
04/21/2026,222.22,"4,895,148",227.0,229.79,221.135
04/20/2026,229.74,"3,217,841",233.33,233.61,228.95
04/17/2026,233.55,"4,072,323",231.13,236.45,230.77
04/16/2026,229.38,"2,925,947",231.7,233.6,228.98
04/15/2026,232.19,"3,514,509",232.91,232.92,228.93
04/14/2026,233.24,"3,155,410",233.24,234.48,231.66
04/13/2026,233.64,"2,657,332",233.44,234.885,231.79
04/10/2026,235.04,"1,906,982",236.32,236.83,234.0659
04/09/2026,236.06,"3,192,076",230.68,236.36,228.73
04/08/2026,232.47,"3,807,758",229.525,232.49,228.31
04/07/2026,223.84,"3,719,461",226.68,226.81,221.44
04/06/2026,228.21,"3,139,894",228.04,228.81,226.38
04/02/2026,229.45,"2,987,341",226.885,230.5,225.12
04/01/2026,228.2,"3,837,867",227.21,229.7,226.62
03/31/2026,226.03,"3,479,399",225.665,226.68,222.12
03/30/2026,223.48,"3,217,742",225.8,226.35,222.61
03/27/2026,223.12,"3,316,527",226.21,226.21,222.68
03/26/2026,225.17,"4,754,569",224.68,228.65,224.43
03/25/2026,225.79,"4,574,985",223.82,227.61,222.64
03/24/2026,221.57,"3,326,206",220.61,224.65,220.58
03/23/2026,223.01,"3,657,629",224.95,226.5,222.91
03/20/2026,221.5,"8,098,408",227.935,229.5,219.83
03/19/2026,229.03,"3,031,885",228.17,230.61,227.0
03/18/2026,229.92,"3,255,218",231.56,233.07,228.56
03/17/2026,231.42,"4,224,256",234.4,235.6373,228.5
03/16/2026,234.51,"3,177,143",235.0,236.31,233.64
03/13/2026,234.5,"3,117,737",235.485,237.58,233.83
03/12/2026,233.4,"4,592,750",237.77,239.77,233.19
03/11/2026,239.44,"3,243,480",239.76,241.95,237.425
03/10/2026,240.61,"5,089,125",236.8,245.255,236.6225
03/09/2026,237.59,"3,405,360",234.125,238.39,230.79
03/06/2026,235.29,"3,857,912",235.322,236.959,234.115
03/05/2026,238.38,"4,308,908",243.54,243.92,235.97
03/04/2026,245.97,"4,775,081",244.62,247.27,239.18
03/03/2026,243.85,"6,367,423",243.93,247.16,241.635
03/02/2026,248.04,"3,634,681",242.7,248.18,241.22
02/27/2026,243.59,"3,888,332",241.38,243.93,240.255
02/26/2026,240.88,"3,039,965",242.73,243.85,239.82
02/25/2026,242.2,"3,368,552",244.75,245.0,240.655
02/24/2026,243.61,"2,575,471",243.06,245.4099,243.06
02/23/2026,243.06,"2,496,119",243.73,246.0,242.38
02/20/2026,243.97,"2,681,320",240.82,244.5,240.3
