date,close,volume,open,high,low
05/15/2026,77.14,"19,662,350",78.54,78.582,76.41
05/14/2026,80.7,"27,967,580",76.05,81.93,75.11
05/13/2026,76.75,"14,805,880",77.07,77.62,75.34
05/12/2026,78.27,"17,097,120",79.08,80.18,76.48
05/11/2026,80.78,"26,357,900",76.79,81.14,74.8
05/08/2026,77.03,"18,141,880",76.24,77.065,74.25
05/07/2026,76.28,"21,873,210",78.955,79.23,75.46
05/06/2026,79.05,"24,673,110",77.8,79.49,76.19
05/05/2026,77.03,"24,754,630",77.615,78.75,76.49
05/04/2026,76.55,"29,377,480",74.7,78.29,74.63
05/01/2026,73.66,"25,254,840",73.775,75.28,73.06
04/30/2026,72.89,"31,187,270",71.18,73.8746,70.76
04/29/2026,71.2,"79,797,560",72.3,73.59,69.93
04/28/2026,82.07,"31,324,160",81.46,83.14,80.82
04/27/2026,83.95,"20,100,430",84.28,85.7,83.115
04/24/2026,84.71,"20,873,080",84.9,85.06,82.82
04/23/2026,83.54,"33,497,620",86.695,87.61,81.745
04/22/2026,88.43,"27,468,390",89.35,90.135,87.48
04/21/2026,86.43,"36,873,050",91.08,91.45,86.19
04/20/2026,91.275,"35,942,430",89.7,92.38,88.21
04/17/2026,90.75,"49,795,270",90.06,93.32,89.57
04/16/2026,86.85,"51,788,110",89.19,89.3799,83.87
04/15/2026,87.32,"72,707,190",83.55,87.55,81.5
04/14/2026,79.09,"43,587,320",75.13,79.28,75.05
04/13/2026,71.67,"21,181,720",68.205,71.7,67.8
04/10/2026,69.19,"23,163,810",70.11,70.87,68.2801
04/09/2026,70.12,"25,973,770",71.59,72.46,68.78
04/08/2026,71.83,"32,953,380",76.8,77.87,71.31
04/07/2026,69.65,"24,967,430",68.3,69.66,66.62
04/06/2026,69.78,"24,334,460",69.31,70.82,68.71
04/02/2026,68.9,"23,381,350",67.2,70.15,65.57
04/01/2026,70.11,"24,130,360",71.13,71.5512,69.14
03/31/2026,69.3,"35,925,100",65.82,69.4127,65.18
03/30/2026,65.16,"26,512,250",66.859,67.89,63.515
03/27/2026,66.02,"30,547,030",68.54,68.89,65.872
03/26/2026,70.35,"21,327,040",71.15,73.24,69.7
03/25/2026,72.54,"27,500,060",71.825,74.5898,71.75
03/24/2026,69.08,"29,317,570",71.51,71.84,68.5755
03/23/2026,72.49,"26,070,190",71.846,73.6,70.9201
03/20/2026,70.89,"34,441,130",73.1,73.41,69.9
03/19/2026,74.16,"21,552,530",72.28,75.16,71.7
03/18/2026,74.9,"21,937,560",76.13,77.25,74.8301
03/17/2026,77.35,"20,210,220",75.4,77.7,75.39
03/16/2026,75.31,"22,783,400",75.1,75.805,74.11
03/13/2026,73.39,"33,417,520",76.75,77.63,72.795
03/12/2026,76.12,"22,668,270",77.335,77.82,75.07
03/11/2026,78.69,"22,677,210",78.11,79.77,76.735
03/10/2026,78.53,"22,663,590",80.205,80.7499,77.66
03/09/2026,79.35,"25,186,610",75.92,79.65,75.55
03/06/2026,77.09,"28,734,370",77.91,79.0,76.38
